pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-05-23,95.0,-1.73,5.49,"Biggio, Cavan",624415,641154,double,hit_into_play,,,,,8.0,Cavan Biggio doubles (2) on a sharp line drive to center fielder Harrison Bader. Jonathan India scores. Vinnie Pasquantino to 3rd.,R,L,R,MIN,KC,X,8,line_drive,1,2,2025,-0.77,1.23,0.08,2.16,,663697.0,686469.0,2,1,Top,154.46,63.22,,,,,6.582350239825473,-137.99718884658716,-5.805770338586173,-11.407895590328604,35.06315551995851,-15.37913437262172,3.44,1.59,269.0,104.0,12.0,96.0,2158.0,7.3,777799,680777,664034,686797,681146,621043,650489,664056,663616,53.19,0.931,0.938,1.25,1.0,1,1,4.0,5,5,4-Seam Fastball,0,0,0,0,1,0,1,0,Infield shade,Standard,214.0,-0.114,1.086,71.5,6.7,1.248,-1.086,104.0,0,0,0.505,0.495,29,30,29,30,1,0,6.0,3.0,5.0,2.0,1.34,0.77,-0.77,35.2,8.361687861648484,3.736322719334569,40.42810575918288,32.80108300158447,27.22379920502309
FF,2025-05-17,92.9,-2.03,6.59,"Biggio, Cavan",624415,571945,field_out,hit_into_play,,,,,2.0,Cavan Biggio flies out to left fielder Lars Nootbaar.,R,L,R,KC,STL,X,7,fly_ball,2,2,2025,-0.82,1.12,-0.17,3.08,,,672580.0,1,2,Bot,87.97,68.07,,,,,6.5275873084150415,-135.13382644358347,-5.702950899825989,-11.328082205359538,25.62873502812984,-17.342990963927964,3.43,1.62,349.0,92.7,33.0,93.3,2301.0,6.2,777885,686780,575929,680977,571448,691026,663457,687363,691023,54.27,0.06,0.092,0.0,1.0,0,0,3.0,13,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,218.0,-0.029,-0.223,69.1,6.3,0.172,0.223,92.7,0,0,0.553,0.553,36,30,37,30,1,0,6.0,1.0,6.0,3.0,1.49,0.82,-0.82,44.8,7.114445241538321,1.4005325498553205,34.14435154372045,34.94854495487972,25.90918828330993
FF,2025-05-17,96.5,-2.1,5.87,"Biggio, Cavan",624415,681517,field_out,hit_into_play,,,,,5.0,Cavan Biggio flies out sharply to center fielder Victor Scott II.,R,L,R,KC,STL,X,8,fly_ball,2,0,2025,-0.12,1.42,-0.05,2.38,,,,2,7,Bot,147.0,42.84,,,,,5.817080969059947,-140.29622236363682,-7.037013944667132,-2.847175262286315,30.99496964802573,-12.02466625946338,3.43,1.62,389.0,100.3,34.0,98.0,2528.0,7.1,777885,686780,575929,680977,571448,691026,663457,687363,691023,53.37,0.409,0.81,0.0,1.0,0,0,5.0,48,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,192.0,-0.023,-0.362,72.2,7.4,1.564,0.362,100.3,-1,-1,0.27,0.27,28,30,28,30,1,2,5.0,1.0,3.0,3.0,1.03,0.12,-0.12,44.5,16.864041438812315,-9.174978442012923,39.55531687000328,35.10392321200282,31.43491006609741
FF,2025-05-16,94.4,-1.54,6.02,"Biggio, Cavan",624415,669467,double,hit_into_play,,,,,5.0,Cavan Biggio doubles (1) on a sharp line drive to center fielder Victor Scott II.,R,L,R,KC,STL,X,8,line_drive,2,2,2025,-0.54,0.76,-0.13,2.31,,,,2,2,Bot,139.73,17.46,,,,,4.918288284182919,-137.3900996842411,-5.653540426953743,-8.008343611920155,31.502446490909712,-21.520061680117056,3.46,1.61,400.0,103.9,20.0,94.7,2271.0,6.5,777901,686780,575929,680977,571448,691026,663457,687363,691023,53.97,0.569,0.751,1.25,1.0,1,1,6.0,14,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,191.0,0.025,0.615,69.7,6.6,1.233,-0.615,103.9,-1,-1,0.394,0.394,26,30,27,30,1,0,6.0,4.0,5.0,1.0,1.81,0.54,-0.54,57.0,8.062828571894169,3.8673413650065593,41.04683642881393,34.46505519058119,27.762455395074145
FF,2025-05-16,90.6,-1.74,5.92,"Biggio, Cavan",624415,700669,field_out,hit_into_play,,,,,4.0,Cavan Biggio lines out to center fielder Victor Scott II.,R,L,R,KC,STL,X,8,line_drive,0,1,2025,-0.61,1.23,-0.65,2.69,,,,0,9,Bot,103.53,63.58,,,,,4.012548217008884,-131.9788549073689,-4.855278255550478,-7.924757525140816,22.28730222466537,-16.93356038451174,3.46,1.61,340.0,97.8,19.0,91.2,2316.0,6.1,777901,686780,575929,680977,571448,691026,663457,687363,691023,54.38,0.306,0.354,0.0,1.0,0,0,4.0,75,2,4-Seam Fastball,3,10,3,10,10,3,3,10,Infield shade,Standard,211.0,0.0,-0.22,67.3,6.7,0.549,0.22,97.8,-7,-7,0.001,0.001,25,30,25,30,1,3,2.0,4.0,3.0,1.0,1.5,0.61,-0.61,46.5,11.500336829265873,4.486391552499363,32.21458925882284,42.04063915336006,24.825973208831783
FF,2025-05-12,94.4,-2.26,5.96,"Biggio, Cavan",624415,687473,field_out,hit_into_play,,,,,5.0,Cavan Biggio flies out to left fielder Zach Dezenzo.,R,L,R,HOU,KC,X,7,fly_ball,1,1,2025,-0.44,1.59,0.02,2.77,,,,0,2,Top,51.06,121.18,,,,,6.922872297438236,-137.12632883732834,-6.010228378063417,-7.317088005018272,36.4989834803762,-11.0460451583876,3.46,1.61,268.0,82.8,40.0,93.5,2462.0,6.3,777948,673237,572233,514888,670623,665161,701305,676694,701358,54.15,0.006,0.005,0.0,1.0,0,0,3.0,11,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,208.0,0.02,-0.251,68.6,6.0,0.008,0.251,88.0,-1,1,0.392,0.608,26,30,26,30,1,0,8.0,3.0,5.0,4.0,1.02,0.44,-0.44,46.8,0.792477121263956,11.367186871949322,36.34973589537525,33.51459549791798,24.09746485500913
SL,2025-05-12,79.2,3.33,5.86,"Biggio, Cavan",624415,595345,field_out,hit_into_play,,,,,7.0,Cavan Biggio flies out to right fielder Cam Smith.,R,L,L,HOU,KC,X,9,fly_ball,3,2,2025,-1.0,0.43,-0.38,1.87,,,,2,7,Top,164.54,109.33,,,,,-6.194921309022615,-115.01505885410153,-2.5261355839358703,-7.323455365577866,26.562569999995794,-28.13134662683025,3.46,1.61,244.0,73.4,27.0,78.0,2335.0,6.1,777948,673237,572233,514888,670623,665161,701305,676694,701358,54.37,0.826,0.75,0.0,1.0,0,0,4.0,58,7,Slider,0,7,7,0,7,0,7,0,Infield shade,Standard,277.0,0.001,-0.328,68.0,7.1,0.882,0.328,88.0,-7,7,0.008,0.992,33,30,34,30,1,3,2.0,3.0,8.0,4.0,3.3,-1.0,-1.0,33.4,14.495344022777278,-6.948591668853105,36.67572470927248,38.38625180635427,37.75141450760842
FF,2025-05-12,94.0,1.36,6.41,"Biggio, Cavan",624415,656986,field_out,hit_into_play,,,,,6.0,Cavan Biggio lines out to right fielder Cam Smith.,R,L,L,HOU,KC,X,9,line_drive,1,2,2025,0.44,1.35,0.31,2.79,,,,0,5,Top,188.06,84.19,,,,,-3.7066548808926982,-136.66865107630326,-6.5636370132729125,6.371322688036565,34.22694223267769,-14.064569951819037,3.46,1.61,322.0,97.5,22.0,93.6,2247.0,6.4,777948,673237,572233,514888,670623,665161,701305,676694,701358,54.11,0.351,0.447,0.0,1.0,0,0,5.0,41,4,4-Seam Fastball,0,7,7,0,7,0,7,0,Infield shade,Standard,168.0,0.001,-0.189,68.4,6.5,0.724,0.189,97.5,-7,7,0.019,0.981,30,30,30,30,1,2,2.0,3.0,5.0,4.0,1.27,0.44,0.44,48.9,14.052428205933143,-3.723063073061154,35.64485224894652,30.94941864881879,32.39515907716705
FF,2025-05-09,97.0,-1.02,5.84,"Biggio, Cavan",624415,686580,field_out,hit_into_play,,,,,4.0,Cavan Biggio flies out to center fielder Ceddanne Rafaela.,R,L,R,KC,BOS,X,8,fly_ball,3,2,2025,-0.27,1.43,-0.29,2.49,,,,2,9,Bot,164.6,53.96,,,,,2.6242286814813007,-141.16361863294216,-6.752570647198797,-4.253477123374204,32.04262261352919,-11.690905308440865,3.46,1.61,370.0,99.3,33.0,98.2,2431.0,6.9,777990,657136,647351,692225,608324,596115,680776,678882,677800,53.56,0.286,0.517,0.0,1.0,0,0,5.0,67,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,202.0,-0.033,-0.328,71.8,7.1,1.006,0.328,99.3,0,0,0.533,0.533,27,30,28,30,1,0,1.0,2.0,4.0,3.0,0.99,0.27,-0.27,53.2,14.321464223219795,-9.262800975384838,36.43468405317912,36.90190768881567,32.72900092717758
FF,2025-05-07,92.0,-2.05,5.94,"Biggio, Cavan",624415,686563,field_out,hit_into_play,,,,,2.0,Cavan Biggio flies out to center fielder Luis Robert Jr.,R,L,R,KC,CWS,X,8,fly_ball,1,0,2025,-0.44,1.39,0.07,3.48,,,,0,6,Bot,138.83,105.97,,,,,6.328723905534188,-133.8948593270484,-3.4278504719730862,-6.588975795105137,27.7459537118283,-14.91819856690292,3.46,1.6,237.0,87.1,53.0,92.2,2200.0,6.3,778012,642136,678246,672820,668942,676070,681460,673357,641943,54.19,0.009,0.008,0.0,1.0,0,0,3.0,45,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,220.0,-0.012,-0.301,63.3,6.6,0.009,0.301,88.0,2,2,0.852,0.852,24,30,25,30,3,2,5.0,1.0,6.0,2.0,1.3,0.44,-0.44,28.6,16.123540876403442,-6.440354437596211,28.75501998002801,33.06845408143581,27.89365219679768
