pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-07-25,81.3,-2.64,5.87,"Bruján, Vidal",660644,621051,single,hit_into_play,,,,,4.0,Vidal Bruján singles on a fly ball to center fielder Michael A. Taylor. Nico Hoerner to 3rd. Reese McGuire to 2nd.,R,L,R,CWS,CHC,X,8,fly_ball,0,0,2025,1.29,-0.02,-0.36,2.33,,663538.0,624512.0,1,9,Top,151.03,101.22,,,,,2.628350168589722,-118.27228661162276,-1.1572048930032168,11.372268847000178,26.36449333506371,-32.396568055008366,3.27,1.51,244.0,73.7,37.0,80.9,2557.0,6.4,777017,700337,672820,668942,695657,805367,596103,572191,681460,54.09,0.28,0.288,0.9,1.0,1,0,3.0,80,1,Sweeper,12,4,4,12,4,12,4,12,Standard,Standard,58.0,-0.001,0.478,71.8,7.7,0.372,-0.478,88.0,8,-8,0.999,0.001,30,27,31,27,1,3,2.0,4.0,3.0,4.0,3.52,-1.29,1.29,45.3,17.920547717875166,-19.937092622966368,30.364362282384825,40.850326845757166,41.29775025205622
ST,2025-07-19,87.2,-1.82,5.32,"Bruján, Vidal",660644,678394,sac_fly,hit_into_play,,,,,8.0,Vidal Bruján out on a sacrifice fly to left fielder Rob Refsnyder. Dansby Swanson scores.,R,L,R,CHC,BOS,X,7,fly_ball,0,0,2025,0.4,-0.3,0.02,1.98,621020.0,,624512.0,1,2,Bot,52.87,129.09,,,,,3.578899266425568,-126.94155156508684,-1.2296791397460451,3.576453951949523,26.47323513790156,-35.3661343024033,3.27,1.51,251.0,87.8,50.0,86.8,2471.0,6.0,777096,657136,647351,663853,608324,596115,608701,678882,701350,54.46,0.009,0.008,0.0,1.0,0,0,3.0,18,1,Sweeper,2,0,2,0,0,3,3,0,Strategic,Standard,29.0,0.018,-0.139,73.7,7.3,0.014,0.139,88.0,2,2,0.799,0.799,26,27,26,27,1,0,6.0,6.0,6.0,2.0,3.3,-0.4,0.4,28.9,4.031180245768612,-3.922942914053664,36.02902505077797,40.12138813851747,31.539724455525505
FF,2025-07-13,93.2,-2.39,5.46,"Bruján, Vidal",660644,701542,single,hit_into_play,,,,,9.0,Vidal Bruján singles on a line drive to right fielder Aaron Judge. Nico Hoerner to 2nd.,R,L,R,NYY,CHC,X,9,line_drive,1,0,2025,-0.47,1.39,0.44,1.75,,,663538.0,2,2,Top,166.01,135.25,,,,,8.359560122077042,-135.39528001506835,-6.85772213220329,-7.561879020060365,29.88100672285075,-13.756380584697526,3.26,1.5,190.0,93.3,11.0,94.1,2599.0,6.9,777122,669224,502671,665862,672724,683011,691176,641355,592450,53.59,0.731,0.686,0.9,1.0,1,0,4.0,12,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,220.0,-0.018,0.311,73.3,7.3,0.836,-0.311,93.3,-1,1,0.415,0.585,26,27,26,27,1,0,5.0,2.0,6.0,6.0,1.25,0.47,-0.47,28.3,9.994620184902244,-6.055684671643034,38.01680197116112,31.078104108102345,30.476079689246365
SI,2025-07-11,88.2,-4.31,3.79,"Bruján, Vidal",660644,664123,double,hit_into_play,,,,,5.0,Vidal Bruján doubles (3) on a line drive to right fielder Aaron Judge.,R,L,R,NYY,CHC,X,9,line_drive,2,0,2025,-1.4,-0.5,0.13,2.14,,,,0,9,Top,215.0,108.0,,,,,13.539352702902477,-127.6756171950374,3.165022667204044,-18.12041457559404,26.80219863255886,-38.65395713637429,3.27,1.51,240.0,91.0,17.0,87.1,2218.0,5.9,777153,641555,502671,665862,672724,683011,691176,641355,592450,54.59,0.786,0.709,1.25,1.0,1,1,4.0,73,3,Sinker,11,0,0,11,0,11,0,11,Standard,Standard,278.0,0.0,0.599,,,0.887,-0.599,91.0,11,-11,0.999,0.001,31,27,32,27,1,0,3.0,3.0,1.0,2.0,3.47,1.4,-1.4,-8.4,,,,,
SI,2025-07-06,98.5,-1.42,5.8,"Bruján, Vidal",660644,676617,field_out,hit_into_play,,,,,3.0,Vidal Bruján flies out to center fielder Victor Scott II.,R,L,R,CHC,STL,X,8,fly_ball,2,1,2025,-1.19,0.61,0.74,2.81,,,,0,7,Bot,135.59,60.92,,,,,8.728264799252477,-143.33743467218636,-4.185038320527257,-18.365288674147124,29.48651901306732,-22.91995791308048,3.27,1.51,343.0,92.9,32.0,100.0,2234.0,6.9,777219,686780,676475,665877,695336,691026,663457,687363,641658,53.62,0.143,0.258,0.0,1.0,0,0,3.0,64,4,Sinker,11,0,11,0,0,11,11,0,Infield shade,Standard,225.0,0.0,-0.305,67.6,6.3,0.483,0.305,92.9,11,11,0.999,0.999,30,27,30,27,1,0,4.0,7.0,5.0,2.0,1.71,1.19,-1.19,34.2,8.542369819073947,4.206866392707297,28.943921449139136,31.663135830721824,28.401564629452963
FF,2025-06-23,97.6,-1.4,5.63,"Bruján, Vidal",660644,682610,field_out,hit_into_play,,,,,5.0,Vidal Bruján lines out to center fielder Victor Scott II.,R,L,R,STL,CHC,X,8,line_drive,2,2,2025,-0.62,1.29,-0.28,2.54,,,608348.0,1,9,Top,133.19,56.58,,,,,4.44339731334948,-141.98263563069304,-5.754400918153077,-9.438296743788712,32.52222043904542,-13.547678344898952,3.24,1.51,353.0,96.3,22.0,97.3,2540.0,6.2,777392,686780,575929,680977,571448,691026,663457,687363,676475,54.35,0.217,0.249,0.0,1.0,0,0,3.0,69,7,4-Seam Fastball,8,2,2,8,2,8,2,8,Infield shade,Standard,224.0,0.001,-0.223,63.2,6.7,0.409,0.223,96.3,6,-6,0.998,0.002,25,27,25,27,1,0,22.0,1.0,41.0,6.0,1.1,0.62,-0.62,33.8,7.1876209309476105,3.5118587391252447,28.51345914762692,41.27537021817792,27.706283400085702
FF,2025-06-22,94.8,-1.19,5.62,"Bruján, Vidal",660644,669302,field_out,hit_into_play,,,,,3.0,Vidal Bruján flies out to center fielder Julio Rodríguez.,R,L,R,CHC,SEA,X,8,fly_ball,1,1,2025,-0.78,1.13,0.29,2.8,,,,0,3,Bot,160.39,53.87,,,,,5.7364575005634375,-138.0368999227055,-4.359843603156661,-11.279670174301074,29.020944695268877,-16.990417921688493,3.27,1.52,368.0,90.3,36.0,97.1,2018.0,7.4,777403,641598,456781,593871,670156,641487,668227,677594,686527,53.07,0.031,0.051,0.0,1.0,0,0,3.0,23,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,217.0,-0.026,-0.251,70.5,7.0,0.091,0.251,90.3,-2,-2,0.317,0.317,28,27,28,27,1,0,6.0,1.0,5.0,1.0,1.4,0.78,-0.78,31.4,9.484498140589771,-0.4008911268868936,28.79268132289371,37.92023646838116,31.646183096705464
FF,2025-06-11,96.3,-1.99,6.16,"Bruján, Vidal",660644,675650,field_out,hit_into_play,,,,,1.0,Vidal Bruján flies out to left fielder Max Kepler.,R,L,R,PHI,CHC,X,7,fly_ball,1,1,2025,-0.98,1.31,-0.32,2.74,,,807713.0,2,9,Top,46.04,108.66,,,,,6.649769218659914,-140.04348538422738,-6.503937247728977,-14.393015116129488,28.85541966233431,-13.633131493225616,3.27,1.51,298.0,88.6,30.0,96.5,2536.0,6.2,777553,592663,805249,681082,664761,607208,596146,679032,592206,54.26,0.069,0.091,0.0,1.0,0,0,3.0,72,3,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,217.0,0.001,-0.256,68.0,6.0,0.149,0.256,88.6,5,-5,0.999,0.001,26,27,26,27,1,3,,3.0,6.0,10.0,1.13,0.98,-0.98,38.5,-1.909698587833239,18.01416459558297,30.913928251936465,40.12212179056041,21.194694891423996
FF,2025-06-11,93.9,-0.56,5.95,"Bruján, Vidal",660644,676661,field_out,hit_into_play,,,,,5.0,Vidal Bruján lines out to center fielder Johan Rojas.,R,L,R,PHI,CHC,X,8,line_drive,3,2,2025,0.12,1.09,-0.04,2.48,,,663538.0,2,7,Top,109.58,52.44,,,,,1.0805676760588094,-136.72757137113553,-5.785176525480045,1.335589150271524,28.90394962284496,-17.418640997954945,3.27,1.51,365.0,97.3,23.0,95.1,2263.0,6.8,777553,592663,805249,681082,664761,607208,596146,679032,592206,53.66,0.3,0.405,0.0,1.0,0,0,5.0,56,6,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,186.0,0.006,-0.294,75.1,6.7,0.655,0.294,97.3,5,-5,0.982,0.018,26,27,26,27,1,2,6.0,3.0,4.0,10.0,1.48,-0.12,0.12,53.4,4.6592789632341525,7.158007488964113,29.52722696851613,38.599337642803405,27.948116393462417
FF,2025-06-08,96.5,-2.67,5.43,"Bruján, Vidal",660644,669724,field_out,hit_into_play,,,,,9.0,Vidal Bruján flies out to left fielder Riley Greene in foul territory.,R,L,R,DET,CHC,X,7,fly_ball,1,1,2025,-1.17,1.09,0.31,1.7,,683737.0,621020.0,1,7,Top,47.11,128.76,,,,,10.53504007719294,-140.05873117295164,-6.804811701373365,-17.729727712029437,30.402590497792183,-16.412227697610543,3.26,1.52,262.0,81.7,49.0,96.2,2082.0,6.2,777594,693307,679529,650402,656716,595879,682985,678009,681481,54.33,0.029,0.034,0.0,1.0,0,0,3.0,53,3,4-Seam Fastball,4,0,0,4,0,4,0,4,Infield shade,Standard,238.0,0.033,-0.229,67.7,7.3,0.048,0.229,88.0,4,-4,0.917,0.083,27,27,27,27,1,0,3.0,7.0,3.0,3.0,1.36,1.17,-1.17,33.5,2.343757587796639,-0.6768074759616108,41.18373121889396,35.898308724676085,29.124869578071557
