pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-04-12,89.4,2.88,5.52,"Bryant, Kris",592178,606996,field_out,hit_into_play,,,,,6.0,Kris Bryant lines out sharply to right fielder Fernando Tatis Jr.,R,R,L,SD,COL,X,9,line_drive,0,0,2025,1.01,1.36,0.52,2.84,,571657.0,,2,4,Top,189.77,100.73,,,,,-7.943755733984757,-129.93022513596028,-3.4537309946144195,13.109496607053009,28.24690971777055,-16.200869695968475,3.46,1.72,291.0,100.7,19.0,89.5,2183.0,6.5,778352,455117,650333,578428,592518,593428,518792,663604,665487,54.02,0.363,0.431,0.0,1.0,0,0,5.0,24,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,130.0,0.041,-0.29,72.2,7.3,0.665,0.29,100.7,1,-1,0.649,0.351,32,33,33,33,2,1,6.0,1.0,6.0,,1.5,1.01,-1.01,32.3,7.170756582133013,17.187233114759078,32.020169106262934,42.58208717966062,18.733881629985277
FF,2025-04-12,91.4,2.54,5.51,"Bryant, Kris",592178,606996,field_out,hit_into_play,,,,,4.0,Kris Bryant lines out to left fielder Jason Heyward.,R,R,L,SD,COL,X,7,line_drive,2,2,2025,0.77,1.23,-0.72,2.29,,,,0,2,Top,74.15,76.88,,,,,-9.855462376524848,-132.62044567529264,-4.850904540099451,11.26718329487682,29.253674027357487,-16.808062885219986,3.46,1.72,328.0,97.6,21.0,91.3,2161.0,6.4,778352,455117,650333,578428,592518,593428,518792,663604,665487,54.06,0.346,0.437,0.0,1.0,0,0,5.0,8,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,135.0,0.024,-0.232,73.4,7.3,0.695,0.232,97.6,1,-1,0.608,0.392,32,33,33,33,1,0,6.0,1.0,6.0,,1.52,0.77,-0.77,33.7,7.436997401957769,-0.0632387990113603,42.32485943550868,28.112126995312423,31.31416269595618
FF,2025-04-12,99.1,-0.97,6.22,"Bryant, Kris",592178,663158,field_out,hit_into_play,,,,,6.0,Kris Bryant flies out sharply to right fielder Fernando Tatis Jr.,R,R,R,SD,COL,X,9,fly_ball,0,0,2025,-0.65,1.72,0.62,2.68,,691728.0,571657.0,2,9,Top,214.43,89.56,,,,,5.925737792293623,-143.99723923984072,-8.267985972523128,-10.493912744884591,37.04202610005749,-6.557863376637803,3.46,1.72,346.0,102.9,24.0,99.5,2544.0,6.8,778352,455117,650333,578428,592518,593428,518792,663604,665487,53.66,0.774,1.339,0.0,1.0,0,0,6.0,61,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,205.0,0.073,-0.282,71.8,7.5,2.461,0.282,102.9,2,-2,0.927,0.073,34,33,34,33,1,3,3.0,1.0,3.0,,0.63,0.65,0.65,46.6,7.97523043617223,18.318267228349782,31.84879474643199,44.77541999094733,20.132695158976965
FC,2025-04-11,89.1,-0.98,6.79,"Bryant, Kris",592178,601713,field_out,hit_into_play,,,,,3.0,Kris Bryant lines out to left fielder Jason Heyward.,R,R,R,SD,COL,X,7,line_drive,3,1,2025,0.82,0.63,0.64,2.97,,,,0,2,Top,74.39,92.74,,,,,2.273307342113281,-129.71636871236987,-4.725221222955128,8.839693119161222,26.415428474649204,-24.26509001166276,3.47,1.72,293.0,96.9,20.0,89.9,2590.0,6.7,778361,553869,650333,578428,592518,593428,518792,663604,665487,53.83,0.286,0.346,0.0,1.0,0,0,4.0,8,5,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,142.0,0.023,-0.439,76.1,7.9,0.552,0.439,96.9,0,0,0.5,0.5,32,33,32,33,1,0,6.0,1.0,5.0,1.0,2.23,-0.82,-0.82,56.6,18.04144573241825,-3.2512533725017216,32.042161890537905,43.06232992148213,35.11960038403334
SI,2025-04-09,88.7,1.48,5.5,"Bryant, Kris",592178,641302,double,hit_into_play,,,,,1.0,Kris Bryant doubles (2) on a line drive to left fielder Jackson Chourio.,R,R,L,COL,MIL,X,7,line_drive,0,1,2025,0.99,0.5,-0.63,2.95,,,,0,4,Bot,22.47,106.55,,,,,-7.209709313743145,-129.1462999096152,-1.328830844614759,12.48948650394899,22.116481977945725,-26.4399642202121,3.48,1.73,280.0,98.6,19.0,89.1,1812.0,6.1,778379,661388,656555,668930,686554,687401,694192,669003,686217,54.41,0.314,0.382,1.25,1.0,1,1,4.0,33,2,Sinker,1,5,1,5,5,1,1,5,Standard,Strategic,132.0,0.048,0.756,76.4,7.8,0.601,-0.756,98.6,-4,-4,0.133,0.133,30,33,31,33,2,1,5.0,1.0,5.0,1.0,2.35,0.99,-0.99,32.5,15.076131433287967,-13.146996486646648,36.84288787652821,29.3913651435182,36.70111732193668
FF,2025-04-09,89.2,1.42,5.63,"Bryant, Kris",592178,641302,field_out,hit_into_play,,,,,6.0,Kris Bryant flies out to center fielder Garrett Mitchell.,R,R,L,COL,MIL,X,8,fly_ball,3,2,2025,0.56,1.05,0.45,2.85,,,571657.0,0,2,Bot,120.23,57.25,,,,,-3.5638058191953768,-130.04705573369753,-3.104002179806583,7.104718539315134,23.70940359995175,-19.757126099331167,3.48,1.73,352.0,89.5,29.0,89.8,1782.0,6.3,778379,661388,656555,668930,686554,687401,694192,669003,686217,54.25,0.066,0.081,0.0,1.0,0,0,3.0,13,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,139.0,-0.035,-0.314,72.3,7.7,0.125,0.314,89.5,0,0,0.588,0.588,30,33,31,33,1,0,5.0,1.0,5.0,1.0,1.77,0.56,-0.56,36.8,13.414459658581263,7.909011696313865,32.81052678280158,41.35462859432585,26.0099442606334
FF,2025-04-06,89.8,-2.25,5.86,"Bryant, Kris",592178,683155,double,hit_into_play,,,,,4.0,Kris Bryant doubles (1) on a sharp fly ball to left fielder Miguel Andujar.,R,R,R,COL,ATH,X,7,fly_ball,1,0,2025,-0.64,1.23,-0.56,2.43,,,,0,3,Bot,55.4,58.23,,,,,5.516456773129786,-130.6260614154683,-5.081205484127639,-8.548677979943987,28.148397077680357,-17.171054137226932,3.43,1.7,387.0,101.1,24.0,89.4,2253.0,6.1,778423,640902,691016,691777,570482,805779,609280,668709,671732,54.41,0.577,0.875,1.25,1.0,1,1,6.0,26,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,199.0,0.03,0.676,82.6,8.0,1.544,-0.676,101.1,3,3,0.848,0.848,23,33,24,33,2,1,6.0,1.0,140.0,2.0,1.6,0.64,0.64,37.1,14.65095154920167,-8.874885202071015,39.57240212986392,30.75747252690094,33.65809600066914
ST,2025-04-06,76.8,-2.38,5.7,"Bryant, Kris",592178,683155,single,hit_into_play,,,,,14.0,Kris Bryant singles on a line drive to left fielder Miguel Andujar. Ezequiel Tovar scores.,R,R,R,COL,ATH,X,7,line_drive,1,1,2025,1.2,0.39,0.85,2.37,,678662.0,,2,1,Bot,81.89,107.09,,,,,4.64969627663178,-111.85820140263732,-0.7909901403171256,9.254951818598476,19.72178516698918,-28.96789093119232,3.43,1.7,257.0,92.6,17.0,76.6,2618.0,6.0,778423,640902,691016,691777,570482,805779,609280,668709,671732,54.48,0.689,0.664,0.9,1.0,1,0,4.0,10,3,Sweeper,1,2,1,2,2,2,2,2,Standard,Standard,66.0,0.096,0.698,65.2,8.3,0.865,-0.698,92.6,-1,-1,0.426,0.426,23,33,24,33,1,0,6.0,1.0,140.0,2.0,3.46,-1.2,-1.2,38.2,22.755518429170287,-6.731535951615632,31.40959917916839,46.4195335399309,36.75816783500109
FC,2025-04-06,91.8,-2.42,6.07,"Bryant, Kris",592178,687765,field_out,hit_into_play,,,,,5.0,Kris Bryant flies out to right fielder Lawrence Butler.,R,R,R,COL,ATH,X,9,fly_ball,1,0,2025,0.42,0.42,-0.08,2.6,,,641857.0,2,4,Bot,169.62,133.04,,,,,5.0163788342889335,-133.82785191515782,-3.9411429712293673,4.187325562145612,23.83081735043409,-26.490472072535404,3.43,1.7,199.0,94.6,60.0,92.3,2636.0,6.1,778423,640902,691016,691777,570482,805779,609280,668709,671732,54.38,0.017,0.019,0.0,1.0,0,0,3.0,41,2,Cutter,7,3,7,3,3,7,7,3,Standard,Standard,187.0,-0.007,-0.306,71.7,8.2,0.029,0.306,94.6,4,4,0.912,0.912,27,33,27,33,1,2,4.0,1.0,5.0,2.0,2.23,-0.42,-0.42,46.1,18.698420127019823,-8.087328782316632,37.67063646035003,37.27009089506503,33.70851208733217
FF,2025-04-05,91.8,1.2,5.14,"Bryant, Kris",592178,676664,field_out,hit_into_play,,,,,8.0,Kris Bryant lines out to center fielder JJ Bleday.,R,R,L,COL,ATH,X,8,line_drive,1,0,2025,0.95,1.0,0.04,1.72,,,,0,2,Bot,93.16,63.88,,,,,-5.028040706530477,-133.62462550229785,-4.983428390546491,12.476189774571,27.98353030097008,-19.35639304715743,3.34,1.69,344.0,98.1,23.0,92.1,2019.0,6.4,778442,669127,691016,649966,680474,805779,664913,668709,671732,54.11,0.331,0.449,0.0,1.0,0,0,5.0,11,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,135.0,-0.023,-0.301,74.0,8.1,0.762,0.301,98.1,0,0,0.55,0.55,29,33,29,33,1,0,6.0,3.0,6.0,1.0,1.7,0.95,-0.95,30.3,13.088936353938395,-1.7362910123897977,45.11600572784211,37.15616605333798,35.77943678366759
