pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-28,91.5,0.64,6.09,"Call, Alex",669743,664285,field_out,hit_into_play,,,,,9.0,Alex Call lines out sharply to right fielder Taylor Trammell.,R,R,L,HOU,WSH,X,9,line_drive,2,1,2025,1.47,0.18,0.32,1.88,,,,1,1,Top,183.34,80.56,,,,,-3.9895815262690975,-132.99005103899142,-4.9749896594605865,18.262734875217788,33.85565760995597,-29.09434612705057,3.48,1.75,326.0,100.4,21.0,90.4,1828.0,6.1,776969,673237,572233,694728,643289,670097,514888,689200,666211,54.37,0.38,0.491,0.0,1.0,0,0,5.0,2,4,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,127.0,0.015,-0.298,70.6,7.1,0.796,0.298,100.4,0,0,0.522,0.478,31,30,32,31,1,0,6.0,1.0,6.0,4.0,2.6,1.47,-1.47,40.2,8.388948686246453,8.509350935546516,37.13826137601454,38.78983858562568,28.246523231737783
KC,2025-07-27,86.3,-2.24,5.97,"Call, Alex",669743,661395,single,hit_into_play,,,,,6.0,Alex Call singles on a line drive to center fielder Harrison Bader. Nathaniel Lowe to 2nd.,R,R,R,MIN,WSH,X,8,line_drive,1,2,2025,0.24,-0.76,0.36,2.33,,,663993.0,2,9,Top,125.47,81.98,,,,,5.687718264991729,-125.75070647697116,-1.0125774787875657,1.6301743876419774,21.08727480612098,-40.312237090795726,3.48,1.76,252.0,98.9,15.0,86.7,2648.0,6.1,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.42,0.734,0.723,0.9,1.0,1,0,4.0,72,4,Knuckle Curve,2,7,7,2,7,2,7,2,Standard,Standard,46.0,0.0,0.434,67.3,6.2,0.956,-0.434,98.9,-5,5,0.006,0.994,27,30,27,31,1,4,2.0,1.0,1.0,1.0,3.77,-0.24,-0.24,31.7,10.972199001206594,6.281423289371975,28.26370585364648,40.03238973819898,32.24650982258409
FS,2025-07-26,87.3,-2.59,4.8,"Call, Alex",669743,657746,single,hit_into_play,,,,,13.0,Alex Call singles on a line drive to left fielder Harrison Bader. Drew Millas scores.,R,R,R,MIN,WSH,X,7,line_drive,2,2,2025,-0.87,0.37,-0.04,1.33,,686452.0,,0,3,Top,97.77,115.59,,,,,7.942482086529851,-126.91097228129968,-2.997843066513219,-10.995308116109689,24.809306175116376,-27.74739133333393,3.5,1.76,202.0,97.3,12.0,87.7,2029.0,6.5,776997,543877,664034,686797,668904,621043,664056,621439,650489,53.98,0.966,0.917,0.9,1.0,1,0,4.0,15,6,Split-Finger,0,0,0,0,1,0,1,0,Standard,Standard,243.0,-0.082,0.576,72.4,7.1,1.137,-0.576,97.3,0,0,0.431,0.569,29,30,29,31,1,0,6.0,3.0,6.0,1.0,2.61,0.87,0.87,24.8,11.166733004835688,2.7612418743092157,41.90335813051692,35.71091701378097,34.27010672137018
CH,2025-07-23,88.2,3.6,5.5,"Call, Alex",669743,666157,field_out,hit_into_play,,,,,9.0,Alex Call lines out to right fielder Jake Fraley.,R,R,L,WSH,CIN,X,9,line_drive,0,1,2025,1.22,0.48,0.38,2.04,,,,2,7,Bot,196.69,116.55,,,,,-10.34435951810404,-128.10335830344317,-3.331116754979826,15.521318576359413,25.095649428146704,-26.378391912846112,3.49,1.77,270.0,86.2,22.0,88.3,1689.0,6.4,777026,624431,669289,680574,682622,682829,666181,670770,641584,54.13,0.314,0.283,0.0,1.0,0,0,3.0,52,2,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,99.0,-0.023,-0.217,69.7,7.1,0.368,0.217,88.0,-1,-1,0.27,0.27,27,30,27,31,3,2,5.0,3.0,6.0,3.0,2.45,1.22,-1.22,18.0,3.1531182328622096,20.313536260189903,32.81034966462739,39.63575771595362,21.59801305488594
FF,2025-07-23,94.5,3.57,5.51,"Call, Alex",669743,666157,field_out,hit_into_play,,,,,2.0,Alex Call flies out to right fielder Jake Fraley.,R,R,L,WSH,CIN,X,9,fly_ball,1,2,2025,1.34,0.81,0.06,2.96,,,,1,2,Bot,173.83,127.28,,,,,-12.097031911708648,-137.05959666374116,-2.715601773709067,19.610817775161205,30.95770752186451,-21.571411240352184,3.49,1.77,217.0,85.5,54.0,94.1,2255.0,6.3,777026,624431,669289,666158,682622,682829,666181,670770,641584,54.19,0.026,0.033,0.0,1.0,0,0,3.0,11,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,114.0,-0.016,-0.18,59.6,6.1,0.044,0.18,88.0,0,0,0.527,0.527,27,30,27,31,1,0,5.0,3.0,6.0,3.0,1.77,1.34,-1.34,14.1,12.55480910028455,7.880894398885118,33.11576129423386,35.45677404232041,29.317847593284664
FF,2025-07-20,86.9,-2.13,3.84,"Call, Alex",669743,689690,field_out,hit_into_play,,,,,6.0,Alex Call flies out to right fielder Bryce Johnson.,R,R,R,WSH,SD,X,9,fly_ball,1,2,2025,-1.34,0.85,0.65,2.61,,671277.0,,2,8,Bot,210.01,86.17,,,,,9.63631103284438,-126.3898146794122,1.46918593723322,-16.14801592984679,20.873966255036407,-23.42710711588503,3.49,1.76,346.0,94.6,31.0,89.7,2370.0,7.6,777077,553869,650333,630105,592518,578428,657757,642180,669369,52.91,0.137,0.232,0.0,1.0,0,0,5.0,73,4,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,242.0,-0.001,-0.208,61.0,6.2,0.459,0.208,94.6,-7,-7,0.002,0.002,27,30,27,31,1,3,57.0,7.0,38.0,3.0,2.13,1.34,1.34,1.5,5.52729987309058,9.072907448131476,30.20636104318559,41.55831222182131,27.77443118705559
FS,2025-07-20,86.8,-2.21,6.34,"Call, Alex",669743,663773,field_out,hit_into_play,,,,,14.0,Alex Call lines out to center fielder Tyler Wade.,R,R,R,WSH,SD,X,8,line_drive,0,2,2025,-0.89,0.22,0.17,1.41,,,,0,7,Bot,108.19,82.46,,,,,7.493986645909173,-126.3134323457779,-6.169911050130859,-10.850500226812288,20.44017099065784,-28.95631970939358,3.49,1.76,294.0,79.9,29.0,87.4,1203.0,6.2,777077,553869,650333,630105,592518,578428,657757,642180,669369,54.26,0.143,0.174,0.0,1.0,0,0,3.0,60,3,Split-Finger,1,8,1,8,8,1,1,8,Standard,Standard,243.0,-0.003,-0.165,55.1,7.4,0.247,0.165,88.0,-7,-7,0.009,0.009,28,30,29,31,1,2,8.0,7.0,,3.0,2.76,0.89,0.89,35.0,12.290548526696874,-7.743667958957513,42.53978469081633,37.29000232585995,33.56895574759973
FF,2025-07-13,94.7,-3.25,5.35,"Call, Alex",669743,642547,field_out,hit_into_play,,,,,6.0,Alex Call flies out to right fielder Isaac Collins.,R,R,R,MIL,WSH,X,9,fly_ball,1,2,2025,-0.14,1.51,0.4,2.78,,,,2,3,Top,159.12,111.12,,,,,9.936499604233244,-137.43605194605232,-4.410629788569559,-4.103157908806411,32.16211734256943,-12.217612793043765,3.48,1.75,236.0,91.6,52.0,95.3,2444.0,6.9,777123,606992,641343,668930,678011,655316,592885,694192,686555,53.6,0.003,0.003,0.0,1.0,0,0,3.0,21,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,204.0,0.009,-0.182,66.3,6.7,0.003,0.182,91.6,3,-3,0.839,0.161,29,30,29,31,2,1,6.0,1.0,6.0,7.0,1.05,0.14,0.14,43.5,15.538384484817149,0.4274873299852392,27.768310840009374,40.55536046585538,32.1663991168034
FF,2025-07-09,92.7,-1.81,6.06,"Call, Alex",669743,669467,field_out,hit_into_play,,,,,2.0,Alex Call lines out to right fielder Alec Burleson.,R,R,R,STL,WSH,X,9,line_drive,3,2,2025,0.07,0.87,0.1,3.18,,,,2,5,Top,125.97,191.53,,,,,4.744285678742445,-134.9822268266803,-3.542735994466087,-0.1031112538987797,27.30270892442364,-20.93811617870564,3.47,1.74,289.0,94.9,20.0,93.4,2397.0,6.5,777178,686780,575929,680977,571448,691026,663457,687363,676475,54.01,0.309,0.335,0.0,1.0,0,0,4.0,41,9,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,182.0,0.001,-0.328,63.1,5.8,0.512,0.328,94.9,-6,6,0.038,0.962,26,30,27,31,3,2,8.0,3.0,9.0,2.0,1.76,-0.07,-0.07,53.7,5.5159300871217285,12.733174425843458,28.887267152564423,36.892518029601526,24.13155093737388
SL,2025-07-09,87.1,-1.77,6.0,"Call, Alex",669743,669467,field_out,hit_into_play,,,,,5.0,Alex Call flies out to right fielder Alec Burleson.,R,R,R,STL,WSH,X,9,fly_ball,1,2,2025,0.23,-0.2,-0.04,2.7,,,,2,1,Top,166.68,98.61,,,,,3.7241032552297946,-126.9219516144455,-1.4327764716586078,1.8583046957386935,23.318676578819066,-34.27212058721449,3.47,1.74,270.0,84.7,46.0,88.2,2364.0,6.6,777178,686780,575929,680977,571448,691026,663457,687363,676475,53.86,0.014,0.021,0.0,1.0,0,0,3.0,6,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,100.0,0.006,-0.182,68.1,6.5,0.032,0.182,88.0,-3,3,0.249,0.751,26,30,27,31,1,0,8.0,3.0,9.0,2.0,3.17,-0.23,-0.23,55.8,9.299997350908203,5.439202183025713,32.98032388682826,35.51693606530739,31.162893404320727
