pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-04-27,89.7,-2.38,6.19,"Candelario, Jeimer",600869,687134,field_out,hit_into_play,,,,,7.0,Jeimer Candelario lines out to right fielder Sean Bouchard.,R,L,R,COL,CIN,X,9,line_drive,3,2,2025,-0.79,0.92,-0.63,2.13,682622.0,641584.0,,2,1,Top,187.53,92.5,,,,,6.023318762703033,-130.61047063538166,-6.167586580485892,-10.15643581962493,20.84321391506645,-20.63941040770669,3.37,1.67,304.0,87.3,26.0,91.1,1752.0,6.6,778148,607732,669911,680911,571657,676701,687597,686668,656248,53.95,0.106,0.137,0.0,1.0,0,0,3.0,8,7,Split-Finger,0,3,3,0,3,0,3,0,Standard,Standard,222.0,0.034,-0.259,72.9,8.6,0.212,0.259,88.0,-3,3,0.221,0.779,24,31,25,32,1,0,22.0,4.0,6.0,,1.86,0.79,-0.79,53.0,21.40430065347814,-13.088122114960328,33.49454296849176,43.76713202246675,38.93533838044072
SI,2025-04-22,96.3,-1.64,5.77,"Candelario, Jeimer",600869,665795,field_out,hit_into_play,,,,,9.0,Jeimer Candelario flies out to right fielder Jesús Sánchez.,R,L,R,MIA,CIN,X,9,fly_ball,2,0,2025,-1.48,0.92,0.31,1.96,,,666158.0,2,4,Top,215.95,95.95,,,,,8.64918676499672,-139.86168022250965,-6.658300572941815,-21.411598135616284,33.441368667998326,-18.73970073386718,3.37,1.65,335.0,96.4,39.0,97.1,2211.0,7.0,778219,682663,670223,672640,681393,669364,669065,667472,660821,53.5,0.077,0.148,0.0,1.0,0,0,3.0,28,3,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,225.0,0.028,-0.353,77.4,8.7,0.283,0.353,96.4,0,0,0.531,0.469,27,31,27,32,2,1,5.0,3.0,6.0,1.0,1.56,1.48,-1.48,32.8,21.675058989756327,-13.84445442558482,38.989375750029424,32.674041319836505,36.82777352670551
SI,2025-04-22,96.9,-1.74,5.69,"Candelario, Jeimer",600869,669622,field_out,hit_into_play,,,,,8.0,Jeimer Candelario flies out to left fielder Kyle Stowers.,R,L,R,MIA,CIN,X,7,fly_ball,0,1,2025,-1.64,0.51,-0.19,1.91,,,666158.0,1,8,Top,57.81,65.52,,,,,7.816083017959222,-140.69993634004078,-5.547593873946259,-23.535576176302065,38.06384356966514,-24.216479405346693,3.37,1.65,370.0,99.5,27.0,95.3,2306.0,5.9,778219,682663,670223,672640,681393,669364,669065,667472,660821,54.6,0.563,0.965,0.0,1.0,0,0,6.0,64,2,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,235.0,0.068,-0.216,70.4,7.5,1.781,0.216,99.5,1,-1,0.745,0.255,30,31,30,32,1,3,2.0,3.0,6.0,1.0,1.97,1.64,-1.64,22.7,4.182704656462611,13.306029820352826,39.17387737785669,39.65517435255285,23.931676933903628
SL,2025-04-22,87.0,2.03,6.04,"Candelario, Jeimer",600869,685107,sac_fly,hit_into_play,,,,,8.0,Jeimer Candelario out on a sacrifice fly to left fielder Kyle Stowers. Elly De La Cruz scores.,R,R,L,MIA,CIN,X,7,fly_ball,2,0,2025,-0.21,0.28,0.15,2.08,682829.0,669720.0,,1,6,Top,92.35,81.64,,,,,-4.0526676184143815,-126.63010079820612,-3.803420381715872,-1.3105306824198868,28.647522648749863,-28.601490163585645,3.37,1.65,303.0,99.2,47.0,85.9,2284.0,5.8,778219,682663,670223,672640,681393,669364,669065,667472,660821,54.68,0.02,0.034,0.0,1.0,0,0,3.0,43,3,Slider,1,2,2,1,3,1,3,1,Strategic,Standard,158.0,-0.019,-0.237,66.9,8.3,0.059,0.237,99.2,-1,1,0.24,0.76,27,31,28,32,1,2,4.0,3.0,1.0,1.0,2.76,-0.21,0.21,36.6,8.662797617420885,-14.084025286982568,35.71996796842824,40.87355758207195,34.883240775540635
SL,2025-04-19,85.1,2.26,5.77,"Candelario, Jeimer",600869,669211,double,hit_into_play,,,,,7.0,Jeimer Candelario doubles (2) on a sharp line drive to left fielder Ramón Laureano. Jake Fraley to 3rd.,R,R,L,BAL,CIN,X,7,line_drive,0,0,2025,-0.38,0.31,-0.35,2.03,,,641584.0,0,6,Top,41.96,120.3,,,,,-5.301395777350114,-123.93500776763588,-3.126745844220977,-2.984614088504582,22.7492086844302,-28.524123020011107,3.37,1.62,283.0,101.3,18.0,84.8,2609.0,5.8,778262,668939,656811,702616,602104,683002,657656,656775,641933,54.65,0.434,0.507,1.25,1.0,1,1,5.0,51,1,Slider,5,3,3,5,3,5,3,5,Standard,Standard,248.0,-0.153,0.731,73.8,8.3,0.77,-0.731,101.3,2,-2,0.735,0.265,30,31,30,32,1,2,2.0,1.0,3.0,3.0,2.81,-0.38,0.38,34.5,16.98703533567349,-14.210269018279872,35.4941893868641,34.117034512644324,32.41241163080669
FS,2025-04-18,85.7,-1.95,6.04,"Candelario, Jeimer",600869,656240,field_out,hit_into_play,,,,,1.0,Jeimer Candelario flies out to left fielder Heston Kjerstad.,R,L,R,BAL,CIN,X,7,fly_ball,1,0,2025,-0.73,1.15,-0.6,3.01,,669289.0,669720.0,2,6,Top,51.29,119.91,,,,,4.706778606030035,-124.78566658804672,-3.235318452262603,-8.572737372362417,25.02245724700133,-19.753117799456103,3.37,1.62,269.0,94.5,53.0,86.7,1079.0,6.9,778276,596142,663624,622761,676059,683002,677008,656775,641933,53.61,0.003,0.003,0.0,1.0,0,0,3.0,51,2,Split-Finger,1,8,8,1,8,1,8,1,Standard,Standard,230.0,0.002,-0.306,73.3,7.7,0.003,0.306,94.5,-7,7,0.013,0.987,29,31,29,32,2,3,3.0,1.0,4.0,1.0,1.95,0.73,-0.73,44.4,13.551963971798996,1.575581205956818,27.751290228978064,44.21847641230083,23.77199379088192
SL,2025-04-18,83.6,-1.88,6.25,"Candelario, Jeimer",600869,656240,field_out,hit_into_play,,,,,11.0,Jeimer Candelario flies out to left fielder Heston Kjerstad in foul territory.,R,L,R,BAL,CIN,X,7,fly_ball,1,1,2025,0.23,0.28,-0.85,2.84,,,,0,5,Top,33.04,115.68,,,,,1.9454470799902432,-121.75342359494742,-2.034344487564837,1.9083205744702976,22.817936338970064,-29.175375347650657,3.37,1.62,306.0,93.3,39.0,84.9,2126.0,7.0,778276,596142,663624,622761,676059,683002,677008,656775,641933,53.54,0.04,0.072,0.0,1.0,0,0,3.0,38,3,Slider,1,7,7,1,7,1,7,1,Standard,Standard,89.0,0.003,-0.251,77.3,7.6,0.13,0.251,93.3,-6,6,0.033,0.967,29,31,29,32,1,2,3.0,1.0,4.0,1.0,2.96,-0.23,0.23,50.7,6.5055333308286185,11.066072088965145,26.64107811749536,45.39086681878649,20.43269241202538
CH,2025-04-15,86.2,-2.24,4.48,"Candelario, Jeimer",600869,668984,field_out,hit_into_play,,,,,7.0,Jeimer Candelario flies out to left fielder Randy Arozarena.,R,L,R,CIN,SEA,X,7,fly_ball,1,1,2025,-1.22,0.2,-0.42,1.69,,,694362.0,2,7,Bot,52.68,120.93,,,,,6.884664627393158,-125.35428441791775,-0.7792690539169841,-14.263990377030511,25.352342293108794,-30.138005991329944,3.39,1.6,265.0,89.9,48.0,87.0,1551.0,6.8,778316,641598,456781,660844,810938,641487,668227,677594,664238,53.68,0.006,0.009,0.0,1.0,0,0,3.0,66,3,Changeup,6,4,6,4,4,6,6,4,Infield shade,Standard,246.0,-0.011,-0.256,70.4,7.9,0.013,0.256,89.9,2,2,0.881,0.881,28,31,28,32,1,3,,2.0,2.0,2.0,2.87,1.22,-1.22,13.5,6.737936000510156,4.526840414706248,36.16211079878956,42.89155916964887,26.98210941663301
FC,2025-04-13,88.2,1.61,6.16,"Candelario, Jeimer",600869,666214,field_out,hit_into_play,,,,,5.0,Jeimer Candelario flies out to left fielder Adam Frazier.,R,R,L,CIN,PIT,X,7,fly_ball,3,2,2025,-0.09,0.4,0.22,2.41,669289.0,682829.0,666158.0,2,5,Bot,77.06,95.18,,,,,-3.215834922687442,-128.38444729924373,-3.881937723593939,-0.2790135702364582,27.988067792792545,-27.10233979544024,3.4,1.63,284.0,80.3,34.0,89.0,2556.0,6.9,778343,680779,682848,665839,643396,691907,624428,665833,672744,53.59,0.051,0.067,0.0,1.0,0,0,3.0,42,8,Cutter,4,0,4,0,0,4,4,0,Standard,Standard,196.0,-0.016,-0.301,74.6,8.5,0.094,0.301,88.0,4,4,0.942,0.942,27,31,28,32,1,2,2.0,1.0,5.0,2.0,2.54,-0.09,0.09,50.1,25.07292214336164,-23.042346130915945,32.693673729360725,39.92506309550373,47.62638543077826
FF,2025-04-07,94.2,-2.11,5.12,"Candelario, Jeimer",600869,657277,field_out,hit_into_play,,,,,2.0,Jeimer Candelario flies out to center fielder Jung Hoo Lee.,R,L,R,SF,CIN,X,8,fly_ball,2,2,2025,-0.73,0.97,0.12,2.83,,,,0,5,Top,128.47,90.38,,,,,7.521851260241595,-137.01854137016431,-2.437859693433036,-10.814595891217154,29.3953387147099,-19.636680611638894,3.38,1.6,272.0,77.6,35.0,95.4,2197.0,7.0,778410,672275,664774,666149,656305,642715,671218,808982,573262,53.54,0.069,0.062,0.0,1.0,0,0,3.0,30,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,237.0,0.03,-0.232,71.1,7.3,0.088,0.232,88.0,0,0,0.5,0.5,28,31,29,32,2,1,6.0,1.0,6.0,1.0,1.6,0.73,-0.73,27.7,10.091266253078404,8.777189376963772,34.66368526122668,32.47176927100609,24.465489255868192
