pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-07-07,83.7,0.73,6.04,"Canha, Mark",592192,650893,field_out,hit_into_play,,,,,12.0,Mark Canha flies out to left fielder Tommy Pham.,R,R,L,KC,PIT,X,7,fly_ball,0,2,2025,0.08,1.01,1.43,2.67,,,,0,8,Bot,77.34,126.11,,,,,1.4449720211731514,-121.94969221214906,-3.337605122360072,0.5246494757458454,24.621743664852374,-21.687215790897135,3.37,1.55,220.0,71.4,47.0,83.4,1022.0,6.1,777204,680779,669707,693304,663647,643396,502054,672744,668804,54.42,0.194,0.186,0.0,1.0,0,0,3.0,63,3,Split-Finger,8,2,8,2,2,8,8,2,Standard,Standard,145.0,0.0,-0.165,50.8,8.2,0.243,0.165,88.0,6,6,0.998,0.998,28,36,29,36,1,3,1.0,3.0,5.0,,2.25,0.08,-0.08,46.9,10.222912169929186,-16.779959746473313,21.762502610883097,51.801837953303725,37.0562122135057
FF,2025-07-04,91.5,-3.97,4.14,"Canha, Mark",592192,657044,field_out,hit_into_play,,,,,3.0,Mark Canha flies out to right fielder Randal Grichuk.,R,R,R,AZ,KC,X,9,fly_ball,1,2,2025,-0.6,0.7,0.34,3.45,,,,1,7,Top,208.27,114.21,,,,,12.349079249565984,-132.7488800626126,2.6912149400856684,-9.590021417991386,26.772043674373624,-24.723246057826465,3.37,1.55,291.0,87.8,40.0,92.9,2149.0,7.2,777248,645444,647304,606466,677942,672695,666971,694374,545341,53.34,0.006,0.007,0.0,1.0,0,0,3.0,60,5,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,260.0,0.001,-0.18,64.7,6.3,0.012,0.18,88.0,-6,6,0.015,0.985,33,36,33,36,1,3,5.0,5.0,59.0,3.0,2.03,0.6,0.6,0.4,8.63230410927293,16.800495763242868,16.264025002751097,37.82334465520096,24.99146844873484
SI,2025-06-18,91.3,2.58,6.13,"Canha, Mark",592192,571578,field_out,hit_into_play,,,,,2.0,Mark Canha flies out to center fielder Wyatt Langford.,R,R,L,TEX,KC,X,8,fly_ball,3,2,2025,1.22,1.05,-0.11,3.11,,521692.0,,2,3,Top,89.84,59.88,,,,,-9.441275093298026,-132.47369083071484,-3.902505456104535,16.510376868149347,31.34315232044896,-19.188789704811207,3.4,1.56,354.0,99.3,36.0,91.4,2152.0,6.7,777460,543309,669394,543760,673962,608369,664059,694671,666969,53.76,0.203,0.37,0.0,1.0,0,0,5.0,26,6,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,144.0,0.027,-0.277,71.9,6.9,0.755,0.277,99.3,-2,2,0.29,0.71,35,36,36,36,2,1,6.0,3.0,5.0,3.0,1.73,1.22,-1.22,36.5,17.166440051193053,-7.35361828286968,21.30518077702039,33.75507629302537,33.66837728470645
CH,2025-06-15,76.7,2.23,6.34,"Canha, Mark",592192,605488,field_out,hit_into_play,,,,,8.0,Mark Canha lines out to center fielder Denzel Clarke.,R,R,L,KC,ATH,X,8,line_drive,1,2,2025,0.95,0.75,0.2,1.74,,,,1,6,Bot,117.88,74.41,,,,,-5.977185868968773,-111.58190819868854,-4.120581068765498,8.956220927954464,18.50638231739852,-25.324424341453465,3.4,1.56,310.0,88.5,22.0,76.7,1406.0,6.2,777496,642851,701762,649966,691777,805779,668709,672016,671732,54.34,0.243,0.247,0.0,1.0,0,0,3.0,48,4,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,130.0,-0.024,-0.18,66.5,7.5,0.352,0.18,88.5,0,0,0.541,0.541,32,36,33,36,3,2,6.0,1.0,5.0,3.0,3.1,0.95,-0.95,50.9,9.634440929777336,0.6402789626041715,35.94902788899897,37.75411303147595,31.56530687224035
CH,2025-06-15,79.9,2.23,6.41,"Canha, Mark",592192,605488,field_out,hit_into_play,,,,,14.0,Mark Canha flies out to left fielder JJ Bleday.,R,R,L,KC,ATH,X,7,fly_ball,2,2,2025,0.87,0.88,0.75,0.92,,,,0,2,Bot,84.28,111.99,,,,,-4.863357362116094,-116.15346413656374,-6.983446471387304,8.763224372671466,21.81107522211752,-23.08006842388601,3.4,1.56,241.0,71.3,37.0,79.5,1577.0,6.1,777496,642851,701762,649966,691777,805779,668709,672016,671732,54.44,0.58,0.567,0.0,1.0,0,0,3.0,14,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,125.0,-0.023,-0.232,58.2,8.6,0.683,0.232,88.0,0,0,0.55,0.55,32,36,33,36,1,0,6.0,1.0,5.0,3.0,2.7,0.87,-0.87,49.8,17.506928517999558,-18.576975391420756,40.19398524360468,43.58910844681117,39.83737460734972
FF,2025-06-08,90.6,1.71,5.66,"Canha, Mark",592192,641302,single,hit_into_play,,,,,1.0,Mark Canha singles on a fly ball to left fielder Joshua Palacios.,R,R,L,CWS,KC,X,7,fly_ball,1,2,2025,0.92,1.29,-0.81,3.18,,,,0,7,Top,105.28,118.8,,,,,-8.237655859978206,-131.77048926191242,-3.037284627118288,12.467979488862255,26.83980002241673,-16.607244786434393,3.37,1.53,192.0,60.2,33.0,90.3,2340.0,6.1,777590,691019,671284,668942,678246,805367,641943,673357,643565,54.43,0.417,0.375,0.9,1.0,1,0,4.0,47,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,143.0,-0.059,0.508,60.3,6.1,0.422,-0.508,88.0,0,0,0.5,0.5,30,36,31,36,2,0,8.0,1.0,6.0,2.0,1.48,0.92,-0.92,35.1,3.745776354422626,3.4240171716658385,36.01493063814413,23.695065183954384,25.36642149923775
ST,2025-06-07,81.4,2.91,5.67,"Canha, Mark",592192,592155,field_out,hit_into_play,,,,,2.0,Mark Canha lines out to left fielder Andrew Benintendi.,R,R,L,CWS,KC,X,7,line_drive,3,2,2025,-1.72,-0.19,0.22,2.96,,,679845.0,1,7,Top,75.81,84.29,,,,,-2.7281661276697458,-118.53214895056998,0.9314952322411753,-15.579074014283798,24.24018019019805,-34.34500262384365,3.37,1.53,327.0,95.9,22.0,81.4,2205.0,6.4,777606,700337,671284,668942,678246,805367,643217,673357,643565,54.07,0.217,0.249,0.0,1.0,0,0,3.0,51,6,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,312.0,0.042,-0.321,67.5,7.3,0.409,0.321,95.9,2,-2,0.818,0.182,33,36,33,36,1,0,2.0,1.0,7.0,1.0,3.64,-1.72,1.72,31.8,16.498482741838977,-1.6949525793775864,28.53272812635085,37.62262770188456,35.0252912699569
FC,2025-06-05,87.6,0.42,6.54,"Canha, Mark",592192,669461,double,hit_into_play,,,,,4.0,Mark Canha doubles (3) on a line drive to left fielder Lars Nootbaar.,R,R,L,STL,KC,X,7,line_drive,1,1,2025,-0.35,0.85,-0.37,2.68,,,,0,4,Top,52.15,114.14,,,,,-1.1868967047742869,-127.63637573372664,-5.017407473388374,-3.611431428252585,23.70320475761112,-22.115336160273092,3.35,1.53,190.0,98.2,13.0,88.2,2308.0,6.4,777635,650968,575929,680977,571448,691026,663457,687363,668723,54.12,0.951,0.906,1.25,1.0,1,1,4.0,34,3,Cutter,5,5,5,5,5,5,5,5,Strategic,Standard,166.0,-0.075,0.726,71.3,8.1,1.132,-0.726,98.2,0,0,0.5,0.5,25,36,26,36,2,1,6.0,0.0,6.0,1.0,2.09,-0.35,0.35,48.7,22.515459871103307,-13.829639760223072,34.581461708622776,31.69535763446023,36.61265576742856
CH,2025-06-05,89.5,0.52,6.39,"Canha, Mark",592192,669461,field_out,hit_into_play,,,,,8.0,Mark Canha flies out sharply to right fielder Ryan Vilade.,R,R,L,STL,KC,X,9,fly_ball,0,1,2025,0.93,1.05,0.02,2.01,,,,1,2,Top,177.62,62.56,,,,,-3.192963802489776,-130.26763392780603,-7.09076164350221,11.247189634647032,25.199140220458997,-18.907334087336807,3.35,1.53,360.0,100.9,25.0,90.2,1554.0,6.5,777635,650968,575929,680977,571448,691026,663457,687363,668723,53.99,0.611,1.024,0.0,1.0,0,0,6.0,13,2,Changeup,1,2,2,1,2,1,2,1,Standard,Standard,134.0,0.015,-0.215,70.4,7.2,1.873,0.215,100.9,-1,1,0.412,0.588,25,36,26,36,1,0,6.0,0.0,6.0,1.0,1.77,0.93,-0.93,44.9,5.262732093499531,8.072202317274279,42.01638356679859,36.72372392731309,29.389839233353136
FF,2025-05-30,95.8,-1.25,6.19,"Canha, Mark",592192,689225,sac_fly,hit_into_play,,,,,1.0,Mark Canha out on a sacrifice fly to right fielder Kerry Carpenter. Maikel Garcia scores.,R,R,R,KC,DET,X,9,line_drive,1,1,2025,-0.53,1.5,-0.59,2.97,672580.0,,,1,7,Bot,156.4,100.28,,,,,2.9035924013255445,-139.40270055051778,-6.273076183508932,-7.533292234771213,30.287291523487912,-11.368862378207568,3.35,1.57,259.0,84.4,20.0,95.5,2495.0,6.0,777711,693307,679529,650402,628451,656716,682985,672761,681481,54.49,0.74,0.679,0.0,1.0,0,0,4.0,65,3,4-Seam Fastball,3,5,3,5,5,4,4,5,Standard,Standard,200.0,-0.003,-0.105,61.8,5.6,0.837,0.105,88.0,-2,-2,0.273,0.273,27,36,27,36,1,1,4.0,5.0,1.0,1.0,0.97,0.53,0.53,51.0,-2.1892911143643,10.17498386486636,35.0050812757011,27.647209677675164,25.158762789224006
