pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-29,84.0,-1.55,5.43,"Chourio, Jackson",694192,607067,triple,hit_into_play,,,,,8.0,Jackson Chourio triples (4) on a sharp line drive to right fielder Kyle Tucker.,R,R,R,MIL,CHC,X,9,line_drive,0,0,2025,0.34,-0.01,0.11,2.1,,,,0,5,Bot,157.13,46.38,,,,,3.220055192907007,-122.39583620284267,-1.3331023113955645,2.8089271374632405,23.14175493670453,-32.19045049634607,3.42,1.65,384.0,102.1,22.0,84.9,2163.0,6.7,776956,624512,683737,663538,807713,621020,664023,691718,663656,53.77,0.543,0.769,1.6,1.0,1,2,6.0,41,1,Slider,2,1,2,1,1,2,2,1,Standard,Standard,89.0,0.089,0.923,73.3,7.6,1.31,-0.923,102.1,1,1,0.713,0.713,34,21,35,21,3,2,6.0,1.0,5.0,32.0,3.22,-0.34,-0.34,30.2,16.050922771501195,11.53644806502282,26.73095781694057,44.495500169834656,27.895000019380863
FF,2025-07-28,92.0,-0.57,6.7,"Chourio, Jackson",694192,623167,field_out,hit_into_play,,,,,4.0,Jackson Chourio lines out sharply to center fielder Pete Crow-Armstrong.,R,R,R,MIL,CHC,X,8,line_drive,0,0,2025,-0.43,1.56,-0.41,2.65,,,,2,8,Bot,115.17,45.3,,,,,1.3135261659270363,-133.70599465635738,-7.752284406123008,-5.376311844607572,30.79385508539701,-11.936484950710057,3.44,1.64,381.0,106.5,21.0,91.5,2222.0,6.2,776965,608348,683737,663538,807713,621020,664023,691718,663656,54.3,0.849,1.322,0.0,1.0,0,0,6.0,72,1,4-Seam Fastball,8,4,8,4,4,8,8,4,Standard,Standard,202.0,-0.001,-0.26,78.5,7.5,2.326,0.26,106.5,4,4,0.988,0.988,30,21,31,21,1,4,3.0,1.0,,1.0,1.15,0.43,0.43,61.5,10.818748659364408,-2.972166684797103,29.34258178507273,34.521594495216334,26.507613577457743
FF,2025-07-27,98.4,-1.49,6.06,"Chourio, Jackson",694192,691587,field_out,hit_into_play,,,,,1.0,Jackson Chourio flies out to left fielder Kyle Stowers.,R,R,R,MIL,MIA,X,7,fly_ball,0,2,2025,-0.81,1.46,-0.71,3.54,,,668930.0,1,5,Bot,48.21,123.2,,,,,3.99522585984256,-143.30015305670997,-4.851700821377552,-12.084694879613393,30.459710467483003,-11.050093205495244,3.43,1.65,268.0,86.2,48.0,99.3,2691.0,6.5,776978,682663,689414,669364,688363,672640,669065,667472,660821,53.96,0.003,0.003,0.0,1.0,0,0,3.0,41,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212.0,-0.043,-0.169,71.7,6.7,0.003,0.169,88.0,-1,-1,0.412,0.412,22,21,22,21,3,2,6.0,1.0,6.0,1.0,0.87,0.81,0.81,34.1,13.078002418036506,-11.761983164204532,19.58469651196006,27.114703653253272,28.74182417518924
ST,2025-07-27,82.5,-2.0,5.64,"Chourio, Jackson",694192,691587,double,hit_into_play,,,,,4.0,Jackson Chourio doubles (28) on a line drive to left fielder Kyle Stowers. Eric Haase scores.,R,R,R,MIL,MIA,X,7,line_drive,0,0,2025,0.96,0.38,-0.82,2.58,,,606992.0,2,3,Bot,29.44,112.91,,,,,0.8163448214325104,-120.11196982293842,-1.1620598688348427,9.108307743535802,24.500337536122995,-28.505452230075488,3.43,1.65,278.0,78.6,27.0,82.8,2540.0,6.6,776978,682663,689414,669364,688363,672640,669065,667472,660821,53.91,0.289,0.268,1.25,1.0,1,1,3.0,25,1,Sweeper,0,1,0,1,1,1,1,1,Standard,Standard,88.0,0.139,0.917,78.1,8.2,0.335,-0.917,88.0,-1,-1,0.399,0.399,22,21,22,21,2,1,6.0,1.0,6.0,1.0,2.98,-0.96,-0.96,28.1,19.65848613861446,-34.18075197034082,29.59757346823364,28.44216991553741,55.21018650468241
FF,2025-07-26,94.2,-0.2,5.78,"Chourio, Jackson",694192,676083,field_out,hit_into_play,,,,,4.0,Jackson Chourio flies out to left fielder Kyle Stowers.,R,R,R,MIL,MIA,X,7,fly_ball,2,2,2025,0.01,1.12,-0.64,2.66,,,661388.0,2,5,Bot,77.78,62.3,,,,,-1.173901145489639,-137.13272848598527,-4.932931342669602,0.4393206011055191,29.717106507457878,-17.096717979628533,3.43,1.65,357.0,91.2,28.0,94.9,2052.0,6.6,776996,663743,676572,669364,691594,672640,669065,667472,681715,53.88,0.097,0.129,0.0,1.0,0,0,3.0,46,7,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,190.0,-0.032,-0.216,73.0,7.2,0.211,0.216,91.2,-2,-2,0.243,0.243,29,21,29,21,3,2,6.0,1.0,6.0,1.0,1.44,-0.01,-0.01,63.8,3.5963884563732105,-12.054023371899454,29.635101562210945,29.895938276498416,28.16229246662747
SL,2025-07-26,87.0,-0.46,5.76,"Chourio, Jackson",694192,676083,double,hit_into_play,,,,,8.0,Jackson Chourio doubles (27) on a line drive to left fielder Kyle Stowers.,R,R,R,MIL,MIA,X,7,line_drive,1,0,2025,0.52,0.26,0.19,1.89,,,,0,4,Bot,102.23,95.17,,,,,0.4991286015517068,-126.6932041747288,-3.70764375360093,5.476104583608263,24.8641092914658,-28.83028515703487,3.43,1.65,208.0,94.0,11.0,87.9,2357.0,6.7,776996,663743,676572,669364,691594,672640,669065,667472,681715,53.77,0.771,0.747,1.25,1.0,1,1,4.0,31,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,161.0,0.082,0.676,76.0,8.2,0.915,-0.676,94.0,-1,-1,0.421,0.421,29,21,29,21,2,1,6.0,1.0,6.0,1.0,2.74,-0.52,-0.52,58.8,16.503060235716223,-1.2688194629449616,26.67983949916083,43.47161365497756,35.54150354086669
ST,2025-07-25,88.9,-1.55,5.62,"Chourio, Jackson",694192,676534,field_out,hit_into_play,,,,,6.0,Jackson Chourio lines out to center fielder Dane Myers.,R,R,R,MIL,MIA,X,8,line_drive,1,2,2025,1.06,-0.15,0.71,2.65,,,592885.0,0,9,Bot,141.65,71.35,,,,,3.2910375558824563,-129.48821639063974,-0.9514034627570056,11.23904461401805,27.06095050544959,-33.86605445597417,3.43,1.65,319.0,98.2,18.0,88.5,3093.0,6.0,777008,663743,676572,669364,688363,672640,669065,667472,660821,54.54,0.403,0.441,0.0,1.0,0,0,4.0,73,4,Sweeper,1,5,1,5,5,1,1,5,Standard,Standard,58.0,-0.02,-0.164,73.2,7.2,0.65,0.164,98.2,-4,-4,0.036,0.036,29,21,30,21,1,3,2.0,2.0,4.0,1.0,3.03,-1.06,-1.06,38.4,10.027045775664972,6.088377433926143,23.452289323004955,46.18275009628226,26.304334505918764
ST,2025-07-25,84.0,-2.22,5.19,"Chourio, Jackson",694192,669622,field_out,hit_into_play,,,,,5.0,Jackson Chourio flies out sharply to right fielder Jesús Sánchez.,R,R,R,MIL,MIA,X,9,fly_ball,1,2,2025,1.43,0.21,0.06,2.52,,,,0,7,Bot,195.03,70.8,,,,,2.4189127192875954,-122.33965459835854,-0.1630028783474874,13.750122235517676,26.26667291084582,-30.27943741141365,3.43,1.65,359.0,100.5,31.0,83.0,2824.0,5.8,777008,663743,676572,669364,688363,672640,669065,667472,660821,54.72,0.509,0.94,0.0,1.0,0,0,6.0,56,4,Sweeper,1,5,1,5,5,1,1,5,Standard,Standard,62.0,-0.017,-0.189,76.0,6.9,1.81,0.189,100.5,-4,-4,0.064,0.064,30,21,30,21,1,2,3.0,2.0,2.0,1.0,3.04,-1.43,-1.43,8.7,6.366449509745138,10.82388242547752,27.045258900736588,39.48279105476948,23.89092042438107
SI,2025-07-23,94.4,-2.23,4.96,"Chourio, Jackson",694192,622491,single,hit_into_play,,,,,11.0,Jackson Chourio singles on a line drive to left fielder Randy Arozarena.,R,R,R,SEA,MIL,X,7,line_drive,2,1,2025,-1.59,0.22,-1.08,2.9,,,,0,5,Top,90.48,105.49,,,,,6.41465626501941,-137.4218931369856,-0.2181294286496619,-21.57744474528338,27.165696863443344,-29.553824707956977,3.43,1.65,215.0,69.5,23.0,93.3,2012.0,5.4,777024,641598,670042,702284,810938,641487,668227,677594,686527,55.1,0.98,0.882,0.9,1.0,1,0,4.0,37,4,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,243.0,-0.018,0.392,74.0,6.9,1.021,-0.392,88.0,-3,3,0.154,0.846,32,21,33,21,3,2,5.0,1.0,5.0,2.0,2.32,1.59,1.59,11.9,5.9930645818975306,5.489200402455133,30.072502132865782,25.80642327070177,30.33448197883201
FC,2025-07-23,91.9,-2.38,5.5,"Chourio, Jackson",694192,663423,single,hit_into_play,,,,,14.0,Jackson Chourio singles on a line drive to right fielder Dominic Canzone. Brice Turang scores. William Contreras to 3rd.,R,R,R,SEA,MIL,X,9,line_drive,1,1,2025,0.33,0.61,0.92,2.03,,668930.0,661388.0,2,6,Top,184.97,117.92,,,,,7.621283244657751,-133.84711862400755,-4.349909444586524,2.638557624122406,23.95691775493016,-24.111753604205745,3.43,1.65,227.0,80.2,21.0,92.0,2760.0,5.9,777024,641598,670042,702284,810938,641487,668227,677594,686527,54.6,0.869,0.785,0.9,1.0,1,0,4.0,49,3,Cutter,2,6,6,2,7,2,7,2,Standard,Standard,169.0,-0.034,0.57,71.2,7.3,0.944,-0.57,88.0,-4,4,0.076,0.924,31,21,32,21,1,3,2.0,1.0,3.0,2.0,2.05,-0.33,-0.33,41.6,4.145295287956155,14.132488785958005,31.180925419578703,48.198619835556094,19.18256447277888
