pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-09-27,86.1,-0.99,6.5,"Conine, Griffin",665052,605280,field_out,hit_into_play,,,,,8.0,Griffin Conine flies out to left fielder Brandon Nimmo.,R,L,R,MIA,NYM,X,7,fly_ball,1,1,2025,0.0,-0.28,-0.18,1.88,,,,2,2,Bot,80.08,110.14,,,,,1.9176129813509364,-125.37026002631286,-4.180730296459924,-0.4112510970185104,24.27213561564558,-34.50530942864136,3.53,1.7,250.0,81.7,45.0,85.6,2616.0,5.8,776161,682626,624413,643446,677595,596019,607043,621438,665742,54.67,0.02,0.025,0.0,1.0,0,0,3.0,15,3,Slider,0,1,0,1,1,0,0,1,Standard,Standard,27.0,-0.011,-0.244,64.2,7.7,0.035,0.244,88.0,-1,-1,0.394,0.394,32,27,32,28,1,0,3.0,1.0,,,3.34,0.0,0.0,43.4,17.290059589603505,-0.946335893276762,27.46235128727468,39.23348698099835,29.77722577242216
FF,2025-09-26,96.2,-2.07,5.63,"Conine, Griffin",665052,687075,single,hit_into_play,,,,,8.0,Griffin Conine singles on a line drive to left fielder Brandon Nimmo.,R,L,R,MIA,NYM,X,7,line_drive,1,0,2025,-0.87,1.15,-0.09,2.05,,,,0,5,Bot,82.38,83.96,,,,,7.240057293362236,-139.72386856335615,-6.485457182960766,-13.071840284834046,32.74055959352098,-15.818921437399911,3.53,1.69,243.0,97.7,12.0,96.0,2056.0,6.4,776173,620443,624413,643446,677595,596019,607043,656775,665742,54.15,0.94,0.886,0.9,1.0,1,0,4.0,36,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,223.0,0.053,0.397,77.4,7.3,1.102,-0.397,97.7,-2,-2,0.277,0.277,24,27,25,28,2,1,7.0,1.0,,1.0,1.33,0.87,-0.87,31.2,4.411093603661379,13.754816106759378,31.2702106091316,37.36741536212524,21.37788341493666
FS,2025-09-23,97.3,-2.4,6.22,"Conine, Griffin",665052,661395,field_out,hit_into_play,,,,,4.0,Griffin Conine flies out to center fielder Harrison Bader.,R,L,R,PHI,MIA,X,8,fly_ball,1,0,2025,-1.37,0.2,-0.29,2.59,,669364.0,,2,9,Top,115.59,66.41,,,,,8.757132157944742,-141.44880677513558,-4.689512566140664,-20.32767069891741,30.985963090883438,-28.581876312961253,3.54,1.68,330.0,87.8,35.0,97.2,1918.0,6.2,776215,592663,805249,642215,664761,681082,669016,664056,596146,54.29,0.026,0.032,0.0,1.0,0,0,3.0,66,2,Split-Finger,3,3,3,3,3,3,3,3,Standard,Standard,237.0,0.104,-0.308,74.9,7.4,0.051,0.308,88.0,0,0,0.53,0.47,27,27,27,28,1,3,2.0,157.0,3.0,2.0,2.2,1.37,-1.37,34.6,10.54858294326634,-2.315555429911516,26.138598511741524,44.06154500643471,30.88118353320321
FF,2025-04-19,97.9,-1.8,6.0,"Conine, Griffin",665052,672578,double,hit_into_play,,,,,4.0,Griffin Conine doubles (7) on a sharp line drive to center fielder Johan Rojas. Dane Myers scores. Matt Mervis to 3rd.,R,L,R,PHI,MIA,X,8,line_drive,2,1,2025,-0.7,1.57,-0.28,2.53,667472.0,,670223.0,1,6,Top,141.68,46.91,,,,,5.801250823094479,-142.25026414540548,-7.501123271645725,-10.942274427383689,37.37645295118199,-9.347282196037357,3.55,1.68,337.0,112.1,13.0,98.7,2472.0,7.1,778252,592663,547180,681082,664761,607208,656941,679032,596146,53.36,0.811,0.871,1.25,1.0,1,1,6.0,56,4,4-Seam Fastball,9,1,1,9,2,9,2,9,Standard,Standard,211.0,-0.015,0.701,81.0,7.6,1.243,-0.701,112.1,8,-8,0.989,0.011,28,27,28,28,1,2,3.0,1.0,3.0,157.0,0.85,0.7,-0.7,45.1,7.353553175591321,0.4271514805857126,27.843526362206944,42.74076813593668,26.3687196272688
FF,2025-04-17,97.8,3.28,5.65,"Conine, Griffin",665052,640462,double,hit_into_play,,,,,2.0,Griffin Conine doubles (6) on a line drive to left fielder Lourdes Gurriel Jr.,R,L,L,MIA,AZ,X,7,line_drive,2,2,2025,0.75,1.19,-0.24,3.13,,,,0,9,Bot,27.0,103.0,,,,,-11.380757767163397,-141.9313791129632,-4.0319662642111735,12.90861396177049,34.48185082254087,-15.335063326921237,3.6,1.69,258.0,96.3,15.0,98.7,2244.0,7.1,778291,645444,656976,694374,553993,672695,666971,677950,682998,53.43,0.846,0.813,1.25,1.0,1,1,4.0,86,7,4-Seam Fastball,4,6,4,6,6,4,4,6,Infield shade,Standard,127.0,0.106,0.744,67.0,6.3,1.045,-0.744,96.3,-2,-2,0.087,0.087,30,27,30,28,1,4,1.0,1.0,,1.0,1.22,0.75,0.75,27.4,2.2657318846823173,27.14630894296324,20.08723546514588,45.18133951822063,17.08449998508939
CH,2025-04-16,88.1,-2.03,5.47,"Conine, Griffin",665052,694297,field_out,hit_into_play,,,,,7.0,Griffin Conine flies out to left fielder Lourdes Gurriel Jr.,R,L,R,MIA,AZ,X,7,fly_ball,1,2,2025,-1.44,0.6,-0.75,1.97,,,672640.0,1,6,Bot,67.16,106.87,,,,,6.168283696744342,-128.0397878250632,-3.618243945993116,-17.139479159947424,28.888879571501224,-25.03813415232004,3.61,1.69,302.0,88.1,32.0,88.7,2182.0,6.9,778303,672515,647304,694374,553993,672695,666971,677950,682998,53.56,0.029,0.035,0.0,1.0,0,0,3.0,48,4,Changeup,1,3,1,3,3,1,1,3,Infield shade,Standard,225.0,-0.044,-0.179,73.5,8.0,0.058,0.179,88.1,-2,-2,0.254,0.254,26,27,27,28,3,2,7.0,1.0,6.0,1.0,2.37,1.44,-1.44,26.7,21.083658412924912,16.24313735958494,24.575456659581523,47.99802047580454,25.390107398972344
CU,2025-04-15,79.4,2.99,5.23,"Conine, Griffin",665052,573009,double,hit_into_play,,,,,8.0,Griffin Conine doubles (4) on a line drive to center fielder Alek Thomas.,R,L,L,MIA,AZ,X,8,line_drive,1,2,2025,-1.11,-0.28,-0.28,2.27,,,,2,7,Bot,179.71,53.61,,,,,-5.072723452254132,-115.44721195027498,0.9059046667662656,-8.789037237231817,24.1898488403762,-35.09987324060531,3.61,1.72,388.0,98.8,25.0,79.2,2611.0,6.5,778318,672515,647304,641658,553993,672695,666971,677950,682998,54.0,0.469,0.711,1.25,1.0,1,1,6.0,59,4,Curveball,1,10,1,10,10,1,1,10,Infield shade,Standard,314.0,0.0,0.657,71.6,8.0,1.253,-0.657,98.8,-9,-9,0.001,0.001,34,27,34,28,1,2,4.0,2.0,3.0,1.0,3.94,-1.11,-1.11,20.1,14.710406674530129,-10.089767183508505,27.725973728677545,42.1533625292344,35.567461660961506
FC,2025-04-15,89.6,-2.6,5.57,"Conine, Griffin",665052,686826,double,hit_into_play,,,,,8.0,Griffin Conine doubles (5) on a sharp line drive to right fielder Corbin Carroll.,R,L,R,MIA,AZ,X,9,line_drive,0,0,2025,-0.22,0.58,0.1,2.16,,,,0,9,Bot,179.74,46.32,,,,,7.057494715641522,-130.21615906218827,-3.562960087088504,-4.052376430645364,29.508423711321967,-25.001082979956124,3.61,1.72,319.0,117.4,15.0,88.5,2273.0,5.8,778318,672515,647304,641658,553993,672695,666971,677950,682998,54.68,0.783,1.018,1.25,1.0,1,1,6.0,75,1,Cutter,3,10,3,10,10,3,3,10,Infield shade,Standard,201.0,0.003,0.717,80.0,7.6,1.679,-0.717,117.4,-7,-7,0.001,0.001,27,27,28,28,1,3,6.0,2.0,3.0,1.0,2.28,0.22,-0.22,34.2,13.189852032166144,1.6598371383625363,35.15749682441819,36.68672413680363,28.490733955395115
CU,2025-04-13,80.4,-2.2,5.31,"Conine, Griffin",665052,669371,single,hit_into_play,,,,,3.0,Griffin Conine singles on a line drive to right fielder Alex Call. Kyle Stowers scores. Derek Hill to 3rd.,R,L,R,MIA,WSH,X,9,line_drive,1,1,2025,1.01,0.05,0.45,3.1,669065.0,,656537.0,2,8,Bot,180.32,120.16,,,,,3.946096229560429,-116.97149834190937,1.7453618175916112,8.439367675239732,23.88497499130218,-32.28747706459631,3.62,1.77,129.0,83.4,10.0,80.1,2642.0,6.3,778337,660688,605137,671277,642708,657557,695578,696285,669743,54.19,0.454,0.409,0.9,1.0,1,0,4.0,79,3,Curveball,10,3,10,3,3,11,11,3,Standard,Standard,59.0,0.0,0.65,78.4,7.3,0.48,-0.65,88.0,7,7,0.999,0.999,25,27,26,28,1,4,,1.0,3.0,2.0,3.5,-1.01,1.01,22.2,21.65324869588527,-7.299171284110816,22.838876375314115,33.22402793834325,31.545210062824225
SL,2025-04-12,80.5,-2.58,4.91,"Conine, Griffin",665052,592866,double,hit_into_play,,,,,8.0,Griffin Conine doubles (2) on a line drive to center fielder Jacob Young.,R,L,R,MIA,WSH,X,8,line_drive,1,0,2025,0.34,0.47,-0.2,1.69,,,,0,4,Bot,146.59,75.64,,,,,4.713218355184694,-117.20664666651427,-1.4288705485415083,2.3000127085679014,20.16188522090615,-27.76560121569218,3.62,1.77,281.0,81.6,27.0,81.7,2187.0,6.9,778354,660688,605137,671277,642708,657557,695578,696285,669743,53.64,0.14,0.157,1.25,1.0,1,1,3.0,32,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,163.0,0.075,0.676,76.2,8.5,0.23,-0.676,88.0,0,0,0.559,0.559,33,27,33,28,2,1,6.0,1.0,5.0,1.0,3.02,-0.34,0.34,15.2,20.431121486873742,-14.369151873447324,34.349111045644165,41.11395877759321,40.55389820131828
FF,2025-04-12,94.2,-1.45,5.83,"Conine, Griffin",665052,605347,field_out,hit_into_play,,,,,5.0,Griffin Conine lines out to center fielder Jacob Young.,R,L,R,MIA,WSH,X,8,line_drive,0,2,2025,-0.58,1.21,0.13,2.75,,,,1,7,Bot,120.89,65.52,,,,,5.4426747811126726,-136.87964220041783,-4.91122397725739,-8.584922401304185,34.17702326510104,-16.13735780683534,3.62,1.77,332.0,93.4,23.0,94.2,1931.0,6.6,778354,660688,605137,671277,642708,657557,695578,696285,669743,53.86,0.146,0.167,0.0,1.0,0,0,3.0,65,6,4-Seam Fastball,7,6,7,6,6,7,7,6,Infield shade,Standard,220.0,-0.014,-0.163,80.7,7.4,0.269,0.163,93.4,1,1,0.776,0.776,32,27,32,28,1,3,3.0,1.0,1.0,1.0,1.4,0.58,-0.58,41.0,13.121787451080897,5.299721189909186,25.94492733071744,37.90541006727993,23.244428953147818
