pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-09-28,84.0,-1.66,6.02,"Crooks, Jimmy",699625,665871,triple,hit_into_play,,,,,1.0,Jimmy Crooks triples (1) on a sharp line drive to right fielder Seiya Suzuki.,R,L,R,CHC,STL,X,9,line_drive,1,2,2025,-0.77,0.3,-0.72,2.84,,,,2,2,Top,134.59,45.78,,,,,3.711251975709172,-122.33258792839165,-1.6359895558720017,-8.416635454127231,21.86153384371508,-29.00462594829513,3.32,1.57,292.0,101.7,13.0,84.4,1363.0,6.3,776142,694208,683737,663538,650489,621020,664023,691718,673548,54.19,0.897,0.88,1.6,1.0,1,2,4.0,9,4,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,231.0,-0.028,0.711,68.5,7.2,1.145,-0.711,101.7,0,0,0.54,0.46,27,23,28,24,1,0,8.0,1.0,,,2.9,0.77,-0.77,52.9,15.819779633661769,6.835478597539384,29.04395475718377,44.93385282975372,35.55625375752809
FF,2025-09-27,96.6,-1.48,6.25,"Crooks, Jimmy",699625,641745,single,hit_into_play,,,,,3.0,Jimmy Crooks singles on a line drive to center fielder Pete Crow-Armstrong. Nolan Gorman to 2nd.,R,L,R,CHC,STL,X,8,line_drive,0,2,2025,0.11,0.93,0.66,2.92,,,669357.0,2,9,Top,140.56,87.39,,,,,5.448976493573119,-140.66616659957123,-5.460149199620737,0.3277442944293788,28.416854670822367,-18.75397818530085,3.32,1.57,219.0,83.1,17.0,96.6,2385.0,6.0,776164,608348,683737,663538,807713,621020,664023,691718,673548,54.47,0.974,0.922,0.9,1.0,1,0,4.0,72,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Infield shade,Standard,194.0,-0.007,0.443,69.4,6.1,1.141,-0.443,88.0,4,-4,0.997,0.003,29,23,30,24,1,3,1.0,1.0,3.0,1.0,1.48,-0.11,0.11,47.9,12.767255235199787,5.955014779947523,35.15012299362137,27.806111196629345,28.08236071542909
SL,2025-09-27,90.1,-0.08,6.16,"Crooks, Jimmy",699625,573204,single,hit_into_play,,,,,9.0,Jimmy Crooks singles on a line drive to right fielder Seiya Suzuki.,R,L,L,CHC,STL,X,9,line_drive,0,1,2025,0.05,0.71,0.35,1.77,,,,2,7,Top,185.22,104.36,,,,,0.973407112793665,-131.15054064314702,-6.511365526537393,0.4231942666291544,26.31326912939319,-22.81776893052253,3.32,1.57,143.0,101.4,8.0,90.4,2221.0,6.4,776164,608348,683737,663538,807713,621020,664023,691718,673548,54.13,0.651,0.62,0.9,1.0,1,0,4.0,51,2,Slider,4,1,1,4,1,4,1,4,Strategic,Standard,183.0,-0.012,0.369,77.8,7.4,0.77,-0.369,101.4,3,-3,0.938,0.062,38,23,38,24,1,2,1.0,1.0,4.0,1.0,2.08,0.05,0.05,58.7,11.84719969362438,0.6193519052387972,39.61635334623463,32.2886841783951,69.46276600948738
FF,2025-09-26,98.9,-1.35,5.48,"Crooks, Jimmy",699625,694037,field_out,hit_into_play,,,,,6.0,Jimmy Crooks flies out sharply to center fielder Pete Crow-Armstrong.,R,L,R,CHC,STL,X,8,fly_ball,1,0,2025,-0.87,1.06,0.3,2.66,,,,0,8,Top,114.87,58.76,,,,,6.535490878909215,-143.89786048755394,-4.747688536287408,-13.552515963431787,33.66937367755005,-16.488800865972213,3.31,1.56,348.0,100.7,43.0,99.4,2324.0,6.6,776167,624512,683737,663538,807713,621020,682634,691718,673548,53.92,0.069,0.117,0.0,1.0,0,0,3.0,64,2,4-Seam Fastball,11,1,1,11,1,11,1,11,Standard,Standard,223.0,0.0,-0.301,74.5,6.9,0.235,0.301,100.7,10,-10,0.999,0.001,25,23,25,24,1,0,2.0,3.0,4.0,1.0,1.27,0.87,-0.87,30.6,11.071554937923658,1.448435351299001,35.53516563581354,33.99588140554933,36.75647104472623
CH,2025-09-23,86.4,-1.85,4.93,"Crooks, Jimmy",699625,657277,field_out,hit_into_play,,,,,7.0,Jimmy Crooks lines out to right fielder Drew Gilbert.,R,L,R,SF,STL,X,9,line_drive,1,1,2025,-0.5,-0.37,-0.39,1.91,,,695336.0,2,1,Top,171.45,97.88,,,,,4.559398997981396,-125.8965523987818,-0.2977329742502657,-6.211521667527575,22.2874686358372,-36.2628220821758,3.32,1.56,275.0,92.4,20.0,87.9,1409.0,6.8,776211,672275,646240,683766,656305,642715,671218,808982,687551,53.66,0.343,0.35,0.0,1.0,0,0,4.0,7,3,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,277.0,0.013,-0.256,78.0,7.7,0.509,0.256,92.4,-3,3,0.242,0.758,28,23,29,24,1,0,5.0,2.0,5.0,3.0,3.38,0.5,-0.5,20.6,17.01711997539673,-2.564740702934148,35.97127226298167,38.685655689528446,42.63713382807608
FF,2025-09-23,100.4,-0.82,6.24,"Crooks, Jimmy",699625,666711,field_out,hit_into_play,,,,,5.0,Jimmy Crooks flies out sharply to center fielder Jung Hoo Lee.,R,L,R,SF,STL,X,8,fly_ball,0,0,2025,-0.77,0.87,-0.1,2.58,,,,1,8,Top,89.29,45.28,,,,,3.7249965601785737,-146.1133090047591,-6.736086187377325,-11.90920121209366,33.34072104825044,-18.3563960584323,3.32,1.56,389.0,106.7,35.0,98.7,2231.0,5.3,776211,672275,646240,683766,656305,642715,671218,808982,687551,55.22,0.829,1.694,0.0,1.0,0,0,6.0,69,1,4-Seam Fastball,8,7,7,8,7,8,7,8,Standard,Standard,213.0,0.039,-0.254,72.0,7.2,3.303,0.254,106.7,1,-1,0.807,0.193,28,23,28,24,1,3,1.0,2.0,3.0,3.0,1.39,0.77,-0.77,41.7,11.596583818679967,0.21953075091531,35.671316599252904,36.82220014228066,31.68206076011731
CH,2025-09-21,88.9,-1.77,5.61,"Crooks, Jimmy",699625,607200,field_out,hit_into_play,,,,,7.0,Jimmy Crooks flies out to center fielder Blake Perkins.,R,L,R,STL,MIL,X,8,fly_ball,0,1,2025,-0.82,0.34,-0.44,1.9,,,,0,7,Bot,106.49,62.02,,,,,5.004271840850706,-129.39210974825372,-3.8314590174877257,-10.25662837581712,25.27443770180333,-27.750681413994496,3.32,1.56,342.0,94.0,34.0,89.8,1935.0,6.7,776231,643376,683734,655316,702332,687401,686555,663368,694192,53.82,0.06,0.094,0.0,1.0,0,0,3.0,56,2,Changeup,4,1,4,1,1,4,4,1,Standard,Standard,226.0,-0.005,-0.22,74.1,7.5,0.18,0.22,94.0,3,3,0.946,0.946,32,23,32,24,2,2,4.0,4.0,3.0,2.0,2.53,0.82,-0.82,27.9,13.45550638409776,1.583054908319081,39.71874528771366,39.20398917850534,37.913682229314205
FF,2025-09-21,94.9,-2.19,4.52,"Crooks, Jimmy",699625,681982,field_out,hit_into_play,,,,,3.0,Jimmy Crooks flies out to left fielder Isaac Collins.,R,L,R,STL,MIL,X,7,fly_ball,2,2,2025,-0.65,1.11,0.37,2.9,676475.0,691023.0,665877.0,2,8,Bot,98.7,128.7,,,,,8.215843116549495,-138.03240697318645,-1.08626393392532,-10.123033012775227,29.866565875030638,-17.913025049339307,3.32,1.56,191.0,74.7,56.0,95.7,2489.0,6.7,776231,643376,683734,655316,702332,687401,686555,663368,694192,53.77,0.091,0.104,0.0,1.0,0,0,3.0,69,7,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,240.0,-0.003,-0.237,70.6,6.4,0.137,0.237,88.0,4,4,0.99,0.99,28,23,28,24,1,3,2.0,4.0,1.0,2.0,1.42,0.65,-0.65,12.6,7.958689666850732,1.7013847126742945,35.91313138500941,29.273549005671185,35.09547254353171
SI,2025-09-12,93.1,-2.06,5.9,"Crooks, Jimmy",699625,682990,field_out,hit_into_play,,,,,4.0,Jimmy Crooks flies out to right fielder Sal Frelick.,R,L,R,MIL,STL,X,9,fly_ball,3,2,2025,-1.32,0.49,-0.58,2.75,,,,1,3,Top,154.21,81.2,,,,,6.695943885694495,-135.34748564574352,-3.372010319687376,-17.691651590158237,30.682532739664765,-25.60091180156645,3.37,1.53,300.0,84.4,39.0,93.1,2050.0,6.4,776356,661388,641343,668930,702332,687401,686555,694192,686217,54.08,0.02,0.03,0.0,1.0,0,0,3.0,15,6,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,219.0,0.018,-0.333,72.4,7.3,0.048,0.333,88.0,0,0,0.525,0.475,24,23,25,24,1,0,7.0,4.0,6.0,3.0,2.15,1.32,-1.32,43.3,21.781357431113594,-9.468616766334543,31.98993811579542,41.14769122675558,43.3077517758771
FF,2025-09-08,94.2,-1.43,5.13,"Crooks, Jimmy",699625,693433,field_out,hit_into_play,,,,,4.0,Jimmy Crooks flies out to left fielder Randy Arozarena.,R,L,R,SEA,STL,X,7,fly_ball,3,2,2025,-0.91,1.07,-0.28,2.44,,,,0,5,Top,58.12,98.89,,,,,5.012330421423158,-137.13887546403416,-3.6490445509639,-12.569172090308104,30.80595713382888,-18.083957475861396,3.37,1.53,299.0,96.4,49.0,94.2,2159.0,6.3,776400,663728,647304,660844,553993,641487,668227,677594,645302,54.19,0.003,0.005,0.0,1.0,0,0,3.0,28,6,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,223.0,0.017,-0.345,72.2,6.9,0.009,0.345,96.4,-2,2,0.239,0.761,25,23,25,24,2,1,6.0,2.0,5.0,4.0,1.5,0.91,-0.91,27.8,6.794856671207471,2.521256389924376,36.84296665741098,38.39507133729323,34.22065347174696
SI,2025-09-06,91.5,2.18,5.94,"Crooks, Jimmy",699625,664192,field_out,hit_into_play,,,,,2.0,Jimmy Crooks flies out sharply to center fielder Jung Hoo Lee.,R,L,L,STL,SF,X,8,fly_ball,1,0,2025,1.12,1.12,-0.02,3.01,,,,0,7,Bot,99.32,51.46,,,,,-7.87937243867939,-132.9818606843678,-3.8708611446441914,14.965095225625484,29.68431941759433,-18.28348312644443,3.37,1.53,370.0,100.7,33.0,90.7,2319.0,5.9,776437,672275,646240,669477,656305,642715,682641,808982,687551,54.56,0.454,0.873,0.0,1.0,0,0,6.0,51,2,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,151.0,-0.038,-0.301,70.8,6.7,1.697,0.301,100.7,-2,-2,0.209,0.209,32,23,32,24,1,2,4.0,1.0,2.0,2.0,1.62,1.12,1.12,46.7,9.39296017708676,5.624577806671698,30.633611695009616,36.74912499027093,33.81210381362094
FF,2025-09-05,97.9,-1.98,5.89,"Crooks, Jimmy",699625,693313,field_out,hit_into_play,,,,,6.0,Jimmy Crooks flies out to left fielder Heliot Ramos.,R,L,R,STL,SF,X,7,fly_ball,3,2,2025,-0.69,1.17,0.3,2.67,,,,1,2,Bot,39.95,109.29,,,,,7.788537825699978,-142.15945760122094,-5.8496925584569714,-11.305632150149746,35.907921609862115,-15.177245450812554,3.37,1.53,306.0,89.0,37.0,98.0,2260.0,6.7,776445,672275,642086,669477,656305,642715,671218,808982,687551,53.83,0.026,0.038,0.0,1.0,0,0,3.0,16,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,226.0,-0.017,-0.333,67.2,6.1,0.068,0.333,89.0,-2,-2,0.307,0.307,26,23,27,24,1,0,6.0,3.0,5.0,1.0,1.24,0.69,-0.69,41.5,7.407684922353877,15.464508325027024,35.495121514989066,31.16848570443444,26.147200878587835
