pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-31,91.8,-1.33,5.83,"De La Cruz, Elly",682829,471911,field_out,hit_into_play,,,,,4.0,Elly De La Cruz flies out to center fielder Michael Harris II.,R,L,R,CIN,ATL,X,8,fly_ball,0,1,2025,-1.7,0.4,-0.51,2.31,,,,2,1,Bot,103.67,63.78,,,,,5.768981369453294,-133.4974455717018,-3.9117444199312175,-21.54641749541457,28.70887014172942,-26.73808866683097,3.58,1.65,338.0,89.0,26.0,91.9,2093.0,6.4,776928,669221,621566,645277,663586,669397,595777,671739,642201,54.11,0.089,0.104,0.0,1.0,0,0,3.0,8,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,230.0,-0.01,-0.217,73.2,7.3,0.165,0.217,89.0,0,0,0.51,0.51,38,23,38,23,1,0,88.0,1.0,7.0,1.0,2.31,1.7,-1.7,29.9,-4.449837857725548,-8.532560966885171,33.82528046430824,41.80650286297303,39.0343491150479
SL,2025-07-31,88.4,-0.7,6.64,"De La Cruz, Elly",682829,641755,single,hit_into_play,,,,,9.0,Elly De La Cruz singles on a line drive to right fielder Eli White. Matt McLain to 2nd.,R,L,R,CIN,ATL,X,9,line_drive,0,1,2025,0.31,0.31,0.31,2.21,,,680574.0,1,7,Bot,156.88,109.62,,,,,1.793803438009109,-128.70007825221398,-5.340376216399492,3.1597872605925263,25.250275408040963,-27.870903303590584,3.58,1.65,246.0,98.2,16.0,87.3,2522.0,5.4,776928,669221,621566,645277,663586,663897,595777,671739,642201,55.05,0.629,0.642,0.9,1.0,1,0,4.0,61,2,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,163.0,0.054,0.446,68.3,7.2,0.883,-0.446,98.2,0,0,0.589,0.589,34,23,34,23,1,3,3.0,1.0,2.0,1.0,2.59,-0.31,0.31,45.0,4.206091022100278,0.0112728474228924,30.760154390490243,34.423439610804074,38.07929747306645
FF,2025-07-30,95.9,-0.86,5.64,"De La Cruz, Elly",682829,686218,field_out,hit_into_play,,,,,6.0,Elly De La Cruz lines out to center fielder James Outman.,R,L,R,CIN,LAD,X,8,line_drive,2,2,2025,-0.97,1.52,0.45,2.41,,,,0,8,Bot,113.28,75.19,,,,,5.713608242982182,-139.3931750641271,-6.43391463481486,-13.90569755054067,32.417984755120024,-11.06978782191872,3.59,1.68,310.0,96.6,17.0,96.7,2516.0,6.9,776941,669257,518692,500743,690976,605141,681624,681546,606192,53.61,0.526,0.541,0.0,1.0,0,0,4.0,64,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,206.0,-0.046,-0.232,72.1,6.3,0.76,0.232,96.6,0,0,0.605,0.605,25,23,26,23,2,3,5.0,1.0,6.0,1.0,0.97,0.97,-0.97,39.6,-0.4958789759352351,9.033302579836173,34.93584620383394,32.80257861431019,30.081413207542774
FC,2025-07-30,96.1,-2.13,5.7,"De La Cruz, Elly",682829,660271,single,hit_into_play,,,,,6.0,Elly De La Cruz singles on a line drive to center fielder Andy Pages. Gavin Lux scores.,R,L,R,CIN,LAD,X,8,line_drive,1,0,2025,-0.05,0.56,0.38,2.31,,666158.0,,1,1,Bot,111.16,96.91,,,,,6.793375203107585,-139.9410548420854,-4.739626271278782,-2.0155570781140395,27.94896330216396,-24.031670856608333,3.59,1.68,226.0,79.1,16.0,97.3,2683.0,6.7,776941,669257,518692,500743,690976,605141,624424,681624,606192,53.84,0.883,0.825,0.9,1.0,1,0,4.0,6,2,Cutter,0,0,0,0,0,1,1,0,Standard,Standard,201.0,0.085,0.51,72.5,6.8,1.004,-0.51,88.0,0,0,0.566,0.566,30,23,31,23,1,0,9.0,1.0,7.0,1.0,1.89,0.05,-0.05,32.3,-3.570502160114434,5.68716773523785,35.022360798041895,32.85130643211206,31.429623578276075
SL,2025-07-29,86.4,2.6,5.55,"De La Cruz, Elly",682829,607455,double,hit_into_play,,,,,5.0,Elly De La Cruz doubles (23) on a line drive to right fielder Teoscar Hernández.,R,R,L,CIN,LAD,X,9,line_drive,1,1,2025,-0.55,0.08,0.16,2.88,,,,2,7,Bot,228.32,105.81,,,,,-4.681794919947836,-125.9380765129986,-0.3765284743029312,-4.987629361046819,23.14716995030832,-31.494212145450025,3.6,1.69,293.0,98.1,19.0,86.5,2193.0,6.1,776963,669257,518692,500743,669242,605141,624424,681624,606192,54.43,0.306,0.354,1.25,1.0,1,1,4.0,63,3,Slider,4,4,4,4,4,4,4,4,Standard,Standard,327.0,0.044,0.595,73.9,6.2,0.549,-0.595,98.1,0,0,0.52,0.52,31,23,32,23,1,3,4.0,1.0,1.0,1.0,2.94,-0.55,0.55,36.6,-2.814902862030557,28.56513975631524,25.412989400124367,40.1473124915203,21.129060816666502
FC,2025-07-28,92.0,-2.07,5.57,"De La Cruz, Elly",682829,808967,single,hit_into_play,,,,,6.0,"Elly De La Cruz singles on a fly ball to shortstop Mookie Betts, deflected by left fielder Michael Conforto. TJ Friedl to 3rd.",R,L,R,CIN,LAD,X,7,fly_ball,0,1,2025,0.08,0.78,0.52,2.93,,670770.0,,1,3,Bot,90.05,121.49,,,,,6.4230175291643175,-133.9969267973306,-2.6456778056256245,-0.3044193120974277,25.62934500107605,-22.389515092460105,3.6,1.69,223.0,73.4,45.0,92.9,2469.0,6.5,776967,687221,518692,808975,500743,605141,624424,681624,606192,53.99,0.203,0.196,0.9,1.0,1,0,3.0,24,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,187.0,0.051,0.577,72.6,6.7,0.251,-0.577,88.0,0,0,0.576,0.576,26,23,27,23,2,1,6.0,1.0,6.0,1.0,1.88,-0.08,0.08,41.4,7.727434164172389,13.253950730522035,34.55144975057328,30.25506434318064,31.051260655504493
SL,2025-07-26,88.6,0.97,5.27,"De La Cruz, Elly",682829,664076,single,hit_into_play,,,,,1.0,Elly De La Cruz singles on a fly ball to center fielder Jonny DeLuca. Spencer Steer scores. TJ Friedl scores. Matt McLain to 3rd.,R,R,L,CIN,TB,X,8,fly_ball,3,2,2025,-0.41,0.14,-0.32,3.26,668715.0,670770.0,680574.0,2,7,Bot,148.49,97.22,,,,,-2.2989841459073643,-129.19020616835678,0.7626868936272235,-4.177625155975964,24.30998469962704,-30.890789861788907,3.59,1.73,246.0,72.0,31.0,88.9,2614.0,6.2,777000,643376,666018,656484,691406,676609,663968,676356,666139,54.35,0.631,0.568,0.9,1.0,1,0,4.0,59,6,Slider,2,2,2,2,2,4,4,2,Infield shade,Standard,256.0,0.277,0.487,69.8,6.0,0.67,-0.487,88.0,0,0,0.616,0.616,31,23,31,23,1,3,4.0,1.0,2.0,1.0,2.73,-0.41,0.41,31.0,3.123111220888317,14.89749208312698,25.738332753953237,32.27432230025341,33.78799079202227
FF,2025-07-25,92.3,-0.67,6.16,"De La Cruz, Elly",682829,641793,double,hit_into_play,,,,,11.0,Elly De La Cruz doubles (20) on a sharp line drive to center fielder Chandler Simpson.,R,L,R,CIN,TB,X,8,line_drive,0,2,2025,-0.8,1.29,-0.33,3.79,,,,0,5,Bot,88.31,60.51,,,,,2.62765804967106,-134.4700969147019,-3.0734803471164627,-10.309358275460566,28.044487290849503,-16.0063526422462,3.59,1.73,355.0,107.8,17.0,92.4,2087.0,6.2,777013,643376,666018,676609,691406,670764,666624,802415,666139,54.3,0.649,0.798,1.25,1.0,1,1,6.0,42,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Infield shade,Standard,218.0,0.059,0.811,76.4,6.5,1.259,-0.811,107.8,1,1,0.713,0.713,29,23,30,23,3,2,6.0,2.0,5.0,1.0,1.37,0.8,-0.8,42.5,7.013323232111284,11.895135069435293,17.67465522733535,38.55838204021585,29.138144659403626
FS,2025-07-25,83.5,-0.88,6.1,"De La Cruz, Elly",682829,641793,field_out,hit_into_play,,,,,7.0,Elly De La Cruz flies out to left fielder Christopher Morel.,R,L,R,CIN,TB,X,7,fly_ball,0,2,2025,-0.92,0.06,-0.53,2.06,,,,2,3,Bot,54.38,84.92,,,,,2.6003837827924574,-121.61567979451873,-2.9487945304058987,-9.627445306509069,25.24047460898037,-31.23239906703589,3.59,1.73,332.0,96.2,38.0,82.8,949.0,5.9,777013,643376,666018,676609,691406,670764,666624,802415,666139,54.59,0.069,0.116,0.0,1.0,0,0,3.0,25,3,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,237.0,-0.012,-0.16,75.3,7.5,0.228,0.16,96.2,0,0,0.512,0.512,29,23,30,23,2,1,6.0,2.0,5.0,1.0,3.22,0.92,-0.92,35.4,10.276500519388003,0.8265732874974483,34.944598656130566,40.4200174048672,38.06944937357381
SL,2025-07-25,89.3,-0.71,6.23,"De La Cruz, Elly",682829,641793,single,hit_into_play,,,,,9.0,Elly De La Cruz singles on a line drive to right fielder Josh Lowe.,R,L,R,CIN,TB,X,9,line_drive,3,2,2025,0.22,0.54,0.76,2.24,,,,2,1,Bot,170.73,91.31,,,,,3.170818598851984,-130.0995521028036,-5.004268278765341,1.858669882313079,25.206660412343016,-25.192163805715484,3.59,1.73,231.0,88.1,18.0,89.4,2149.0,6.1,777013,643376,666018,676609,691406,670764,666624,802415,666139,54.4,0.726,0.677,0.9,1.0,1,0,4.0,7,8,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,197.0,0.012,0.258,76.1,6.8,0.841,-0.258,88.1,0,0,0.51,0.51,29,23,30,23,1,0,6.0,2.0,5.0,1.0,2.29,-0.22,0.22,39.6,3.862538709389973,-3.7128663598686766,41.52848904769596,25.532798868683365,37.36869206046781
