pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-31,90.3,-0.81,5.26,"DeLuca, Jonny",676356,573186,field_out,hit_into_play,,,,,4.0,Jonny DeLuca flies out to left fielder Jasson Domínguez.,R,R,R,NYY,TB,X,7,fly_ball,0,1,2025,-0.71,0.18,-0.32,2.22,,,,2,2,Top,81.85,73.48,,,,,2.7217673526852497,-131.45421062718682,-1.964662705415713,-8.764231538037837,28.995144274106675,-29.88190293612881,3.29,1.54,329.0,96.0,32.0,89.7,2251.0,6.0,776927,700250,502671,665862,641857,683011,691176,641355,596103,54.48,0.209,0.361,0.0,1.0,0,0,5.0,13,2,Sinker,3,0,0,3,0,3,0,3,Standard,Strategic,205.0,0.009,-0.217,73.8,7.7,0.674,0.217,96.0,3,-3,0.821,0.179,34,26,34,27,1,0,5.0,1.0,,1.0,2.62,0.71,0.71,39.8,7.397598235361928,-16.339096355976714,26.94550853715352,33.19182973823609,33.94187988995164
SI,2025-07-29,90.2,1.88,5.73,"DeLuca, Jonny",676356,608331,triple,hit_into_play,,,,,9.0,Jonny DeLuca triples (2) on a line drive to right fielder Cody Bellinger. Yandy Díaz scores. Jonathan Aranda scores.,R,R,L,NYY,TB,X,9,line_drive,3,1,2025,1.2,0.27,0.47,1.79,650490.0,666018.0,,2,1,Top,162.09,62.96,,,,,-6.082887562057915,-131.31788779126413,-4.471613304732173,15.166224329751063,26.38782161994548,-28.343163126905143,3.3,1.56,320.0,99.1,16.0,91.0,1955.0,6.6,776949,669224,502671,665862,641857,683011,691176,663757,641355,53.88,0.574,0.6,1.6,1.0,1,2,4.0,5,5,Sinker,0,0,0,0,2,0,2,0,Standard,Standard,145.0,-0.176,0.858,78.9,7.5,0.837,-0.858,99.1,0,0,0.49,0.51,31,26,31,27,1,0,6.0,1.0,6.0,1.0,2.52,1.2,-1.2,40.2,-0.1716633663835979,6.381982885621148,28.44994016300849,41.46692893756325,27.432956285648004
FC,2025-07-26,87.1,-1.44,5.67,"DeLuca, Jonny",676356,641941,field_out,hit_into_play,,,,,6.0,Jonny DeLuca lines out to left fielder Austin Hays.,R,R,R,CIN,TB,X,7,line_drive,1,1,2025,0.59,0.24,0.48,2.27,,,,1,9,Top,88.34,108.68,,,,,3.45185019776652,-126.87308112586383,-2.5731930581246742,5.761766167596038,24.074270997155928,-29.250971413325527,3.28,1.54,289.0,101.0,13.0,88.4,2380.0,6.9,777000,663886,668715,680574,669289,682829,669720,670770,641584,53.63,0.914,0.883,0.0,1.0,0,0,4.0,74,3,Cutter,6,2,2,6,2,6,2,6,Standard,Standard,175.0,0.004,-0.244,73.1,7.9,1.123,0.244,101.0,4,-4,0.995,0.005,34,26,34,27,1,3,1.0,112.0,1.0,2.0,2.74,-0.59,-0.59,41.6,2.6270827708576423,-11.412398630389424,22.89666400265635,40.893560857521365,38.47432689794929
FF,2025-08-06,95.8,1.84,6.38,"DeLuca, Jonny",676356,656271,triple,hit_into_play,,,,,3.0,Jonny DeLuca triples (3) on a fly ball to right fielder Jo Adell.,R,R,L,LAA,TB,X,9,fly_ball,2,1,2025,0.6,1.15,0.83,3.26,,,,2,6,Top,149.19,43.15,,,,,-4.046550927047248,-139.52557976520652,-5.2881149333848665,8.792378461254277,29.26854844353393,-16.17442997270283,3.31,1.54,389.0,98.2,27.0,96.4,2172.0,6.4,776843,681351,694384,695681,650859,687263,621493,669326,666176,54.09,0.46,0.739,1.6,1.0,1,2,6.0,46,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,146.0,-0.044,0.596,70.3,7.6,1.331,-0.596,98.2,0,0,0.558,0.442,28,26,29,27,1,2,2.0,1.0,2.0,,1.32,0.6,-0.6,48.8,7.404826609384394,9.911086287776332,10.808058644644438,46.369167488230325,27.694220562217524
SI,2025-08-05,96.4,-1.38,5.59,"DeLuca, Jonny",676356,667755,field_out,hit_into_play,,,,,5.0,Jonny DeLuca flies out to right fielder Jo Adell.,R,R,R,LAA,TB,X,9,fly_ball,0,0,2025,-0.95,0.12,0.15,2.4,,,663968.0,0,4,Top,179.14,96.83,,,,,6.250391083671532,-140.2168306875928,-3.177850165824961,-13.900417378755462,32.61435165429653,-30.0630129567469,3.3,1.54,318.0,90.3,30.0,96.9,1976.0,6.6,776848,681351,694384,695681,672724,687263,621493,669326,666176,53.86,0.071,0.096,0.0,1.0,0,0,3.0,25,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,232.0,0.012,-0.242,74.1,7.1,0.157,0.242,90.3,-4,4,0.101,0.899,26,26,27,27,2,1,6.0,1.0,6.0,1.0,2.34,0.95,0.95,32.8,-2.179340100422342,15.093248603628444,21.32878067162113,37.552966213934674,21.8181728762537
SI,2025-08-05,89.3,1.74,6.75,"DeLuca, Jonny",676356,605177,field_out,hit_into_play,,,,,6.0,Jonny DeLuca flies out to right fielder Jo Adell.,R,R,L,LAA,TB,X,9,fly_ball,1,0,2025,1.16,1.27,0.34,2.5,,,,0,6,Top,138.87,115.42,,,,,-5.857423715909182,-129.84256026739342,-7.084075209818027,14.38377613397159,27.235007623485046,-16.459059318979875,3.3,1.54,213.0,90.8,58.0,89.0,2150.0,6.2,776848,681351,694384,695681,672724,687263,621493,669326,666176,54.33,0.009,0.009,0.0,1.0,0,0,3.0,43,2,Sinker,2,7,7,2,7,2,7,2,Standard,Standard,150.0,0.003,-0.301,78.1,7.5,0.015,0.301,90.8,-5,5,0.042,0.958,35,26,35,27,1,2,2.0,1.0,3.0,1.0,1.59,1.16,-1.16,53.3,7.093783480431993,-5.554467491818234,24.598532467902587,39.50334550048749,34.95603525668497
SL,2025-08-04,87.0,2.21,5.37,"DeLuca, Jonny",676356,579328,single,hit_into_play,,,,,9.0,Jonny DeLuca singles on a line drive to left fielder Taylor Ward.,R,R,L,LAA,TB,X,7,line_drive,2,2,2025,-0.32,0.23,0.72,1.92,,,,2,6,Top,81.85,86.96,,,,,-2.951120254832074,-126.70860806148444,-2.6186400905925264,-2.8920267615177933,24.813289250674774,-29.406089958815457,3.29,1.54,188.0,95.6,11.0,88.2,2349.0,6.9,776867,518595,694384,695681,660162,687263,621493,669326,666176,53.58,0.809,0.776,0.9,1.0,1,0,4.0,47,5,Slider,4,1,1,4,1,4,1,4,Standard,Standard,242.0,-0.012,0.362,75.0,8.0,0.953,-0.362,95.6,3,-3,0.909,0.091,34,26,34,27,3,2,6.0,1.0,5.0,1.0,2.77,-0.32,0.32,38.9,9.199300758371765,-7.631331561673062,25.647634953748053,43.648325664940536,34.399922138880946
CU,2025-08-04,81.2,1.78,5.62,"DeLuca, Jonny",676356,579328,field_out,hit_into_play,,,,,7.0,Jonny DeLuca flies out to left fielder Taylor Ward.,R,R,L,LAA,TB,X,7,fly_ball,1,1,2025,-0.66,-0.41,-0.44,1.94,,,673490.0,2,1,Top,43.07,79.63,,,,,-3.732331532595884,-118.30047547503736,-0.8776450110863825,-5.511348321674864,22.278708491791303,-36.06849517738254,3.29,1.54,357.0,95.3,35.0,82.0,2614.0,6.7,776867,518595,694384,695681,660162,687263,621493,669326,666176,53.78,0.106,0.205,0.0,1.0,0,0,3.0,5,3,Curveball,0,1,1,0,1,0,1,0,Infield shade,Standard,320.0,0.02,-0.256,68.5,7.7,0.39,0.256,95.3,-1,1,0.422,0.578,34,26,34,27,1,0,6.0,1.0,5.0,1.0,3.85,-0.66,0.66,45.2,9.05758201998918,-20.846414474600248,28.948969202430774,31.9743039795993,38.82762869408771
FF,2025-08-03,92.2,0.34,5.98,"DeLuca, Jonny",676356,681911,field_out,hit_into_play,,,,,8.0,Jonny DeLuca lines out to right fielder Alex Call.,R,R,L,TB,LAD,X,9,line_drive,3,2,2025,0.62,1.54,-0.13,1.55,,,,1,7,Bot,191.08,125.45,,,,,-2.5278509456308016,-134.1045258015245,-8.795162385827675,8.02971564655597,26.231917181828397,-11.944954075611816,3.28,1.55,244.0,77.2,29.0,92.2,2460.0,6.1,776889,669257,518692,500743,690976,605141,624424,681624,669743,54.37,0.229,0.206,0.0,1.0,0,0,3.0,57,6,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,161.0,-0.026,-0.333,69.2,7.0,0.252,0.333,88.0,-2,-2,0.171,0.171,29,26,29,27,1,2,5.0,1.0,2.0,1.0,1.13,0.62,-0.62,70.5,-9.280395538449882,10.86433898261554,33.145733779322235,33.61428633619012,25.79825253541482
SL,2025-08-01,85.5,1.79,6.14,"DeLuca, Jonny",676356,477132,field_out,hit_into_play,,,,,4.0,Jonny DeLuca flies out to center fielder Andy Pages.,R,R,L,TB,LAD,X,8,fly_ball,1,2,2025,-0.69,0.51,-0.37,2.1,664040.0,,666624.0,2,6,Bot,119.99,103.86,,,,,-3.715112136422472,-124.47361352129288,-4.300865149224421,-6.485148415512497,24.60592420346791,-26.266706605039797,3.28,1.54,239.0,84.3,53.0,85.7,2483.0,6.4,776918,669257,518692,669242,690976,605141,624424,681624,606192,54.13,0.026,0.032,0.0,1.0,0,0,3.0,53,4,Slider,0,5,0,5,5,0,0,5,Standard,Standard,208.0,-0.021,-0.188,76.9,7.7,0.043,0.188,88.0,-5,-5,0.049,0.049,37,26,37,27,3,2,6.0,1.0,7.0,1.0,2.61,-0.69,0.69,55.7,6.329890640136761,-9.860027543680845,28.9725395176289,30.133587610387902,33.986292650594066
