pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-05-31,92.7,-0.86,6.11,"Dezenzo, Zach",701305,641793,field_out,hit_into_play,,,,,7.0,Zach Dezenzo flies out to center fielder Jake Mangum.,R,R,R,HOU,TB,X,8,fly_ball,2,2,2025,-1.24,1.21,-0.81,2.01,,701358.0,676694.0,2,4,Bot,138.4,76.97,,,,,2.847286999545802,-134.74705010580675,-7.22831497853633,-15.647801863129558,34.10018493307679,-15.996373624834272,3.38,1.64,304.0,97.0,45.0,92.1,2127.0,6.4,777693,643376,650490,664040,678554,676609,666624,663968,666139,54.11,0.011,0.012,0.0,1.0,0,0,3.0,34,5,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,219.0,-0.058,-0.203,,,0.023,0.203,97.0,-1,-1,0.414,0.414,29,25,30,25,2,1,5.0,1.0,6.0,,1.48,1.24,1.24,36.3,,,,,
FF,2025-05-30,95.6,-0.78,6.14,"Dezenzo, Zach",701305,686752,field_out,hit_into_play,,,,,5.0,Zach Dezenzo flies out to right fielder José Caballero.,R,R,R,HOU,TB,X,9,fly_ball,2,2,2025,-0.61,1.75,0.27,2.79,,,,0,6,Bot,193.57,114.73,,,,,4.160484562743818,-138.8128229343818,-7.053525188750554,-8.93271508246173,37.60968479477395,-8.2505572055298,3.38,1.64,267.0,100.0,54.0,95.1,2444.0,6.6,777714,643376,666018,678554,691406,670764,666624,663968,676609,53.91,0.014,0.023,0.0,1.0,0,0,3.0,36,10,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,207.0,-0.04,-0.232,72.9,7.4,0.037,0.232,100.0,-1,-1,0.387,0.387,27,25,28,25,2,1,5.0,1.0,6.0,1.0,0.8,0.61,0.61,44.8,13.38624300125,1.875276911981943,37.54905757393957,40.19748746929911,33.38022574771025
FF,2025-05-30,95.6,-0.83,6.12,"Dezenzo, Zach",701305,686752,field_out,hit_into_play,,,,,3.0,Zach Dezenzo flies out to center fielder Jake Mangum.,R,R,R,HOU,TB,X,8,fly_ball,3,2,2025,-0.69,1.72,0.31,2.9,,,676694.0,0,3,Bot,107.66,76.04,,,,,4.585355263427271,-138.81689039963874,-6.642543414159056,-9.969502430757617,38.022144332929976,-8.67569936838706,3.38,1.64,331.0,101.7,48.0,95.1,2500.0,6.6,777714,643376,666018,678554,691406,670764,666624,663968,676609,53.85,0.026,0.04,0.0,1.0,0,0,3.0,18,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,204.0,-0.041,-0.314,73.8,7.9,0.068,0.314,101.7,-1,-1,0.474,0.474,27,25,28,25,1,0,5.0,1.0,6.0,1.0,0.83,0.69,0.69,44.6,18.572833621705264,-4.196169155005908,36.73523581627733,40.58535345520748,36.390882285961794
SI,2025-05-28,96.8,-1.82,6.15,"Dezenzo, Zach",701305,622663,field_out,hit_into_play,,,,,5.0,Zach Dezenzo flies out to center fielder Denzel Clarke.,R,R,R,HOU,ATH,X,8,fly_ball,1,1,2025,-1.11,1.2,0.23,2.58,,,701358.0,2,4,Bot,143.9,52.22,,,,,8.039494281167276,-140.48258720203827,-6.6602236573291735,-16.635705857430896,35.06670723478323,-14.897520587095634,3.45,1.66,395.0,102.9,30.0,96.6,2251.0,6.6,777734,669127,680769,649966,609280,805779,691016,672016,671732,53.92,0.754,1.478,0.0,1.0,0,0,6.0,34,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,210.0,-0.028,-0.256,76.2,7.8,2.866,0.256,102.9,0,0,0.528,0.528,31,25,31,25,2,1,6.0,1.0,5.0,1.0,1.26,1.11,1.11,44.4,15.095780022048334,-0.194724637031028,36.35815399594779,39.579575049182566,27.28205898146037
SI,2025-05-28,96.9,-1.62,6.17,"Dezenzo, Zach",701305,622663,single,hit_into_play,,,,,4.0,Zach Dezenzo singles on a line drive to left fielder Tyler Soderstrom.,R,R,R,HOU,ATH,X,7,line_drive,3,2,2025,-1.2,1.09,-0.29,2.67,,,,1,3,Bot,88.07,90.46,,,,,6.304467434322033,-140.788844720821,-6.260392172695338,-17.35597915872241,34.942102576328644,-16.390313742276895,3.45,1.66,258.0,81.8,21.0,96.7,2133.0,6.5,777734,669127,680769,649966,609280,805779,691016,672016,671732,54.01,0.794,0.725,0.9,1.0,1,0,4.0,21,6,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,209.0,0.03,0.336,78.2,7.5,0.876,-0.336,88.0,-2,-2,0.291,0.291,31,25,31,25,1,0,6.0,1.0,5.0,1.0,1.36,1.2,1.2,45.9,12.968274814440054,-2.6123950768547552,37.600334957305925,31.88397319219291,26.949458932943703
ST,2025-05-24,81.7,-1.41,5.25,"Dezenzo, Zach",701305,693433,single,hit_into_play,,,,,9.0,"Astros challenged (trap play), call on the field was overturned: Zach Dezenzo singles on a line drive to center fielder Julio Rodríguez.",R,R,R,HOU,SEA,X,8,line_drive,1,1,2025,1.04,0.07,0.77,1.7,,,,0,2,Bot,140.17,96.12,,,,,2.90442766578993,-118.79152588292834,-1.4073554359104357,9.076649272933247,27.06928931215703,-31.427780370738223,3.41,1.65,259.0,76.5,29.0,81.3,2480.0,6.5,777787,641598,456781,660844,810938,641487,668227,677594,664238,53.99,0.34,0.33,0.9,1.0,1,0,3.0,17,3,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,65.0,0.031,0.447,71.1,7.7,0.405,-0.447,88.0,1,1,0.66,0.66,25,25,25,25,1,0,6.0,4.0,6.0,3.0,3.4,-1.04,-1.04,29.9,13.247853952417543,6.282521768398428,43.62437084289968,46.20916518437343,34.63984867148432
ST,2025-05-16,77.8,4.27,4.21,"Dezenzo, Zach",701305,571948,field_out,hit_into_play,,,,,5.0,Zach Dezenzo flies out to right fielder Adolis García.,R,R,L,TEX,HOU,X,9,fly_ball,1,1,2025,-1.36,-0.07,-0.13,2.45,,,676694.0,1,7,Top,185.8,66.04,,,,,-6.979714916121456,-113.03174892258248,3.383096530721696,-10.196788555802987,22.33864923865024,-33.70799908362913,3.38,1.66,360.0,98.6,26.0,78.1,1930.0,6.8,777895,641680,669394,543760,673962,669701,694671,694497,666969,53.74,0.474,0.758,0.0,1.0,0,0,6.0,51,3,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,295.0,0.042,-0.235,73.2,7.0,1.362,0.235,98.6,2,-2,0.818,0.182,34,25,34,25,1,2,3.0,1.0,6.0,2.0,3.87,-1.36,1.36,-5.5,4.412636052049588,14.25047935928464,40.10986596712535,37.91338943793254,27.17391518820852
SL,2025-05-15,88.3,-1.46,5.57,"Dezenzo, Zach",701305,594798,single,hit_into_play,,,,,5.0,Zach Dezenzo singles on a sharp line drive to left fielder Wyatt Langford.,R,R,R,TEX,HOU,X,7,line_drive,0,1,2025,0.49,0.09,0.17,2.52,,,,1,7,Top,69.11,97.01,,,,,2.960730913831638,-128.6184157185375,-1.5810736341923923,4.912684059763202,25.405649686066308,-31.078490727225898,3.39,1.66,195.0,102.1,11.0,88.9,2799.0,6.5,777910,641680,669394,543760,673962,669701,694671,694497,666969,54.02,0.923,0.878,0.9,1.0,1,0,4.0,45,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,115.0,-0.049,0.454,72.8,7.5,1.098,-0.454,102.1,1,-1,0.743,0.257,37,25,37,25,3,2,5.0,1.0,6.0,1.0,2.82,-0.49,-0.49,31.6,12.828297094290038,2.6861095770105656,36.77604118293032,38.6419805033908,31.63235724089525
SI,2025-05-14,96.0,-1.1,5.92,"Dezenzo, Zach",701305,547179,single,hit_into_play,,,,,5.0,Zach Dezenzo singles on a line drive to right fielder Hunter Renfroe.,R,R,R,HOU,KC,X,9,line_drive,0,1,2025,-1.38,0.84,0.18,2.69,,,,1,8,Bot,167.19,96.5,,,,,6.453276899685854,-139.46008506267205,-4.71968414046419,-19.458875459000623,35.04624238825895,-20.353952032639885,3.41,1.66,169.0,90.1,11.0,94.5,2060.0,5.8,777920,521692,686469,686681,672580,677951,671221,664728,592669,54.71,0.643,0.595,0.9,1.0,1,0,4.0,61,2,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,229.0,0.07,0.454,70.8,7.1,0.697,-0.454,90.1,-1,-1,0.235,0.235,33,25,33,25,3,2,5.0,2.0,6.0,1.0,1.67,1.38,1.38,41.4,1.440261383371853,21.50235946353307,36.46898770457732,39.92681630639324,19.250535751174635
SI,2025-05-14,93.0,-1.53,6.07,"Dezenzo, Zach",701305,547179,field_out,hit_into_play,,,,,4.0,Zach Dezenzo flies out to left fielder Mark Canha.,R,R,R,HOU,KC,X,7,fly_ball,1,0,2025,-1.34,0.85,-0.74,2.44,,,,0,6,Bot,98.17,84.55,,,,,4.918098000629097,-135.29176099423714,-5.334812557728716,-17.520676712498776,32.166195118180426,-20.713684028396333,3.41,1.66,293.0,83.6,38.0,91.9,2063.0,5.9,777920,521692,686469,686681,672580,677951,592192,671221,592669,54.64,0.011,0.013,0.0,1.0,0,0,3.0,45,2,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,223.0,-0.035,-0.301,76.4,7.8,0.022,0.301,88.0,-2,-2,0.248,0.248,33,25,33,25,2,1,5.0,2.0,6.0,1.0,1.8,1.34,1.34,45.5,11.479933805975604,-1.7156150721921162,38.78137895545509,28.102671439175214,29.564157249743307
