pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-31,96.3,-0.91,5.89,"Domínguez, Jasson",691176,686752,field_out,hit_into_play,,,,,4.0,Jasson Domínguez flies out to left fielder Chandler Simpson.,R,L,R,NYY,TB,X,7,fly_ball,2,2,2025,-0.61,1.66,-0.52,2.56,,,,2,1,Bot,37.56,113.28,,,,,2.4305366468910137,-140.0376659908063,-7.006196248472356,-8.517122930064511,35.34181952792313,-9.015748204103089,3.49,1.64,303.0,92.6,39.0,96.4,2454.0,6.7,776927,663743,666018,664040,691406,670764,802415,676356,666139,53.85,0.04,0.072,0.0,1.0,0,0,3.0,10,5,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,200.0,-0.006,-0.224,73.9,7.5,0.13,0.224,92.6,3,3,0.794,0.794,27,22,28,22,1,0,5.0,1.0,5.0,1.0,0.83,0.61,-0.61,48.0,1.2068265607122062,9.17434439291111,31.850226231022592,36.37354480075196,22.92570137411857
SI,2025-07-30,92.5,-0.69,5.98,"Domínguez, Jasson",691176,641793,field_out,hit_into_play,,,,,3.0,Jasson Domínguez flies out to center fielder Chandler Simpson.,R,L,R,NYY,TB,X,8,fly_ball,2,2,2025,-1.15,0.95,0.32,3.2,,665862.0,,1,4,Bot,138.64,82.26,,,,,5.069619970421858,-134.6939731077118,-3.3861931193506942,-15.127424459696304,28.04944185899536,-20.107342039700494,3.49,1.64,329.0,91.1,35.0,92.7,2021.0,6.3,776938,642136,666018,664040,691406,670764,663968,802415,666139,54.22,0.034,0.05,0.0,1.0,0,0,3.0,32,7,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,215.0,-0.047,-0.214,76.4,7.4,0.082,0.214,91.1,-1,-1,0.447,0.447,29,22,30,22,2,1,5.0,1.0,6.0,1.0,1.71,1.15,-1.15,35.4,6.121499430813508,-9.337166501553847,24.886486485880933,26.437806924714764,30.98270520662131
SL,2025-07-30,88.6,-0.87,6.26,"Domínguez, Jasson",691176,641793,field_out,hit_into_play,,,,,8.0,Jasson Domínguez lines out sharply to right fielder Josh Lowe.,R,L,R,NYY,TB,X,9,line_drive,0,1,2025,-0.12,0.7,-0.06,2.0,,,,2,2,Bot,189.69,85.84,,,,,2.226658289562207,-129.05579716548647,-5.859795350265645,-1.7989561808919303,25.2742134323055,-23.337946365751364,3.49,1.64,321.0,109.6,13.0,88.7,2415.0,6.2,776938,642136,666018,664040,691406,670764,663968,802415,666139,54.33,0.817,0.829,0.0,1.0,0,0,5.0,13,2,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,198.0,-0.011,-0.217,76.2,8.1,1.135,0.217,109.6,0,0,0.511,0.511,29,22,30,22,1,0,5.0,1.0,6.0,1.0,2.18,0.12,-0.12,40.6,-3.740424862969347,-11.72920214633788,33.95703294542429,31.494606195229984,34.15269040911292
SL,2025-07-29,91.0,-1.4,5.81,"Domínguez, Jasson",691176,671212,double,hit_into_play,,,,,8.0,Jasson Domínguez doubles (16) on a fly ball to left fielder Christopher Morel.,R,L,R,NYY,TB,X,7,fly_ball,1,0,2025,0.38,0.14,-0.1,1.85,,,,1,2,Bot,35.77,114.62,,,,,2.4649983652046368,-132.69732881057294,-4.436233827607554,4.0234945364508485,24.916771963597984,-29.90059634884324,3.5,1.65,304.0,89.9,33.0,91.9,2595.0,6.4,776949,663743,650490,676609,691406,670764,666624,676356,666139,54.09,0.031,0.046,1.25,1.0,1,1,3.0,16,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,128.0,0.044,0.603,76.3,7.6,0.082,-0.603,89.9,-2,-2,0.307,0.307,25,22,26,22,1,0,6.0,1.0,5.0,1.0,2.58,-0.38,0.38,32.5,-3.5797582492756623,5.454321287855887,37.92065551067438,32.902129884077205,24.70478535776354
FC,2025-07-28,89.4,-2.0,6.02,"Domínguez, Jasson",691176,656876,single,hit_into_play,,,,,6.0,Jasson Domínguez singles on a line drive to right fielder Josh Lowe.,R,L,R,NYY,TB,X,9,line_drive,0,0,2025,0.53,0.04,0.53,2.8,,,,2,5,Bot,182.73,134.62,,,,,5.153437552683542,-130.19548436311797,-2.0516553708792244,4.971479832168306,25.89177875458554,-31.493734038583483,3.5,1.65,175.0,73.6,15.0,89.9,2636.0,6.5,776970,642136,666018,676609,691406,670764,663968,802415,666139,54.04,0.557,0.501,0.9,1.0,1,0,4.0,45,1,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,164.0,0.02,0.326,73.7,7.7,0.574,-0.326,88.0,-1,-1,0.349,0.349,29,22,30,22,3,2,6.0,1.0,5.0,1.0,2.79,-0.53,0.53,56.6,6.344647829161359,-4.672690970817829,27.229646168237316,24.93197658835326,29.172904595903823
FC,2025-07-28,88.9,-2.02,6.08,"Domínguez, Jasson",691176,656876,single,hit_into_play,,,,,2.0,Jasson Domínguez singles on a line drive to left fielder Jake Mangum.,R,L,R,NYY,TB,X,7,line_drive,0,2,2025,0.35,0.02,0.16,3.14,,,,1,1,Bot,60.55,119.71,,,,,4.594964177272811,-129.5595599575028,-1.3001817659157884,3.154171613825011,23.9396254783077,-31.845239061127398,3.5,1.65,207.0,75.6,19.0,89.3,2645.0,6.2,776970,642136,666018,656484,691406,670764,663968,802415,666139,54.28,0.977,0.885,0.9,1.0,1,0,4.0,9,3,Cutter,0,2,0,2,2,0,0,2,Infield shade,Standard,141.0,0.026,0.506,71.7,6.4,1.035,-0.506,88.0,-2,-2,0.32,0.32,29,22,30,22,1,0,6.0,1.0,5.0,1.0,2.82,-0.35,0.35,57.3,-3.5741979956761702,17.727930012735026,29.3044072635664,28.57607653447011,16.73156412560403
FF,2025-07-27,94.8,-1.93,5.06,"Domínguez, Jasson",691176,554430,field_out,hit_into_play,,,,,6.0,Jasson Domínguez flies out to left fielder Kyle Schwarber.,R,L,R,NYY,PHI,X,7,fly_ball,1,0,2025,-1.11,1.18,0.58,2.3,,,,0,4,Bot,79.55,113.57,,,,,9.251683726648908,-137.76120561095203,-4.235123606377922,-16.261713040139014,31.450211289485885,-16.38072386778968,3.5,1.65,244.0,74.2,44.0,96.6,2489.0,7.4,776988,592663,547180,642215,805249,624641,656941,679032,592206,53.06,0.209,0.212,0.0,1.0,0,0,3.0,29,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,231.0,-0.014,-0.301,75.6,7.8,0.265,0.301,88.0,2,2,0.793,0.793,35,22,35,22,2,1,6.0,1.0,6.0,1.0,1.37,1.11,-1.11,23.5,-1.0543342394158823,-0.802115157562392,37.60321741579438,26.358389047177337,23.0450369356474
FF,2025-07-27,92.3,1.92,5.33,"Domínguez, Jasson",691176,621381,single,hit_into_play,,,,,4.0,Jasson Domínguez singles on a fly ball to right fielder Nick Castellanos.,R,R,L,NYY,PHI,X,9,fly_ball,2,1,2025,1.24,1.24,-0.61,2.25,,,,1,8,Bot,184.61,126.63,,,,,-9.077350106524449,-134.04102100311846,-4.616507035148143,17.030156443295407,32.34770143363188,-16.423190263512833,3.5,1.65,219.0,67.9,33.0,91.3,2530.0,6.1,776988,592663,547180,681082,805249,624641,656941,669016,592206,54.45,0.894,0.817,0.9,1.0,1,0,4.0,63,4,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,132.0,0.014,0.371,72.0,7.0,0.948,-0.371,88.0,1,1,0.858,0.858,33,22,34,22,1,3,4.0,1.0,6.0,1.0,1.47,1.24,-1.24,28.5,-7.236514723690334,5.99204356355608,38.30990441167737,28.930834760176708,21.96566455914095
FF,2025-07-26,89.7,2.39,5.73,"Domínguez, Jasson",691176,624133,single,hit_into_play,,,,,4.0,Jasson Domínguez singles on a line drive to center fielder Johan Rojas. Jazz Chisholm Jr. scores. Anthony Volpe to 3rd.,R,R,L,NYY,PHI,X,8,line_drive,3,1,2025,0.61,1.04,-0.66,2.81,,665862.0,683011.0,2,4,Bot,111.12,107.25,,,,,-8.8334547895001,-130.3359592835113,-3.396122461677671,8.806996055663303,27.81158018788135,-19.82551262512629,3.5,1.67,191.0,66.0,24.0,89.7,2062.0,6.4,777001,592663,547180,681082,624641,607208,669016,679032,596146,54.11,0.846,0.764,0.9,1.0,1,0,4.0,39,5,4-Seam Fastball,0,4,0,4,4,1,1,4,Standard,Standard,140.0,0.074,0.432,73.9,7.1,0.889,-0.432,88.0,-4,-4,0.129,0.129,29,22,30,22,2,1,6.0,3.0,6.0,1.0,1.81,0.61,-0.61,37.9,4.134960807160472,2.868835575130378,31.584041725714144,27.747449048206946,24.06883231016036
CH,2025-07-26,83.2,0.83,6.19,"Domínguez, Jasson",691176,660604,field_out,hit_into_play,,,,,2.0,Jasson Domínguez flies out to left fielder Brandon Marsh.,R,L,R,NYY,PHI,X,7,fly_ball,1,1,2025,-1.01,0.83,-0.15,3.4,,700250.0,641857.0,1,8,Bot,76.31,108.1,,,,,-0.2471696980405337,-121.15436342691572,-1.5896336424549902,-9.939267570249829,23.67181458381495,-23.89852043982223,3.5,1.67,296.0,92.7,50.0,83.9,2078.0,6.7,777001,592663,547180,681082,805249,607208,669016,679032,596146,53.77,0.009,0.012,0.0,1.0,0,0,3.0,80,3,Changeup,3,9,3,9,9,3,3,9,Standard,Standard,220.0,-0.009,-0.229,73.8,7.3,0.019,0.229,92.7,-6,-6,0.016,0.016,27,22,28,22,1,3,29.0,3.0,4.0,1.0,2.46,1.01,-1.01,74.5,8.278656504632217,1.4002760561903602,21.45457642133477,35.82379739126569,28.77146943403074
