pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-28,95.7,-0.63,6.15,"Díaz, Elias",553869,593423,field_out,hit_into_play,,,,,4.0,Elias Díaz flies out to left fielder Brandon Nimmo.,R,R,R,SD,NYM,X,7,fly_ball,0,0,2025,-1.43,1.13,-0.58,2.58,,,,2,4,Bot,93.6,95.57,,,,,3.30555572949869,-139.14406838964172,-6.213280683034422,-19.26172766812054,34.23510609231178,-16.294182694343306,3.26,1.44,270.0,76.5,39.0,94.2,2309.0,5.7,776959,682626,624413,683146,677595,596019,607043,643446,665742,54.85,0.066,0.075,0.0,1.0,0,0,3.0,36,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,210.0,-0.013,-0.26,73.8,6.8,0.102,0.26,88.0,0,0,0.513,0.513,32,34,32,35,2,1,6.0,1.0,6.0,1.0,1.38,1.43,1.43,49.0,7.063804146794211,2.5806330152323613,26.52826959755805,29.24502822486641,34.23578428828449
SI,2025-07-28,96.2,1.57,5.43,"Díaz, Elias",553869,642397,single,hit_into_play,,,,,5.0,Elias Díaz singles on a line drive to left fielder Brandon Nimmo. Jose Iglesias scores. Jake Cronenworth to 2nd.,R,R,L,SD,NYM,X,7,line_drive,1,2,2025,1.68,0.57,-0.1,2.39,,578428.0,630105.0,2,9,Bot,98.07,98.65,,,,,-8.225815424049078,-139.7848490953818,-3.713385715824405,23.92196946288831,34.44306531856605,-24.02140956155903,3.26,1.44,260.0,88.8,16.0,95.7,2377.0,6.3,776959,682626,624413,683146,677595,596019,607043,643446,665742,54.22,0.98,0.918,0.9,1.0,1,0,4.0,83,5,Sinker,6,6,6,6,6,7,7,6,Standard,Standard,131.0,0.389,0.633,,,1.115,-0.633,88.8,0,0,0.611,0.611,30,34,30,35,1,4,1.0,1.0,5.0,1.0,1.92,1.68,-1.68,31.2,,,,,
SI,2025-07-28,99.9,-1.77,5.77,"Díaz, Elias",553869,623211,single,hit_into_play,,,,,4.0,Elias Díaz singles on a line drive to left fielder Brandon Nimmo. Jake Cronenworth scores. Bryce Johnson to 2nd.,R,R,R,SD,NYM,X,7,line_drive,0,0,2025,-1.59,0.82,-0.55,2.51,630105.0,,669369.0,2,5,Bot,100.96,111.24,,,,,7.04416109875764,-145.10429767412796,-5.412322271993068,-24.050608005563536,38.75083151127093,-19.487581487413028,3.26,1.44,229.0,77.2,18.0,98.8,2296.0,6.1,776959,682626,624413,683146,677595,596019,607043,643446,665742,54.43,0.96,0.877,0.9,1.0,1,0,4.0,52,1,Sinker,5,5,5,5,5,6,6,5,Standard,Standard,225.0,0.142,0.622,76.9,6.8,1.034,-0.622,88.0,0,0,0.566,0.566,35,34,36,35,1,2,3.0,1.0,27.0,1.0,1.5,1.59,1.59,41.0,-1.552573174583038,-6.4694527030854605,28.64767855693516,29.23091496919197,33.0695587771198
ST,2025-07-25,80.8,-2.38,6.42,"Díaz, Elias",553869,571945,field_out,hit_into_play,,,,,6.0,Elias Díaz flies out to center fielder Victor Scott II.,R,R,R,STL,SD,X,8,fly_ball,1,2,2025,1.09,-0.62,0.69,2.55,,,,1,5,Top,131.29,110.12,,,,,4.76786608287627,-117.6439915185083,-0.8006349282693902,9.181067515491634,22.46197211693531,-37.953319791184335,3.27,1.46,224.0,75.5,47.0,80.9,2515.0,6.3,777005,650968,575929,680977,571448,691026,676475,687363,691023,54.16,0.103,0.106,0.0,1.0,0,0,3.0,35,4,Sweeper,3,0,0,3,0,3,0,3,Standard,Standard,42.0,0.015,-0.18,70.1,7.0,0.133,0.18,88.0,3,-3,0.868,0.132,36,34,37,35,2,1,5.0,2.0,5.0,2.0,4.1,-1.09,-1.09,43.7,3.1237482792316884,-8.054880214144223,18.863264927293365,43.37050940219719,43.27071098386685
SL,2025-07-25,89.3,-2.51,6.39,"Díaz, Elias",553869,571945,single,hit_into_play,,,,,9.0,Elias Díaz singles on a line drive to left fielder Alec Burleson.,R,R,R,STL,SD,X,7,line_drive,3,2,2025,0.55,0.71,0.43,2.02,,,,1,3,Top,82.52,88.67,,,,,6.086108213250791,-129.94039393903853,-6.278331669943579,5.023111981582163,25.581700581259756,-23.06175168056673,3.27,1.46,207.0,89.8,14.0,89.7,2295.0,6.4,777005,650968,575929,680977,571448,691026,676475,687363,691023,54.09,0.977,0.928,0.9,1.0,1,0,4.0,17,7,Slider,1,0,0,1,0,1,0,1,Standard,Standard,195.0,-0.029,0.336,76.9,7.6,1.146,-0.336,89.8,1,-1,0.643,0.357,36,34,37,35,1,0,5.0,2.0,5.0,2.0,2.14,-0.55,-0.55,42.1,15.365358987981802,-10.8799195786625,24.67065275190138,39.92123023493737,45.00431160656388
FF,2025-07-20,92.9,-1.64,6.27,"Díaz, Elias",553869,691251,single,hit_into_play,,,,,5.0,Elias Díaz singles on a sharp line drive to left fielder Daylen Lile. Bryce Johnson to 2nd.,R,R,R,WSH,SD,X,7,line_drive,2,1,2025,-0.99,0.91,0.02,2.68,,,669369.0,2,7,Top,85.1,122.68,,,,,6.386109323777887,-135.14974519974356,-5.455731824070612,-13.480642410077056,26.028603998926265,-20.01280151329653,3.25,1.43,154.0,109.7,7.0,93.1,2117.0,6.2,777077,656180,663993,671277,657557,682928,695734,696285,669743,54.31,0.711,0.661,0.9,1.0,1,0,4.0,58,4,4-Seam Fastball,1,8,8,1,8,1,8,1,Standard,Standard,217.0,-0.001,0.307,77.6,7.0,0.819,-0.307,109.7,-7,7,0.008,0.992,22,34,22,35,1,3,7.0,2.0,2.0,3.0,1.71,0.99,0.99,37.9,4.509708861322235,-4.4615476809901375,24.62794411583997,36.58513651056525,38.42463730785104
SI,2025-07-13,95.8,2.08,5.87,"Díaz, Elias",553869,650911,field_out,hit_into_play,,,,,5.0,Elias Díaz flies out to center fielder Brandon Marsh.,R,R,L,SD,PHI,X,8,fly_ball,0,1,2025,1.49,0.36,-0.14,2.31,,,,2,2,Bot,154.47,60.99,,,,,-9.359074738080428,-139.05340860027894,-4.558850830454495,21.4993102705822,34.72156464403676,-26.584109182302328,3.27,1.45,348.0,95.6,29.0,96.3,2203.0,7.0,777117,592663,547180,681082,624641,607208,805249,669016,592206,53.52,0.246,0.404,0.0,1.0,0,0,5.0,19,2,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,121.0,-0.011,-0.217,70.7,6.2,0.731,0.217,95.6,-1,-1,0.394,0.394,28,34,29,35,1,0,6.0,2.0,9.0,5.0,2.16,1.49,-1.49,29.2,5.06342327079295,1.3448972837924522,32.381538992258385,31.67938800894983,36.68065425168911
CH,2025-07-11,80.9,1.84,5.76,"Díaz, Elias",553869,624133,field_out,hit_into_play,,,,,13.0,Elias Díaz flies out to right fielder Nick Castellanos.,R,R,L,SD,PHI,X,9,fly_ball,1,2,2025,0.83,0.63,-0.42,1.31,,,,2,4,Bot,182.9,98.45,,,,,-6.610869850269229,-117.5349396499138,-4.3975799065123,8.973179930954311,23.75560318899349,-25.722131966687385,3.27,1.45,286.0,86.3,29.0,80.5,1277.0,6.3,777139,592663,547180,681082,664761,607208,596146,669016,592206,54.25,0.049,0.054,0.0,1.0,0,0,3.0,33,4,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,118.0,-0.011,-0.182,68.1,6.5,0.088,0.182,88.0,1,1,0.655,0.655,29,34,30,35,2,1,6.0,2.0,9.0,2.0,2.89,0.83,-0.83,35.9,-5.967182197152344,-4.369769788727366,41.31149493981973,30.40243841347062,37.57955630536659
FF,2025-07-08,93.0,-2.31,6.49,"Díaz, Elias",553869,595928,field_out,hit_into_play,,,,,5.0,Elias Díaz flies out sharply to center fielder Jake McCarthy.,R,R,R,SD,AZ,X,8,fly_ball,2,0,2025,-0.65,1.61,-0.17,2.69,,,593428.0,2,8,Bot,100.25,78.75,,,,,6.892847501147768,-135.01853676146078,-7.428107704024027,-9.460069183905842,31.402476850251432,-11.038232545745856,3.26,1.45,304.0,101.8,47.0,92.6,2193.0,6.3,777185,645444,647304,606466,677942,672695,666971,664983,682998,54.18,0.02,0.024,0.0,1.0,0,0,3.0,61,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,206.0,-0.014,-0.353,77.6,7.0,0.045,0.353,101.8,1,1,0.856,0.856,32,34,32,35,1,2,4.0,1.0,5.0,1.0,1.05,0.65,0.65,44.3,13.22447406852993,-11.293963299845489,24.218573255664275,33.20123218888787,44.23575039344183
SL,2025-06-29,85.1,-2.81,4.94,"Díaz, Elias",553869,605130,field_out,hit_into_play,,,,,8.0,Elias Díaz flies out to right fielder Will Benson.,R,R,R,CIN,SD,X,9,fly_ball,3,2,2025,0.44,0.04,-0.26,1.95,657757.0,578428.0,,1,6,Top,171.32,140.78,,,,,5.134285237456076,-124.00621657413032,-0.8851960906090248,3.7147024774072537,21.56267317517025,-31.750340719817373,3.21,1.43,185.0,84.3,59.0,86.3,2635.0,6.7,777312,624431,668715,680574,687952,682829,666158,670770,666181,53.84,0.023,0.021,0.0,1.0,0,0,3.0,43,6,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,110.0,0.085,-0.187,73.0,6.7,0.025,0.187,88.0,-1,1,0.24,0.76,32,34,33,35,1,2,1.0,1.0,2.0,1.0,3.06,-0.44,-0.44,16.9,10.324641184769256,-10.90264396040295,32.57308999719698,31.003944976911484,38.887653042610815
