pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-08,94.1,1.47,5.42,"Encarnacion-Strand, Christian",687952,681006,field_out,hit_into_play,,,,,12.0,Christian Encarnacion-Strand flies out to right fielder Jesús Sánchez.,R,R,L,CIN,MIA,X,9,fly_ball,0,0,2025,0.63,1.04,0.84,2.64,,,666158.0,1,9,Bot,169.88,97.44,,,,,-3.006729287601238,-137.0324764543718,-3.790307730141048,8.559706543391666,30.73533342444344,-18.47524632548616,3.34,1.53,275.0,98.2,52.0,93.8,2375.0,6.1,777197,682663,689414,691594,681393,672640,669065,667472,660821,54.42,0.006,0.005,0.0,1.0,0,0,3.0,78,1,4-Seam Fastball,1,12,1,12,12,1,1,12,Standard,Standard,133.0,0.0,-0.256,77.4,7.4,0.007,0.256,98.2,-11,-11,0.001,0.001,27,25,28,26,1,1,3.0,2.0,2.0,,1.54,0.63,-0.63,27.7,14.596907473138849,2.42633989867409,28.03611327966096,47.11045423197119,32.48039377052534
SI,2025-07-02,100.2,-1.81,5.7,"Encarnacion-Strand, Christian",687952,663855,single,hit_into_play,,,,,1.0,Christian Encarnacion-Strand singles on a fly ball to right fielder Roman Anthony. Rece Hinds to 3rd. Gavin Lux to 2nd.,R,R,R,BOS,CIN,X,9,fly_ball,0,0,2025,-1.29,0.7,-0.74,2.84,,677956.0,666158.0,1,8,Top,154.27,122.58,,,,,6.029711433783994,-145.85814626508156,-4.238464545198635,-19.850296368804383,33.22813563162895,-21.433497400867957,3.32,1.5,206.0,67.5,44.0,100.7,1910.0,6.5,777277,657136,663853,691785,647351,596115,680776,678882,701350,54.04,0.377,0.369,0.9,1.0,1,0,3.0,65,1,Sinker,4,5,5,4,5,4,5,4,Standard,Standard,221.0,-0.054,0.478,77.4,6.8,0.461,-0.478,88.0,-1,1,0.214,0.786,28,25,29,26,1,3,2.0,1.0,4.0,4.0,1.57,1.29,1.29,39.0,11.561717771406856,4.910614015257505,32.791202268155565,30.066972526002093,28.84318748353412
SL,2025-06-30,91.0,-2.43,6.57,"Encarnacion-Strand, Christian",687952,660896,single,hit_into_play,,,,,7.0,Christian Encarnacion-Strand singles on a sharp line drive to left fielder Jarren Duran.,R,R,R,BOS,CIN,X,7,line_drive,1,2,2025,0.53,0.21,-0.29,1.92,,,,0,9,Top,56.61,92.02,,,,,4.2027825542176105,-132.44321857284777,-6.208288047497902,5.4038363226649455,27.177799742706544,-28.573418546024943,3.29,1.5,315.0,109.2,18.0,90.6,2670.0,6.0,777300,665966,647351,666152,691785,596115,680776,678882,677800,54.53,0.769,1.047,0.9,1.0,1,0,6.0,78,9,Slider,13,5,5,13,5,13,5,13,Standard,Standard,154.0,0.0,0.508,76.5,7.3,1.71,-0.508,109.2,8,-8,0.999,0.001,29,25,30,26,1,3,3.0,1.0,2.0,1.0,2.53,-0.53,-0.53,50.1,18.460996719636334,-7.506626247201186,42.7315249321211,33.85517412107751,36.9131855407264
SL,2025-06-29,83.1,-1.1,6.22,"Encarnacion-Strand, Christian",687952,592094,field_out,hit_into_play,,,,,8.0,Christian Encarnacion-Strand flies out to center fielder Jackson Merrill. Will Benson to 3rd.,R,R,R,CIN,SD,X,8,fly_ball,2,1,2025,0.22,-0.28,0.14,1.86,,666181.0,,0,8,Bot,103.27,48.57,,,,,2.431678245014649,-121.20405410039848,-3.099945614709457,1.8029884177562847,20.30644724198286,-34.63665043435716,3.29,1.5,375.0,99.4,34.0,84.0,2557.0,6.4,777312,553869,650333,630105,578428,593428,657757,701538,665487,54.09,0.291,0.573,0.0,1.0,0,0,5.0,65,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,49.0,-0.021,-0.317,74.6,7.7,1.097,0.317,99.4,-1,-1,0.471,0.471,33,25,34,26,1,2,1.0,2.0,5.0,1.0,3.53,-0.22,-0.22,36.3,17.62718672285671,-5.25488690008577,36.49107358285821,38.68380362976127,38.59870826004614
FF,2025-06-27,92.3,2.01,6.06,"Encarnacion-Strand, Christian",687952,673513,field_out,hit_into_play,,,,,2.0,Christian Encarnacion-Strand flies out to right fielder Fernando Tatis Jr.,R,R,L,CIN,SD,X,9,fly_ball,2,2,2025,0.42,1.54,-0.18,3.03,,,,2,5,Bot,173.03,132.67,,,,,-6.444941824815804,-134.22196485560633,-5.19699812134408,6.520708977608955,28.973103622926548,-12.65917451616505,3.29,1.5,205.0,81.9,57.0,91.7,2330.0,6.0,777346,455117,650333,630105,592518,593428,657757,701538,665487,54.53,0.026,0.023,0.0,1.0,0,0,3.0,43,7,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,155.0,0.0,-0.224,75.9,6.7,0.03,0.224,88.0,8,8,0.994,0.994,29,25,30,26,1,2,4.0,2.0,5.0,2.0,1.14,0.42,-0.42,55.6,10.620497533221243,3.313429982035587,32.51319208278809,33.5860712569729,27.245943714279637
CH,2025-06-25,83.4,2.23,5.56,"Encarnacion-Strand, Christian",687952,608331,field_out,hit_into_play,,,,,12.0,Christian Encarnacion-Strand lines out to center fielder Trent Grisham.,R,R,L,CIN,NYY,X,8,line_drive,1,0,2025,1.22,0.48,0.83,3.05,,,,1,5,Bot,109.22,91.4,,,,,-5.668761306399543,-121.38047406818929,-0.2900522396443757,13.209364557047683,22.518452369694245,-27.594730844764204,3.31,1.5,272.0,78.6,29.0,84.2,1779.0,6.7,777367,669224,700250,518934,665862,683011,691176,663757,592450,53.81,0.143,0.136,0.0,1.0,0,0,3.0,43,2,Changeup,1,4,1,4,4,1,1,4,Strategic,Standard,131.0,-0.016,-0.293,75.9,7.8,0.195,0.293,88.0,-3,-3,0.154,0.154,31,25,31,26,2,1,5.0,1.0,6.0,2.0,2.79,1.22,-1.22,34.0,25.12463179926713,-14.882032937804356,25.443952784051397,48.06511091828452,41.25470477768654
CU,2025-06-24,84.4,-2.26,5.37,"Encarnacion-Strand, Christian",687952,642528,double,hit_into_play,,,,,6.0,Christian Encarnacion-Strand doubles (4) on a line drive to left fielder Cody Bellinger. Tyler Stephenson scores. Rece Hinds scores. Jose Trevino scores.,R,R,R,CIN,NYY,X,7,line_drive,0,1,2025,1.53,0.06,0.44,2.52,663886.0,677956.0,624431.0,1,7,Bot,39.79,121.49,,,,,3.257357372151628,-122.84950677600428,-0.3537062197359556,14.734772893516691,25.275343678591245,-31.76649374141534,3.3,1.49,243.0,85.6,22.0,84.8,2688.0,6.6,777385,669224,502671,672724,665862,683011,641355,663757,592450,53.87,0.314,0.283,1.25,1.0,1,1,3.0,53,2,Curveball,0,3,0,3,3,3,3,3,Standard,Standard,65.0,0.363,0.73,76.4,7.7,0.368,-0.73,88.0,-3,-3,0.261,0.261,30,25,31,26,1,2,4.0,1.0,5.0,1.0,3.15,-1.53,-1.53,44.0,21.18991987037834,-19.114334679834684,30.77444212490998,42.0899667684337,47.20415555028976
SL,2025-06-23,79.5,-2.01,5.57,"Encarnacion-Strand, Christian",687952,642216,field_out,hit_into_play,,,,,14.0,Christian Encarnacion-Strand flies out to center fielder Cody Bellinger.,R,R,R,CIN,NYY,X,8,fly_ball,1,0,2025,1.17,-0.23,0.91,1.47,,,641584.0,0,5,Bot,115.53,73.06,,,,,4.230108285390088,-115.80364439696618,-1.8058866905858817,9.6348470971767,22.518662426541947,-34.07806253982588,3.31,1.49,314.0,90.7,42.0,79.9,2917.0,6.6,777390,669224,502671,518934,665862,683011,691176,641355,592450,53.91,0.011,0.02,0.0,1.0,0,0,3.0,40,2,Slider,3,1,3,1,1,3,3,1,Standard,Standard,62.0,-0.02,-0.282,66.4,7.9,0.036,0.282,90.7,2,2,0.841,0.841,29,25,30,26,2,1,,4.0,5.0,1.0,3.84,-1.17,-1.17,28.2,15.947698112827236,-5.139452509415778,35.50072429980104,45.24364777161787,40.56101998134723
SI,2025-06-23,89.7,-2.0,5.63,"Encarnacion-Strand, Christian",687952,642216,field_out,hit_into_play,,,,,5.0,Christian Encarnacion-Strand flies out sharply to left fielder Jasson Domínguez.,R,R,R,CIN,NYY,X,7,fly_ball,0,0,2025,-1.36,0.61,-0.23,2.68,,,,2,3,Bot,86.11,114.87,,,,,7.304315104794057,-130.41690460350551,-2.604083889956209,-16.998271764293577,26.79255872736744,-24.90465120231773,3.31,1.49,233.0,103.9,58.0,90.4,2194.0,6.7,777390,669224,502671,518934,665862,683011,691176,641355,592450,53.79,0.006,0.005,0.0,1.0,0,0,3.0,23,1,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,233.0,-0.013,-0.26,84.4,7.9,0.006,0.26,103.9,-1,-1,0.384,0.384,29,25,30,26,1,0,,4.0,5.0,1.0,2.23,1.36,1.36,29.8,20.592445524773435,-19.35574129127685,32.3909819029666,33.60132035224534,39.30323857253834
SL,2025-06-19,86.2,-1.84,6.2,"Encarnacion-Strand, Christian",687952,663978,field_out,hit_into_play,,,,,9.0,Christian Encarnacion-Strand flies out to center fielder Byron Buxton.,R,R,R,CIN,MIN,X,8,fly_ball,0,1,2025,0.1,0.72,0.72,1.66,,,,1,4,Bot,145.51,50.33,,,,,5.937066742641751,-125.4003665791672,-6.173469558126014,0.0518922411200473,22.1711027438959,-23.526449900931,3.3,1.49,371.0,95.6,31.0,87.6,1915.0,6.9,777452,680777,664034,665019,686797,621043,650489,621439,670242,53.57,0.2,0.365,0.0,1.0,0,0,5.0,41,2,Slider,4,9,4,9,9,4,4,9,Standard,Standard,193.0,-0.009,-0.215,71.8,7.8,0.712,0.215,95.6,-5,-5,0.07,0.07,29,25,29,26,2,1,6.0,2.0,5.0,4.0,2.31,-0.1,-0.1,49.8,13.85819631135863,0.3858425392257122,36.66347828149575,46.580549289178606,32.80484607151527
