pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-31,87.7,1.8,6.4,"Espinal, Santiago",669289,669276,field_out,hit_into_play,,,,,9.0,Santiago Espinal flies out to center fielder Michael Harris II.,R,R,L,CIN,ATL,X,8,fly_ball,1,2,2025,0.91,0.96,0.42,1.92,,,,0,8,Bot,118.8,58.18,,,,,-5.226461435458875,-127.60428117670504,-6.722792835364428,11.024821973968551,25.710491893945036,-20.49319225785988,3.42,1.59,350.0,90.1,30.0,87.9,1609.0,6.4,776928,669221,621566,645277,663586,663897,595777,671739,642201,54.11,0.071,0.096,0.0,1.0,0,0,3.0,86,6,Changeup,11,11,11,11,11,11,11,11,Standard,Standard,140.0,-0.046,-0.189,67.3,8.0,0.157,0.189,90.1,0,0,0.605,0.605,30,30,31,31,1,0,1.0,1.0,2.0,2.0,2.0,0.91,-0.91,44.2,13.85894366736703,-4.5465450655534845,37.90784462083904,37.13904220417643,37.01737663206747
ST,2025-07-30,85.3,-2.36,5.54,"Espinal, Santiago",669289,660271,single,hit_into_play,,,,,2.0,Santiago Espinal singles on a line drive to left fielder Michael Conforto. Spencer Steer to 2nd.,R,R,R,CIN,LAD,X,7,line_drive,1,1,2025,0.69,0.4,-0.23,2.93,,,668715.0,2,2,Bot,63.86,121.06,,,,,3.65494061741,-124.17255070027026,-0.6280289834341113,6.418938376466912,25.067260827234968,-28.14177690388109,3.43,1.62,247.0,75.2,23.0,86.0,2661.0,6.7,776941,669257,518692,500743,690976,605141,624424,681624,606192,53.76,0.923,0.839,0.9,1.0,1,0,4.0,16,3,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,74.0,0.017,0.361,70.7,7.5,0.994,-0.361,88.0,1,1,0.638,0.638,30,30,31,31,1,0,9.0,1.0,7.0,1.0,2.73,-0.69,-0.69,30.3,18.135981229406248,-16.21719828980987,28.046752145274983,32.21716488539984,44.21033853433197
SL,2025-07-29,88.8,1.11,5.93,"Espinal, Santiago",669289,676263,field_out,hit_into_play,,,,,4.0,Santiago Espinal flies out to right fielder Teoscar Hernández.,R,R,L,CIN,LAD,X,9,fly_ball,1,1,2025,-0.24,0.28,-0.36,2.22,666158.0,682829.0,669720.0,1,5,Bot,185.84,136.6,,,,,-3.120497238837739,-129.31093569275038,-3.668151573109139,-2.05691023639144,26.558186167165974,-28.455521630931603,3.42,1.62,216.0,84.7,58.0,89.6,2083.0,6.7,776963,669257,518692,500743,669242,605141,665923,681624,606192,53.81,0.034,0.041,0.0,1.0,0,0,3.0,45,3,Slider,4,2,4,2,2,4,4,2,Standard,Standard,188.0,-0.044,-0.147,72.4,7.4,0.057,0.147,88.0,2,2,0.876,0.876,26,30,26,31,1,0,1.0,2.0,4.0,1.0,2.6,-0.24,0.24,52.5,5.581906213157443,-7.359972186934742,42.69723288216747,31.19632606653508,36.64781652594063
FF,2025-07-27,95.9,-1.56,5.79,"Espinal, Santiago",669289,669358,field_out,hit_into_play,,,,,5.0,Santiago Espinal lines out to center fielder Chandler Simpson.,R,R,R,CIN,TB,X,8,line_drive,1,1,2025,-0.98,1.37,-0.03,2.35,,,,1,4,Bot,135.58,60.74,,,,,6.249484916114234,-139.52246993608424,-6.611772305548746,-14.135937144791388,30.37621771178628,-12.937601763429752,3.4,1.61,344.0,95.4,20.0,96.0,2432.0,6.3,776982,642136,666018,656484,691406,670764,663968,802415,666139,54.2,0.309,0.335,0.0,1.0,0,0,4.0,32,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,214.0,-0.011,-0.244,71.6,7.4,0.512,0.244,95.4,2,2,0.779,0.779,26,30,26,31,2,1,6.0,1.0,5.0,2.0,1.1,0.98,0.98,32.6,-8.7145276557844,-1.1455479347851738,37.370737781193085,32.97335549912881,32.4202064847584
SI,2025-07-23,89.8,-2.69,5.78,"Espinal, Santiago",669289,647336,field_out,hit_into_play,,,,,2.0,Santiago Espinal flies out to right fielder Alex Call.,R,R,R,WSH,CIN,X,9,fly_ball,1,1,2025,-1.21,0.72,-0.1,2.93,,,,0,5,Top,168.5,72.76,,,,,8.9799089360963,-130.40907271430427,-2.559812465263947,-15.705101245360066,28.12852305781078,-23.613809640217333,3.4,1.64,331.0,94.7,24.0,89.9,2373.0,6.5,777026,686452,663993,671277,691781,682928,695578,696285,669743,53.98,0.2,0.26,0.0,1.0,0,0,5.0,32,3,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,227.0,0.023,-0.251,66.7,7.0,0.416,0.251,94.7,-1,1,0.356,0.644,27,30,28,31,2,1,5.0,1.0,6.0,2.0,2.12,1.21,1.21,34.4,6.615311410109243,6.783685644788492,33.21971923732606,34.39660561565475,26.979622881829844
SL,2025-07-23,80.6,-1.66,6.49,"Espinal, Santiago",669289,691251,single,hit_into_play,,,,,7.0,Santiago Espinal singles on a line drive to left fielder James Wood.,R,R,R,WSH,CIN,X,7,line_drive,0,0,2025,0.32,0.0,-0.41,1.79,,,,0,9,Top,77.45,113.14,,,,,2.153934739231601,-117.46705006824124,-3.8639175214483967,2.645246940713143,19.623260374927185,-31.67524079910748,3.4,1.64,225.0,70.9,23.0,80.4,2110.0,5.8,777026,656180,663993,671277,691781,682928,695578,696285,669743,54.69,0.983,0.887,0.9,1.0,1,0,4.0,63,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,115.0,-0.005,0.438,55.2,7.3,1.036,-0.438,88.0,-3,3,0.031,0.969,22,30,22,31,1,3,1.0,1.0,6.0,2.0,3.46,-0.32,-0.32,41.1,14.92319406285495,-15.480092448067191,33.36280735226043,29.957181370720544,45.94139652230163
SL,2025-07-22,79.7,1.93,6.6,"Espinal, Santiago",669289,605177,field_out,hit_into_play,,,,,5.0,Santiago Espinal flies out to left fielder James Wood.,R,R,L,WSH,CIN,X,7,fly_ball,1,2,2025,-0.07,-0.17,0.25,2.4,,,,0,8,Top,88.69,78.91,,,,,-3.559364739804708,-116.0567258007362,-2.200357459098469,-0.0048793964939507,21.137301302421065,-33.50246611641196,3.39,1.63,312.0,90.0,39.0,80.0,2315.0,6.4,777042,656180,663993,671277,691781,682928,695578,696285,695734,54.1,0.011,0.018,0.0,1.0,0,0,3.0,58,5,Slider,6,1,1,6,1,6,1,6,Standard,Standard,342.0,0.006,-0.189,72.7,8.2,0.03,0.189,90.0,5,-5,0.985,0.015,35,30,35,31,1,0,1.0,2.0,4.0,1.0,3.74,-0.07,0.07,53.2,27.09789348197001,-11.956228746365722,31.761383344771307,36.31965038992931,45.23111481434599
FF,2025-07-20,91.0,2.28,6.13,"Espinal, Santiago",669289,656849,field_out,hit_into_play,,,,,2.0,Santiago Espinal lines out to center fielder Tyrone Taylor.,R,R,L,NYM,CIN,X,8,line_drive,0,1,2025,0.23,1.03,-0.24,2.96,,,,2,4,Top,132.67,80.23,,,,,-6.930982080214068,-132.41429797891868,-4.394150119099238,4.052071388794183,25.638854212726347,-19.28535698775805,3.39,1.63,297.0,90.3,20.0,93.0,2099.0,7.3,777087,620443,668901,682668,683146,596019,607043,621438,665742,53.22,0.389,0.35,0.0,1.0,0,0,4.0,29,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,149.0,0.013,-0.217,68.7,7.0,0.471,0.217,90.3,0,0,0.546,0.454,29,30,30,31,2,1,10.0,2.0,6.0,2.0,1.7,0.23,-0.23,42.3,8.619150514533207,5.36657921575011,31.430938253820266,31.62599041809432,26.18956316684358
FF,2025-07-13,89.6,2.2,6.7,"Espinal, Santiago",669289,596295,field_out,hit_into_play,,,,,5.0,Santiago Espinal flies out to right fielder Tyler Freeman.,R,R,L,CIN,COL,X,9,fly_ball,3,1,2025,0.53,1.35,-0.01,2.27,,682622.0,,2,2,Bot,158.47,95.29,,,,,-6.606602937985258,-130.2447375830316,-7.90291500760011,7.275670721682046,23.552697319574158,-15.357655414859703,3.39,1.62,272.0,84.5,37.0,90.6,2062.0,6.6,777128,543592,669911,571657,641857,690022,692585,686668,671289,53.88,0.006,0.005,0.0,1.0,0,0,3.0,14,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,152.0,-0.03,-0.34,72.3,7.6,0.008,0.34,88.0,1,1,0.647,0.647,31,30,32,31,1,0,6.0,2.0,8.0,5.0,1.46,0.53,-0.53,53.2,-0.5743080932895868,-2.2681941769789304,41.749790778975154,31.71494076964489,33.00152975968674
SL,2025-07-13,87.4,-0.88,6.48,"Espinal, Santiago",669289,641755,field_out,hit_into_play,,,,,14.0,Santiago Espinal lines out to center fielder Brenton Doyle.,R,R,R,CIN,COL,X,8,line_drive,2,2,2025,0.14,0.03,0.85,2.3,,,,0,8,Bot,104.07,76.02,,,,,3.8561277847131232,-127.36092956851375,-4.050668894101969,0.8286613329823148,21.863255863174302,-31.326428579994925,3.39,1.62,311.0,90.9,20.0,87.1,2592.0,5.7,777128,543592,669911,606115,641857,690022,692585,686668,671289,54.85,0.354,0.334,0.0,1.0,0,0,4.0,69,7,Slider,4,2,4,2,2,4,4,2,Standard,Standard,75.0,-0.005,-0.232,,,0.452,0.232,90.9,2,2,0.942,0.942,34,30,34,31,1,3,1.0,2.0,6.0,5.0,2.91,-0.14,-0.14,45.8,,,,,
