pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-30,85.6,1.19,6.15,"Fermin, Freddy",666023,666214,field_out,hit_into_play,,,,,8.0,Freddy Fermin flies out to right fielder Eli White.,R,R,L,KC,ATL,X,9,fly_ball,0,0,2025,-0.29,0.4,-0.23,1.95,,,,0,5,Bot,160.07,98.78,,,,,-2.8059844233708167,-124.67861683627692,-4.56605697696136,-2.5573759088118586,22.926329147923813,-27.36439428496839,3.27,1.51,264.0,84.1,46.0,87.0,2412.0,7.0,776936,669221,621566,645277,663586,669397,595777,671739,642201,53.55,0.011,0.01,0.0,1.0,0,0,3.0,32,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,171.0,-0.029,-0.259,71.8,8.0,0.011,0.259,88.0,0,0,0.565,0.565,27,30,28,30,2,1,5.0,1.0,6.0,3.0,2.69,-0.29,0.29,45.2,8.3125756338502,-11.575281282373638,39.66977879164156,33.24668202259257,33.50135600820935
SL,2025-07-30,84.6,1.09,6.04,"Fermin, Freddy",666023,666214,field_out,hit_into_play,,,,,8.0,Freddy Fermin flies out to center fielder Michael Harris II.,R,R,L,KC,ATL,X,8,fly_ball,2,2,2025,-0.23,0.07,0.05,1.42,,,,1,2,Bot,158.62,78.97,,,,,-1.97784305970094,-123.24786991003168,-4.69977061098156,-2.058358292319269,21.823283440742685,-30.82312828161317,3.27,1.51,355.0,97.4,29.0,86.2,2558.0,7.0,776936,669221,621566,645277,663586,669397,595777,671739,642201,53.46,0.3,0.508,0.0,1.0,0,0,5.0,14,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,239.0,-0.016,-0.228,,,0.937,0.228,97.4,0,0,0.527,0.527,27,30,28,30,1,0,5.0,1.0,6.0,3.0,3.08,-0.23,0.23,45.8,,,,,
SI,2025-07-29,92.8,-0.95,5.94,"Fermin, Freddy",666023,607200,field_out,hit_into_play,,,,,6.0,Freddy Fermin lines out to left fielder Jurickson Profar.,R,R,R,KC,ATL,X,7,line_drive,0,0,2025,-1.01,0.96,0.31,2.1,,,624428.0,0,2,Bot,67.9,95.86,,,,,5.492150033005784,-135.0245041479559,-6.206314788414297,-13.572123779112223,28.66317819656178,-19.26697929441027,3.26,1.51,294.0,91.5,20.0,93.6,2094.0,6.7,776955,686948,621566,645277,663586,669397,595777,671739,660670,53.8,0.343,0.35,0.0,1.0,0,0,4.0,15,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,208.0,-0.029,-0.242,67.6,8.1,0.509,0.242,91.5,1,1,0.691,0.691,32,30,32,30,1,0,7.0,1.0,6.0,1.0,1.68,1.01,1.01,40.0,13.808705217515646,-8.03016048707526,33.34409062465251,40.11309406862858,34.13355658519457
SL,2025-07-28,87.4,-1.57,5.77,"Fermin, Freddy",666023,678226,field_out,hit_into_play,,,,,2.0,Freddy Fermin flies out to left fielder Jurickson Profar.,R,R,R,KC,ATL,X,7,fly_ball,0,0,2025,0.28,0.3,-0.11,2.9,,686469.0,,1,7,Bot,72.4,80.43,,,,,2.937381662944981,-127.34530052597664,-1.44705169674737,2.497819012373284,23.822612096748266,-28.833714307983488,3.27,1.51,323.0,84.9,28.0,87.2,2710.0,5.9,776971,669221,621566,645277,663586,669397,595777,671739,660670,54.59,0.063,0.06,0.0,1.0,0,0,3.0,67,1,Slider,3,5,3,5,5,3,3,5,Standard,Standard,126.0,-0.058,-0.262,73.6,7.4,0.102,0.262,88.0,-2,-2,0.237,0.237,28,30,29,30,1,1,16.0,2.0,2.0,1.0,2.66,-0.28,-0.28,40.3,16.41348908267444,6.036520070535164,29.657688067376352,34.36713826717627,28.660031028036613
SI,2025-07-26,94.9,-2.02,6.31,"Fermin, Freddy",666023,676440,single,hit_into_play,,,,,2.0,Freddy Fermin singles on a line drive to right fielder Johnathan Rodríguez.,R,R,R,KC,CLE,X,9,line_drive,1,2,2025,-1.13,0.75,0.04,3.2,,,,2,4,Bot,169.07,95.2,,,,,7.972543121196902,-138.12509041355756,-4.235980984348831,-16.141742973016388,27.764282892417143,-21.79696353514108,3.26,1.51,244.0,87.9,16.0,95.9,2142.0,6.7,776990,595978,467793,677587,682177,672356,680757,682657,671286,53.84,0.971,0.893,0.9,1.0,1,0,4.0,38,5,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,208.0,0.01,0.404,65.5,6.6,1.082,-0.404,88.0,-4,-4,0.102,0.102,26,30,26,30,2,1,5.0,0.0,7.0,2.0,1.76,1.13,1.13,58.7,5.7866331813544765,15.206773478779146,28.06140374603595,36.15856011400987,21.28908410246037
FF,2025-07-26,93.1,-1.31,6.19,"Fermin, Freddy",666023,663671,field_out,hit_into_play,,,,,3.0,Freddy Fermin lines out to center fielder Angel Martínez.,R,R,R,KC,CLE,X,8,line_drive,0,0,2025,-0.2,1.48,0.63,2.74,,,,2,6,Bot,127.45,71.76,,,,,5.4522147288108735,-135.36659247057386,-6.3334532555218965,-3.648296786617194,30.234404746828965,-12.81530483171896,3.26,1.51,317.0,100.0,17.0,93.4,2485.0,6.6,776990,595978,467793,677587,682177,672356,680757,682657,671286,53.94,0.477,0.514,0.0,1.0,0,0,4.0,55,1,4-Seam Fastball,4,6,4,6,6,4,4,6,Strategic,Standard,196.0,-0.014,-0.26,66.7,7.4,0.744,0.26,100.0,-2,-2,0.19,0.19,28,30,28,30,1,2,3.0,0.0,4.0,2.0,1.16,0.2,0.2,57.6,3.988341034994052,3.3605745475609394,31.34602317746604,44.17944940100909,24.81221454564311
FF,2025-07-22,91.4,2.12,5.46,"Fermin, Freddy",666023,571510,single,hit_into_play,,,,,7.0,Freddy Fermin singles on a fly ball to right fielder Kyle Tucker. Nick Loftin to 3rd.,R,R,L,CHC,KC,X,9,fly_ball,1,1,2025,1.01,1.07,-0.68,1.97,,679845.0,,1,5,Top,180.0,113.26,,,,,-9.239480509186889,-132.70063667143936,-5.2400430088798045,13.826929924670742,27.49635328693823,-18.513381882996256,3.24,1.52,230.0,74.7,25.0,91.7,2149.0,6.5,777047,608348,457759,663538,807713,621020,664023,691718,663656,53.99,0.814,0.737,0.9,1.0,1,0,4.0,35,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,124.0,-0.058,0.552,67.9,6.9,0.863,-0.552,88.0,2,-2,0.739,0.261,34,30,34,30,2,1,10.0,2.0,6.0,1.0,1.66,1.01,-1.01,24.9,-2.649787104230509,1.3644530360096572,43.925066314115455,25.872763959650847,27.38230449400094
FC,2025-07-19,86.7,-1.24,6.24,"Fermin, Freddy",666023,615698,field_out,hit_into_play,,,,,6.0,Freddy Fermin flies out sharply to center fielder Dane Myers.,R,R,R,MIA,KC,X,8,fly_ball,0,1,2025,0.14,0.47,0.43,2.26,,,679845.0,2,2,Top,166.94,56.75,,,,,3.695726562631776,-126.19628060770232,-4.293116933380614,0.8162783853454658,24.976000359668177,-26.453790265230747,3.25,1.52,366.0,100.1,25.0,86.9,2270.0,6.4,777093,689414,676572,669364,688363,672640,669065,667472,660821,54.14,0.511,0.79,0.0,1.0,0,0,6.0,11,2,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,197.0,0.025,-0.229,74.3,7.5,1.418,0.229,100.1,1,-1,0.635,0.365,30,30,30,30,1,0,9.0,6.0,6.0,1.0,2.55,-0.14,-0.14,44.5,9.749433309285791,7.006298795056729,31.861474572934544,40.18510760714518,26.852743978621824
FF,2025-07-09,91.8,1.29,5.8,"Fermin, Freddy",666023,663559,double,hit_into_play,,,,,8.0,Freddy Fermin doubles (6) on a sharp line drive to center fielder Oneil Cruz.,R,R,L,KC,PIT,X,8,line_drive,2,1,2025,0.29,1.44,-0.23,1.84,,,,2,4,Bot,86.0,64.0,,,,,-4.543644212968969,-133.4981953649262,-7.419868927523966,4.394893710570456,28.65343081770364,-13.519736527058472,3.24,1.49,270.0,102.5,12.0,93.5,2029.0,7.3,777177,663698,669707,693304,663647,643396,502054,665833,668804,53.19,0.943,0.931,1.25,1.0,1,1,4.0,32,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,165.0,0.011,0.542,74.1,7.7,1.214,-0.542,102.5,3,3,0.851,0.851,28,30,28,30,2,1,5.0,3.0,9.0,2.0,1.26,0.29,-0.29,54.9,13.35211683373472,12.40007787583048,37.45343798457274,32.80105983457793,28.559320676053677
FF,2025-07-09,93.6,1.23,5.81,"Fermin, Freddy",666023,663559,field_out,hit_into_play,,,,,1.0,Freddy Fermin flies out to right fielder Bryan Reynolds.,R,R,L,KC,PIT,X,9,fly_ball,0,1,2025,0.29,1.57,-0.73,2.88,,,,2,2,Bot,189.38,132.73,,,,,-5.835935957105095,-136.2203788773817,-5.409586607375268,4.914525545011905,29.604939734521224,-11.56060791786986,3.24,1.49,229.0,73.2,47.0,95.7,2187.0,7.5,777177,663698,669707,693304,663647,643396,502054,665833,668804,53.04,0.137,0.123,0.0,1.0,0,0,3.0,15,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,166.0,-0.009,-0.217,67.7,6.5,0.16,0.217,88.0,1,1,0.626,0.626,28,30,28,30,1,0,5.0,3.0,9.0,2.0,1.02,0.29,-0.29,57.5,3.65622331795298,8.81081284596827,34.27173302121301,28.277813821879693,26.457954196735717
