pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-13,90.5,-1.46,5.42,"Fermín, José",665877,669721,field_out,hit_into_play,,,,,6.0,José Fermín flies out to center fielder Michael Harris II.,R,R,R,STL,ATL,X,8,fly_ball,0,0,2025,-0.62,1.6,0.32,2.46,,,,1,4,Bot,165.1,67.38,,,,,5.800969439595367,-131.56394063186755,-4.838535644524158,-8.47046242744472,29.483675144960205,-12.803548231549712,3.4,1.61,340.0,94.5,32.0,91.0,2176.0,6.8,777118,686948,621566,645277,805373,669397,595777,671739,660670,53.71,0.149,0.252,0.0,1.0,0,0,3.0,31,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,203.0,-0.019,-0.254,69.0,6.9,0.471,0.254,94.5,0,0,0.532,0.532,28,26,28,26,2,1,77.0,1.0,9.0,6.0,1.2,0.62,0.62,49.8,6.138184586268963,2.486971264622608,30.781048517337585,36.09291072144292,30.765731307332256
FC,2025-07-13,91.8,-3.72,5.88,"Fermín, José",665877,593833,field_out,hit_into_play,,,,,5.0,José Fermín flies out to left fielder Jurickson Profar.,R,R,R,STL,ATL,X,7,fly_ball,2,0,2025,-0.3,1.56,0.24,2.77,,,,0,8,Bot,85.09,69.33,,,,,10.679033377717948,-133.1703115037272,-5.327626667023456,-5.9595939764898285,29.32456996573664,-12.668038822368825,3.4,1.61,337.0,95.7,36.0,91.6,2609.0,6.4,777118,686948,621566,645277,805373,669397,595777,671739,660670,54.12,0.16,0.294,0.0,1.0,0,0,3.0,69,3,Cutter,5,4,5,4,4,5,5,4,Standard,Standard,202.0,-0.013,-0.378,70.0,7.4,0.573,0.378,95.7,1,1,0.871,0.871,33,26,34,26,1,3,,1.0,6.0,6.0,1.17,0.3,0.3,39.0,13.37845913514032,-7.516022883683271,30.53690474050456,36.1179194158692,34.367888832102146
CU,2025-07-11,87.0,-1.58,6.21,"Fermín, José",665877,572955,field_out,hit_into_play,,,,,5.0,José Fermín flies out to left fielder Jurickson Profar.,R,R,R,STL,ATL,X,7,fly_ball,2,1,2025,0.72,-0.36,-0.22,2.51,,,,0,8,Bot,88.77,77.94,,,,,1.7559437203215296,-126.744827344757,-1.9905323001671271,7.465014051645215,24.938096787008465,-35.88240207673324,3.37,1.59,315.0,82.2,31.0,86.3,2988.0,5.7,777147,686948,621566,645277,663897,669397,595777,671739,660670,54.84,0.06,0.07,0.0,1.0,0,0,3.0,72,4,Curveball,5,6,5,6,6,5,5,6,Standard,Standard,48.0,-0.062,-0.305,68.7,7.4,0.113,0.305,88.0,-1,-1,0.297,0.297,34,26,34,26,1,0,1.0,5.0,7.0,1.0,3.36,-0.72,-0.72,40.9,12.924943577201546,-12.031513768776398,32.59320822377629,29.786850214179587,30.08849486166417
ST,2025-07-02,82.7,-1.92,5.78,"Fermín, José",665877,656605,field_out,hit_into_play,,,,,5.0,José Fermín flies out to left fielder Tommy Pham.,R,R,R,PIT,STL,X,7,fly_ball,1,2,2025,1.52,-0.5,-0.13,2.49,,,,2,6,Top,80.15,58.5,,,,,1.1383330967635543,-120.48664488106937,-0.0042572178765265,14.531427430420829,24.514831074017778,-37.26958614734146,3.35,1.58,365.0,94.3,36.0,83.2,2845.0,6.7,777272,680779,687462,693304,663647,643396,502054,665833,668804,53.82,0.091,0.157,0.0,1.0,0,0,3.0,43,4,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,51.0,0.017,-0.182,62.9,7.2,0.288,0.182,94.3,1,-1,0.729,0.271,29,26,29,26,3,2,5.0,1.0,6.0,2.0,3.84,-1.52,-1.52,35.9,8.175312827872053,-11.58359418703616,31.961381700190078,31.59782595350353,30.247980975874764
SL,2025-06-29,84.3,-2.29,6.15,"Fermín, José",665877,683769,single,hit_into_play,,,,,6.0,José Fermín singles on a sharp line drive to center fielder Lane Thomas.,R,R,R,CLE,STL,X,8,line_drive,1,2,2025,0.49,-0.04,0.34,2.7,,,,0,8,Top,111.03,86.31,,,,,5.198926316032455,-122.7636775634517,-1.597236133363428,3.930222871868645,24.295834810561832,-32.47180106483505,3.33,1.56,284.0,100.1,15.0,85.3,2451.0,6.9,777309,595978,467793,682657,608070,682177,680757,657041,671286,53.64,0.674,0.676,0.9,1.0,1,0,4.0,61,4,Slider,0,5,5,0,5,0,5,0,Strategic,Standard,106.0,-0.002,0.508,67.0,7.2,0.914,-0.508,100.1,-5,5,0.015,0.985,27,26,27,26,1,0,5.0,4.0,3.0,1.0,3.24,-0.49,-0.49,35.6,8.824752880140991,0.1549811730003753,30.46417278130502,37.7422024368717,32.68979673365094
ST,2025-06-25,82.7,-2.88,5.68,"Fermín, José",665877,687863,single,hit_into_play,,,,,6.0,José Fermín singles on a line drive to left fielder Ian Happ.,R,R,R,STL,CHC,X,7,line_drive,0,1,2025,0.97,0.51,0.29,2.43,,,,0,9,Bot,77.59,85.09,,,,,5.388649300544221,-120.39273696022308,-1.9134889862370887,8.368455227375929,24.07753602136741,-27.06764324154403,3.33,1.56,227.0,97.0,12.0,83.8,2581.0,7.1,777357,624512,683737,542932,807713,621020,664023,691718,663656,53.43,0.966,0.917,0.9,1.0,1,0,4.0,73,2,Sweeper,0,8,0,8,8,0,0,8,Standard,Standard,85.0,0.0,0.478,66.3,7.6,1.137,-0.478,97.0,-8,-8,0.001,0.001,24,26,24,26,1,0,39.0,,3.0,4.0,2.83,-0.97,-0.97,36.3,9.604329112690968,-12.736677828343137,29.20430427520628,40.111948721871855,33.45515621862687
SI,2025-09-28,92.9,-1.54,6.07,"Fermín, José",665877,665871,field_out,hit_into_play,,,,,2.0,José Fermín lines out to center fielder Pete Crow-Armstrong.,R,R,R,CHC,STL,X,8,line_drive,1,2,2025,-1.44,0.78,0.13,3.55,,,,0,1,Top,135.6,84.25,,,,,7.417133794536616,-135.01805806096078,-2.349565794784477,-19.198868972752564,30.28078394982605,-22.279608510299145,3.45,1.65,288.0,89.4,19.0,92.8,1859.0,6.4,776142,694208,683737,663538,650489,621020,664023,691718,673548,54.11,0.651,0.607,0.0,1.0,0,0,4.0,1,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213.0,0.022,-0.189,63.6,6.3,0.776,0.189,89.4,0,0,0.5,0.5,27,26,28,26,1,0,8.0,1.0,,,1.87,1.44,1.44,50.9,8.97409844324314,8.007608249581601,22.591952766468307,37.23364744600583,24.91867694669349
FF,2025-09-27,94.5,-0.13,6.12,"Fermín, José",665877,573204,field_out,hit_into_play,,,,,3.0,José Fermín flies out to right fielder Seiya Suzuki.,R,R,L,CHC,STL,X,9,fly_ball,1,1,2025,0.52,1.24,0.77,2.92,,,,2,7,Top,179.27,118.03,,,,,1.2049173095884906,-137.5252884847682,-5.402372917615276,6.279352320811065,30.815194059938225,-15.48207126187158,3.46,1.65,242.0,84.0,55.0,94.2,2363.0,6.2,776164,608348,683737,663538,807713,621020,664023,691718,673548,54.34,0.014,0.014,0.0,1.0,0,0,3.0,53,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,158.0,0.02,-0.244,68.1,7.1,0.021,0.244,88.0,1,-1,0.774,0.226,38,26,38,26,1,0,1.0,1.0,4.0,1.0,1.32,0.52,-0.52,52.0,6.578896173491346,1.5980230532292363,23.0824215183254,46.27433750112212,29.638559432730737
SL,2025-09-22,85.3,-1.74,7.32,"Fermín, José",665877,434378,double,hit_into_play,,,,,3.0,José Fermín doubles (5) on a line drive to center fielder Drew Gilbert. Jordan Walker scores.,R,R,R,SF,STL,X,8,line_drive,2,1,2025,0.53,0.25,0.33,3.09,,691023.0,,2,4,Top,81.49,72.94,,,,,3.7632218590712223,-124.27399064571966,-4.169983716510608,4.827523527131998,22.66105216543478,-29.03904456399609,3.42,1.64,302.0,90.7,19.0,85.0,2522.0,5.8,776220,672275,646240,669477,656305,642715,671218,687551,666464,54.69,0.446,0.401,1.25,1.0,1,1,4.0,29,4,Slider,1,1,1,1,2,1,2,1,Strategic,Strategic,136.0,-0.132,0.909,70.6,7.0,0.513,-0.909,90.7,0,0,0.518,0.482,42,26,42,26,2,1,5.0,1.0,5.0,2.0,2.86,-0.53,-0.53,58.8,12.054104489516227,-8.884985289434647,22.177202824909468,39.41581992928188,29.620930699319626
FF,2025-09-22,91.6,-1.84,7.45,"Fermín, José",665877,434378,double,hit_into_play,,,,,2.0,José Fermín doubles (4) on a sharp line drive to left fielder Heliot Ramos.,R,R,R,SF,STL,X,7,line_drive,0,0,2025,-0.62,1.42,0.06,3.25,,,,0,3,Top,33.74,111.29,,,,,6.063561052946112,-133.11615674857148,-7.693767882989279,-8.739698517711052,28.885534781183438,-13.852919149675309,3.42,1.64,224.0,100.8,12.0,90.5,2296.0,5.7,776220,672275,646240,669477,656305,642715,671218,687551,666464,54.8,0.949,0.915,1.25,1.0,1,1,4.0,16,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Strategic,202.0,-0.071,0.717,70.9,7.2,1.161,-0.717,100.8,1,-1,0.617,0.383,42,26,42,26,1,0,5.0,1.0,5.0,2.0,1.31,0.62,0.62,60.0,11.718181469908924,-17.957256925313864,20.90779910830293,34.95651388787686,35.413622532025485
