pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-27,97.7,-2.2,5.66,"Fernández, Yanquiel",692585,622554,single,hit_into_play,,,,,6.0,Yanquiel Fernández singles on a line drive to right fielder Ramón Laureano.,R,L,R,BAL,COL,X,9,line_drive,1,0,2025,-0.29,1.19,0.59,2.69,,,,0,9,Top,193.83,121.58,,,,,8.179466645981911,-142.01935894539224,-5.23130216463642,-5.839388465154174,32.31796265030914,-15.026087181869274,3.54,1.67,174.0,93.8,10.0,97.5,2372.0,6.2,776986,656577,691723,676059,602104,683002,666185,656775,657656,54.26,0.677,0.644,0.9,1.0,1,0,4.0,66,2,4-Seam Fastball,5,1,1,5,1,5,1,5,Infield shade,Standard,213.0,-0.016,0.397,73.4,7.3,0.788,-0.397,93.8,4,-4,0.987,0.013,30,22,31,22,1,3,3.0,1.0,2.0,2.0,1.2,0.29,-0.29,30.1,8.935441464358053,-4.770536482928467,29.09324696263104,29.14543306071268,33.51862691857101
CH,2025-07-26,87.6,-0.32,6.32,"Fernández, Yanquiel",692585,682274,field_out,hit_into_play,,,,,2.0,Yanquiel Fernández flies out to right fielder Ryan O'Hearn.,R,L,R,BAL,COL,X,9,fly_ball,1,1,2025,-0.89,0.68,-0.19,3.36,,,,1,8,Top,168.35,101.37,,,,,2.135651531228628,-127.5151323275396,-2.370235287483428,-10.127648347620251,28.692431125167225,-24.55481182805709,3.55,1.67,265.0,95.9,52.0,86.7,1521.0,5.9,776999,607732,691723,702616,676059,683002,681297,666185,656811,54.56,0.014,0.021,0.0,1.0,0,0,3.0,66,3,Changeup,17,0,0,17,0,17,0,17,Standard,Standard,199.0,0.0,-0.244,78.8,7.9,0.032,0.244,95.9,17,-17,0.999,0.001,29,22,30,22,1,0,60.0,1.0,3.0,1.0,2.32,0.89,-0.89,58.7,15.957772664928068,-13.400788208990782,19.54469653648318,39.68478723711471,36.88076996454496
FF,2025-07-25,93.5,-2.06,6.3,"Fernández, Yanquiel",692585,665152,field_out,hit_into_play,,,,,6.0,Yanquiel Fernández lines out to right fielder Tyler O'Neill.,R,L,R,BAL,COL,X,9,line_drive,0,0,2025,-0.47,1.6,0.59,2.57,,,,1,4,Top,196.82,87.87,,,,,7.825390670133971,-135.86008394546263,-7.344950988561303,-7.50235859537676,30.10990334364474,-10.92147141954702,3.55,1.67,325.0,88.7,24.0,93.0,2239.0,6.1,777020,656577,691723,676059,602104,702616,681297,656775,641933,54.38,0.131,0.153,0.0,1.0,0,0,3.0,31,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Standard,205.0,0.02,-0.254,71.9,7.3,0.227,0.254,88.7,1,-1,0.657,0.343,29,22,29,22,2,1,6.0,4.0,5.0,1.0,1.02,0.47,-0.47,43.5,12.274875025087509,-4.41272717273879,32.44403537016868,26.689981914004186,30.149150499784525
SI,2025-07-25,94.4,-2.47,5.96,"Fernández, Yanquiel",692585,665152,field_out,hit_into_play,,,,,1.0,Yanquiel Fernández flies out to center fielder Cedric Mullins.,R,L,R,BAL,COL,X,8,fly_ball,0,2,2025,-1.28,0.91,-0.36,3.48,,,,1,2,Top,138.34,66.33,,,,,8.271302099964938,-137.32053623105844,-2.769705712507606,-18.04095715801443,30.02451326908401,-20.22697502287095,3.55,1.67,330.0,85.9,32.0,93.6,2080.0,5.8,777020,656577,691723,676059,602104,702616,681297,656775,641933,54.69,0.049,0.067,0.0,1.0,0,0,3.0,13,6,Sinker,2,0,0,2,0,2,0,2,Infield shade,Standard,217.0,0.016,-0.163,70.2,7.3,0.104,0.163,88.0,2,-2,0.729,0.271,29,22,29,22,1,0,6.0,4.0,5.0,1.0,1.65,1.28,-1.28,32.1,10.236168394034646,-2.4317003876787666,22.249113496299827,37.59069149691697,28.43465047430149
FF,2025-07-21,92.9,-2.18,5.92,"Fernández, Yanquiel",692585,700241,field_out,hit_into_play,,,,,5.0,Yanquiel Fernández flies out to center fielder Victor Scott II.,R,L,R,COL,STL,X,8,fly_ball,3,1,2025,-0.48,0.99,-0.2,2.49,,,686668.0,1,7,Bot,128.51,78.71,,,,,6.16943758346145,-135.1897377773132,-5.2981496718698695,-7.141548707436796,24.963044576762304,-19.032007376196688,3.52,1.63,355.0,92.5,34.0,94.1,2332.0,6.7,777053,686780,575929,680977,571448,691026,641658,687363,691023,53.83,0.074,0.133,0.0,1.0,0,0,3.0,61,5,4-Seam Fastball,2,6,2,6,6,2,2,6,Infield shade,Standard,217.0,-0.021,-0.407,74.5,7.2,0.249,0.407,92.5,-4,-4,0.066,0.066,24,22,25,22,3,2,27.0,1.0,6.0,4.0,1.62,0.48,-0.48,37.5,1.8728985835721983,12.168459880845452,26.31402525251091,40.31258559340222,29.123088627617904
FF,2025-07-21,94.1,-2.26,5.91,"Fernández, Yanquiel",692585,700241,field_out,hit_into_play,,,,,4.0,Yanquiel Fernández lines out to center fielder Victor Scott II.,R,L,R,COL,STL,X,8,line_drive,0,0,2025,-0.73,0.86,-0.55,2.34,,,,2,4,Bot,126.99,83.27,,,,,6.092155343019925,-136.99635687430225,-5.64068345865252,-10.420802188740144,23.944278925137112,-20.303585925412552,3.52,1.63,333.0,92.2,20.0,95.7,2282.0,6.7,777053,686780,575929,680977,571448,691026,676475,687363,691023,53.8,0.343,0.35,0.0,1.0,0,0,4.0,33,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,224.0,-0.013,-0.26,74.6,8.0,0.509,0.26,92.2,0,0,0.513,0.513,24,22,25,22,2,1,27.0,1.0,6.0,4.0,1.67,0.73,-0.73,35.4,7.497095662092217,-5.783044019253901,29.213092952779828,44.98359088479229,30.010955434446146
FF,2025-07-20,92.3,-2.46,4.83,"Fernández, Yanquiel",692585,657746,field_out,hit_into_play,,,,,12.0,Yanquiel Fernández flies out to right fielder Matt Wallner.,R,L,R,COL,MIN,X,9,fly_ball,1,0,2025,-0.9,0.97,0.4,3.72,,,,0,5,Bot,169.87,92.55,,,,,9.274368582004186,-134.32505151004938,0.8133391645205902,-12.713007620917322,24.286221249433567,-20.64423746536317,3.52,1.63,286.0,91.2,49.0,93.4,2217.0,6.6,777072,543877,664034,665019,668904,621043,650489,664056,670242,53.92,0.003,0.004,0.0,1.0,0,0,3.0,39,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,225.0,-0.025,-0.301,70.9,7.1,0.006,0.301,91.2,-3,-3,0.179,0.179,29,22,29,22,2,1,9.0,2.0,6.0,1.0,1.67,0.9,-0.9,26.8,15.41842984204652,-5.3497593036604805,19.4346233543188,32.15414126066732,32.292877140020245
FF,2025-07-20,94.0,-2.69,4.54,"Fernández, Yanquiel",692585,657746,field_out,hit_into_play,,,,,6.0,Yanquiel Fernández flies out to left fielder Willi Castro.,R,L,R,COL,MIN,X,7,fly_ball,1,0,2025,-1.03,0.85,0.4,2.45,,641857.0,,1,2,Bot,87.27,91.37,,,,,10.4243844998526,-136.638568670823,-1.6704690073802757,-15.003929908152738,24.269074771412928,-21.289547066367486,3.52,1.63,285.0,83.2,48.0,95.8,2312.0,7.0,777072,543877,664034,665019,668904,621043,650489,664056,670242,53.52,0.009,0.008,0.0,1.0,0,0,3.0,17,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,228.0,-0.036,-0.29,75.5,7.3,0.011,0.29,88.0,0,0,0.571,0.571,29,22,29,22,1,0,9.0,2.0,6.0,1.0,1.7,1.03,-1.03,28.5,4.517408161111071,2.2881987568004942,30.1986748144298,31.568002896006792,30.81132387978895
FF,2025-07-18,95.4,-1.85,6.19,"Fernández, Yanquiel",692585,663978,field_out,hit_into_play,,,,,2.0,Yanquiel Fernández flies out to left fielder Harrison Bader.,R,L,R,COL,MIN,X,7,fly_ball,2,2,2025,-0.53,1.28,0.22,3.58,,,,2,3,Bot,99.28,114.12,,,,,6.707231042654212,-138.81999916564294,-4.2060070860827246,-8.238380286873175,27.26891719345155,-14.771848019873202,3.49,1.6,224.0,83.1,57.0,96.9,2375.0,6.9,777102,543877,664034,686797,668904,621043,664056,621439,650489,53.6,0.02,0.018,0.0,1.0,0,0,3.0,29,7,4-Seam Fastball,5,0,5,0,0,5,5,0,Infield shade,Standard,207.0,-0.002,-0.224,70.8,6.6,0.02,0.224,88.0,5,5,0.931,0.931,29,22,29,22,2,1,8.0,5.0,5.0,2.0,1.2,0.53,-0.53,50.4,6.26236867740982,7.094131573817209,19.939944327319512,34.31872149101901,28.68925007013782
FF,2025-07-18,95.1,-2.87,5.67,"Fernández, Yanquiel",692585,663485,single,hit_into_play,,,,,3.0,Yanquiel Fernández singles on a line drive to center fielder Byron Buxton.,R,L,R,COL,MIN,X,8,line_drive,1,2,2025,-0.67,0.92,0.77,2.92,,,,0,6,Bot,140.62,90.55,,,,,10.891567904887896,-138.32537533384755,-3.703377059788756,-10.608836636762003,24.43727498921735,-19.625643906263075,3.49,1.6,148.0,76.9,11.0,94.8,2336.0,5.7,777102,543877,664034,686797,668904,621043,664056,621439,650489,54.85,0.383,0.388,0.9,1.0,1,0,4.0,51,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,227.0,0.006,0.508,66.5,6.7,0.474,-0.508,88.0,4,4,0.956,0.956,27,22,28,22,1,2,6.0,5.0,3.0,2.0,1.56,0.67,-0.67,25.3,0.3047062469860685,7.393834535129773,29.77276484328372,29.374573542485894,23.94325905916134
