pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-07-30,79.0,-1.64,6.16,"García Jr., Luis",671277,687473,field_out,hit_into_play,,,,,9.0,Luis García Jr. flies out to right fielder Cam Smith.,R,L,R,HOU,WSH,X,9,fly_ball,1,2,2025,0.57,-1.04,0.64,2.1,,,,0,4,Top,148.68,71.81,,,,,3.894707376968101,-114.8903696845092,0.0318048253409981,4.143433413545433,25.19722559107865,-41.48078716114736,3.45,1.66,319.0,97.0,41.0,78.4,2349.0,6.3,776937,673237,605170,514888,643289,670097,669450,676801,701358,54.17,0.089,0.16,0.0,1.0,0,0,3.0,27,4,Curveball,4,1,1,4,1,4,1,4,Infield shade,Standard,23.0,0.021,-0.189,75.0,7.4,0.3,0.189,97.0,3,-3,0.824,0.176,26,25,26,25,2,1,5.0,1.0,10.0,2.0,4.75,-0.57,0.57,52.0,11.274447280261278,-16.037964079612728,31.50232731518857,29.542710857633413,41.75141353943252
ST,2025-07-29,81.1,2.86,5.46,"García Jr., Luis",671277,687911,field_out,hit_into_play,,,,,12.0,Luis García Jr. flies out to center fielder Chas McCormick.,R,L,L,HOU,WSH,X,8,fly_ball,1,1,2025,-1.29,0.48,0.24,3.68,682928.0,,695578.0,2,7,Top,143.9,96.83,,,,,-3.410016318979062,-118.10188849983572,1.7446277077670542,-11.3367051758807,23.521435906630884,-28.247606839052004,3.47,1.67,231.0,91.9,55.0,81.3,2390.0,6.5,776950,673237,572233,694376,643289,670097,666211,676801,701358,53.99,0.009,0.01,0.0,1.0,0,0,3.0,62,3,Sweeper,6,3,3,6,3,6,3,6,Standard,Standard,282.0,0.044,-0.244,71.2,6.8,0.015,0.244,91.9,3,-3,0.902,0.098,28,25,29,25,1,3,1.0,1.0,6.0,1.0,2.99,-1.29,-1.29,32.1,9.117433876494228,-6.786557726188607,19.30825583259682,36.0175493152955,34.531991297138525
FF,2025-07-29,93.2,-1.27,5.69,"García Jr., Luis",671277,669920,single,hit_into_play,,,,,11.0,Luis García Jr. singles on a sharp line drive to center fielder Jacob Melton.,R,L,R,HOU,WSH,X,8,line_drive,1,2,2025,-1.3,0.77,-0.31,3.89,,,,2,1,Top,139.66,89.12,,,,,5.331155264537505,-135.66594933304168,-0.5381444570924464,-17.190846744644208,31.12310332792493,-22.832624157477387,3.47,1.67,277.0,104.0,13.0,93.2,2368.0,6.4,776950,673237,572233,694376,643289,670097,666211,689200,701358,54.13,0.903,0.892,0.9,1.0,1,0,4.0,3,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,237.0,-0.012,0.404,67.7,6.5,1.164,-0.404,104.0,0,0,0.537,0.463,32,25,32,25,1,0,5.0,1.0,6.0,1.0,1.87,1.3,-1.3,26.0,6.383087896413676,4.87771426132026,16.89065620118946,39.52234562855549,26.243977623729407
SL,2025-07-29,86.2,1.06,6.54,"García Jr., Luis",671277,656986,field_out,hit_into_play,,,,,7.0,Luis García Jr. flies out to center fielder Jacob Melton.,R,L,L,HOU,WSH,X,8,fly_ball,2,1,2025,-0.57,0.01,-0.56,2.03,682928.0,,,2,5,Top,101.92,93.53,,,,,-2.685191931065603,-125.40163445910476,-4.469270986626416,-5.43781087714015,27.305965844335287,-31.368851702125,3.47,1.67,270.0,84.7,45.0,86.2,2337.0,6.5,776950,673237,572233,694376,643289,670097,666211,689200,701358,54.01,0.006,0.005,0.0,1.0,0,0,3.0,39,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,243.0,0.051,-0.279,69.8,8.0,0.006,0.279,88.0,0,0,0.514,0.486,30,25,30,25,1,2,3.0,1.0,3.0,1.0,3.08,-0.57,-0.57,58.0,17.749373507809022,-3.086884726417752,29.434867135159852,44.83232440257824,35.08526115661923
CH,2025-07-27,87.5,-2.36,5.72,"García Jr., Luis",671277,701519,single,hit_into_play,,,,,13.0,Luis García Jr. singles on a fly ball to left fielder Willi Castro. CJ Abrams to 3rd. James Wood to 2nd.,R,L,R,MIN,WSH,X,7,fly_ball,0,0,2025,-1.09,0.58,-1.06,2.21,,682928.0,695578.0,0,5,Top,92.92,110.95,,,,,5.365531868793746,-127.28829347993948,-3.5092324669397623,-12.904852923941432,25.97420083736982,-25.40201329030118,3.46,1.68,227.0,68.9,36.0,87.4,1937.0,6.2,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.28,0.774,0.736,0.9,1.0,1,0,4.0,36,1,Changeup,2,3,3,2,3,2,3,2,Infield shade,Standard,231.0,-0.072,0.487,69.5,7.6,0.866,-0.487,88.0,-1,1,0.267,0.733,25,25,25,25,1,2,9.0,1.0,8.0,1.0,2.4,1.09,-1.09,38.9,14.494781303572053,2.8234854912031264,26.510372882536323,48.49647297608131,35.33708607059301
SI,2025-07-27,91.6,-0.74,6.08,"García Jr., Luis",671277,543056,sac_fly,hit_into_play,,,,,5.0,Luis García Jr. out on a sacrifice fly to left fielder Willi Castro. CJ Abrams scores.,R,L,L,MIN,WSH,X,7,fly_ball,1,1,2025,1.03,1.07,-0.18,2.6,682928.0,,,1,3,Top,56.64,106.74,,,,,-0.8048885124809941,-133.4227454984162,-5.201208698118855,12.53815153671653,27.874901130438406,-18.52962281197752,3.46,1.68,286.0,84.2,34.0,91.1,2329.0,5.9,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.65,0.009,0.008,0.0,1.0,0,0,3.0,19,3,Sinker,1,1,1,1,2,1,2,1,Strategic,Standard,173.0,-0.023,-0.105,75.9,6.8,0.009,0.105,88.0,0,0,0.443,0.557,35,25,36,25,1,1,2.0,1.0,5.0,1.0,1.64,1.03,1.03,59.5,1.4579693626233792,13.76998151069022,31.335016385499067,35.640288705770715,25.39074207608688
FF,2025-07-27,99.0,-2.31,5.97,"García Jr., Luis",671277,661395,field_out,hit_into_play,,,,,1.0,Luis García Jr. flies out to left fielder Willi Castro.,R,L,R,MIN,WSH,X,7,fly_ball,1,1,2025,-0.73,1.14,-0.55,3.54,,,,0,9,Top,67.02,68.69,,,,,6.4963592258579785,-144.2121360240972,-3.937480461136384,-11.679696561413708,29.630318074616703,-15.5540764172772,3.46,1.68,353.0,95.4,36.0,99.2,1978.0,6.1,776979,543877,665019,686797,668904,621043,650489,664056,670242,54.4,0.106,0.191,0.0,1.0,0,0,3.0,69,3,4-Seam Fastball,2,7,7,2,7,2,7,2,Standard,Standard,230.0,0.001,-0.251,69.1,6.6,0.361,0.251,95.4,-5,5,0.005,0.995,27,25,27,25,1,4,2.0,1.0,1.0,1.0,1.16,0.73,-0.73,30.1,7.771459713794028,12.429980982544151,16.812841772291506,42.90131562719748,24.90841600640856
SI,2025-07-26,93.3,-2.56,4.63,"García Jr., Luis",671277,657746,field_out,hit_into_play,,,,,4.0,Luis García Jr. lines out to center fielder Byron Buxton.,R,L,R,MIN,WSH,X,8,line_drive,1,1,2025,-1.11,0.58,-0.72,2.46,,682928.0,,1,5,Top,95.24,62.08,,,,,7.239422139680101,-135.6743160273689,-1.1129162438746605,-15.245572542950068,29.34366165248611,-24.99267538693714,3.45,1.67,347.0,94.9,22.0,94.1,2095.0,6.8,776997,543877,664034,686797,668904,621043,664056,621439,650489,53.72,0.189,0.22,0.0,1.0,0,0,3.0,37,3,Sinker,0,5,5,0,5,0,5,0,Infield shade,Standard,233.0,0.007,-0.249,74.0,7.3,0.359,0.249,94.9,-5,5,0.052,0.948,29,25,29,25,3,2,6.0,1.0,6.0,1.0,2.04,1.11,-1.11,22.0,8.175292272651214,9.875827730540816,25.05951991769369,46.08588298916214,27.078045090027125
FF,2025-07-26,93.7,-2.68,4.95,"García Jr., Luis",671277,657746,field_out,hit_into_play,,,,,3.0,Luis García Jr. flies out sharply to center fielder Byron Buxton.,R,L,R,MIN,WSH,X,8,fly_ball,1,0,2025,-0.77,1.21,0.48,3.21,,,695578.0,1,1,Top,157.47,43.08,,,,,9.905237145986554,-136.11993486690216,-1.4432992159849751,-11.638635777382332,28.574102751658845,-17.00200046452476,3.45,1.67,392.0,102.4,35.0,94.3,2185.0,6.7,776997,543877,664034,686797,668904,621043,664056,621439,650489,53.85,0.434,0.856,0.0,1.0,0,0,6.0,3,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,224.0,0.028,-0.291,76.2,7.3,1.647,0.291,102.4,0,0,0.497,0.503,29,25,29,25,1,0,6.0,1.0,6.0,1.0,1.39,0.77,-0.77,28.4,13.416064726420403,-4.2626637018918885,24.793397951821653,31.588648899663973,30.418188674983423
FC,2025-07-26,93.2,2.0,5.95,"García Jr., Luis",671277,681892,double,hit_into_play,,,,,3.0,Luis García Jr. doubles (22) on a sharp fly ball to center fielder Harrison Bader.,R,L,L,MIN,WSH,X,8,fly_ball,1,1,2025,-0.13,1.12,0.33,3.16,,,,0,8,Top,113.62,48.29,,,,,-4.060990298423072,-135.7796580664371,-4.003105046925985,-0.8809096341608514,26.39117570451493,-17.563784241143857,3.45,1.67,407.0,103.9,28.0,95.0,2268.0,7.0,776997,543877,664034,686797,668904,621043,650489,664056,663616,53.5,0.823,1.622,1.25,1.0,1,1,6.0,60,3,Cutter,2,6,6,2,6,2,6,2,Standard,Standard,154.0,-0.009,0.726,75.7,6.7,3.163,-0.726,103.9,-4,4,0.032,0.968,28,25,29,25,1,3,23.0,1.0,3.0,1.0,1.47,-0.13,-0.13,40.8,10.542920332953404,2.9398510612414297,24.233308009780934,33.63364359902829,30.576543409026726
