pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-07-30,81.2,-2.46,5.87,"Gonzales, Nick",693304,663941,field_out,hit_into_play,,,,,1.0,Nick Gonzales flies out to center fielder Jung Hoo Lee.,R,R,R,SF,PIT,X,8,fly_ball,0,1,2025,1.74,-0.3,-0.48,2.97,687462.0,668804.0,,2,7,Top,135.94,105.49,,,,,1.0931224932161865,-118.10345159543846,0.817214177498371,15.902081945577722,25.776920547434067,-35.35394924101604,3.51,1.62,237.0,90.7,55.0,81.4,2754.0,6.8,776933,672275,642086,669477,656305,642715,671218,808982,573262,53.69,0.009,0.009,0.0,1.0,0,0,3.0,54,2,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,55.0,0.099,-0.27,67.1,6.8,0.011,0.27,90.7,0,0,0.487,0.513,29,26,29,26,1,3,1.0,1.0,3.0,2.0,3.8,-1.74,-1.74,39.7,11.350623328156072,-8.194295712334412,30.68288026298916,29.401841513606087,36.00756227645268
FF,2025-07-27,93.9,-2.91,5.93,"Gonzales, Nick",693304,668678,field_out,hit_into_play,,,,,4.0,Nick Gonzales flies out to right fielder Corbin Carroll.,R,R,R,PIT,AZ,X,9,fly_ball,1,0,2025,-0.44,1.28,-0.51,2.56,,,,2,5,Bot,200.09,117.08,,,,,7.258129661195678,-136.46988088890802,-5.897180158794686,-7.109493293998354,30.47982568519088,-15.072010185085755,3.52,1.59,274.0,84.2,37.0,94.9,2216.0,7.0,776984,543510,663536,606466,553993,672695,664983,677950,682998,53.51,0.006,0.005,0.0,1.0,0,0,3.0,40,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,212.0,-0.004,-0.298,70.1,6.9,0.008,0.298,88.0,3,3,0.876,0.876,29,26,30,26,3,2,6.0,2.0,6.0,1.0,1.32,0.44,0.44,45.6,5.346087719287626,3.63964678536229,36.85489375485091,28.82428825668457,24.14052376109196
FC,2025-07-27,88.5,-2.73,6.24,"Gonzales, Nick",693304,595928,single,hit_into_play,,,,,6.0,Nick Gonzales singles on a sharp line drive to left fielder Jake McCarthy.,R,R,R,PIT,AZ,X,7,line_drive,2,0,2025,0.25,0.52,0.58,2.68,,,,0,8,Bot,95.35,85.2,,,,,7.532929765756578,-128.79617475977705,-3.761083871751946,1.466182187536528,23.74517997736719,-25.85038071205385,3.52,1.59,256.0,100.7,14.0,88.9,2566.0,6.3,776984,543510,663536,606466,553993,672695,664983,677950,682998,54.24,0.794,0.791,0.9,1.0,1,0,4.0,59,3,Cutter,4,0,4,0,0,4,4,0,Standard,Standard,185.0,0.002,0.32,72.0,7.9,1.051,-0.32,100.7,4,4,0.989,0.989,32,26,32,26,1,3,9.0,2.0,2.0,1.0,2.37,-0.25,-0.25,39.9,16.50133529048003,-3.4739621709387016,29.66195091407448,42.03612629556844,33.6836136345437
SI,2025-07-23,95.5,-1.73,5.53,"Gonzales, Nick",693304,675512,field_out,hit_into_play,,,,,3.0,Nick Gonzales flies out to right fielder Wenceel Pérez. Bryan Reynolds to 3rd.,R,R,R,PIT,DET,X,9,fly_ball,1,0,2025,-0.99,1.03,0.46,3.07,,668804.0,,0,3,Bot,192.11,66.49,,,,,8.124538879116402,-138.88331762171467,-3.2421690421730185,-14.557224005519776,27.95000839310253,-18.28381795955393,3.51,1.57,365.0,98.9,31.0,97.3,2173.0,7.1,777029,693307,679529,650402,656716,595879,663837,678009,672761,53.4,0.377,0.705,0.0,1.0,0,0,6.0,22,2,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,210.0,-0.001,-0.321,74.2,7.3,1.358,0.321,98.9,5,5,0.952,0.952,24,26,25,26,2,1,,1.0,5.0,2.0,1.45,0.99,0.99,38.2,8.017910678897216,10.425069482706954,20.44793047086837,41.06958843631814,26.161898627995136
SV,2025-07-22,84.9,-2.28,5.69,"Gonzales, Nick",693304,663554,field_out,hit_into_play,,,,,5.0,Nick Gonzales lines out to center fielder Parker Meadows.,R,R,R,PIT,DET,X,8,line_drive,0,1,2025,0.67,-0.21,-0.26,2.44,,687462.0,,1,4,Bot,118.26,73.61,,,,,3.42862438409692,-123.6174196298115,-0.8745130141476212,6.1980201897728335,24.197643323896003,-34.36048566936949,3.51,1.57,313.0,96.1,18.0,86.0,2136.0,6.9,777044,668670,679529,650402,656716,595879,682985,678009,672761,53.58,0.457,0.481,0.0,1.0,0,0,4.0,35,2,Slurve,3,0,3,0,0,3,3,0,Standard,Standard,84.0,-0.016,-0.224,75.4,7.3,0.69,0.224,96.1,3,3,0.878,0.878,28,26,28,26,3,2,10.0,1.0,7.0,1.0,3.36,-0.67,-0.67,42.5,2.6475115129704125,-0.3659862458803092,33.10446273533607,32.67920406166377,32.0411717268244
CU,2025-07-20,77.5,-0.56,6.38,"Gonzales, Nick",693304,650644,double,hit_into_play,,,,,9.0,"Nick Gonzales doubles (7) on a fly ball to left fielder Michael A. Taylor. Nick Gonzales to 3rd. Nick Gonzales advances to 3rd, on a throwing error by left fielder Michael A. Taylor.",R,R,R,PIT,CWS,X,7,fly_ball,1,1,2025,1.07,-1.43,0.51,1.61,,,,0,2,Bot,105.45,115.59,,,,,0.3274421166702066,-112.82385428997496,-0.5996521332922435,9.030804022768386,22.783488872597584,-44.415583177311625,3.51,1.57,224.0,70.7,43.0,75.8,3105.0,5.3,777074,700337,678246,672820,695657,805367,572191,673357,596103,55.24,0.34,0.34,1.25,1.0,1,1,3.0,15,3,Curveball,0,4,0,4,4,0,0,4,Standard,Standard,38.0,0.064,0.726,66.4,8.4,0.43,-0.726,88.0,-4,-4,0.169,0.169,30,26,30,26,1,0,7.0,1.0,6.0,1.0,5.26,-1.07,-1.07,47.8,13.480084990261377,-17.35223100478896,36.53825207089148,40.31958453041376,43.38783367782361
SI,2025-07-19,95.5,-1.41,5.48,"Gonzales, Nick",693304,605288,double,hit_into_play,,,,,9.0,Nick Gonzales doubles (6) on a fly ball to center fielder Luis Robert Jr. Andrew McCutchen scores.,R,R,R,PIT,CWS,X,8,fly_ball,1,0,2025,-1.33,0.48,0.61,1.96,,457705.0,,1,5,Bot,207.07,81.75,,,,,8.398819357925458,-138.91132011991886,-4.830718733518019,-19.095461225288386,27.555519039137263,-25.04016690209463,3.49,1.56,351.0,94.4,26.0,96.9,2178.0,6.9,777090,691019,678246,805367,668942,695657,643217,673357,643565,53.65,0.166,0.218,1.25,1.0,1,1,3.0,42,2,Sinker,3,2,3,2,2,4,4,2,Standard,Standard,228.0,0.1,0.786,68.9,7.8,0.357,-0.786,94.4,1,1,0.733,0.733,32,26,32,26,3,2,10.0,1.0,6.0,1.0,1.99,1.33,1.33,34.1,4.1450681849096025,13.029236427173135,37.29950870464791,44.54591425498123,20.83764535247317
SI,2025-07-18,93.5,-2.22,5.99,"Gonzales, Nick",693304,686563,field_out,hit_into_play,,,,,5.0,Nick Gonzales lines out sharply to center fielder Luis Robert Jr. Bryan Reynolds to 3rd.,R,R,R,PIT,CWS,X,8,line_drive,0,0,2025,-1.14,0.67,-0.2,2.35,,668804.0,,0,4,Bot,152.67,51.64,,,,,7.698080840068122,-136.01762123051154,-5.168392247030796,-15.82198626460471,26.665452393636876,-22.878777227489884,3.48,1.57,371.0,100.4,23.0,93.7,2128.0,6.2,777107,700337,678246,672820,695657,805367,572191,673357,596103,54.33,0.46,0.66,0.0,1.0,0,0,5.0,31,1,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,226.0,-0.018,-0.289,71.6,7.7,1.128,0.289,100.4,-4,-4,0.181,0.181,24,26,25,26,2,1,7.0,5.0,5.0,1.0,1.91,1.14,1.14,28.8,5.486368900056085,-3.6590435710522566,37.6791827266369,31.89282614896833,27.55824849332039
FS,2025-07-13,87.8,-1.26,6.33,"Gonzales, Nick",693304,680573,field_out,hit_into_play,,,,,4.0,Nick Gonzales flies out to center fielder Byron Buxton.,R,R,R,MIN,PIT,X,8,fly_ball,1,2,2025,-0.79,0.99,-0.43,2.61,,,,1,3,Top,143.7,62.13,,,,,3.707867598661279,-127.76937790628766,-5.004552984903391,-9.437770216736428,26.07258080552701,-20.47778593711161,3.47,1.56,342.0,90.6,27.0,88.9,1283.0,7.0,777113,543877,665019,650489,668904,621043,664056,621439,670242,53.53,0.111,0.156,0.0,1.0,0,0,3.0,20,4,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,208.0,0.016,-0.18,76.1,7.1,0.259,0.18,90.6,-1,1,0.404,0.596,24,26,25,26,2,1,5.0,1.0,9.0,5.0,1.96,0.79,0.79,47.8,10.855289315333986,6.838181529246371,34.6647665171765,31.05546151965001,27.05280907427515
SI,2025-07-12,94.4,-2.56,4.88,"Gonzales, Nick",693304,623437,single,hit_into_play,,,,,4.0,Nick Gonzales singles on a line drive to center fielder DaShawn Keirsey Jr. Spencer Horwitz scores.,R,R,R,MIN,PIT,X,8,line_drive,1,1,2025,-1.55,0.17,-0.72,2.72,,687462.0,,2,8,Top,123.41,99.42,,,,,8.109148310285986,-137.2734895334848,-0.2769221391789463,-21.34295035731485,30.62036741133194,-30.23217410534664,3.48,1.58,203.0,66.5,23.0,93.1,2262.0,5.6,777134,680777,664034,665019,668904,686797,650489,680577,663616,54.94,0.8,0.72,0.9,1.0,1,0,4.0,71,3,Sinker,12,3,3,12,4,12,4,12,Standard,Standard,251.0,0.0,0.698,75.8,7.1,0.835,-0.698,88.0,9,-9,0.999,0.001,34,26,34,26,1,3,2.0,1.0,6.0,1.0,2.4,1.55,1.55,7.5,11.438942079248951,4.330876828593259,33.84948736918206,29.25907343115499,25.7581125969659
