pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-05-05,85.1,2.27,6.35,"Gonzalez, Oscar",660757,607074,field_out,hit_into_play,,,,,14.0,Oscar Gonzalez lines out to center fielder Trent Grisham.,R,R,L,NYY,SD,X,8,line_drive,1,2,2025,1.34,0.33,0.53,1.42,,,,0,5,Top,152.2,71.14,,,,,-6.751624182320064,-123.68404798901608,-5.898909980830249,15.06539052145532,24.85148322253153,-27.798802379619403,3.61,1.71,324.0,99.4,17.0,85.0,1627.0,6.3,778045,669224,502671,678391,672724,683011,641355,663757,592450,54.2,0.48,0.537,0.0,1.0,0,0,4.0,33,4,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,135.0,0.028,-0.189,74.7,7.5,0.793,0.189,99.4,2,-2,0.761,0.239,32,27,33,27,2,1,6.0,1.0,5.0,1.0,2.83,1.34,-1.34,46.0,0.8176649477037009,0.8531443014231654,36.39423852590095,44.91565562849003,32.214117625801975
FF,2025-05-05,92.3,2.39,6.48,"Gonzalez, Oscar",660757,607074,field_out,hit_into_play,,,,,2.0,Oscar Gonzalez flies out to center fielder Trent Grisham.,R,R,L,NYY,SD,X,8,fly_ball,0,2,2025,0.65,1.37,0.07,3.26,,,,2,2,Top,158.4,57.43,,,,,-7.2658262336878545,-134.10691358005488,-5.219472591822335,9.608633218387023,33.60357212552748,-14.778256468893415,3.61,1.71,,104.8,39.0,,2303.0,6.0,778045,669224,502671,678391,672724,683011,641355,663757,592450,54.52,0.429,0.851,0.0,1.0,0,0,6.0,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,145.0,0.01,-0.16,69.6,6.4,1.672,0.16,104.8,0,0,0.54,0.46,32,27,33,27,1,0,6.0,1.0,5.0,1.0,1.35,0.65,-0.65,45.5,10.554205084538092,5.911000758996579,26.764825782898733,38.99643344514183,27.754494730491928
SL,2025-04-27,86.5,-0.67,6.2,"Gonzalez, Oscar",660757,641793,field_out,hit_into_play,,,,,6.0,Oscar Gonzalez flies out sharply to center fielder Chandler Simpson.,R,R,R,SD,TB,X,8,fly_ball,0,0,2025,-0.03,0.6,0.77,2.48,,,,0,4,Bot,120.52,45.72,,,,,3.4833152227126307,-125.89203092500472,-3.858786533609674,-1.0901886001881402,26.80434760255576,-25.17753864642876,3.59,1.7,378.0,102.1,23.0,86.3,2091.0,6.2,778146,643376,666018,664040,691406,670764,608671,802415,670224,54.25,0.62,0.933,0.0,1.0,0,0,6.0,30,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,180.0,-0.027,-0.259,75.8,7.5,1.643,0.259,102.1,0,0,0.559,0.559,29,27,30,27,2,1,5.0,2.0,6.0,5.0,2.45,0.03,0.03,47.1,7.045196563468711,4.956119483671287,25.70593287480191,45.62799120219397,32.52845543430094
FS,2025-04-27,84.7,-0.68,6.07,"Gonzalez, Oscar",660757,641793,single,hit_into_play,,,,,11.0,Oscar Gonzalez singles on a soft line drive to left fielder Travis Jankowski. Xander Bogaerts to 2nd.,R,R,R,SD,TB,X,7,line_drive,1,2,2025,-1.29,-0.23,-1.05,2.85,,,593428.0,0,2,Bot,63.53,116.43,,,,,1.6980364802915549,-123.07565470130535,-0.495783133209921,-13.272052879345846,32.21691313040623,-34.630641255752614,3.59,1.7,256.0,82.4,21.0,83.1,958.0,6.0,778146,643376,666018,664040,691406,670764,608671,802415,670224,54.47,0.794,0.725,0.9,1.0,1,0,4.0,11,6,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,256.0,0.054,0.548,71.7,6.4,0.876,-0.548,88.0,0,0,0.588,0.588,29,27,30,27,1,0,5.0,2.0,6.0,5.0,3.5,1.29,1.29,37.7,7.338635397351851,-6.642789163619219,29.906995227933013,24.756741519563697,34.27494213006001
FC,2025-04-25,88.7,1.02,5.22,"Gonzalez, Oscar",660757,664076,double_play,hit_into_play,,,,,8.0,"Padres challenged (catch or drop), call on the field was upheld: Padres challenged (force play), call on the field was upheld: Oscar Gonzalez flies into a double play, right fielder Kameron Misner to first baseman Jonathan Aranda. Mason McCoy out at 1st.",R,R,L,SD,TB,X,9,fly_ball,1,0,2025,-0.35,0.42,-0.11,2.17,,,669200.0,1,9,Bot,166.24,115.14,,,,,-1.999713559425567,-129.25623098066654,-2.285247638054309,-3.5339415609483225,27.826591200215667,-27.20117919446972,3.56,1.7,233.0,73.0,30.0,88.3,2549.0,6.0,778172,666163,666018,664040,676609,670764,666624,802415,670224,54.5,0.611,0.55,0.0,1.0,0,0,4.0,67,2,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,207.0,-0.206,-0.291,74.2,7.2,0.639,0.291,88.0,-1,-1,0.206,0.206,31,27,31,27,1,3,2.0,2.0,7.0,2.0,2.48,-0.35,0.35,34.4,2.402959076141272,11.917150341998092,31.15314970656274,37.55640278635683,27.6598739688432
KC,2025-04-22,78.0,-2.37,5.28,"Gonzalez, Oscar",660757,656427,single,hit_into_play,,,,,14.0,Oscar Gonzalez singles on a line drive to left fielder Riley Greene.,R,R,R,DET,SD,X,7,line_drive,1,2,2025,0.91,-0.89,0.51,1.26,,,,2,6,Top,96.05,97.08,,,,,4.512203181244086,-113.53875818016128,-0.0753166783009544,6.946941715139889,22.358772021795684,-40.08893794596273,3.55,1.7,243.0,74.6,23.0,78.0,2205.0,6.4,778221,693307,679529,650402,690291,700242,682985,595879,669234,54.09,0.923,0.839,0.9,1.0,1,0,4.0,42,4,Knuckle Curve,0,2,2,0,2,0,2,0,Standard,Standard,44.0,-0.01,0.404,71.5,7.8,0.994,-0.404,88.0,-2,2,0.24,0.76,29,27,30,27,3,2,7.0,1.0,6.0,1.0,4.66,-0.91,-0.91,33.5,8.071792933849999,-14.78979572045636,29.26967621424493,42.46134308957454,46.140684255850445
SL,2025-04-22,82.6,-2.47,5.38,"Gonzalez, Oscar",660757,656427,field_out,hit_into_play,,,,,14.0,Oscar Gonzalez flies out to center fielder Javier Báez.,R,R,R,DET,SD,X,8,fly_ball,0,0,2025,0.46,0.01,0.43,1.45,,,,1,4,Top,100.32,68.39,,,,,5.678169988139879,-120.18898148513084,-2.4188847288472024,3.286531520764024,24.721944762125787,-31.836558925258142,3.55,1.7,329.0,90.3,31.0,82.1,2348.0,6.1,778221,693307,679529,650402,690291,700242,682985,595879,669234,54.38,0.063,0.081,0.0,1.0,0,0,3.0,25,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,106.0,0.012,-0.254,76.5,7.9,0.136,0.254,90.3,-2,2,0.279,0.721,29,27,30,27,2,1,7.0,1.0,6.0,1.0,3.35,-0.46,-0.46,30.1,10.44085816667424,-9.844119995324316,33.14488599799026,41.24915443027264,44.37579633853004
SL,2025-04-20,85.3,0.43,6.0,"Gonzalez, Oscar",660757,664285,field_out,hit_into_play,,,,,9.0,Oscar Gonzalez flies out to right fielder Cam Smith.,R,R,L,HOU,SD,X,9,fly_ball,1,2,2025,-0.41,-0.38,0.46,1.75,,,,0,4,Top,183.94,77.79,,,,,0.903979331016409,-124.19958136148362,-2.892872333781685,-4.4521333876132925,26.441164341882477,-35.68879163940789,3.5,1.69,332.0,93.6,29.0,84.6,2553.0,5.9,778237,605170,572233,643289,670623,665161,670541,676694,701358,54.57,0.154,0.246,0.0,1.0,0,0,3.0,25,5,Slider,0,2,2,0,2,0,2,0,Standard,Standard,280.0,0.017,-0.189,71.4,7.7,0.431,0.189,93.6,-2,2,0.262,0.738,31,27,32,27,2,1,6.0,1.0,6.0,1.0,3.52,-0.41,0.41,40.0,1.5773195020434982,2.950191341894065,32.44828902386937,46.138556599283774,32.61693872062662
CU,2025-04-20,78.9,0.77,6.11,"Gonzalez, Oscar",660757,664285,double,hit_into_play,,,,,7.0,Oscar Gonzalez doubles (1) on a line drive to left fielder Yordan Alvarez. Xander Bogaerts to 3rd.,R,R,L,HOU,SD,X,7,line_drive,0,1,2025,-1.25,-1.26,-0.73,2.19,,,593428.0,2,1,Top,62.02,134.0,,,,,-0.9223193594209024,-114.78720447327936,0.7906254628894005,-10.601911428228686,26.56915622421935,-43.58536427429945,3.5,1.69,158.0,95.9,10.0,77.4,3014.0,5.8,778237,605170,572233,643289,670623,665161,670541,676694,701358,54.7,0.686,0.659,1.25,1.0,1,1,4.0,5,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,315.0,-0.031,0.959,78.2,7.9,0.801,-0.959,95.9,-1,1,0.422,0.578,31,27,32,27,1,0,6.0,1.0,6.0,1.0,5.0,-1.25,1.25,41.3,12.25355845673064,-17.359002068616025,30.687504279030275,31.39000663027097,42.817653094885614
ST,2025-04-18,82.1,-2.62,5.61,"Gonzalez, Oscar",660757,687473,single,hit_into_play,,,,,4.0,Oscar Gonzalez singles on a line drive to right fielder Cam Smith. Gavin Sheets to 2nd.,R,R,R,HOU,SD,X,9,line_drive,0,0,2025,0.84,0.18,-0.38,2.76,,,657757.0,1,2,Top,156.77,99.48,,,,,3.47079673049121,-119.4764062552252,-0.1505218599925035,7.093907360577919,27.435987119493657,-30.662614439757856,3.51,1.69,244.0,76.5,26.0,81.9,2290.0,6.6,778269,673237,572233,663898,670623,665161,514888,676694,701358,53.92,0.531,0.508,0.9,1.0,1,0,4.0,10,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,74.0,-0.037,0.406,75.9,6.7,0.634,-0.406,88.0,0,0,0.497,0.503,26,27,26,27,1,0,6.0,2.0,5.0,1.0,3.25,-0.84,-0.84,38.1,-1.2195288531570658,9.750704488220173,32.315250228454886,34.84439942235267,28.13303709584179
