pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-04-26,96.3,-0.67,5.95,"Gurriel, Yuli",493329,686752,field_out,hit_into_play,,,,,12.0,Yuli Gurriel flies out to right fielder José Caballero.,R,R,R,SD,TB,X,9,fly_ball,0,2,2025,-0.81,1.57,0.41,3.88,,,,1,5,Bot,151.29,115.58,,,,,4.738175588929959,-140.00556770741005,-3.4325815990293496,-11.735693143688811,35.60920020693909,-11.071849292474075,3.41,1.55,219.0,89.1,53.0,96.5,2286.0,6.7,778160,643376,666018,664040,691406,670764,666624,802415,676609,53.76,0.014,0.017,0.0,1.0,0,0,3.0,40,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,202.0,-0.016,-0.163,76.0,7.3,0.023,0.163,89.1,-3,-3,0.154,0.154,27,41,28,41,2,1,6.0,3.0,6.0,1.0,0.92,0.81,0.81,44.3,4.804943357758596,5.0681133783026935,10.054059401656138,41.071044936720014,25.19452589050721
FF,2025-04-26,97.0,-0.26,5.84,"Gurriel, Yuli",493329,685801,field_out,hit_into_play,,,,,12.0,Yuli Gurriel lines out to right fielder José Caballero.,R,R,R,SD,TB,X,9,line_drive,0,0,2025,-0.24,1.67,1.26,2.9,,,,0,8,Bot,170.52,99.03,,,,,4.661214677242183,-141.03064298065826,-6.1601826179294426,-4.360313946793942,34.90776780815002,-8.673470187393036,3.41,1.55,272.0,81.9,27.0,97.6,2400.0,6.9,778160,643376,666018,664040,691406,670764,666624,802415,676609,53.6,0.14,0.157,0.0,1.0,0,0,3.0,60,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,196.0,-0.041,-0.259,72.8,7.9,0.23,0.259,88.0,-2,-2,0.156,0.156,27,41,27,41,1,2,2.0,3.0,4.0,1.0,0.77,0.24,0.24,57.5,0.0045833456348337,3.8999019487080657,17.474073045381623,51.96330523878719,21.76944961907096
SI,2025-04-20,95.3,0.2,6.19,"Gurriel, Yuli",493329,664285,field_out,hit_into_play,,,,,4.0,Yuli Gurriel flies out to center fielder Jake Meyers.,R,R,L,HOU,SD,X,8,fly_ball,0,0,2025,1.26,0.86,-0.54,2.43,592518.0,,660757.0,1,6,Top,120.15,108.04,,,,,-4.731288032343203,-138.40585184719808,-5.977275451077141,17.174060410626982,37.46892061486864,-19.926898878629427,3.41,1.55,229.0,87.8,53.0,93.7,2179.0,5.9,778237,605170,572233,643289,670623,665161,670541,676694,701358,54.57,0.011,0.01,0.0,1.0,0,0,3.0,46,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,135.0,0.098,-0.139,64.9,7.5,0.011,0.139,88.0,0,0,0.401,0.599,31,41,32,41,3,2,6.0,1.0,6.0,1.0,1.7,1.26,-1.26,43.6,4.325727548696885,-21.72499398830529,33.05876873662464,29.286905450406504,32.58623810459401
SI,2025-04-20,94.4,0.57,5.98,"Gurriel, Yuli",493329,664285,field_out,hit_into_play,,,,,8.0,Yuli Gurriel flies out to right fielder Cam Smith.,R,R,L,HOU,SD,X,9,fly_ball,0,0,2025,1.52,0.5,-0.24,1.75,593428.0,660757.0,,2,1,Top,174.86,81.78,,,,,-5.46472408686791,-137.2861529605306,-6.340876409162558,20.467691861677554,33.03030359903987,-24.58112286275106,3.41,1.55,314.0,89.6,37.0,93.6,2204.0,6.1,778237,605170,572233,643289,670623,665161,670541,676694,701358,54.43,0.031,0.05,0.0,1.0,0,0,3.0,6,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,126.0,0.051,-0.305,70.0,8.1,0.09,0.305,89.6,-1,1,0.391,0.609,31,41,32,41,1,0,6.0,1.0,6.0,1.0,2.08,1.52,-1.52,44.2,-2.525536177937849,-10.04354138963892,37.85413208767948,34.902574069835296,24.8880798612101
SI,2025-04-19,95.8,2.99,5.83,"Gurriel, Yuli",493329,623352,field_out,hit_into_play,,,,,5.0,Yuli Gurriel flies out to right fielder Cam Smith.,R,R,L,HOU,SD,X,9,fly_ball,0,1,2025,0.73,1.58,-0.27,2.57,,578428.0,,2,9,Top,166.85,103.5,,,,,-10.309351405551526,-138.95949441855117,-6.532788945023822,11.873033810320573,33.37498296484067,-10.358061953606049,3.41,1.55,259.0,82.3,46.0,96.0,2236.0,6.7,778259,605170,572233,514888,670623,665161,670541,676694,701358,53.78,0.02,0.018,0.0,1.0,0,0,3.0,70,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,149.0,0.112,-0.25,76.4,7.3,0.022,0.25,88.0,1,-1,0.888,0.112,31,41,31,41,1,0,1.0,4.0,3.0,1.0,0.93,0.73,-0.73,32.4,-1.188108571837017,-0.3777548005558334,27.403502007157915,33.45293584775609,25.11014777455346
SI,2025-04-13,92.1,2.62,5.7,"Gurriel, Yuli",493329,607536,single,hit_into_play,,,,,8.0,Yuli Gurriel singles on a line drive to left fielder Zac Veen. Manny Machado scores. Oscar Gonzalez to 2nd.,R,R,L,SD,COL,X,7,line_drive,0,0,2025,1.21,0.62,0.24,1.68,592518.0,,660757.0,2,1,Bot,84.42,111.97,,,,,-8.73392727119476,-133.84731383055183,-5.774991333608971,16.40987231248708,26.533215931806144,-23.68922216904832,3.4,1.56,170.0,106.2,6.0,93.1,2240.0,6.8,778330,696100,669911,691182,641857,678662,691728,666160,605361,53.74,0.594,0.553,0.9,1.0,1,0,4.0,9,1,Sinker,1,0,1,0,0,2,2,0,Standard,Standard,137.0,0.087,0.622,77.3,8.6,0.684,-0.622,106.2,1,1,0.649,0.649,32,41,32,41,1,0,5.0,4.0,7.0,2.0,2.06,1.21,-1.21,28.1,1.0581484071750349,-12.972742779147168,33.29973473823767,40.67798257356689,28.55549407273021
SL,2025-04-08,84.4,2.48,6.0,"Gurriel, Yuli",493329,605488,field_out,hit_into_play,,,,,5.0,Yuli Gurriel flies out to center fielder JJ Bleday.,R,R,L,ATH,SD,X,8,fly_ball,1,1,2025,-0.25,0.07,0.13,2.28,,,,1,5,Top,98.77,51.51,,,,,-4.994711591767433,-122.90050598151215,-2.426012747822264,-1.5183294613970295,24.34938045628469,-31.23346198920197,3.39,1.56,370.0,97.5,34.0,84.6,2144.0,6.4,778395,669127,691016,691777,570482,805779,609280,668709,671732,54.12,0.2,0.386,0.0,1.0,0,0,5.0,46,3,Slider,9,4,4,9,4,9,4,9,Standard,Standard,211.0,0.007,-0.244,72.1,8.2,0.74,0.244,97.5,5,-5,0.954,0.046,32,41,33,41,3,2,6.0,1.0,7.0,1.0,3.13,-0.25,0.25,42.3,2.794587288244678,-14.08112054380661,27.704267682807743,36.7058596176569,30.483142842103792
FF,2025-04-08,92.0,2.49,5.78,"Gurriel, Yuli",493329,605488,double,hit_into_play,,,,,5.0,Yuli Gurriel doubles (1) on a sharp line drive to center fielder JJ Bleday. Xander Bogaerts scores.,R,R,L,ATH,SD,X,8,line_drive,1,1,2025,1.26,1.28,-0.11,2.57,,,593428.0,2,1,Top,86.04,79.83,,,,,-9.373490749290903,-133.4998161938917,-4.993936344820433,17.178703882457544,32.10656851452645,-15.983746513356753,3.39,1.56,311.0,102.5,14.0,91.9,2205.0,6.7,778395,669127,691016,691777,570482,805779,609280,668709,671732,53.84,0.74,0.766,1.25,1.0,1,1,4.0,5,3,4-Seam Fastball,0,1,1,0,2,0,2,0,Standard,Standard,134.0,-0.105,0.932,71.7,7.5,1.058,-0.932,102.5,-1,1,0.422,0.578,32,41,33,41,1,0,6.0,1.0,7.0,1.0,1.45,1.26,-1.26,37.3,-2.1618176383375656,-3.991294399044256,29.488157464496467,33.13670776771774,27.688109683464617
FF,2025-04-04,90.8,2.57,5.49,"Gurriel, Yuli",493329,684007,field_out,hit_into_play,,,,,11.0,Yuli Gurriel flies out to center fielder Pete Crow-Armstrong.,R,R,L,CHC,SD,X,8,fly_ball,0,1,2025,0.89,1.53,-0.17,3.64,,,,2,2,Top,109.33,75.99,,,,,-8.710111434239648,-131.799444939025,-1.853125014683828,12.389195198374786,32.27139953062289,-14.360211534353724,3.39,1.57,308.0,90.6,39.0,89.7,2526.0,6.1,778460,665804,683737,663538,807713,621020,664023,691718,663656,54.38,0.014,0.023,0.0,1.0,0,0,3.0,13,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,150.0,0.011,-0.217,74.2,7.3,0.041,0.217,90.6,1,-1,0.649,0.351,31,41,32,41,1,0,6.0,3.0,5.0,1.0,1.29,0.89,-0.89,39.3,0.3474429984419458,-1.754253420953928,14.84381172316002,35.29560810179047,25.808883785114865
CH,2025-04-01,83.8,2.33,5.22,"Gurriel, Yuli",493329,671106,field_out,hit_into_play,,,,,8.0,Yuli Gurriel flies out to left fielder Steven Kwan.,R,R,L,SD,CLE,X,7,fly_ball,1,1,2025,0.1,0.43,-0.22,1.49,,,,2,4,Bot,52.9,102.71,,,,,-6.089703901151855,-121.69695896012848,-2.879466418811391,2.4202714928666658,29.09513738229412,-27.558224039008365,3.39,1.57,297.0,88.2,46.0,83.0,902.0,6.4,778485,666310,467793,672356,608070,677587,680757,682177,666134,54.1,0.006,0.005,0.0,1.0,0,0,3.0,30,3,Changeup,1,0,1,0,0,1,1,0,Strategic,Standard,128.0,-0.011,-0.244,76.3,8.8,0.006,0.244,88.2,1,1,0.655,0.655,26,41,27,41,2,1,,3.0,8.0,3.0,2.89,0.1,-0.1,36.6,10.028249602029026,-27.41075745664266,33.63724131616034,34.91584703936392,40.6650391724153
