pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-27,85.9,1.39,5.71,"Haase, Eric",606992,806188,single,hit_into_play,,,,,9.0,Eric Haase singles on a fly ball to center fielder Dane Myers.,R,R,L,MIL,MIA,X,8,fly_ball,1,0,2025,1.21,0.3,0.54,1.55,,,,1,9,Bot,121.72,98.08,,,,,-4.410225966597008,-125.03084569028316,-4.178729676016599,13.561702864905335,25.69401518587028,-28.33541662953613,3.25,1.53,253.0,74.5,26.0,85.2,1776.0,5.9,776978,663743,689414,669364,676466,672640,691594,667472,669065,54.63,0.757,0.728,0.9,1.0,1,0,4.0,73,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,121.0,0.055,0.376,71.2,7.5,0.882,-0.376,88.0,0,0,0.577,0.577,27,32,27,33,1,3,5.0,4.0,8.0,,2.79,1.21,-1.21,32.3,12.591027680113552,0.2080267546163183,35.26274168198254,44.03826182648324,35.57616159479023
FF,2025-07-20,93.3,-2.52,5.2,"Haase, Eric",606992,489446,field_out,hit_into_play,,,,,11.0,Eric Haase flies out to center fielder Andy Pages.,R,R,R,LAD,MIL,X,8,fly_ball,0,2,2025,-1.12,1.25,-0.38,3.37,,,,1,8,Top,109.62,67.71,,,,,7.94416634947085,-135.725657831811,-1.7341390833075034,-15.506017444757685,27.93524578878606,-16.493297568701433,3.24,1.52,328.0,93.3,39.0,93.4,2425.0,6.2,777070,687221,500743,808975,669242,605141,624424,681624,606192,54.29,0.04,0.072,0.0,1.0,0,0,3.0,62,3,4-Seam Fastball,4,6,6,4,6,4,6,4,Standard,Standard,226.0,0.009,-0.163,68.2,6.1,0.13,0.163,93.3,-2,2,0.141,0.859,38,32,38,33,1,3,2.0,7.0,1.0,3.0,1.36,1.12,1.12,22.0,13.112409493690556,2.8206575792806734,25.14519246433882,31.520096083402485,25.894836237863338
ST,2025-07-20,81.7,-1.27,6.03,"Haase, Eric",606992,642152,single,hit_into_play,,,,,5.0,Eric Haase singles on a line drive to left fielder Esteury Ruiz. Joey Ortiz scores.,R,R,R,LAD,MIL,X,7,line_drive,1,2,2025,1.36,0.05,0.0,2.53,,687401.0,,1,6,Top,77.09,109.33,,,,,0.2579205447488393,-119.01706469636233,-1.391878185266082,12.792677801434284,23.86852361231643,-31.60522461095548,3.24,1.52,169.0,99.1,11.0,81.4,2712.0,6.2,777070,687221,518692,500743,669242,605141,665923,681624,606192,54.34,0.86,0.825,0.9,1.0,1,0,4.0,46,4,Sweeper,4,3,3,4,4,4,4,4,Standard,Standard,58.0,-0.139,0.613,74.9,7.0,1.022,-0.613,99.1,1,-1,0.635,0.365,33,32,34,33,1,2,1.0,7.0,38.0,3.0,3.37,-1.36,-1.36,32.8,16.68823895544036,-12.605778983450772,31.221073932775976,35.52879013285058,35.91833329559405
ST,2025-07-02,83.0,-1.79,6.09,"Haase, Eric",606992,694918,single,hit_into_play,,,,,6.0,Eric Haase singles on a line drive to center fielder Tyrone Taylor.,R,R,R,NYM,MIL,X,8,line_drive,2,2,2025,0.55,0.41,0.79,2.49,,,,1,5,Top,144.69,111.33,,,,,4.8339793340850425,-120.75912539685338,-2.542326024138515,4.435622181149138,24.36113989988622,-27.85269594553261,3.27,1.49,226.0,92.2,14.0,83.2,2591.0,6.5,777276,663584,624413,643446,683146,677595,607043,621438,665742,53.96,0.957,0.917,0.9,1.0,1,0,4.0,39,7,Sweeper,5,0,0,5,0,5,0,5,Standard,Standard,77.0,-0.012,0.441,66.6,6.9,1.144,-0.441,92.2,5,-5,0.954,0.046,24,32,24,33,2,1,5.0,7.0,,1.0,2.91,-0.55,-0.55,41.3,9.750238453041494,13.608267849154773,27.460507972333318,48.17618488095518,24.826861262904
ST,2025-06-25,85.3,-2.19,5.41,"Haase, Eric",606992,694973,double,hit_into_play,,,,,14.0,Eric Haase doubles (3) on a fly ball to center fielder Oneil Cruz. Brice Turang scores. Caleb Durbin to 3rd.,R,R,R,MIL,PIT,X,8,fly_ball,1,2,2025,1.02,0.6,1.21,2.15,668930.0,702332.0,,1,2,Bot,131.48,110.18,,,,,6.003618730476414,-123.9344685995408,-2.430843122482353,8.906752050271074,30.119151523013983,-25.776398017997085,3.29,1.5,224.0,67.2,34.0,85.7,2271.0,7.1,777361,680779,687462,693304,669707,643396,502054,665833,624428,53.4,0.877,0.805,1.25,1.0,1,1,4.0,16,4,Sweeper,1,0,1,0,0,2,2,0,Strategic,Standard,92.0,0.078,0.794,58.4,7.7,0.939,-0.794,88.0,1,1,0.736,0.736,23,32,23,33,1,0,6.0,5.0,6.0,7.0,2.6,-1.02,-1.02,24.6,17.941488336606216,-1.9333544114342889,24.626512373199965,51.532100054562,32.38930746959765
FF,2025-06-11,96.1,-2.11,5.17,"Haase, Eric",606992,680885,double,hit_into_play,,,,,5.0,Eric Haase doubles (2) on a sharp fly ball to left fielder Eli White. Sal Frelick scores.,R,R,R,MIL,ATL,X,7,fly_ball,0,1,2025,-0.5,1.41,-0.23,2.41,,686217.0,,2,8,Bot,29.77,98.18,,,,,6.170655295282158,-139.7410997143192,-4.917035455737785,-7.978081208496732,33.70380809309704,-12.7937114692585,3.26,1.53,341.0,101.3,25.0,96.7,2203.0,6.8,777554,686948,621566,645277,663586,669397,642201,671739,660670,53.67,0.611,1.024,1.25,1.0,1,1,6.0,65,2,4-Seam Fastball,1,6,1,6,6,2,2,6,Standard,Standard,229.0,0.014,0.944,73.6,7.5,1.873,-0.944,101.3,-5,-5,0.011,0.011,25,32,25,33,3,2,5.0,7.0,6.0,9.0,1.07,0.5,0.5,33.8,20.567943260084743,-13.940384204671542,32.18393506866042,35.221953985205595,37.11810010284647
CH,2025-06-04,84.2,2.16,6.12,"Haase, Eric",606992,489119,single,hit_into_play,,,,,3.0,Eric Haase singles on a line drive to center fielder TJ Friedl. Daz Cameron scores. Sal Frelick to 3rd. Joey Ortiz to 2nd.,R,R,L,CIN,MIL,X,8,line_drive,2,1,2025,1.14,0.71,0.66,2.77,663662.0,686217.0,687401.0,1,8,Top,133.64,80.04,,,,,-5.722244771343042,-122.5629584904558,-2.857523547794724,12.617086983152932,22.95852923628617,-24.59734445218284,3.27,1.53,264.0,86.9,20.0,84.3,1845.0,6.2,777647,624431,668715,680574,669289,682829,666181,670770,641584,54.29,0.577,0.53,0.9,1.0,1,0,4.0,62,4,Changeup,1,5,5,1,6,1,6,1,Standard,Standard,130.0,-0.011,0.386,73.1,6.8,0.666,-0.386,88.0,-4,4,0.02,0.98,38,32,39,33,1,3,,3.0,5.0,7.0,2.48,1.14,-1.14,42.3,9.920716182031995,6.881836911648267,25.979509048622823,48.01558211538837,28.58000504874327
EP,2025-05-31,46.3,-1.07,6.87,"Haase, Eric",606992,642215,single,hit_into_play,,,,,12.0,Eric Haase singles on a sharp line drive to right fielder Max Kepler.,R,R,R,PHI,MIL,X,9,line_drive,1,2,2025,-0.97,1.24,0.99,2.62,,,,2,8,Top,167.18,86.97,,,,,3.587152728881841,-66.97462667504345,4.777719479345951,-3.3152484655031,7.213283767379472,-29.18303102896904,3.25,1.51,225.0,104.3,15.0,45.0,1278.0,5.1,777702,665561,664761,681082,624641,607208,669016,679032,596146,55.43,0.68,0.718,0.9,1.0,1,0,5.0,72,5,Eephus,2,17,17,2,17,2,17,2,Standard,Standard,229.0,0.0,0.404,,,1.017,-0.404,104.3,-15,15,0.001,0.999,30,32,31,33,1,0,,5.0,5.0,1.0,9.51,0.97,0.97,33.9,,,,,
ST,2025-05-21,84.1,-2.47,5.83,"Haase, Eric",606992,608372,field_out,hit_into_play,,,,,8.0,Eric Haase flies out to right fielder Dylan Carlson.,R,R,R,MIL,BAL,X,9,fly_ball,1,2,2025,0.72,0.24,0.02,1.58,,656555.0,,1,4,Bot,204.6,123.71,,,,,4.34566277662947,-122.3369005454795,-3.843254056530048,6.178663617504092,27.9809569056196,-29.14720932863567,3.24,1.5,269.0,90.2,46.0,83.8,2663.0,6.5,777826,668939,656811,702616,656896,683002,677008,656775,666185,54.0,0.003,0.003,0.0,1.0,0,0,3.0,32,4,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,66.0,-0.047,-0.187,76.1,7.2,0.005,0.187,90.2,-1,-1,0.447,0.447,35,32,36,33,2,1,6.0,4.0,6.0,5.0,3.03,-0.72,-0.72,41.5,5.205137693654804,2.6252397510061347,38.51690823777595,37.83953516145488,27.681713856586367
SI,2025-05-21,95.3,0.13,6.92,"Haase, Eric",606992,642585,field_out,hit_into_play,,,,,1.0,Eric Haase flies out to left fielder Heston Kjerstad in foul territory.,R,R,R,MIL,BAL,X,7,fly_ball,1,0,2025,-0.58,1.77,-0.57,2.77,,,686217.0,1,9,Bot,30.71,112.66,,,,,-0.5519888164108153,-138.50769624183883,-9.225908767154348,-7.309060467912466,33.0436379712077,-7.586252543828831,3.24,1.5,321.0,105.3,52.0,95.6,2367.0,6.7,777826,668939,656896,702616,602104,683002,677008,656775,656811,53.84,0.023,0.039,0.0,1.0,0,0,3.0,72,2,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,190.0,-0.11,-0.291,74.6,7.4,0.07,0.291,105.3,-1,-1,0.206,0.206,30,32,30,33,1,3,1.0,4.0,3.0,5.0,0.76,0.58,0.58,65.9,20.58179793777288,-18.413592895064664,33.22204169130414,31.11002011536636,36.45325956573989
