pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-29,85.5,2.19,5.53,"Haggerty, Sam",664059,579328,single,hit_into_play,,,,,7.0,Sam Haggerty singles on a fly ball to center fielder Jo Adell.,R,R,L,LAA,TEX,X,8,fly_ball,2,0,2025,0.04,0.4,-0.52,1.72,,,,0,1,Top,134.81,106.19,,,,,-6.498693485866175,-124.344593988968,-3.494678617372096,1.721870053781137,25.712002080944508,-27.528500666222627,3.13,1.37,234.0,75.1,46.0,86.0,2334.0,6.7,776945,518595,694384,650859,621028,687263,621493,666176,672569,53.8,0.149,0.16,0.9,1.0,1,0,3.0,1,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,190.0,-0.036,0.32,78.3,7.8,0.204,-0.32,88.0,0,0,0.5,0.5,34,31,34,31,1,0,5.0,4.0,6.0,2.0,2.73,0.04,-0.04,39.1,5.073788017174894,-11.250813488632618,39.69641960517305,35.07453408048694,31.601496799334747
CU,2025-07-25,79.3,1.04,6.27,"Haggerty, Sam",664059,666214,single,hit_into_play,,,,,6.0,Sam Haggerty singles on a fly ball to right fielder Ronald Acuña Jr.,R,R,L,TEX,ATL,X,9,fly_ball,1,2,2025,-0.58,-1.02,0.75,1.93,,,,0,1,Bot,197.74,125.76,,,,,0.4660710219682866,-115.44899286141012,-0.7793651794145025,-5.29267370117632,22.210353993338728,-41.36269692414311,3.13,1.36,228.0,73.7,29.0,80.4,2618.0,7.1,777009,669221,621566,645277,663586,669397,595777,671739,660670,53.38,0.643,0.613,0.9,1.0,1,0,4.0,6,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,314.0,0.036,0.508,63.6,7.1,0.736,-0.508,88.0,0,0,0.547,0.547,27,31,28,31,1,0,6.0,12.0,5.0,4.0,4.65,-0.58,0.58,51.8,-5.613469061182909,13.746224375765962,24.804385238715945,48.049268508879024,17.171843816458402
CU,2025-07-25,78.3,2.96,5.3,"Haggerty, Sam",664059,607481,double,hit_into_play,,,,,13.0,Sam Haggerty doubles (5) on a fly ball to left fielder Jurickson Profar. Michael Helman scores.,R,R,L,TEX,ATL,X,7,fly_ball,0,1,2025,-1.07,-1.03,-0.12,1.15,,,680737.0,1,5,Bot,58.99,66.92,,,,,-4.672869209992311,-113.88405627211368,-0.0818961022300628,-8.23771430738108,24.24856153103186,-41.29363145641755,3.13,1.36,366.0,101.7,20.0,78.0,2300.0,6.4,777009,669221,621566,645277,663586,669397,595777,671739,660670,54.06,0.503,0.639,1.25,1.0,1,1,5.0,40,2,Curveball,3,0,3,0,0,4,4,0,Standard,Standard,300.0,0.05,0.832,,,1.034,-0.832,101.7,3,3,0.892,0.892,31,31,32,31,1,2,2.0,12.0,4.0,4.0,4.8,-1.07,1.07,15.1,,,,,
EP,2025-07-08,56.1,-2.36,6.16,"Haggerty, Sam",664059,621028,field_out,hit_into_play,,,,,11.0,Sam Haggerty flies out to left fielder Taylor Ward.,R,L,R,LAA,TEX,X,7,fly_ball,1,0,2025,-0.29,1.08,-1.0,2.87,,669701.0,,2,7,Top,94.34,109.79,,,,,2.4068318910206368,-81.55300922002779,2.9200522626083023,-1.5847673260418689,10.375514594110552,-27.948030138627885,3.11,1.35,236.0,83.5,53.0,54.6,1417.0,4.8,777180,681351,694384,650859,660162,687263,621493,666176,664774,55.74,0.011,0.01,0.0,1.0,0,0,3.0,62,2,Eephus,1,11,11,1,11,1,11,1,Infield shade,Standard,225.0,0.0,-0.308,72.2,7.0,0.014,0.308,88.0,-10,10,0.001,0.999,31,31,32,31,1,0,,1.0,2.0,4.0,6.16,0.29,-0.29,27.8,10.82650802945758,-1.6814724851687377,25.89605469878019,49.11874937780638,40.43809162745243
SI,2025-07-06,96.0,2.43,6.01,"Haggerty, Sam",664059,670970,field_out,hit_into_play,,,,,5.0,Sam Haggerty flies out to right fielder Fernando Tatis Jr.,R,R,L,SD,TEX,X,9,fly_ball,0,1,2025,1.26,1.11,0.08,2.08,,,,0,8,Top,173.92,85.22,,,,,-9.005567353731173,-139.17364979110704,-7.131462468840116,18.55931233710389,37.82613950522008,-16.17994700098337,3.11,1.35,306.0,93.1,42.0,94.6,2447.0,6.2,777207,455117,650333,630105,592518,593428,669369,701538,665487,54.31,0.017,0.028,0.0,1.0,0,0,3.0,63,2,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,150.0,0.021,-0.22,78.3,7.7,0.048,0.22,93.1,3,-3,0.935,0.065,26,31,26,31,1,0,2.0,2.0,2.0,1.0,1.42,1.26,-1.26,43.3,4.936746819103489,-10.800504755888245,36.97935270301819,38.8462006818244,26.48157343788344
SI,2025-07-04,98.6,2.4,5.81,"Haggerty, Sam",664059,670970,field_out,hit_into_play,,,,,5.0,Sam Haggerty flies out to right fielder Fernando Tatis Jr.,R,R,L,SD,TEX,X,9,fly_ball,2,0,2025,1.46,0.78,0.14,2.12,,669701.0,543760.0,2,10,Top,178.91,68.61,,,,,-9.525147088259343,-143.05070321690766,-6.281105453869835,22.32554197002372,38.78210797338271,-20.023040933576937,3.11,1.35,347.0,95.5,30.0,97.8,2469.0,6.4,777239,553869,650333,630105,592518,593428,657757,701538,665487,54.12,0.203,0.331,0.0,1.0,0,0,5.0,79,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,149.0,0.118,-0.336,76.9,7.0,0.614,0.336,95.5,0,0,0.689,0.311,26,31,26,31,1,0,2.0,3.0,2.0,2.0,1.61,1.46,-1.46,39.6,-3.431854748962147,3.921064253411605,36.79521953146799,39.272007733650845,27.10628798190197
SI,2025-07-01,90.9,-3.92,5.6,"Haggerty, Sam",664059,621199,field_out,hit_into_play,,,,,1.0,Sam Haggerty flies out to left fielder Colton Cowser.,R,L,R,TEX,BAL,X,7,fly_ball,0,0,2025,-1.56,0.55,-0.41,2.91,641680.0,641856.0,677649.0,2,5,Bot,51.37,91.89,,,,,12.289839641250056,-131.71187947259864,-1.9052884663882943,-20.8982626881452,31.02281920176578,-25.55746301119586,3.16,1.36,322.0,92.9,27.0,91.5,2069.0,7.2,777282,596142,656811,702616,602104,683002,681297,656775,666185,53.35,0.126,0.155,0.0,1.0,0,0,3.0,46,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,233.0,-0.027,-0.257,72.8,6.4,0.26,0.257,92.9,3,3,0.899,0.899,34,31,34,31,1,2,24.0,1.0,52.0,3.0,2.25,1.56,-1.56,32.0,-0.8445413244009354,11.658066213565192,29.086440074718848,43.921315842473085,18.71128259758273
FF,2025-06-30,97.2,-1.92,5.52,"Haggerty, Sam",664059,622554,field_out,hit_into_play,,,,,5.0,Sam Haggerty flies out to center fielder Cedric Mullins.,R,L,R,TEX,BAL,X,8,fly_ball,3,1,2025,-0.34,1.28,0.03,2.56,,,,2,7,Bot,114.94,68.58,,,,,5.964595005013014,-141.3070340529536,-5.261061056998623,-6.010882795535527,35.69556922718902,-14.103139189707823,3.16,1.36,352.0,97.7,36.0,96.5,2425.0,6.2,777292,596142,691723,702616,602104,683002,681297,656775,657656,54.32,0.186,0.34,0.0,1.0,0,0,5.0,59,5,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,212.0,-0.02,-0.414,75.8,7.0,0.666,0.414,97.7,0,0,0.52,0.52,30,31,31,31,1,3,3.0,2.0,6.0,1.0,1.16,0.34,-0.34,30.5,6.1098469493786425,-5.085904495087122,31.154863101052523,40.59219097088749,30.278610343765465
FF,2025-06-27,96.5,1.71,5.33,"Haggerty, Sam",664059,642100,single,hit_into_play,,,,,7.0,Sam Haggerty singles on a line drive to center fielder Julio Rodríguez. Josh Smith scores.,R,R,L,TEX,SEA,X,8,line_drive,1,2,2025,0.85,1.1,-0.68,1.54,,669701.0,,2,7,Bot,131.66,86.82,,,,,-8.203633398945941,-139.99261881603232,-6.82266928936912,13.14469716339337,36.68108007590881,-16.33935420281035,3.2,1.39,156.0,91.5,8.0,94.9,,5.9,777340,663728,456781,664238,810938,641487,668227,677594,670042,54.63,0.529,0.481,0.9,1.0,1,0,4.0,65,4,4-Seam Fastball,4,5,4,5,5,5,5,5,Standard,Standard,,0.219,0.754,70.0,6.7,0.591,-0.754,91.5,-1,-1,0.322,0.322,30,31,30,31,1,3,3.0,2.0,1.0,1.0,1.4,0.85,-0.85,32.2,-1.6746378651456302,3.000420092740276,42.520593476850784,31.26378480764449,21.977236629828248
FF,2025-06-25,95.7,-0.87,6.68,"Haggerty, Sam",664059,641329,field_out,hit_into_play,,,,,4.0,Sam Haggerty lines out to left fielder Colton Cowser.,R,L,R,BAL,TEX,X,7,line_drive,1,0,2025,-0.31,1.45,-0.62,2.21,,,,0,7,Top,52.2,86.52,,,,,1.3629426060399892,-139.0902677611486,-9.429523308274089,-4.389285802734305,31.913286034465987,-11.456335173394494,3.19,1.4,332.0,95.6,24.0,95.7,2238.0,6.4,777365,644433,656811,702616,676059,683002,681297,656775,666185,54.1,0.254,0.352,0.0,1.0,0,0,5.0,47,2,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,208.0,0.001,-0.301,73.8,7.0,0.591,0.301,95.6,-7,7,0.007,0.993,30,31,31,31,1,3,3.0,1.0,5.0,2.0,1.05,0.31,-0.31,50.9,-0.1228446506731094,6.674710455910695,31.608223068470643,43.90249851813677,21.24182677987007
