pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,91.7,-3.6,5.35,"Hamilton, David",666152,543859,field_out,hit_into_play,,,,,2.0,David Hamilton lines out to left fielder Willi Castro.,R,L,R,MIN,BOS,X,7,line_drive,3,2,2025,-0.98,0.91,0.07,2.79,,,647351.0,0,4,Top,84.28,85.76,,,,,11.322102643610208,-133.001647455005,-2.5340246757332823,-14.07113564180808,29.76589069394165,-20.976590831443524,3.19,1.43,300.0,92.8,20.0,91.0,2362.0,6.1,776954,543877,664034,665019,668904,686797,650489,664056,670242,54.38,0.343,0.355,0.0,1.0,0,0,4.0,29,7,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,236.0,0.012,-0.314,68.4,6.2,0.536,0.314,92.8,-4,4,0.101,0.899,35,27,36,28,1,1,,20.0,3.0,1.0,1.82,0.98,-0.98,14.0,-4.210018254688177,11.643221032668135,30.601679661532906,35.401551694663254,21.29254565964611
FS,2025-07-29,88.2,-2.38,5.57,"Hamilton, David",666152,663485,field_out,hit_into_play,,,,,8.0,David Hamilton flies out to right fielder Matt Wallner.,R,L,R,MIN,BOS,X,9,fly_ball,1,2,2025,-1.19,0.39,0.11,1.77,,,,1,8,Top,193.04,98.77,,,,,8.42940348447162,-128.23749159726793,-3.922925128405804,-14.887303619410124,26.401278527267664,-27.246615661338613,3.19,1.43,297.0,82.7,37.0,87.2,1394.0,5.7,776954,543877,664034,665019,668904,686797,650489,664056,670242,54.78,0.014,0.02,0.0,1.0,0,0,3.0,66,4,Split-Finger,3,6,6,3,6,3,6,3,Infield shade,Standard,249.0,0.004,-0.18,68.8,8.0,0.032,0.18,88.0,-3,3,0.072,0.928,27,27,28,28,1,3,2.0,20.0,1.0,1.0,2.54,1.19,-1.19,29.8,17.554094683525904,-18.73486422954774,34.00200240411061,37.24297244840028,39.91169244330778
FF,2025-07-09,98.0,-1.37,6.18,"Hamilton, David",666152,622608,field_out,hit_into_play,,,,,2.0,David Hamilton flies out to left fielder Jordan Beck.,R,L,R,BOS,COL,X,7,fly_ball,2,2,2025,-0.32,1.03,-0.06,2.78,,807799.0,691785.0,2,4,Bot,74.46,94.52,,,,,4.276319426055703,-142.55810349267097,-6.092802021364401,-5.399117641421929,33.18570995153535,-16.85790226707734,3.21,1.44,290.0,85.4,32.0,97.8,2003.0,6.2,777179,543592,669911,571657,641857,606115,687597,686668,692585,54.3,0.02,0.024,0.0,1.0,0,0,3.0,32,7,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,203.0,-0.028,-0.203,74.3,7.0,0.041,0.203,88.0,2,2,0.789,0.789,30,27,30,28,2,1,5.0,1.0,10.0,20.0,1.34,0.32,-0.32,52.7,1.9335561025732355,6.915643520042873,29.565306105615115,39.9777419639686,24.20473335028825
FF,2025-07-09,94.8,-1.48,6.13,"Hamilton, David",666152,622608,field_out,hit_into_play,,,,,5.0,David Hamilton lines out sharply to center fielder Brenton Doyle.,R,L,R,BOS,COL,X,8,line_drive,2,0,2025,-0.64,0.93,-0.19,2.63,,,691785.0,2,2,Bot,114.44,60.17,,,,,4.778295784962519,-137.90594823831012,-5.541092766923599,-9.184913968042029,30.732079342099343,-19.29158978367743,3.21,1.44,345.0,104.7,18.0,94.5,2067.0,6.1,777179,543592,669911,571657,641857,606115,687597,686668,692585,54.35,0.554,0.681,0.0,1.0,0,0,5.0,16,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,208.0,-0.021,-0.353,73.7,6.8,1.077,0.353,104.7,1,1,0.638,0.638,30,27,30,28,1,0,5.0,1.0,10.0,20.0,1.61,0.64,-0.64,50.8,2.0365038760597574,8.049898116593104,30.50565361724389,41.861777783288616,27.14703753843445
SL,2025-07-09,85.7,2.14,5.78,"Hamilton, David",666152,669020,single,hit_into_play,,,,,9.0,David Hamilton singles on a line drive to right fielder Yanquiel Fernández. Romy Gonzalez scores.,R,L,L,BOS,COL,X,9,line_drive,2,2,2025,-0.45,-0.09,0.72,1.89,,663853.0,,2,6,Bot,177.24,90.68,,,,,-2.467633445226554,-124.96222669573744,-2.845492061729666,-4.258718812109479,22.69429461496517,-32.80238824398785,3.21,1.44,247.0,98.8,12.0,86.7,2560.0,6.6,777179,543592,669911,571657,641857,606115,687597,686668,692585,53.89,0.937,0.883,0.9,1.0,1,0,4.0,48,5,Slider,4,0,4,0,0,5,5,0,Standard,Standard,276.0,0.021,0.742,72.9,7.0,1.091,-0.742,98.8,4,4,0.954,0.954,27,27,28,28,1,2,2.0,1.0,11.0,20.0,3.16,-0.45,-0.45,45.5,3.223389136366081,-5.954991802554116,37.54069108517935,29.569035008657163,34.01170191517258
FF,2025-07-04,94.8,-1.54,6.07,"Hamilton, David",666152,702795,field_out,hit_into_play,,,,,4.0,David Hamilton lines out to center fielder Jacob Young.,R,L,R,WSH,BOS,X,8,line_drive,3,2,2025,-1.02,0.85,-0.53,2.54,,,678882.0,2,8,Top,85.78,67.67,,,,,4.942023181562434,-137.98361952814457,-5.491113584232861,-14.11983160478042,29.20158708407604,-20.337107910566157,3.22,1.46,340.0,96.2,22.0,95.2,1752.0,6.4,777245,660688,663993,671277,691781,682928,669743,696285,695734,54.13,0.217,0.249,0.0,1.0,0,0,3.0,70,6,4-Seam Fastball,1,11,11,1,11,1,11,1,Infield shade,Standard,235.0,0.0,-0.294,70.2,7.0,0.409,0.294,96.2,-10,10,0.001,0.999,26,27,26,28,2,4,6.0,3.0,1.0,4.0,1.68,1.02,-1.02,34.5,-0.5127176589564443,8.428099522849577,27.470431240659625,43.515108261585766,24.901814282390237
FF,2025-06-30,83.5,3.45,5.9,"Hamilton, David",666152,608718,field_out,hit_into_play,,,,,2.0,David Hamilton flies out to right fielder Rece Hinds.,R,L,L,BOS,CIN,X,9,fly_ball,2,0,2025,-0.64,0.99,0.07,3.05,,,,0,3,Bot,201.07,115.38,,,,,-6.695176424526152,-121.55843122669036,-2.128400706082453,-5.126393464234026,22.860195566462817,-22.144134061771634,3.25,1.47,276.0,81.1,44.0,85.6,2226.0,7.5,777300,663886,687952,680574,669289,682829,668715,670770,677956,52.95,0.017,0.022,0.0,1.0,0,0,3.0,26,3,4-Seam Fastball,7,0,7,0,0,7,7,0,Strategic,Standard,179.0,-0.001,-0.378,73.7,7.5,0.031,0.378,88.0,7,7,0.978,0.978,35,27,36,28,1,1,2.0,3.0,5.0,1.0,2.27,-0.64,-0.64,55.4,16.805262462973197,-20.52971232348804,22.9266048775043,36.766387041564165,44.89276884381004
SI,2025-06-30,91.6,3.05,5.33,"Hamilton, David",666152,686747,field_out,hit_into_play,,,,,2.0,David Hamilton lines out to center fielder TJ Friedl.,R,L,L,BOS,CIN,X,8,line_drive,1,0,2025,1.54,0.57,0.26,3.22,,596115.0,,1,5,Bot,102.57,87.11,,,,,-10.353430521401322,-133.09070552847976,-0.6828195514481425,20.508889810275974,27.23037797358845,-25.490394268087314,3.25,1.47,285.0,86.4,22.0,91.8,2222.0,6.4,777300,663886,687952,680574,669289,682829,668715,670770,677956,54.13,0.314,0.283,0.0,1.0,0,0,3.0,47,2,Sinker,8,4,8,4,4,8,8,4,Standard,Standard,126.0,-0.008,-0.29,73.0,6.4,0.368,0.29,88.0,4,4,0.942,0.942,27,27,27,28,1,2,19.0,3.0,46.0,1.0,2.15,1.54,1.54,22.7,-0.5776538473242011,5.449631871431086,25.74283590198904,35.20922027902597,27.587533216913776
FF,2025-06-27,93.4,-1.66,5.79,"Hamilton, David",666152,621244,field_out,hit_into_play,,,,,11.0,David Hamilton flies out to left fielder Jonatan Clase.,R,L,R,BOS,TOR,X,7,fly_ball,0,0,2025,-0.9,1.24,-0.19,3.59,,,,2,2,Bot,87.86,90.47,,,,,5.749062734487491,-135.9520632929971,-2.6425873630970003,-12.406479853646454,30.31447620009518,-16.412147511281642,3.25,1.47,286.0,94.0,49.0,93.4,2198.0,6.3,777345,672386,665489,665926,676391,666182,682729,664770,680718,54.21,0.009,0.013,0.0,1.0,0,0,3.0,19,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,223.0,-0.011,-0.26,69.6,6.3,0.018,0.26,94.0,-2,-2,0.29,0.29,31,27,31,28,1,0,6.0,2.0,5.0,3.0,1.37,0.9,-0.9,43.1,4.885324080080783,6.023959944509495,21.71174363681792,39.21314484844612,28.48627187788911
FF,2025-06-20,92.6,-1.86,6.52,"Hamilton, David",666152,806185,field_out,hit_into_play,,,,,2.0,David Hamilton lines out to center fielder Jung Hoo Lee.,R,L,R,SF,BOS,X,8,line_drive,1,0,2025,-0.6,1.66,-0.05,3.2,,,678882.0,2,4,Top,152.93,64.16,,,,,5.981432043072031,-134.60239988911178,-6.333756223842037,-8.669470501679337,29.935662682629918,-10.843679133042622,3.2,1.45,340.0,93.5,23.0,93.3,2406.0,6.8,777425,672275,527038,683766,669477,642715,671218,808982,573262,53.69,0.146,0.167,0.0,1.0,0,0,3.0,32,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,203.0,0.028,-0.306,73.1,6.9,0.269,0.306,93.5,0,0,0.531,0.469,23,27,24,28,2,1,8.0,2.0,6.0,1.0,1.01,0.6,-0.6,52.9,5.851676418854914,-0.6762594718209282,25.089158444045083,39.19439547538151,27.8519678787214
