pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-07-21,84.6,-2.97,4.92,"Hampson, Garrett",641658,656234,field_out,hit_into_play,,,,,5.0,Garrett Hampson flies out to right fielder Mickey Moniak.,R,R,R,COL,STL,X,9,fly_ball,2,1,2025,1.05,0.49,0.02,2.24,,,,0,9,Top,173.23,76.3,,,,,4.833474345062891,-123.2399205419021,-0.946583009680583,9.924475531785586,22.386991221151906,-27.186587728869423,3.43,1.55,326.0,88.9,34.0,84.3,2826.0,5.8,777053,696100,606115,691182,641857,678662,687597,686668,666160,54.68,0.011,0.01,0.0,1.0,0,0,3.0,70,4,Sweeper,2,6,6,2,6,2,6,2,Standard,Standard,81.0,0.001,-0.305,67.9,6.5,0.021,0.305,88.9,-4,4,0.013,0.987,29,30,30,31,1,0,3.0,2.0,1.0,7.0,2.67,-1.05,-1.05,12.2,1.0672934558015628,0.2372865891808795,36.137994209654856,36.40316208915779,31.118920853997032
EP,2025-07-04,52.5,-1.56,6.84,"Hampson, Garrett",641658,542932,double,hit_into_play,,,,,1.0,Garrett Hampson doubles (2) on a fly ball to left fielder Vidal Bruján.,R,R,R,CHC,STL,X,7,fly_ball,1,1,2025,-0.05,1.76,-0.44,3.37,,,,0,9,Top,36.37,94.96,,,,,1.617594749653792,-76.38213099566622,2.959430486040551,-0.3999085584468591,10.191334737772118,-25.95831264630105,3.43,1.55,363.0,99.2,26.0,50.6,1448.0,4.4,777246,624512,683737,807713,457759,663538,660644,691718,663656,56.1,0.474,0.758,1.25,1.0,1,1,6.0,66,3,Eephus,11,1,1,11,1,11,1,11,Standard,Standard,195.0,0.0,0.726,70.1,6.5,1.362,-0.726,99.2,10,-10,0.999,0.001,35,30,35,31,1,0,,3.0,4.0,2.0,6.57,0.05,0.05,57.4,18.209935276679627,-18.157781559428084,23.71960475256076,31.11292921002172,46.96280077047935
FF,2025-06-29,91.8,2.08,5.28,"Hampson, Garrett",641658,671106,field_out,hit_into_play,,,,,4.0,Garrett Hampson flies out to right fielder Johnathan Rodríguez.,R,R,L,CLE,STL,X,9,fly_ball,0,0,2025,0.58,1.39,-0.41,2.65,,,,2,4,Top,180.04,131.23,,,,,-7.576443254360349,-133.6263045278753,-3.888295349866189,8.506764006450094,25.672531448656187,-14.770923861698527,3.49,1.59,217.0,82.4,52.0,92.4,2291.0,6.4,777309,595978,467793,682657,608070,682177,680757,657041,671286,54.09,0.031,0.036,0.0,1.0,0,0,3.0,30,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,155.0,0.006,-0.26,74.7,6.3,0.047,0.26,88.0,-3,3,0.197,0.803,26,30,27,31,2,1,5.0,3.0,6.0,1.0,1.29,0.58,-0.58,39.4,3.779449101689944,0.5810612001575753,35.68457618479964,29.23056677604544,32.70174164227437
ST,2025-06-29,84.1,-2.14,5.23,"Hampson, Garrett",641658,670036,single,hit_into_play,,,,,14.0,Garrett Hampson singles on a line drive to center fielder Lane Thomas. Nolan Gorman scores.,R,R,R,CLE,STL,X,8,line_drive,1,2,2025,1.33,-0.14,0.97,1.51,669357.0,,,2,8,Top,109.63,95.96,,,,,4.584292533522409,-122.31392638050104,-1.8131835775205771,11.963722014476946,29.742273771577395,-33.37625880700282,3.49,1.59,218.0,68.4,24.0,83.4,2758.0,6.4,777309,595978,467793,682657,608070,682177,680757,657041,671286,54.13,0.963,0.881,0.9,1.0,1,0,4.0,65,4,Sweeper,0,6,6,0,7,0,7,0,Standard,Standard,49.0,-0.003,0.808,74.5,7.6,1.023,-0.808,88.0,-6,6,0.007,0.993,32,30,32,31,1,3,1.0,3.0,2.0,1.0,3.43,-1.33,-1.33,38.9,13.082464780373328,-4.747790708262848,31.712192221670744,45.601387654500726,38.47301726283561
FF,2025-06-25,93.9,2.13,5.56,"Hampson, Garrett",641658,571510,field_out,hit_into_play,,,,,1.0,Garrett Hampson flies out to center fielder Pete Crow-Armstrong.,R,R,L,STL,CHC,X,8,fly_ball,0,0,2025,1.1,1.26,-0.62,3.23,,650968.0,,0,3,Bot,134.96,106.17,,,,,-9.595199941547136,-136.3601329952658,-3.041485582872958,15.90343289198476,32.40277219432179,-16.00265272388427,3.49,1.6,235.0,89.4,55.0,93.9,2170.0,6.6,777357,624512,683737,663538,807713,621020,664023,691718,663656,53.94,0.017,0.024,0.0,1.0,0,0,3.0,23,1,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,128.0,-0.027,-0.289,70.1,6.2,0.035,0.289,89.4,-5,-5,0.136,0.136,34,30,34,31,1,0,5.0,14.0,6.0,1.0,1.35,1.1,-1.1,27.2,14.048113935963643,-5.420802814600924,27.16762274582372,31.428809762689085,37.79583602385811
FC,2025-06-25,90.1,-2.11,6.18,"Hampson, Garrett",641658,605242,field_out,hit_into_play,,,,,3.0,Garrett Hampson flies out to right fielder Kyle Tucker.,R,R,R,STL,CHC,X,9,fly_ball,1,0,2025,0.29,0.56,0.45,2.94,,,,1,8,Bot,195.48,96.23,,,,,5.797425522556849,-131.08097584823284,-3.2785513897543583,2.034680572476324,28.313562537341525,-25.173500510021466,3.49,1.6,307.0,88.2,32.0,90.7,2627.0,6.7,777357,624512,683737,663538,807713,621020,664023,691718,663656,53.76,0.029,0.035,0.0,1.0,0,0,3.0,68,2,Cutter,0,8,0,8,8,0,0,8,Standard,Standard,153.0,0.0,-0.293,,,0.058,0.293,88.2,-8,-8,0.001,0.001,32,30,32,31,1,2,2.0,14.0,,1.0,2.25,-0.29,-0.29,45.3,,,,,
SL,2025-06-07,83.9,-1.47,6.3,"Hampson, Garrett",641658,801216,field_out,hit_into_play,,,,,4.0,Garrett Hampson flies out to left fielder Lourdes Gurriel Jr.,R,R,R,CIN,AZ,X,7,fly_ball,2,2,2025,0.18,-0.01,-0.45,2.47,,,680574.0,1,7,Bot,98.36,126.09,,,,,2.0246386337589395,-122.22981009585628,-2.5395060315623166,1.4222267828483524,21.850012840853022,-31.970069646048916,3.47,1.61,197.0,89.5,58.0,84.7,2348.0,6.5,777612,645444,656976,694374,553993,545121,666971,677950,545341,53.98,0.02,0.024,0.0,1.0,0,0,3.0,66,5,Slider,13,1,13,1,1,13,13,1,Standard,Standard,58.0,0.0,-0.223,68.5,7.2,0.035,0.223,89.5,12,12,0.999,0.999,25,30,26,31,1,0,,1.0,,4.0,3.21,-0.18,-0.18,46.0,16.17670928025255,-13.420732653704595,29.669473767548507,32.30166621664887,41.401186975946615
SL,2025-06-06,84.3,1.24,5.97,"Hampson, Garrett",641658,593958,double,hit_into_play,,,,,13.0,Garrett Hampson doubles (1) on a line drive to left fielder Lourdes Gurriel Jr.,R,R,L,CIN,AZ,X,7,line_drive,2,2,2025,-0.36,0.22,-0.26,1.47,,,,0,5,Bot,65.91,69.87,,,,,-2.779317338209468,-122.7389013276755,-4.5062668936478,-3.0167803889734546,25.880705695890104,-29.26687519863667,3.46,1.62,352.0,97.8,21.0,84.4,2251.0,6.5,777623,672515,694374,545121,553993,672695,666971,677950,545341,54.04,0.346,0.437,1.25,1.0,1,1,5.0,36,6,Slider,2,3,2,3,3,2,2,3,Standard,Standard,196.0,0.094,0.744,68.4,7.5,0.695,-0.744,97.8,-1,-1,0.407,0.407,32,30,32,31,2,1,23.0,4.0,5.0,1.0,3.0,-0.36,0.36,43.0,11.469432299939104,-5.695190788460757,35.1376238854001,33.980748635519944,34.35430576330087
SL,2025-06-02,81.2,-0.57,6.28,"Hampson, Garrett",641658,650644,field_out,hit_into_play,,,,,5.0,Garrett Hampson lines out to left fielder Jake Bauers.,R,R,R,CIN,MIL,X,7,line_drive,0,2,2025,0.74,-0.75,0.21,2.28,,,,1,2,Bot,46.85,85.6,,,,,0.3240883969490079,-118.21690144826697,-0.8943970780499829,6.880648506508972,23.059123619466707,-39.24624728906071,3.45,1.62,341.0,91.0,26.0,80.0,2928.0,5.5,777671,661388,656555,668930,655316,687401,641343,694192,686217,54.98,0.094,0.112,0.0,1.0,0,0,3.0,19,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,63.0,-0.016,-0.163,68.7,7.7,0.189,0.163,91.0,0,0,0.527,0.527,30,30,30,31,1,0,6.0,5.0,7.0,4.0,4.21,-0.74,-0.74,41.6,20.25506674998857,-15.558701893295538,26.956030359991743,39.324217835004674,40.39325901491589
CU,2025-05-28,82.9,0.75,6.53,"Hampson, Garrett",641658,702070,field_out,hit_into_play,,,,,7.0,Garrett Hampson flies out to center fielder Drew Waters.,R,R,L,KC,CIN,X,8,fly_ball,2,2,2025,-0.27,-0.58,-0.61,1.72,,,,1,5,Top,93.36,81.08,,,,,-2.5958326527433377,-120.7794534904355,-3.431841030445403,-2.145862867568618,22.675079945497377,-37.41820845522683,3.42,1.63,304.0,92.3,41.0,83.1,2385.0,6.3,777733,521692,686469,663697,679845,677951,680118,671221,670231,54.22,0.009,0.008,0.0,1.0,0,0,3.0,34,5,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,351.0,0.023,-0.228,70.0,7.8,0.01,0.228,92.3,1,-1,0.676,0.324,25,30,26,31,2,1,5.0,2.0,8.0,5.0,3.88,-0.27,0.27,65.0,12.904433138314564,-15.105695609912672,33.23285340196293,31.38022057876964,36.49590794819859
