pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-30,83.8,1.93,5.46,"Harper, Bryce",547180,641302,double,hit_into_play,,,,,8.0,Bryce Harper doubles (24) on a line drive to right fielder Mike Tauchman.,R,L,L,CWS,PHI,X,9,line_drive,3,2,2025,0.94,0.6,-0.01,1.58,,,,1,4,Top,199.06,137.86,,,,,-6.316827579553776,-121.87392414298914,-3.765091269603726,10.573724132435569,22.979276289107137,-25.60723130437152,3.18,1.57,189.0,80.9,18.0,83.9,1457.0,6.3,776939,700337,678246,805367,668942,695657,643217,673357,643565,54.23,0.989,0.921,1.25,1.0,1,1,4.0,25,6,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,126.0,-0.052,0.564,75.8,8.0,1.117,-0.564,88.0,1,-1,0.657,0.343,30,32,31,33,2,1,3.0,1.0,4.0,2.0,2.63,0.94,0.94,32.6,19.66746541024573,-16.71040133985335,39.4967413095568,36.558268183356645,45.615419348423146
FF,2025-07-30,94.1,-1.68,5.89,"Harper, Bryce",547180,678024,field_out,hit_into_play,,,,,1.0,Bryce Harper flies out to left fielder Andrew Benintendi.,R,L,R,CWS,PHI,X,7,fly_ball,3,1,2025,-0.75,1.31,-0.3,2.83,,,,1,6,Top,55.91,92.41,,,,,5.258871768447728,-137.0123325604396,-5.195683628549312,-10.567198376811463,29.22110594441557,-14.72917800368582,3.18,1.57,315.0,93.7,45.0,94.8,2277.0,6.6,776939,700337,678246,672820,668942,695657,643217,673357,643565,53.94,0.009,0.009,0.0,1.0,0,0,3.0,43,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,221.0,0.025,-0.419,78.7,6.9,0.012,0.419,93.7,0,0,0.533,0.467,25,32,25,33,1,2,3.0,1.0,4.0,2.0,1.26,0.75,-0.75,29.6,10.480683096756795,5.423115826831737,30.97631844902179,39.49596964677025,29.540439378399
SI,2025-07-30,91.4,1.96,5.49,"Harper, Bryce",547180,641302,field_out,hit_into_play,,,,,2.0,Bryce Harper lines out sharply to center fielder Luis Robert Jr.,R,L,L,CWS,PHI,X,8,line_drive,0,0,2025,1.29,0.61,0.18,2.96,,,,2,1,Top,112.9,77.59,,,,,-7.257271933796558,-132.90110003628092,-1.77317736011215,16.908175731196135,29.37836980142417,-24.82722441402488,3.33,1.52,304.0,107.8,14.0,91.0,2235.0,6.2,776939,700337,678246,805367,668942,695657,643217,673357,643565,54.33,0.743,0.783,0.0,1.0,0,0,5.0,3,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,134.0,0.01,-0.26,75.1,6.7,1.124,0.26,107.8,0,0,0.537,0.463,30,32,31,33,1,0,3.0,1.0,4.0,2.0,2.13,1.29,1.29,29.8,11.51174992815095,5.689974825259247,30.966968751741963,35.11326945409925,26.008186951383458
FF,2025-07-30,90.2,4.02,5.17,"Harper, Bryce",547180,685126,field_out,hit_into_play,,,,,1.0,Bryce Harper flies out sharply to left fielder Andrew Benintendi.,R,L,L,CWS,PHI,X,7,fly_ball,0,1,2025,0.82,1.18,-0.29,2.84,679032.0,,665561.0,2,8,Top,49.7,77.06,,,,,-12.615066371664126,-130.80815850052406,-2.378776316436188,11.931906031312993,25.30968915102609,-18.246339895604336,3.18,1.57,354.0,103.0,29.0,91.6,2047.0,7.1,776939,700337,678246,672820,668942,695657,643217,673357,643565,53.38,0.774,1.518,0.0,1.0,0,0,6.0,66,2,4-Seam Fastball,9,2,2,9,2,9,2,9,Infield shade,Standard,130.0,0.001,-0.237,75.4,6.6,2.946,0.237,103.0,7,-7,0.998,0.002,27,32,27,33,1,3,3.0,1.0,3.0,2.0,1.62,0.82,0.82,29.1,1.9772776725284853,-6.551271260179036,36.0705582745802,42.292829102311245,26.87737653464508
SI,2025-07-27,93.2,2.52,6.32,"Harper, Bryce",547180,607074,field_out,hit_into_play,,,,,6.0,Bryce Harper flies out to center fielder Trent Grisham.,R,L,L,NYY,PHI,X,8,fly_ball,3,2,2025,1.29,0.48,0.48,2.41,,,,0,6,Top,100.99,77.61,,,,,-7.999941460337038,-135.47167938126037,-5.303021022745998,17.551312280643636,28.160264971127276,-25.347644870535312,3.17,1.56,308.0,86.7,32.0,92.8,2312.0,6.0,776988,669224,700250,665862,641857,683011,691176,663757,641355,54.49,0.037,0.046,0.0,1.0,0,0,3.0,44,6,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,134.0,0.036,-0.345,74.0,6.8,0.07,0.345,88.0,1,-1,0.667,0.333,32,32,33,33,3,2,6.0,1.0,5.0,1.0,2.14,1.29,1.29,42.3,9.490276595215612,3.507279886650881,34.723825277372136,33.67784251318104,31.25299842472476
ST,2025-07-25,83.1,-2.73,5.69,"Harper, Bryce",547180,701542,field_out,hit_into_play,,,,,5.0,Bryce Harper flies out to left fielder Cody Bellinger.,R,L,R,NYY,PHI,X,7,fly_ball,0,0,2025,1.31,-0.17,-0.12,2.37,,,656941.0,1,1,Top,60.65,77.81,,,,,3.427117367125834,-121.0110443773488,-0.7961463852134203,12.195364254210666,24.15100737083443,-33.94008023564788,3.18,1.59,339.0,94.3,33.0,83.3,3037.0,6.4,777015,669224,502671,665862,672724,683011,641355,663757,592450,54.06,0.114,0.193,0.0,1.0,0,0,3.0,3,1,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,68.0,0.028,-0.256,76.9,7.0,0.361,0.256,94.3,0,0,0.497,0.503,26,32,26,33,1,0,6.0,2.0,5.0,1.0,3.48,-1.31,1.31,29.4,5.716263258700312,11.279912512189275,36.341201844534,39.2207780332713,28.36289411040706
SI,2025-07-23,98.9,0.33,6.4,"Harper, Bryce",547180,547973,field_out,hit_into_play,,,,,3.0,Bryce Harper flies out to left fielder Roman Anthony.,R,L,L,PHI,BOS,X,7,fly_ball,0,0,2025,0.87,1.45,0.39,3.04,,,,0,8,Bot,91.79,128.74,,,,,-1.8791749821637709,-143.9194849102472,-7.255993500856906,12.481351129398211,32.07339712358689,-10.53380517683653,3.18,1.59,197.0,86.8,58.0,100.8,2502.0,7.3,777038,665966,663853,678882,647351,596115,701350,680776,677800,53.24,0.011,0.01,0.0,1.0,0,0,3.0,64,1,Sinker,5,6,5,6,6,5,5,6,Standard,Standard,166.0,-0.062,-0.259,78.2,6.7,0.011,0.259,88.0,-1,-1,0.297,0.297,37,32,37,33,1,3,2.0,1.0,3.0,2.0,0.87,0.87,0.87,52.0,9.378713007098106,3.614746315630009,31.97947204123737,34.60824486533673,28.74405345827067
CH,2025-07-21,90.8,-1.3,5.49,"Harper, Bryce",547180,621111,double,hit_into_play,,,,,9.0,Bryce Harper doubles (22) on a sharp line drive to right fielder Wilyer Abreu.,R,L,R,PHI,BOS,X,9,line_drive,0,1,2025,-1.3,0.67,0.4,2.01,,,,1,4,Bot,169.14,63.1,,,,,7.075425142737759,-132.08074137337206,-4.275399262142894,-16.710134590165833,26.956405805643254,-23.630121307097152,3.24,1.63,352.0,106.8,17.0,91.4,1673.0,6.6,777063,665966,647351,691785,608324,596115,680776,678882,677800,53.9,0.594,0.739,1.25,1.0,1,1,6.0,28,2,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,234.0,0.056,0.681,74.3,7.0,1.157,-0.681,106.8,-1,-1,0.391,0.391,30,32,31,33,2,1,11.0,1.0,6.0,1.0,2.09,1.3,-1.3,37.2,10.722728561007726,-0.629912588431381,44.32837119415154,33.12129825023309,33.6868318000396
FF,2025-07-18,97.7,1.93,6.44,"Harper, Bryce",547180,656271,double,hit_into_play,,,,,14.0,Bryce Harper doubles (19) on a sharp line drive to center fielder Jo Adell.,R,L,L,PHI,LAA,X,8,line_drive,0,0,2025,0.48,1.2,0.46,1.45,,,,1,5,Bot,149.0,43.0,,,,,-5.099757033834765,-141.7854996863894,-10.73801387771876,7.619703129665056,33.27251062278661,-13.74415825766467,3.24,1.66,265.0,113.8,9.0,98.4,2238.0,6.9,777106,681351,694384,650859,621028,687263,621493,666176,624585,53.6,0.854,0.866,1.25,1.0,1,1,5.0,44,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shade,Standard,141.0,0.057,0.642,75.6,7.3,1.167,-0.642,113.8,0,0,0.536,0.536,28,32,29,33,1,2,7.0,5.0,2.0,1.0,1.21,0.48,0.48,41.3,8.466124362616286,-1.4880585249092253,42.74824834890511,32.78684614177877,31.90632756607685
FF,2025-07-13,94.3,-0.93,6.71,"Harper, Bryce",547180,601713,field_out,hit_into_play,,,,,5.0,Bryce Harper flies out sharply to left fielder Bryce Johnson.,R,L,R,SD,PHI,X,7,fly_ball,2,2,2025,-0.23,1.86,0.1,2.64,,,607208.0,2,5,Top,76.51,49.21,,,,,3.204775040968923,-136.8910045510637,-8.989644884479135,-3.689321500354712,37.08292911095863,-6.948419320066929,3.23,1.64,370.0,102.7,36.0,94.4,2298.0,7.0,777117,553869,650333,578428,592518,593428,669369,701538,665487,53.48,0.477,0.908,0.0,1.0,0,0,6.0,37,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,192.0,0.025,-0.216,77.6,7.0,1.791,0.216,102.7,-1,1,0.382,0.618,32,32,32,33,3,2,5.0,1.0,7.0,5.0,0.76,0.23,-0.23,59.3,11.561693585223766,2.096763145309907,38.93145096843465,35.95030606077057,29.66588539294988
