pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-23,92.5,-1.74,5.65,"Harris, Brett",695391,664299,double,hit_into_play,,,,,3.0,Brett Harris doubles (5) on a sharp fly ball to left fielder Zach Cole.,R,R,R,ATH,HOU,X,7,fly_ball,3,2,2025,-0.47,1.42,0.28,3.26,,,,0,5,Bot,81.8,48.84,,,,,6.136768953754309,-134.55155631974404,-3.324926888838388,-7.096134107030987,30.794364265272343,-14.435596890819166,3.42,1.58,386.0,103.4,22.0,91.7,2318.0,5.9,776208,673237,572233,514888,621043,643289,805904,676694,701358,54.55,0.611,0.918,1.25,1.0,1,1,6.0,39,7,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,200.0,0.059,0.632,74.5,7.2,1.6,-0.632,103.4,1,1,0.713,0.713,28,27,28,27,2,1,6.0,2.0,,1.0,1.26,0.47,0.47,35.4,8.329638753369943,-11.675326899691544,22.89319584728348,35.80979417447863,25.401258679586935
ST,2025-09-23,77.7,-1.74,5.75,"Harris, Brett",695391,664299,field_out,hit_into_play,,,,,2.0,Brett Harris flies out to left fielder Zach Cole.,R,R,R,ATH,HOU,X,7,fly_ball,2,1,2025,1.1,-0.48,0.21,3.3,,,,2,2,Bot,85.66,69.0,,,,,2.1438916874841647,-113.04465684604074,2.6259936681546443,8.859983625383087,23.6089187766856,-37.05612568946953,3.42,1.58,337.0,89.6,36.0,76.5,2701.0,5.8,776208,673237,572233,514888,621043,643289,805904,676694,701358,54.74,0.031,0.051,0.0,1.0,0,0,3.0,18,4,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,65.0,-0.011,-0.297,64.2,7.1,0.091,0.297,89.6,0,0,0.511,0.511,28,27,28,27,1,0,6.0,2.0,,1.0,4.3,-1.1,-1.1,36.5,18.1828726700082,-5.646888231453574,24.555598906316995,34.622293275542745,26.559546926194525
FF,2025-09-21,98.0,-3.01,5.12,"Harris, Brett",695391,670990,double,hit_into_play,,,,,5.0,Brett Harris doubles (4) on a sharp fly ball to left fielder Jack Suwinski.,R,R,R,PIT,ATH,X,7,fly_ball,0,0,2025,-0.8,0.98,0.21,2.32,,,,1,8,Top,97.0,39.29,,,,,10.73592872976144,-142.28398970394414,-4.412193101936548,-13.293520927588718,32.26893905532947,-17.939820180269116,3.43,1.58,400.0,103.1,29.0,99.6,2261.0,7.3,776234,663698,687462,694377,669707,693304,669261,665833,672744,53.21,0.774,1.518,1.25,1.0,1,1,6.0,66,1,4-Seam Fastball,10,0,0,10,0,10,0,10,Standard,Standard,229.0,0.0,0.642,80.5,7.7,2.946,-0.642,103.1,10,-10,0.999,0.001,30,27,30,27,1,0,4.0,1.0,3.0,2.0,1.4,0.8,0.8,26.9,9.070231235578497,-11.297475376850322,28.387572785376378,35.38235390970596,25.78261002542792
FF,2025-09-19,96.6,-1.22,6.03,"Harris, Brett",695391,693312,field_out,hit_into_play,,,,,2.0,Brett Harris flies out to left fielder Tommy Pham.,R,R,R,PIT,ATH,X,7,fly_ball,1,0,2025,-0.35,1.47,0.12,3.24,,,,0,8,Top,46.32,83.57,,,,,4.446641564690569,-140.58958414674942,-5.288686428769993,-5.647733729999411,31.22852158856869,-11.701785162487417,3.43,1.58,345.0,93.2,33.0,98.0,2370.0,7.0,776266,680779,804668,694377,669707,693304,502054,669261,668804,53.47,0.06,0.092,0.0,1.0,0,0,3.0,60,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,209.0,0.022,-0.301,73.1,7.3,0.172,0.301,93.2,-1,1,0.247,0.753,26,27,26,27,1,0,2.0,2.0,6.0,1.0,0.97,0.35,0.35,53.1,10.523174525834223,-16.1752661785932,18.47069643395428,33.94446246222838,30.20144398183482
FF,2025-09-17,96.0,-0.8,6.13,"Harris, Brett",695391,686580,field_out,hit_into_play,,,,,5.0,Brett Harris flies out to right fielder Rob Refsnyder.,R,R,R,BOS,ATH,X,9,fly_ball,0,0,2025,-0.1,1.6,0.18,2.42,671732.0,,687231.0,2,5,Top,173.63,125.56,,,,,2.835896554118197,-139.44673393834006,-7.801990762053532,-2.027341530173011,35.56816734501452,-9.784654560205327,3.42,1.57,219.0,87.9,53.0,96.2,2498.0,6.8,776299,665966,663993,663853,608324,596115,680776,678882,608701,53.71,0.011,0.01,0.0,1.0,0,0,3.0,44,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Strategic,196.0,0.038,-0.272,68.6,7.1,0.011,0.272,88.0,-2,2,0.239,0.761,27,27,28,27,1,2,1.0,1.0,2.0,2.0,0.91,0.1,0.1,53.2,4.476673984356545,0.6222663574245111,29.96851492366655,35.25657142595226,21.18036179918349
SL,2025-09-16,85.8,-2.21,4.84,"Harris, Brett",695391,669711,single,hit_into_play,,,,,6.0,Brett Harris singles on a line drive to left fielder Jarren Duran. Tyler Soderstrom scores. Carlos Cortes to 3rd.,R,R,R,BOS,ATH,X,7,line_drive,1,1,2025,0.44,0.28,0.7,2.63,,691016.0,666126.0,2,6,Top,61.75,125.89,,,,,5.940146403653568,-124.77528030004908,0.4834782756109145,3.305498797603172,26.65216910772221,-29.573845992190037,3.42,1.57,199.0,75.4,19.0,84.9,2424.0,5.9,776310,665966,663853,686765,608324,596115,680776,678882,681987,54.65,0.974,0.89,0.9,1.0,1,0,4.0,49,3,Slider,1,1,1,1,2,1,2,1,Standard,Standard,106.0,-0.176,0.57,64.2,7.7,1.045,-0.57,88.0,0,0,0.509,0.491,30,27,30,27,1,2,6.0,2.0,2.0,1.0,2.83,-0.44,-0.44,17.5,14.480829084713776,-12.936207958134329,24.289849003475705,41.279547411066375,32.98066758873208
CH,2025-09-14,86.9,3.61,5.51,"Harris, Brett",695391,666157,single,hit_into_play,,,,,8.0,Brett Harris singles on a line drive to left fielder Will Benson. Darell Hernaiz to 2nd.,R,R,L,ATH,CIN,X,7,line_drive,0,0,2025,1.37,0.22,0.08,2.03,,,687231.0,2,4,Bot,63.64,123.31,,,,,-11.195013028683938,-126.03414319200778,-2.556306151013905,16.861794698934123,25.75133388654071,-29.491465786561395,3.41,1.57,243.0,76.9,20.0,86.4,1871.0,6.2,776327,624431,701398,680574,663647,682829,666181,670770,682622,54.31,0.983,0.89,0.9,1.0,1,0,4.0,35,1,Changeup,2,3,2,3,3,2,2,3,Standard,Standard,105.0,0.027,0.345,75.1,7.8,1.051,-0.345,88.0,-1,-1,0.387,0.387,27,27,27,27,2,1,6.0,4.0,5.0,2.0,2.82,1.37,-1.37,19.0,12.394208141833085,-19.73274264494017,32.39636316222244,34.57809889587448,32.802670833623594
FF,2025-09-14,93.7,3.46,5.7,"Harris, Brett",695391,666157,single,hit_into_play,,,,,6.0,Brett Harris singles on a fly ball to right fielder Noelvi Marte.,R,R,L,ATH,CIN,X,9,fly_ball,0,0,2025,1.58,0.77,0.45,2.79,,,,0,3,Bot,185.43,135.94,,,,,-11.19523802479911,-135.910168733216,-3.427575298733455,22.04795130126316,31.605151530038366,-22.007493611699957,3.41,1.57,167.0,64.7,26.0,92.9,2369.0,6.1,776327,624431,701398,680574,663647,682829,666181,670770,682622,54.36,0.863,0.78,0.9,1.0,1,0,4.0,20,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,119.0,0.039,0.438,72.4,7.5,0.915,-0.438,88.0,-3,-3,0.224,0.224,27,27,27,27,1,0,6.0,4.0,5.0,2.0,1.85,1.58,-1.58,17.5,11.442336737452983,-14.385783086018206,25.897689926430672,37.871294132407314,34.945202472534184
EP,2025-09-06,39.8,-0.86,7.75,"Harris, Brett",695391,664068,single,hit_into_play,,,,,2.0,Brett Harris singles on a line drive to right fielder Jo Adell. JJ Bleday to 3rd. Shea Langeliers to 2nd.,R,R,R,LAA,ATH,X,9,line_drive,3,1,2025,-0.45,2.19,0.05,3.35,,668709.0,669127.0,2,8,Top,187.98,107.54,,,,,1.3206389160253067,-57.188742783381855,6.646880832770826,-1.1245440175403325,6.454295934751339,-28.47296222280481,3.4,1.56,207.0,91.0,13.0,37.0,,3.3,776430,681351,672724,621035,650859,687263,683090,669326,666176,57.18,0.951,0.896,0.9,1.0,1,0,4.0,77,5,Eephus,1,14,14,1,14,1,14,1,Infield shade,Standard,,0.0,0.432,64.9,6.4,1.088,-0.432,91.0,-13,13,0.001,0.999,31,27,31,27,2,0,,3.0,,1.0,12.85,0.45,0.45,73.9,2.3155882830185224,25.61765135840614,22.136953589686808,36.05435363273868,13.022726512586551
FF,2025-08-30,95.2,3.88,5.68,"Harris, Brett",695391,676395,field_out,hit_into_play,,,,,5.0,Brett Harris flies out to right fielder Adolis García.,R,R,L,ATH,TEX,X,9,fly_ball,1,1,2025,0.92,1.04,-0.12,2.2,,,687515.0,0,9,Bot,176.78,107.81,,,,,-12.574960799640166,-137.96427798029288,-5.723270984620119,14.77442729817065,33.51532480129376,-17.70920093278151,3.4,1.58,261.0,77.6,39.0,94.7,2228.0,6.4,776524,543309,677649,664238,673962,669701,694671,680737,666969,54.06,0.037,0.033,0.0,1.0,0,0,3.0,78,3,4-Seam Fastball,3,9,3,9,9,3,3,9,Standard,Standard,127.0,-0.005,-0.234,64.4,7.3,0.04,0.234,88.0,-6,-6,0.007,0.007,29,27,29,27,1,0,5.0,1.0,4.0,1.0,1.51,0.92,-0.92,25.3,-1.3941479283799514,0.6611259187439749,34.77115378804936,31.436921559573683,18.23018232454464
