pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-30,98.5,-1.63,5.67,"Hernández, Heriberto",681715,676617,field_out,hit_into_play,,,,,1.0,Heriberto Hernández lines out sharply to left fielder Iván Herrera.,R,R,R,STL,MIA,X,7,line_drive,2,0,2025,-1.24,0.84,-0.39,3.01,,,,1,7,Top,68.9,93.04,,,,,6.281102972071031,-143.28844989150338,-3.729856160625869,-18.489031580875988,33.70082905003734,-19.951457838716703,3.27,1.48,298.0,101.0,19.0,99.0,2323.0,6.6,776934,650968,676475,680977,571448,695336,671056,687363,691023,53.85,0.363,0.431,0.0,1.0,0,0,5.0,48,3,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,227.0,0.011,-0.364,73.5,7.3,0.665,0.364,101.0,-2,2,0.19,0.81,30,25,30,26,1,2,4.0,2.0,5.0,2.0,1.51,1.24,1.24,30.4,16.770780473925228,2.3484918379187327,30.54670167923309,32.750840298110084,34.48236611938508
SI,2025-07-28,97.7,-1.55,5.67,"Hernández, Heriberto",681715,694335,single,hit_into_play,,,,,5.0,Heriberto Hernández singles on a line drive to right fielder Jordan Walker. Jesús Sánchez scores.,R,R,R,STL,MIA,X,9,line_drive,1,0,2025,-1.31,0.86,-0.2,2.55,,660821.0,,2,9,Top,158.89,117.7,,,,,6.722295104285379,-142.1541754913675,-4.969538346779049,-19.28144077597219,30.44285288203305,-19.53018653926434,3.26,1.48,143.0,77.4,13.0,98.8,2281.0,6.8,776960,650968,575929,680977,695336,691026,641658,687363,691023,53.73,0.44,0.431,0.9,1.0,1,0,4.0,69,2,Sinker,7,0,0,7,1,7,1,7,Standard,Standard,222.0,0.0,0.654,70.8,6.8,0.519,-0.654,88.0,7,-7,0.999,0.001,26,25,26,26,1,3,17.0,1.0,1.0,2.0,1.51,1.31,1.31,31.8,1.1901754525102686,22.82623138575365,31.772173712028923,35.99006931317129,22.45071020288717
FF,2025-07-28,94.7,-1.62,6.1,"Hernández, Heriberto",681715,669467,field_out,hit_into_play,,,,,5.0,Heriberto Hernández flies out sharply to left fielder Iván Herrera.,R,R,R,STL,MIA,X,7,fly_ball,2,2,2025,-0.28,1.39,-0.16,2.31,,,,0,2,Top,60.71,73.59,,,,,4.442318474279916,-137.79702593722175,-7.356786845273769,-4.506626728508237,29.924128604079044,-13.066717084904262,3.26,1.48,348.0,102.0,41.0,95.2,2177.0,6.5,776960,650968,575929,680977,695336,691026,671056,687363,691023,53.97,0.197,0.376,0.0,1.0,0,0,5.0,8,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,192.0,0.023,-0.232,73.8,8.1,0.725,0.232,102.0,0,0,0.5,0.5,26,25,27,26,1,0,5.0,1.0,6.0,2.0,1.15,0.28,0.28,56.7,22.44726951963515,-17.20723118272923,33.89750331037341,33.80332717344373,41.04000047354914
SI,2025-07-27,92.3,-1.48,6.02,"Hernández, Heriberto",681715,605540,field_out,hit_into_play,,,,,9.0,Heriberto Hernández flies out to right fielder Isaac Collins.,R,R,R,MIL,MIA,X,9,fly_ball,0,1,2025,-1.23,1.3,0.4,1.98,,,,0,2,Top,187.31,110.81,,,,,7.4576698209840195,-134.05786407061942,-7.320110890882212,-16.368882794814738,27.588962889561905,-15.077618668147991,3.24,1.48,266.0,93.8,46.0,92.6,2229.0,6.5,776978,606992,683734,668930,702332,687401,592885,694192,686555,54.03,0.011,0.016,0.0,1.0,0,0,3.0,11,2,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,205.0,0.02,-0.22,74.5,8.0,0.023,0.22,93.8,-1,1,0.392,0.608,32,25,32,26,1,0,6.0,1.0,6.0,1.0,1.37,1.23,1.23,49.7,13.778389179051496,4.743719525691133,34.303739476199056,40.50668697682912,33.27966415959502
FF,2025-07-27,99.2,0.0,6.46,"Hernández, Heriberto",681715,656730,field_out,hit_into_play,,,,,1.0,Heriberto Hernández flies out to center fielder Jackson Chourio.,R,R,R,MIL,MIA,X,8,fly_ball,0,0,2025,-0.49,1.58,-0.6,3.12,,,,1,9,Top,101.9,75.59,,,,,-0.4899384426873313,-144.31000016527668,-7.419117016239543,-6.6690752823599935,35.94012607561329,-8.585569758257899,3.24,1.48,313.0,89.0,41.0,99.4,2497.0,6.6,776978,606992,655316,702332,678011,668930,592885,694192,686555,53.91,0.003,0.003,0.0,1.0,0,0,3.0,69,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,199.0,0.044,-0.254,66.6,6.9,0.005,0.254,89.0,0,0,0.558,0.442,31,25,32,26,1,3,8.0,1.0,1.0,1.0,0.75,0.49,0.49,54.8,15.057940702120703,-0.9690588356586002,30.74657722302624,27.767419923548296,26.72683595177991
CU,2025-07-26,79.1,2.14,5.68,"Hernández, Heriberto",681715,500779,field_out,hit_into_play,,,,,8.0,Heriberto Hernández lines out sharply to left fielder Isaac Collins.,R,R,L,MIL,MIA,X,7,line_drive,0,0,2025,-0.49,-0.43,-0.02,1.84,,,,1,4,Top,66.72,78.04,,,,,-3.836433721429663,-115.16038541028048,-0.801289701312293,-3.649217279008404,21.002356847256657,-36.06817791508147,3.24,1.48,332.0,108.0,20.0,79.9,2196.0,6.8,776996,661388,683734,668930,702332,687401,686555,694192,686217,53.71,0.86,1.331,0.0,1.0,0,0,6.0,26,1,Curveball,1,2,2,1,2,1,2,1,Strategic,Standard,300.0,0.016,-0.254,79.0,8.3,2.354,0.254,108.0,-1,1,0.394,0.606,36,25,36,26,2,1,6.0,4.0,6.0,1.0,4.06,-0.49,0.49,46.2,19.54729404444569,-8.56575830112856,37.06776350376377,35.47597376440529,37.8908763359082
SI,2025-07-22,92.9,-2.76,5.2,"Hernández, Heriberto",681715,663568,single,hit_into_play,,,,,5.0,Heriberto Hernández singles on a sharp line drive to center fielder Jackson Merrill. Agustín Ramírez scores. Kyle Stowers to 2nd.,R,R,R,MIA,SD,X,8,line_drive,2,1,2025,-1.32,0.52,-0.12,2.14,,682663.0,669065.0,2,6,Bot,111.96,80.55,,,,,9.694335246841108,-134.90057978677373,-3.1216802650860505,-18.321814263673904,31.419371741918205,-25.313621498521066,3.24,1.51,152.0,110.3,8.0,92.9,2043.0,6.5,777052,455117,630105,578428,592518,593428,657757,701538,665487,53.95,0.774,0.749,0.9,1.0,1,0,4.0,48,4,Sinker,2,1,2,1,1,3,3,1,Standard,Standard,229.0,0.109,0.541,75.5,7.4,0.954,-0.541,110.3,1,1,0.74,0.74,28,25,28,26,3,2,17.0,1.0,5.0,4.0,2.15,1.32,1.32,32.8,12.634396959553191,7.310199375852549,34.13382840225081,35.490824553539724,31.03555059035311
CH,2025-07-09,84.9,2.71,5.97,"Hernández, Heriberto",681715,671096,single,hit_into_play,,,,,8.0,Heriberto Hernández singles on a sharp line drive to left fielder Austin Hays. Nick Fortes scores.,R,R,L,CIN,MIA,X,7,line_drive,0,0,2025,1.17,0.74,0.15,1.86,,663743.0,,2,8,Top,89.24,82.28,,,,,-8.330927697602242,-123.26527763806746,-4.758674353266066,13.54608452528687,24.41965195269425,-23.856023184459502,3.28,1.54,230.0,108.8,12.0,85.0,2131.0,6.5,777183,663886,668715,680574,669289,682829,669720,670770,666181,54.03,0.894,0.882,0.9,1.0,1,0,5.0,63,1,Changeup,6,0,0,6,1,6,1,6,Strategic,Standard,134.0,-0.004,0.673,74.1,7.6,1.169,-0.673,108.8,6,-6,0.996,0.004,26,25,26,26,4,3,5.0,1.0,11.0,1.0,2.44,1.17,-1.17,44.9,17.09557562148453,11.378676858255789,36.47643884483404,37.86783311831616,34.03230972436008
FA,2025-07-08,54.9,-0.69,7.01,"Hernández, Heriberto",681715,624431,double,hit_into_play,,,,,2.0,Heriberto Hernández doubles (5) on a line drive to right fielder Will Benson. Connor Norby to 3rd.,R,R,R,CIN,MIA,X,9,line_drive,1,1,2025,0.7,0.86,0.27,2.93,,,681393.0,2,9,Top,177.15,79.22,,,,,0.5327091059437022,-79.97576729185725,2.305232506085713,2.9282608389621023,10.099840202234372,-28.983638558671608,3.29,1.55,361.0,107.2,21.0,53.2,1448.0,4.4,777197,663886,687952,669289,682622,680574,666158,656582,666181,56.12,0.854,1.329,1.25,1.0,1,1,6.0,74,3,Other,1,12,12,1,12,1,12,1,Infield shade,Standard,157.0,0.0,0.932,76.1,7.5,2.364,-0.932,107.2,-11,11,0.001,0.999,32,25,33,26,1,4,8.0,1.0,,1.0,6.67,-0.7,-0.7,60.1,11.129033689079304,14.98914163534769,23.64566200226309,37.62516770439501,23.47348641562054
SI,2025-07-07,92.8,1.81,5.76,"Hernández, Heriberto",681715,573124,field_out,hit_into_play,,,,,6.0,Heriberto Hernandez lines out sharply to center fielder TJ Friedl.,R,R,L,CIN,MIA,X,8,line_drive,0,0,2025,1.43,0.47,0.42,2.58,,669364.0,663743.0,2,9,Top,156.71,67.53,,,,,-6.599229008442361,-135.02769216802275,-3.3317321195231684,18.92105760812299,30.193791909148278,-25.88419112437084,3.3,1.55,335.0,104.6,18.0,91.6,1979.0,5.6,777208,663886,668715,680574,682622,682829,669720,670770,666181,54.9,0.554,0.681,0.0,1.0,0,0,5.0,66,1,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,128.0,0.003,-0.282,71.4,7.2,1.077,0.282,104.6,-4,4,0.013,0.987,34,25,35,26,1,0,3.0,1.0,12.0,1.0,2.18,1.43,-1.43,29.5,10.917729758702883,15.08004314397681,26.913957994353257,43.33220037935845,25.64342171612913
