pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-07-22,81.2,0.35,5.96,"Herrera, Jose",645444,664285,field_out,hit_into_play,,,,,8.0,Jose Herrera lines out sharply to left fielder Cooper Hummel.,R,R,L,AZ,HOU,X,7,line_drive,1,2,2025,-1.16,-1.11,-0.02,2.04,,672695.0,,1,5,Bot,85.6,87.3,,,,,1.374366631210121,-118.1633917635123,0.0249998780148872,-11.067004784850468,24.261024006611738,-42.78231453415363,3.32,1.49,295.0,101.6,17.0,80.3,2876.0,5.9,777040,673237,572233,694728,643289,670097,669450,676801,701358,54.65,0.437,0.504,0.0,1.0,0,0,5.0,40,4,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,322.0,-0.033,-0.187,70.8,7.3,0.769,0.187,101.6,1,1,0.733,0.733,31,28,32,28,2,1,10.0,2.0,6.0,3.0,4.59,-1.16,1.16,43.2,1.7438408212369232,-11.843942070973032,34.38226838126014,33.354896210094644,35.86971848267114
FF,2025-07-18,92.8,-1.61,6.12,"Herrera, Jose",645444,669467,single,hit_into_play,,,,,5.0,Jose Herrera singles on a line drive to right fielder Jordan Walker. Adrian Del Castillo scores. Alek Thomas to 3rd.,R,L,R,AZ,STL,X,9,line_drive,2,2,2025,0.16,0.88,0.23,2.57,,680728.0,677950.0,2,2,Bot,160.21,81.59,,,,,4.351720790076875,-135.18180686505684,-5.281926289287845,1.1233010015716012,27.636113255456262,-20.46737099267428,3.35,1.47,231.0,98.4,13.0,93.5,2319.0,6.5,777100,686780,575929,680977,571448,691026,676475,687363,691023,54.01,0.951,0.906,0.9,1.0,1,0,4.0,16,5,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Standard,173.0,0.115,0.621,,,1.132,-0.621,98.4,0,0,0.545,0.545,26,28,27,28,1,0,9.0,5.0,5.0,2.0,1.75,-0.16,0.16,58.2,,,,,
SI,2025-07-18,92.1,2.06,5.65,"Herrera, Jose",645444,667463,field_out,hit_into_play,,,,,5.0,Jose Herrera lines out sharply to center fielder Victor Scott II.,R,R,L,AZ,STL,X,8,line_drive,1,0,2025,1.4,0.29,0.03,2.14,,,,0,6,Bot,158.86,70.81,,,,,-8.088573926909595,-133.8659264009729,-3.664232444497148,18.551312632585084,29.71023634619115,-28.083354808461948,3.35,1.47,329.0,100.6,18.0,91.1,2303.0,5.8,777100,686780,575929,680977,571448,691026,676475,687363,691023,54.67,0.434,0.507,0.0,1.0,0,0,5.0,48,2,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,130.0,-0.001,-0.301,71.8,6.9,0.77,0.301,100.6,6,6,0.988,0.988,30,28,31,28,1,2,9.0,5.0,1.0,2.0,2.41,1.4,-1.4,28.7,-2.998672612441365,6.455706864430336,36.17470765298108,34.48535845640204,25.25572734738568
CH,2025-07-11,78.2,1.4,6.37,"Herrera, Jose",645444,542881,single,hit_into_play,,,,,9.0,Jose Herrera singles on a line drive to left fielder Taylor Ward. Alek Thomas scores.,R,R,L,LAA,AZ,X,7,line_drive,2,2,2025,0.95,1.01,0.79,2.04,,677950.0,,1,2,Top,102.31,96.61,,,,,-3.061639150779469,-113.86884439800332,-4.299433821183303,8.836591249868407,21.656420391080918,-22.78256020813893,3.38,1.47,224.0,76.4,19.0,77.8,1828.0,6.1,777150,681351,694384,650859,660162,687263,621493,666176,672569,54.42,0.977,0.885,0.9,1.0,1,0,4.0,18,5,Changeup,4,3,3,4,4,4,4,4,Infield shade,Standard,132.0,-0.091,0.587,66.8,7.7,1.035,-0.587,88.0,1,-1,0.588,0.412,35,28,36,28,1,0,5.0,1.0,10.0,2.0,2.72,0.95,-0.95,59.5,13.155881116197913,-9.01909657888364,26.66088801470213,43.06494153342206,39.91290974368056
FF,2025-07-11,94.6,1.46,6.12,"Herrera, Jose",645444,672282,field_out,hit_into_play,,,,,5.0,Jose Herrera flies out to left fielder Taylor Ward.,R,R,L,LAA,AZ,X,7,fly_ball,0,2,2025,0.63,1.55,0.25,2.7,,,677950.0,2,8,Top,90.8,74.8,,,,,-4.535606457854464,-137.65675817132572,-6.73309088756333,8.98880153477053,30.04521943040574,-11.12506017563498,3.38,1.47,325.0,85.9,31.0,94.7,2103.0,6.3,777150,681351,694384,650859,660162,687263,621493,666176,672569,54.21,0.04,0.056,0.0,1.0,0,0,3.0,72,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,148.0,0.051,-0.173,76.6,7.3,0.092,0.173,88.0,0,0,0.554,0.446,25,28,26,28,1,3,2.0,1.0,1.0,2.0,0.99,0.63,-0.63,47.7,9.576820326900812,-8.311586324929882,24.51970978417624,38.68830594072951,34.04734816638738
SL,2025-07-11,87.4,1.84,6.25,"Herrera, Jose",645444,656271,field_out,hit_into_play,,,,,14.0,Jose Herrera flies out to center fielder Jo Adell.,R,R,L,LAA,AZ,X,8,fly_ball,3,2,2025,0.25,0.25,0.84,2.04,,,,1,6,Top,118.65,94.25,,,,,-2.9594087410826573,-127.29857425780683,-4.629199049156112,3.300920285724706,23.73606345408904,-28.76643323245716,3.38,1.47,263.0,75.5,26.0,88.6,2144.0,6.8,777150,681351,694384,650859,660162,687263,621493,666176,672569,53.73,0.606,0.558,0.0,1.0,0,0,4.0,55,7,Slider,5,4,4,5,4,5,4,5,Infield shade,Standard,160.0,0.026,-0.333,68.7,7.8,0.676,0.333,88.0,1,-1,0.703,0.297,28,28,29,28,1,2,2.0,1.0,7.0,2.0,2.71,0.25,-0.25,42.3,9.30476047707021,-4.62956259038589,25.30067906516592,44.10287013239417,33.47149533844053
FC,2025-07-10,89.8,-1.96,5.99,"Herrera, Jose",645444,681190,field_out,hit_into_play,,,,,8.0,Jose Herrera flies out to center fielder Jackson Merrill.,R,L,R,SD,AZ,X,8,fly_ball,1,1,2025,-0.06,0.99,0.2,2.07,,677950.0,,2,4,Top,113.42,57.33,,,,,5.463502384974023,-130.5343048209733,-5.802162351172733,-1.9122365685659093,28.15011996349713,-19.76751342578249,3.4,1.48,352.0,94.4,27.0,89.5,2414.0,6.2,777158,455117,650333,630105,578428,593428,657757,701538,665487,54.26,0.149,0.194,0.0,1.0,0,0,3.0,32,3,Cutter,1,2,2,1,2,1,2,1,Infield shade,Standard,206.0,0.035,-0.264,68.3,7.1,0.328,0.264,94.4,-1,1,0.386,0.614,26,28,27,28,2,1,6.0,2.0,11.0,1.0,1.84,0.06,-0.06,34.9,1.7891232929712142,-3.318841259305787,41.440480693817065,32.82911935652557,30.58118211586224
FF,2025-07-10,92.5,-1.87,6.0,"Herrera, Jose",645444,681190,sac_fly,hit_into_play,,,,,8.0,Jose Herrera out on a sacrifice fly to right fielder Fernando Tatis Jr. Jake McCarthy scores. Alek Thomas to 3rd.,R,L,R,SD,AZ,X,9,fly_ball,2,0,2025,-0.74,1.21,-0.05,1.98,664983.0,677950.0,,0,3,Top,183.88,103.25,,,,,6.22999638376348,-134.43690607537565,-7.053069169419631,-10.35177225349446,29.903558087229943,-16.14514477805165,3.4,1.48,277.0,78.9,35.0,92.2,2330.0,6.3,777158,455117,650333,630105,578428,593428,657757,701538,665487,54.24,0.043,0.055,0.0,1.0,0,0,3.0,18,3,4-Seam Fastball,0,0,0,0,1,0,1,0,Infield shade,Standard,212.0,-0.01,-0.267,70.0,8.2,0.081,0.267,88.0,0,0,0.342,0.658,26,28,27,28,1,0,6.0,2.0,11.0,1.0,1.47,0.74,-0.74,36.0,16.40332065303267,-20.988274094788903,39.60519281557215,35.0557973188979,38.63632035370449
FF,2025-07-08,94.6,-0.86,6.74,"Herrera, Jose",645444,601713,double,hit_into_play,,,,,9.0,Jose Herrera doubles (5) on a sharp line drive to right fielder Fernando Tatis Jr.,R,L,R,SD,AZ,X,9,line_drive,3,2,2025,-0.36,1.81,0.38,1.88,,,,2,5,Top,207.0,88.77,,,,,4.1149011455495454,-137.2429001113203,-11.100130903787036,-5.590676311046693,34.32837386409498,-6.9172525567596574,3.4,1.48,336.0,100.8,20.0,95.4,2396.0,7.2,777185,553869,650333,630105,592518,593428,657757,701538,665487,53.31,0.449,0.578,1.25,1.0,1,1,5.0,30,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,193.0,-0.032,0.511,69.5,7.7,0.931,-0.511,100.8,0,0,0.551,0.449,32,28,32,28,2,1,6.0,2.0,5.0,2.0,0.78,0.36,-0.36,58.0,12.014496880268211,-21.97664144227089,40.49872318862259,27.56520447076769,35.658430694046416
SI,2025-07-06,96.5,-1.81,6.06,"Herrera, Jose",645444,668674,field_out,hit_into_play,,,,,1.0,Jose Herrera flies out to center fielder Kyle Isbel.,R,L,R,AZ,KC,X,8,fly_ball,2,0,2025,-1.18,0.71,-0.52,2.95,,,677950.0,1,8,Bot,141.79,67.94,,,,,6.141333281292769,-140.43648512240887,-4.340003571708095,-17.0259601756459,30.80144453950213,-21.96863593749423,3.39,1.46,327.0,89.5,37.0,97.1,1833.0,6.5,777218,666023,686469,663697,679845,677951,670231,664728,686475,53.95,0.026,0.038,0.0,1.0,0,0,3.0,60,3,Sinker,0,4,0,4,4,0,0,4,Infield shade,Standard,230.0,-0.017,-0.359,65.4,7.4,0.068,0.359,89.5,-4,-4,0.04,0.04,30,28,30,28,1,2,3.0,2.0,2.0,2.0,1.73,1.18,-1.18,41.9,13.641650571249034,-7.773596575546139,25.33154119620835,40.44660083625213,32.48046737634194
