pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-05-22,97.5,-2.14,5.24,"Heyward, Jason",518792,554340,field_out,hit_into_play,,,,,4.0,Jason Heyward flies out to center fielder Myles Straw.,R,L,R,TOR,SD,X,8,fly_ball,0,2,2025,-0.8,1.2,-0.43,2.43,,,,0,8,Top,130.44,106.76,,,,,6.392484615201611,-141.73186846668585,-4.728100313795876,-12.228841056321691,34.73707423593419,-15.115545008465816,3.6,1.65,233.0,95.4,57.0,96.6,2571.0,6.0,777816,623168,665489,676391,680718,666182,682729,664702,664770,54.53,0.017,0.017,0.0,1.0,0,0,3.0,61,4,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,232.0,0.036,-0.165,71.4,8.7,0.024,0.165,95.4,2,-2,0.87,0.13,34,35,35,36,1,0,4.0,1.0,41.0,,1.22,0.8,-0.8,24.9,13.465052886129376,-11.750640945369517,28.386698544801742,47.98157281957508,22.963629663151725
FS,2025-05-20,83.9,-3.12,5.21,"Heyward, Jason",518792,605135,single,hit_into_play,,,,,8.0,Jason Heyward singles on a sharp line drive to right fielder George Springer.,R,L,R,TOR,SD,X,9,line_drive,0,1,2025,-0.99,-0.39,-0.14,1.92,,,,1,5,Top,199.51,107.52,,,,,8.857100850956362,-121.79891448745865,-0.3070383964052758,-11.730528357180122,26.92528294379697,-36.24898046015909,3.57,1.65,185.0,107.5,9.0,83.4,1197.0,6.4,777845,672386,665489,676391,680718,666182,664770,662139,543807,54.14,0.754,0.74,0.9,1.0,1,0,4.0,30,2,Split-Finger,1,0,0,1,0,1,0,1,Infield shade,Standard,275.0,-0.036,0.454,75.7,8.2,0.936,-0.454,107.5,1,-1,0.676,0.324,36,35,36,36,2,1,6.0,3.0,5.0,1.0,3.68,0.99,-0.99,23.8,11.170840808916283,-8.586003276013264,31.402803414007145,44.19073287061982,28.5018178899473
FF,2025-05-17,97.3,-2.2,5.56,"Heyward, Jason",518792,676106,field_out,hit_into_play,,,,,2.0,Jason Heyward flies out to center fielder Julio Rodríguez.,R,L,R,SD,SEA,X,8,fly_ball,3,2,2025,-1.0,1.0,0.11,3.13,,,,0,3,Bot,114.86,91.98,,,,,8.45399430536256,-141.3177571763512,-3.2074919432718003,-15.453719319762286,35.27571497009347,-18.31686146463412,3.56,1.65,271.0,76.0,32.0,96.6,2481.0,6.2,777875,663728,642133,664238,810938,641487,668227,677594,670156,54.27,0.191,0.179,0.0,1.0,0,0,3.0,20,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,235.0,-0.025,-0.345,75.8,7.2,0.231,0.345,88.0,0,0,0.554,0.554,26,35,26,36,1,0,5.0,4.0,6.0,3.0,1.44,1.0,-1.0,29.0,7.1829999789867625,11.719819126406923,23.757712569915043,41.1140756524084,15.961579643172309
SI,2025-05-10,91.6,1.34,5.56,"Heyward, Jason",518792,518397,field_out,hit_into_play,,,,,6.0,Jason Heyward lines out to right fielder Sean Bouchard.,R,L,L,COL,SD,X,9,line_drive,0,1,2025,0.89,0.29,0.68,2.55,,701538.0,642180.0,2,6,Top,181.06,107.59,,,,,-3.56999855971554,-133.55874108460122,-2.4675523263849644,11.462231272109811,23.38144969333323,-28.404987498183228,3.56,1.66,266.0,75.4,26.0,92.1,2347.0,6.1,777976,696100,669911,691182,680911,676701,687597,666160,656248,54.42,0.757,0.728,0.0,1.0,0,0,4.0,62,2,Sinker,0,20,20,0,20,0,20,0,Standard,Standard,133.0,0.0,-0.235,71.9,8.0,0.882,0.235,88.0,-20,20,0.001,0.999,35,35,36,36,1,4,2.0,1.0,4.0,1.0,2.38,0.89,0.89,34.5,7.770350542316787,-11.60086715952306,29.8744667857334,33.25988015748092,25.828629880242413
SI,2025-05-09,92.0,-2.39,5.35,"Heyward, Jason",518792,623474,field_out,hit_into_play,,,,,5.0,Jason Heyward flies out to right fielder Mickey Moniak.,R,L,R,COL,SD,X,9,fly_ball,1,0,2025,-1.33,0.14,0.03,2.94,,701538.0,630105.0,2,6,Top,126.41,193.46,,,,,8.879111919573987,-133.7979836129467,-0.6709931223782697,-17.740494990034417,24.335079342619512,-30.50694809354853,3.56,1.67,353.0,88.1,32.0,91.4,2532.0,5.6,777993,696100,669911,691182,641857,571657,687597,686668,666160,54.92,0.029,0.035,0.0,1.0,0,0,3.0,55,2,Sinker,1,12,12,1,12,1,12,1,Standard,Standard,238.0,0.0,-0.306,79.2,8.1,0.058,0.306,88.1,-11,11,0.001,0.999,31,35,32,36,2,3,6.0,2.0,4.0,1.0,2.52,1.33,-1.33,12.0,11.82522255541617,-3.952567983446339,26.613002166249004,42.76993534220183,23.50598433926041
CU,2025-05-09,80.2,-2.18,6.4,"Heyward, Jason",518792,622608,field_out,hit_into_play,,,,,7.0,Jason Heyward flies out to center fielder Brenton Doyle.,R,L,R,COL,SD,X,8,fly_ball,0,1,2025,0.45,-0.47,-0.78,1.62,,,,1,2,Top,145.32,91.19,,,,,2.232412228123429,-116.88188072293386,-3.079122167425333,3.785550852720259,19.273797213070917,-36.23896618004161,3.56,1.67,274.0,79.6,42.0,80.4,2355.0,6.0,777993,696100,669911,691182,641857,571657,687597,686668,666160,54.46,0.029,0.034,0.0,1.0,0,0,3.0,11,2,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,73.0,0.015,-0.215,63.0,8.9,0.05,0.215,88.0,-1,1,0.412,0.588,30,35,30,36,1,0,7.0,2.0,5.0,1.0,3.97,-0.45,0.45,53.1,19.3227300030627,-5.237984776573893,29.48973531594959,51.590591042245606,29.39103375479528
SL,2025-05-09,85.0,-2.76,5.53,"Heyward, Jason",518792,623474,single,hit_into_play,,,,,5.0,Jason Heyward singles on a line drive to right fielder Mickey Moniak. Gavin Sheets scores.,R,L,R,COL,SD,X,9,line_drive,0,1,2025,0.2,0.17,-0.26,2.79,,657757.0,,2,5,Top,189.75,112.1,,,,,5.303150139451119,-123.89734407057507,-0.5681801328121048,1.1883214266653566,20.95157513729873,-30.46872605857342,3.56,1.67,182.0,99.7,10.0,83.5,2776.0,4.8,777993,696100,669911,691182,641857,571657,687597,686668,666160,55.66,0.783,0.753,0.9,1.0,1,0,4.0,42,2,Slider,1,7,7,1,8,1,8,1,Standard,Standard,163.0,-0.014,0.713,76.3,8.3,0.938,-0.713,99.7,-6,6,0.034,0.966,31,35,32,36,1,2,6.0,2.0,4.0,1.0,2.93,-0.2,0.2,18.7,13.410976752006489,-5.884037257988538,22.5301809447694,45.52422525460902,26.522630406784973
FF,2025-05-07,93.6,-1.48,5.69,"Heyward, Jason",518792,596133,field_out,hit_into_play,,,,,4.0,Jason Heyward flies out to right fielder Aaron Judge.,R,L,R,NYY,SD,X,9,fly_ball,1,0,2025,-0.8,1.81,-0.68,2.54,,,,0,9,Top,150.1,97.35,,,,,3.833168361346692,-136.04674508356916,-6.283175676669028,-10.78800692367282,32.82654471286842,-8.600775580532712,3.57,1.67,262.0,89.5,51.0,92.9,2442.0,6.2,778019,669224,502671,672724,665828,683011,691176,641355,592450,54.33,0.014,0.018,0.0,1.0,0,0,3.0,64,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,211.0,0.058,-0.301,73.4,8.7,0.025,0.301,89.5,0,0,0.5,0.5,31,35,32,36,1,0,2.0,1.0,6.0,2.0,0.82,0.8,-0.8,47.5,10.466747428273232,-10.253930706975842,22.9206307423515,53.644610891057766,27.69395462335499
FC,2025-05-06,92.9,-1.51,5.64,"Heyward, Jason",518792,657376,sac_fly,hit_into_play,,,,,4.0,Jason Heyward out on a sacrifice fly to left fielder Cody Bellinger. Jackson Merrill scores.,R,L,R,NYY,SD,X,7,fly_ball,1,0,2025,0.23,0.84,-0.52,2.46,701538.0,657757.0,,1,4,Top,94.56,98.98,,,,,2.0203184883423586,-135.29921985223837,-4.240610436701051,2.3963004176253424,27.56199190049552,-21.130970986063843,3.57,1.67,291.0,90.5,46.0,93.0,2729.0,6.1,778041,669224,700250,678391,665828,683011,641355,663757,592450,54.35,0.006,0.006,0.0,1.0,0,0,3.0,26,2,Cutter,0,1,1,0,2,0,2,0,Strategic,Standard,199.0,-0.011,-0.225,73.5,8.6,0.012,0.225,90.5,-1,1,0.283,0.717,29,35,29,36,2,1,9.0,2.0,6.0,1.0,1.78,-0.23,0.23,34.2,6.7500524376955084,-5.848759097569347,25.86022088869975,50.764314700955566,22.10016105039581
SI,2025-05-02,97.9,-2.0,5.58,"Heyward, Jason",518792,670059,sac_fly,hit_into_play,,,,,8.0,Jason Heyward out on a sacrifice fly to center fielder Oneil Cruz. Xander Bogaerts scores. Jose Iglesias to 3rd.,R,L,R,PIT,SD,X,8,fly_ball,0,0,2025,-1.61,0.41,-0.02,1.89,593428.0,578428.0,,1,9,Top,113.88,51.08,,,,,9.129113633385826,-142.14389471086616,-5.382817918844868,-24.016283254773075,35.83173338555887,-25.41683034531633,3.6,1.69,368.0,98.8,32.0,97.9,2306.0,6.7,778090,663698,685301,665839,663647,669707,672744,665833,668804,53.84,0.386,0.725,0.0,1.0,0,0,5.0,81,1,Sinker,4,8,8,4,9,4,9,4,Strategic,Standard,232.0,-0.002,-0.194,81.3,8.1,1.393,0.194,98.8,-4,4,0.008,0.992,29,35,30,36,1,4,3.0,2.0,2.0,1.0,1.99,1.61,-1.61,25.5,7.584915967405458,-4.147912096975466,37.244563126943184,43.35517893766407,25.492598677538403
