pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-10,93.4,3.73,5.47,"Hill, Derek",656537,666157,field_out,hit_into_play,,,,,2.0,Derek Hill flies out sharply to center fielder TJ Friedl.,R,R,L,CIN,MIA,X,8,fly_ball,1,1,2025,1.39,0.8,-0.21,3.01,,,663743.0,2,5,Top,114.48,52.56,,,,,-13.19184694546142,-135.386633644689,-2.3049962744548957,20.027831975823663,29.839984998617226,-22.030234217345495,3.56,1.66,363.0,103.1,43.0,93.1,2282.0,6.4,777168,624431,668715,680574,682622,682829,666158,670770,666181,54.14,0.171,0.337,0.0,1.0,0,0,5.0,32,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,117.0,0.028,-0.256,72.5,6.9,0.645,0.256,103.1,2,-2,0.792,0.208,27,29,27,30,2,1,5.0,1.0,8.0,2.0,1.84,1.39,-1.39,15.5,19.927398412876887,-4.218749099109479,30.549079017653813,31.53203695614745,33.554031080419335
CH,2025-07-09,83.7,2.61,5.93,"Hill, Derek",656537,671096,field_out,hit_into_play,,,,,8.0,Derek Hill flies out to left fielder Austin Hays.,R,R,L,CIN,MIA,X,7,fly_ball,1,2,2025,1.11,0.72,0.04,1.82,,,681393.0,2,7,Top,70.56,68.28,,,,,-8.129318803868864,-121.59327967937097,-4.5284813422493775,12.554716280870114,21.806011100208845,-24.31777343653222,3.56,1.66,350.0,95.4,24.0,84.1,2100.0,6.5,777183,663886,668715,680574,669289,682829,669720,670770,666181,54.03,0.2,0.26,0.0,1.0,0,0,5.0,56,4,Changeup,6,0,0,6,0,6,0,6,Strategic,Standard,134.0,0.003,-0.183,71.5,7.6,0.416,0.183,95.4,6,-6,0.991,0.009,26,29,26,30,3,2,5.0,2.0,11.0,1.0,2.52,1.11,-1.11,43.6,22.32482246418985,-4.984180164639414,39.96871197682651,34.008092304565466,38.70529588717859
CU,2025-07-09,81.7,2.69,6.03,"Hill, Derek",656537,671096,field_out,hit_into_play,,,,,6.0,Derek Hill flies out sharply to left fielder Austin Hays.,R,R,L,CIN,MIA,X,7,fly_ball,2,2,2025,-0.8,-0.14,0.35,2.47,,,676572.0,2,2,Top,83.91,52.36,,,,,-3.7300208525791354,-118.96564467547456,-1.1795295247161248,-6.899471716061692,22.401355641770213,-33.52568245388616,3.56,1.66,379.0,100.2,35.0,81.7,2886.0,6.2,777183,663886,668715,680574,682622,682829,669720,670770,666181,54.26,0.354,0.678,0.0,1.0,0,0,5.0,16,5,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,309.0,0.02,-0.216,73.3,7.0,1.318,0.216,100.2,3,-3,0.81,0.19,26,29,26,30,1,0,5.0,2.0,11.0,1.0,3.55,-0.8,0.8,45.8,18.59438583422201,-0.4348434115713535,34.20578870544049,37.80332494779741,38.45588675360085
SI,2025-09-27,91.4,-2.21,5.78,"Hill, Derek",656537,663623,field_out,hit_into_play,,,,,13.0,Derek Hill lines out to center fielder Jacob Young.,R,R,R,WSH,CWS,X,8,line_drive,0,0,2025,-1.39,0.66,-1.16,2.39,,,,0,5,Top,133.19,88.66,,,,,5.709257643896234,-133.05325955982465,-4.180826952215117,-17.719583194224906,26.742055060352094,-23.6259620281652,3.3,1.57,277.0,95.4,16.0,92.9,2225.0,7.0,776160,595751,671277,683083,691781,682928,695578,696285,695734,53.48,0.654,0.626,0.0,1.0,0,0,4.0,34,1,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,227.0,0.017,-0.259,72.8,6.5,0.83,0.259,95.4,-2,2,0.239,0.761,28,29,28,30,2,1,6.0,1.0,,,2.05,1.39,1.39,27.4,9.67061998429667,5.335166031687989,38.33470718802023,24.23081359420674,26.031198960821392
CU,2025-08-30,79.1,2.39,6.09,"Hill, Derek",656537,656849,field_out,hit_into_play,,,,,6.0,Derek Hill lines out sharply to center fielder Cedric Mullins.,R,R,L,NYM,MIA,X,8,line_drive,0,0,2025,-0.22,-0.57,0.51,2.36,,686894.0,,2,1,Top,136.25,73.38,,,,,-3.752095214412263,-115.18932037649368,-0.313111271938622,-1.2895936369777787,20.067835899342715,-37.431627652970136,3.36,1.6,314.0,106.8,16.0,80.5,2326.0,7.1,776535,620443,624413,643446,683146,596019,607043,656775,665742,53.41,0.626,0.716,0.0,1.0,0,0,5.0,9,1,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,327.0,0.011,-0.29,77.3,7.1,1.098,0.29,106.8,-5,5,0.117,0.883,29,29,30,30,1,0,6.0,2.0,6.0,2.0,4.19,-0.22,0.22,43.8,13.446086459786368,9.05351111247684,37.4387209262874,39.079387537513725,30.790903470850445
FF,2025-08-28,91.8,-1.49,6.22,"Hill, Derek",656537,643361,field_out,hit_into_play,,,,,2.0,Derek Hill flies out to right fielder Juan Soto.,R,R,R,NYM,MIA,X,9,fly_ball,2,2,2025,-0.56,1.62,-0.14,3.04,,,689414.0,1,9,Top,184.02,78.78,,,,,4.586258086592833,-133.41271404706362,-5.578510371191548,-7.759295285171544,32.74532611295782,-11.8907199217163,3.36,1.6,331.0,94.2,39.0,90.3,2234.0,5.8,776558,663584,624413,643446,683146,596019,607043,656775,665742,54.72,0.049,0.078,0.0,1.0,0,0,3.0,76,6,4-Seam Fastball,4,7,7,4,7,4,7,4,Standard,Standard,215.0,0.004,-0.223,66.8,6.0,0.142,0.223,94.2,-3,3,0.031,0.969,34,29,34,30,1,0,38.0,1.0,5.0,2.0,1.12,0.56,0.56,54.4,10.76212883139076,7.118108728953948,32.74378401767889,27.983928309590848,26.36790673187606
SL,2025-08-27,83.2,0.76,6.06,"Hill, Derek",656537,666214,double,hit_into_play,,,,,4.0,Derek Hill doubles (6) on a sharp line drive to left fielder Jurickson Profar. Liam Hicks scores.,R,R,L,MIA,ATL,X,7,line_drive,0,2,2025,-0.41,0.19,-0.43,2.67,,,689414.0,2,5,Bot,50.59,131.08,,,,,-1.9614213599643653,-121.21133989357826,-1.7438578050964173,-3.700441897176837,23.79601076967793,-30.127207583486964,3.38,1.61,163.0,102.8,10.0,84.7,2337.0,7.2,776565,686948,621566,645277,805373,660644,595777,671739,641584,53.27,0.84,0.81,1.25,1.0,1,1,4.0,46,3,Slider,0,9,0,9,9,1,1,9,Standard,Standard,250.0,0.004,1.014,74.7,7.1,1.021,-1.014,102.8,-9,-9,0.005,0.005,27,29,28,30,2,1,5.0,1.0,6.0,1.0,3.09,-0.41,0.41,39.9,21.097987555939127,-13.281254911379358,33.65520870108556,29.077816112138457,42.23340026076251
FF,2025-08-27,92.5,0.39,6.36,"Hill, Derek",656537,666214,field_out,hit_into_play,,,,,2.0,Derek Hill flies out to right fielder Jake Fraley.,R,R,L,MIA,ATL,X,9,fly_ball,0,1,2025,0.7,1.41,-0.2,2.89,,,,0,3,Bot,193.03,81.9,,,,,-3.098222622535385,-134.47647816538046,-6.133967443587093,9.142495616585313,32.59211278558213,-13.914385908372678,3.38,1.61,334.0,98.9,26.0,93.5,2322.0,7.2,776565,686948,621566,645277,805373,660644,595777,671739,641584,53.29,0.474,0.758,0.0,1.0,0,0,6.0,26,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,157.0,-0.01,-0.22,71.6,6.0,1.362,0.22,98.9,-6,-6,0.063,0.063,27,29,28,30,1,0,5.0,1.0,6.0,1.0,1.28,0.7,-0.7,49.8,5.766879225000081,16.68162236329665,34.302482333139494,32.5156148403803,23.67524332474832
FF,2025-08-27,95.6,-1.29,6.02,"Hill, Derek",656537,676702,single,hit_into_play,,,,,6.0,Derek Hill singles on a line drive to center fielder Michael Harris II. Dane Myers to 2nd.,R,R,R,MIA,ATL,X,8,line_drive,2,1,2025,-0.45,1.3,0.6,2.7,,,667472.0,2,7,Bot,123.15,89.38,,,,,6.007779520236619,-139.04502409016044,-6.060262190131117,-7.157307686022891,31.654099289352843,-14.171699366152431,3.38,1.61,180.0,88.7,13.0,95.8,2179.0,6.4,776565,686948,621566,645277,805373,660644,595777,671739,641584,54.06,0.891,0.867,0.9,1.0,1,0,4.0,67,4,4-Seam Fastball,1,12,1,12,12,1,1,12,Standard,Standard,215.0,0.0,0.307,76.1,7.2,1.051,-0.307,88.7,-11,-11,0.001,0.001,28,29,29,30,1,2,11.0,1.0,3.0,1.0,1.2,0.45,0.45,39.4,15.497761320862027,-1.402230916543964,26.280293642143,42.40826113559013,28.82736852309708
FC,2025-08-26,86.5,2.69,5.72,"Hill, Derek",656537,689266,field_out,hit_into_play,,,,,9.0,Derek Hill lines out to center fielder Michael Harris II.,R,R,L,MIA,ATL,X,8,line_drive,0,1,2025,0.0,0.21,0.49,1.98,,,689414.0,2,6,Bot,113.19,61.37,,,,,-5.263760738198153,-125.86481683443692,-3.122304144156136,1.0573579067800378,26.51072647730078,-29.51241707704037,3.42,1.63,343.0,98.8,20.0,86.6,1988.0,6.4,776581,669221,621566,645277,805373,669397,595777,671739,660670,54.06,0.337,0.412,0.0,1.0,0,0,5.0,48,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,134.0,-0.042,-0.229,76.8,7.6,0.648,0.229,98.8,-1,-1,0.342,0.342,27,29,27,30,1,2,4.0,2.0,4.0,1.0,2.85,0.0,0.0,33.8,18.25951056199814,4.922723102044588,36.40679969679868,41.22474648038674,30.393103782510877
