pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,97.6,-2.61,5.59,"House, Brady",691781,650556,field_out,hit_into_play,,,,,1.0,Brady House flies out to right fielder Cam Smith.,R,R,R,HOU,WSH,X,9,fly_ball,1,2,2025,-0.79,1.18,-0.49,3.36,,605137.0,663993.0,0,8,Top,198.85,121.92,,,,,7.524848355055622,-141.94685238243756,-3.191271065159336,-12.386315084881904,34.0439840300147,-15.744463476513802,3.54,1.58,263.0,92.3,50.0,97.9,2195.0,6.6,776950,673237,572233,694376,643289,670097,666211,676801,701358,53.92,0.009,0.013,0.0,1.0,0,0,3.0,71,4,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,218.0,0.04,-0.173,67.1,6.6,0.019,0.173,92.3,4,-4,0.902,0.098,28,22,28,22,1,3,1.0,1.0,3.0,3.0,1.23,0.79,0.79,35.1,13.222377232668318,7.47296109327514,33.76518763567324,29.247879020428645,24.309552977594173
SI,2025-07-26,94.1,2.18,5.66,"House, Brady",691781,681892,field_out,hit_into_play,,,,,5.0,Brady House flies out to right fielder Trevor Larnach. Josh Bell to 3rd.,R,R,L,MIN,WSH,X,9,fly_ball,2,1,2025,1.21,0.76,0.11,2.26,,605137.0,663993.0,0,8,Top,215.16,112.8,,,,,-8.201999177486062,-136.77063101787925,-4.888019564349065,16.93905912167199,29.43447336794752,-21.67472195785149,3.54,1.59,305.0,96.6,46.0,95.9,2437.0,7.4,776997,543877,664034,686797,668904,621043,650489,664056,663616,53.14,0.009,0.008,0.0,1.0,0,0,3.0,63,4,Sinker,2,7,7,2,7,2,7,2,Standard,Standard,137.0,0.001,-0.301,72.7,7.9,0.014,0.301,96.6,-5,5,0.01,0.99,28,22,29,22,1,3,23.0,1.0,3.0,2.0,1.81,1.21,-1.21,31.1,18.19841034240731,8.031140435138665,35.63244546220341,38.77643058211759,25.81521141080031
CH,2025-07-23,88.5,3.66,5.5,"House, Brady",691781,666157,single,hit_into_play,,,,,14.0,Brady House singles on a line drive to left fielder Will Benson.,R,R,L,WSH,CIN,X,7,line_drive,2,2,2025,1.33,0.14,0.83,1.53,,,,2,2,Bot,107.16,96.89,,,,,-9.670010058963795,-128.5497863098166,-3.9097261593061607,16.739190352997827,25.8487501884253,-29.97358355313799,3.56,1.6,159.0,88.8,9.0,88.6,1776.0,6.4,777026,624431,669289,666158,682622,682829,666181,670770,641584,54.11,0.549,0.514,0.9,1.0,1,0,4.0,12,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,103.0,0.013,0.362,72.2,8.0,0.613,-0.362,88.8,0,0,0.511,0.511,27,22,27,22,1,0,5.0,1.0,6.0,2.0,2.77,1.33,-1.33,17.3,5.972018492174614,0.0380040139857478,44.51451407823244,43.58668454914955,28.25083768072251
SL,2025-07-22,91.5,-1.79,6.41,"House, Brady",691781,695505,single,hit_into_play,,,,,14.0,Brady House singles on a fly ball to right fielder Jake Fraley.,R,R,R,WSH,CIN,X,9,fly_ball,1,2,2025,0.29,0.36,0.93,2.39,,,,0,5,Bot,161.24,99.24,,,,,6.235007227137899,-133.0010520067776,-5.002324341696629,2.036639547185653,30.00074064731745,-27.00371863606117,3.57,1.6,247.0,74.8,26.0,91.4,2790.0,6.4,777042,663886,668715,680574,682622,682829,666158,670770,641584,54.08,0.757,0.728,0.9,1.0,1,0,4.0,35,4,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,128.0,0.047,0.508,68.3,8.0,0.882,-0.508,88.0,0,0,0.565,0.565,22,22,22,22,2,1,11.0,1.0,6.0,1.0,2.38,-0.29,-0.29,52.3,18.628419334158828,15.450036962885475,27.13813670411184,47.36402684538835,24.93717130703017
SI,2025-07-21,93.7,-1.53,5.14,"House, Brady",691781,663903,single,hit_into_play,,,,,5.0,Brady House singles on a line drive to right fielder Jake Fraley.,R,R,R,WSH,CIN,X,9,line_drive,1,2,2025,-1.58,0.64,-0.06,2.27,,,,1,3,Bot,180.53,101.87,,,,,7.401475794713554,-136.24209602179127,-3.092874800257699,-21.288703848644797,32.41993809489261,-23.67608675843915,3.56,1.6,190.0,92.1,11.0,94.8,2368.0,7.1,777064,624431,668715,680574,682622,682829,669720,670770,641584,53.35,0.726,0.688,0.9,1.0,1,0,4.0,25,5,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,219.0,0.006,0.489,75.8,7.3,0.83,-0.489,92.1,5,5,0.934,0.934,28,22,29,22,2,1,9.0,2.0,6.0,1.0,1.97,1.58,1.58,23.0,-3.175668894774448,18.10595172782616,41.51851126892361,34.03590645563564,19.164914643639545
CH,2025-07-21,86.2,-1.39,5.47,"House, Brady",691781,680689,sac_fly,hit_into_play,,,,,8.0,Brady House out on a sacrifice fly to left fielder Austin Hays. James Wood scores.,R,R,R,WSH,CIN,X,7,line_drive,3,2,2025,-1.37,0.35,0.14,2.12,695578.0,605137.0,663993.0,0,4,Bot,86.52,69.37,,,,,6.368907148676909,-125.41303236849484,-2.377250371929456,-15.785591741455985,27.040845549175916,-28.23144914689317,3.56,1.6,335.0,97.0,18.0,85.3,1579.0,5.9,777064,624431,668715,680574,682622,682829,669720,670770,641584,54.62,0.426,0.463,0.0,1.0,0,0,4.0,43,6,Changeup,7,5,7,5,5,8,8,5,Standard,Standard,246.0,-0.008,-0.254,78.0,8.1,0.674,0.254,97.0,2,2,0.892,0.892,25,22,25,22,1,2,10.0,2.0,1.0,1.0,2.74,1.37,1.37,31.3,18.362654190587,-8.007531377857125,34.465407138248004,36.70957385482557,30.703734355992097
FF,2025-07-21,93.5,1.81,5.17,"House, Brady",691781,594580,single,hit_into_play,,,,,13.0,Brady House singles on a line drive to left fielder Austin Hays.,R,R,L,WSH,CIN,X,7,line_drive,1,1,2025,0.73,0.75,-1.02,2.39,,,,1,6,Bot,65.8,111.33,,,,,-8.637755494143981,-135.90965247204787,-3.013754430986457,10.919384298865635,29.21584727728307,-22.45192393790796,3.56,1.6,189.0,94.1,13.0,91.1,2754.0,4.8,777064,624431,668715,680574,682622,682829,669720,670770,641584,55.67,0.966,0.92,0.9,1.0,1,0,4.0,62,3,4-Seam Fastball,8,6,8,6,6,8,8,6,Standard,Standard,114.0,0.013,0.425,69.6,7.3,1.121,-0.425,94.1,2,2,0.84,0.84,33,22,33,22,1,3,3.0,2.0,7.0,1.0,1.86,0.73,-0.73,22.2,9.519458854421323,-3.1168325978739477,44.66524974649808,22.77147234635599,25.61552961665585
ST,2025-07-21,76.5,1.84,5.69,"House, Brady",691781,573124,double,hit_into_play,,,,,7.0,Brady House doubles (6) on a line drive to left fielder Austin Hays. Nathaniel Lowe to 3rd.,R,R,L,WSH,CIN,X,7,line_drive,1,0,2025,-1.37,0.12,-0.36,2.17,,,663993.0,2,7,Bot,35.0,103.0,,,,,-2.126496276738892,-111.42719795810672,-0.5493307918083142,-10.912368780180614,22.39611578078646,-31.348884079578767,3.56,1.6,178.0,99.4,11.0,75.3,2715.0,5.6,777064,624431,668715,680574,682622,682829,669720,670770,641584,54.91,0.86,0.825,1.25,1.0,1,1,4.0,74,2,Sweeper,10,6,10,6,6,10,10,6,Standard,Standard,287.0,0.003,0.882,78.0,8.0,1.022,-0.882,99.4,4,4,0.971,0.971,34,22,35,22,1,4,2.0,2.0,1.0,1.0,3.81,-1.37,1.37,29.3,25.30034484520517,-10.99001962960746,35.846917338325845,31.814452183595478,41.104814425832494
SL,2025-07-19,86.5,-2.11,5.77,"House, Brady",691781,506433,single,hit_into_play,,,,,8.0,Brady House singles on a line drive to left fielder Gavin Sheets.,R,R,R,WSH,SD,X,7,line_drive,1,1,2025,0.54,-0.02,0.14,1.71,,,,2,2,Bot,71.92,112.54,,,,,4.272214859651215,-126.04864177336329,-3.5246735660280546,4.993819981367117,23.29529326537993,-31.95273708788704,3.57,1.6,270.0,97.7,14.0,87.1,2895.0,6.4,777091,455117,650333,630105,578428,593428,657757,701538,665487,54.09,0.909,0.879,0.9,1.0,1,0,4.0,12,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.013,0.342,70.6,8.2,1.134,-0.342,97.7,0,0,0.511,0.511,38,22,39,22,1,0,7.0,1.0,5.0,2.0,3.04,-0.54,-0.54,40.5,18.24051179256152,-3.293418921184722,42.71621727976456,37.51666753077477,35.46995695416511
CH,2025-07-18,89.4,1.05,5.89,"House, Brady",691781,593974,field_out,hit_into_play,,,,,5.0,Brady House flies out sharply to center fielder Jackson Merrill.,R,R,L,WSH,SD,X,8,fly_ball,0,0,2025,1.51,0.58,0.17,2.48,,,663993.0,0,9,Bot,115.67,41.45,,,,,-5.317188865471088,-130.0579674023666,-3.5921241930391306,18.30525995804666,26.579233707799027,-25.057003245449337,3.57,1.6,389.0,103.1,23.0,88.9,2249.0,5.9,777112,553869,650333,630105,592518,593428,669369,701538,665487,54.59,0.74,1.206,0.0,1.0,0,0,6.0,77,1,Changeup,2,7,2,7,7,2,2,7,Standard,Standard,126.0,-0.009,-0.242,81.3,7.8,2.178,0.242,103.1,-5,-5,0.015,0.015,33,22,34,22,1,3,5.0,5.0,1.0,1.0,2.27,1.51,-1.51,37.1,11.945456406201846,2.229120636384814,37.08527946217375,38.35021673803322,28.412144924404338
