pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-29,85.0,-2.01,5.56,"Iglesias, Jose",578428,676130,single,hit_into_play,,,,,9.0,Jose Iglesias singles on a fly ball to center fielder Jeff McNeil.,R,R,R,SD,NYM,X,8,fly_ball,0,2,2025,0.23,-0.25,0.29,1.72,,,,0,7,Bot,150.58,102.58,,,,,4.925113794859468,-123.70004240956764,-2.1094639223237794,1.2129111166394235,27.42362488990199,-34.43720515934775,3.23,1.38,233.0,73.2,27.0,84.4,2502.0,6.2,776947,620443,624413,683146,677595,596019,607043,643446,516782,54.33,0.826,0.75,0.9,1.0,1,0,4.0,53,4,Slider,2,1,2,1,1,2,2,1,Standard,Standard,46.0,0.028,0.532,65.2,6.9,0.882,-0.532,88.0,1,1,0.794,0.794,27,35,27,35,1,2,2.0,1.0,3.0,1.0,3.43,-0.23,-0.23,36.7,1.178228722291916,6.270082531194636,33.91728813612939,38.40249568021642,27.15947758860677
FF,2025-07-29,92.6,3.94,4.98,"Iglesias, Jose",578428,640455,double,hit_into_play,,,,,5.0,Jose Iglesias doubles (9) on a line drive to center fielder Jeff McNeil.,R,R,L,SD,NYM,X,8,line_drive,1,2,2025,1.36,0.69,0.19,2.34,,,,0,2,Bot,119.57,73.51,,,,,-12.657610334372132,-134.09615454396794,-2.31230964183296,19.38112896350193,33.5127330690786,-23.622908488017703,3.23,1.38,183.0,103.7,9.0,92.6,2035.0,6.9,776947,620443,624413,683146,677595,596019,607043,643446,665742,53.59,0.76,0.736,1.25,1.0,1,1,4.0,13,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,113.0,0.054,0.787,69.5,6.5,0.928,-0.787,103.7,1,1,0.66,0.66,33,35,33,35,1,0,6.0,1.0,6.0,1.0,2.03,1.36,-1.36,10.5,6.544476743364226,2.783834838901865,36.023685310956786,38.35021220838895,24.94607907797863
ST,2025-07-27,81.6,-2.31,5.81,"Iglesias, Jose",578428,700241,field_out,hit_into_play,,,,,5.0,Jose Iglesias flies out to right fielder Jordan Walker. Gavin Sheets to 3rd.,R,R,R,STL,SD,X,9,fly_ball,1,2,2025,1.31,-0.13,-0.17,2.1,,657757.0,630105.0,0,4,Top,201.8,108.84,,,,,2.320098712636758,-118.77962691784144,-1.457394626856956,11.835114261503698,24.59324012148008,-33.309227529859136,3.23,1.39,291.0,86.4,39.0,81.8,2458.0,6.6,776980,686780,575929,680977,571448,691026,676475,687363,691023,53.92,0.011,0.015,0.0,1.0,0,0,3.0,29,5,Sweeper,0,3,3,0,3,0,3,0,Standard,Standard,54.0,0.01,-0.173,70.1,6.2,0.025,0.173,88.0,-3,3,0.13,0.87,24,35,25,35,2,1,6.0,1.0,6.0,1.0,3.57,-1.31,-1.31,32.5,-0.2349255751453633,6.619378400664679,38.427247112148926,32.5376526062926,26.775294031567675
ST,2025-07-27,82.5,-2.53,5.68,"Iglesias, Jose",578428,700241,field_out,hit_into_play,,,,,14.0,Jose Iglesias lines out to center fielder Victor Scott II.,R,R,R,STL,SD,X,8,line_drive,1,1,2025,1.35,-0.17,0.47,1.26,,,,1,2,Top,128.02,85.97,,,,,4.205436118344506,-120.06905182278952,-3.167809463935336,12.17781845711318,24.616327784996788,-33.39784798091304,3.23,1.39,282.0,85.9,21.0,82.6,2571.0,6.5,776980,686780,575929,680977,571448,691026,676475,687363,691023,54.04,0.454,0.409,0.0,1.0,0,0,3.0,11,3,Sweeper,0,2,2,0,2,0,2,0,Standard,Standard,54.0,0.012,-0.244,74.0,7.4,0.516,0.244,88.0,-2,2,0.311,0.689,24,35,25,35,1,0,6.0,1.0,6.0,1.0,3.54,-1.35,-1.35,30.0,9.750388546797362,-5.316667132585708,38.54376776961278,40.27579062543101,31.13914472192192
FF,2025-07-26,96.4,-2.29,5.74,"Iglesias, Jose",578428,681517,field_out,hit_into_play,,,,,1.0,Jose Iglesias flies out to left fielder Alec Burleson.,R,R,R,STL,SD,X,7,fly_ball,3,1,2025,-0.28,1.43,-0.31,2.82,,,,0,6,Top,80.29,102.77,,,,,6.020445825308149,-140.16923662562354,-5.458704604494897,-5.139473845582815,33.92329667319477,-12.346831544859278,3.24,1.41,265.0,87.3,49.0,97.8,2387.0,7.3,776992,686780,575929,680977,571448,691026,676475,687363,691023,53.25,0.009,0.01,0.0,1.0,0,0,3.0,43,5,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,206.0,0.024,-0.439,79.1,7.2,0.015,0.439,88.0,-1,1,0.333,0.667,28,35,28,35,1,2,4.0,1.0,3.0,1.0,1.04,0.28,0.28,42.0,13.939797706608042,-12.135416675020586,25.65946515129706,31.9793798441343,31.02529306046689
SL,2025-07-25,90.6,-2.3,6.49,"Iglesias, Jose",578428,571945,field_out,hit_into_play,,,,,6.0,Jose Iglesias flies out to left fielder Alec Burleson.,R,R,R,STL,SD,X,7,fly_ball,0,0,2025,0.19,0.68,0.37,2.0,,,,0,5,Top,44.19,85.44,,,,,6.253899979314936,-131.80810666353273,-6.784111557883131,1.0058371511056414,26.45328449449664,-22.97185389725907,3.24,1.41,344.0,94.7,35.0,90.9,2224.0,6.4,777005,650968,575929,680977,571448,691026,676475,687363,691023,54.14,0.106,0.205,0.0,1.0,0,0,3.0,34,1,Slider,3,0,0,3,0,3,0,3,Standard,Standard,209.0,0.022,-0.259,69.6,7.8,0.39,0.259,94.7,3,-3,0.846,0.154,36,35,37,35,2,1,5.0,1.0,5.0,1.0,2.08,-0.19,-0.19,43.9,10.990650923012318,-15.72355366469443,26.923519421656646,40.14522306963969,35.726143913367395
ST,2025-07-21,84.8,-1.62,5.67,"Iglesias, Jose",578428,663969,field_out,hit_into_play,,,,,8.0,Jose Iglesias lines out to center fielder Dane Myers.,R,R,R,MIA,SD,X,8,line_drive,1,1,2025,0.99,-0.14,0.25,1.6,,,,2,9,Top,143.2,58.56,,,,,2.395937392839334,-123.39483254906202,-2.792023573989144,9.38565838745816,28.710617768117583,-33.19329738293841,3.25,1.45,350.0,96.0,22.0,84.4,2510.0,6.4,777062,682663,689414,669364,688363,672640,669065,667472,660821,54.08,0.217,0.249,0.0,1.0,0,0,3.0,65,3,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,58.0,0.008,-0.244,69.9,7.1,0.409,0.244,96.0,-1,1,0.186,0.814,27,35,28,35,1,3,2.0,1.0,5.0,1.0,3.36,-0.99,-0.99,25.5,4.713317050197156,1.7771768069090796,32.189295070972484,40.92038121982225,29.848614498224197
FF,2025-07-20,95.0,2.13,5.57,"Iglesias, Jose",578428,669022,double,hit_into_play,,,,,13.0,Jose Iglesias doubles (8) on a line drive to left fielder Daylen Lile.,R,R,L,WSH,SD,X,7,line_drive,0,0,2025,0.65,1.27,-1.09,2.31,,,,1,1,Top,39.39,114.62,,,,,-9.989027617085297,-138.0345744927824,-5.820441704176015,10.396706777019158,27.07559841782826,-14.801340852395164,3.26,1.44,250.0,85.2,21.0,96.3,2277.0,6.8,777077,656180,663993,671277,657557,682928,695734,696285,669743,53.66,0.609,0.56,1.25,1.0,1,1,3.0,6,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,143.0,-0.019,0.642,74.6,6.8,0.721,-0.642,88.0,-4,4,0.172,0.828,26,35,26,35,1,0,11.0,1.0,5.0,1.0,1.24,0.65,-0.65,34.1,8.408851620198078,-10.384433995190612,39.03171305597868,24.322613376355616,30.799089935113688
FF,2025-07-19,92.1,1.25,6.33,"Iglesias, Jose",578428,680730,single,hit_into_play,,,,,5.0,Jose Iglesias singles on a line drive to right fielder Daylen Lile.,R,R,L,WSH,SD,X,9,line_drive,0,1,2025,0.86,1.18,0.06,2.12,,,,0,5,Top,151.52,88.72,,,,,-4.95447993411544,-133.9055227200462,-7.478868652222136,11.440381478870082,29.513166208504582,-16.597419686669827,3.24,1.43,213.0,96.9,11.0,93.3,2059.0,7.1,777091,686452,663993,671277,691781,682928,695578,696285,695734,53.44,0.869,0.832,0.9,1.0,1,0,4.0,31,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,158.0,-0.047,0.478,73.6,6.6,1.032,-0.478,96.9,0,0,0.5,0.5,25,35,26,35,2,1,8.0,1.0,7.0,1.0,1.52,0.86,-0.86,66.2,1.3212119002261349,12.92281155177373,35.69291932310159,36.35861267931307,20.117059054586107
SL,2025-07-13,86.5,2.2,5.93,"Iglesias, Jose",578428,650911,field_out,hit_into_play,,,,,5.0,Jose Iglesias flies out to center fielder Brandon Marsh.,R,R,L,SD,PHI,X,8,fly_ball,0,0,2025,-0.24,0.14,-0.1,2.61,,,593428.0,1,4,Bot,110.96,69.59,,,,,-5.029448412532636,-125.9512279342839,-2.078901112998547,-1.6184329219989384,23.61651480670235,-30.45633801342161,3.22,1.41,323.0,86.4,35.0,87.2,2107.0,6.5,777117,592663,547180,681082,624641,607208,805249,669016,592206,53.96,0.014,0.013,0.0,1.0,0,0,3.0,32,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,295.0,-0.038,-0.256,82.8,7.3,0.021,0.256,88.0,-1,-1,0.425,0.425,28,35,29,35,2,1,6.0,2.0,9.0,5.0,2.88,-0.24,0.24,28.2,11.906418462871324,-6.088111518446853,27.98129236519524,34.644303910279675,27.94535705261628
ST,2025-07-13,86.1,-2.23,5.57,"Iglesias, Jose",578428,689147,field_out,hit_into_play,,,,,8.0,Jose Iglesias flies out to center fielder Brandon Marsh.,R,R,R,SD,PHI,X,8,fly_ball,1,1,2025,0.87,0.19,-0.08,1.86,,592518.0,593428.0,2,8,Bot,100.36,66.79,,,,,3.317702819136554,-125.2271017104554,-2.868206278227841,8.31900327541494,28.41941040234873,-29.779088170276324,3.22,1.41,333.0,98.8,38.0,85.5,2793.0,6.2,777117,592663,547180,681082,624641,607208,805249,669016,592206,54.28,0.163,0.314,0.0,1.0,0,0,3.0,67,3,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,71.0,-0.122,-0.254,76.7,7.2,0.607,0.254,98.8,-1,-1,0.28,0.28,24,35,24,35,1,3,6.0,2.0,6.0,5.0,2.92,-0.87,-0.87,28.2,8.094322617380964,-10.279436120485888,38.56714740177183,34.8563612288966,35.27175945865756
CU,2025-07-11,73.2,2.0,5.85,"Iglesias, Jose",578428,624133,field_out,hit_into_play,,,,,9.0,Jose Iglesias flies out to right fielder Nick Castellanos.,R,R,L,SD,PHI,X,9,fly_ball,2,2,2025,-1.1,-0.71,0.53,1.78,,,,0,7,Bot,156.03,99.53,,,,,-1.071367555617437,-106.5990731730352,0.3621791386685775,-8.16127083228712,19.10581942002342,-37.85174395620428,3.22,1.41,259.0,75.3,32.0,73.2,2034.0,6.4,777139,592663,547180,681082,664761,607208,596146,669016,592206,54.13,0.249,0.233,0.0,1.0,0,0,3.0,52,6,Curveball,3,2,3,2,2,3,3,2,Standard,Standard,310.0,-0.018,-0.232,62.0,7.2,0.291,0.232,88.0,1,1,0.794,0.794,29,35,30,35,3,2,6.0,1.0,9.0,2.0,4.97,-1.1,1.1,44.4,3.628292563991299,4.375873287758721,33.18184810020355,42.833360131664485,30.431118091719718
SI,2025-07-11,90.5,2.15,5.82,"Iglesias, Jose",578428,624133,double,hit_into_play,,,,,5.0,Jose Iglesias doubles (6) on a line drive to right fielder Nick Castellanos. Xander Bogaerts scores. Jackson Merrill to 3rd.,R,R,L,SD,PHI,X,9,line_drive,0,2,2025,1.06,0.35,-0.25,2.33,593428.0,,701538.0,0,2,Bot,180.97,145.97,,,,,-8.241006576293955,-131.60694629428784,-3.535794610653745,14.00384634766064,27.352808785471964,-27.49491408402073,3.22,1.41,192.0,88.9,12.0,90.6,2091.0,6.3,777139,592663,547180,681082,664761,607208,596146,669016,592206,54.18,0.774,0.773,1.25,1.0,1,1,4.0,15,3,Sinker,0,1,0,1,1,1,1,1,Standard,Standard,139.0,0.12,0.745,65.9,5.7,0.937,-0.745,88.9,-1,-1,0.577,0.577,29,35,30,35,1,0,6.0,1.0,9.0,2.0,2.43,1.06,-1.06,42.1,-1.0759090960911648,21.75140051571498,37.724875926783,32.55045486221032,16.050620280455696
