pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,96.3,-2.17,5.18,"Isbel, Kyle",664728,660853,double,hit_into_play,,,,,5.0,Kyle Isbel doubles (11) on a sharp line drive to left fielder Jurickson Profar. Adam Frazier scores. Freddy Fermin scores. Randal Grichuk scores.,R,L,R,KC,ATL,X,7,line_drive,0,1,2025,-0.92,0.93,-0.27,2.64,624428.0,666023.0,545341.0,1,6,Bot,82.49,69.0,,,,,7.115865207434097,-140.10658754647642,-3.280612018715013,-13.62380868175243,29.749957627968044,-19.412626373327523,3.46,1.55,278.0,102.7,12.0,96.5,2278.0,6.3,776955,686948,621566,645277,663586,669397,595777,671739,660670,54.25,0.943,0.931,1.25,1.0,1,1,4.0,55,2,4-Seam Fastball,4,3,4,3,3,7,7,3,Strategic,Standard,227.0,0.132,0.73,68.3,6.5,1.214,-0.73,102.7,1,1,0.828,0.828,29,28,30,28,1,2,3.0,1.0,13.0,1.0,1.52,0.92,-0.92,19.7,-4.7032161436507245,12.084685801430512,23.46369284721416,37.11228435567024,19.50576465738944
FS,2025-07-29,88.4,-1.41,4.87,"Isbel, Kyle",664728,606160,field_out,hit_into_play,,,,,7.0,Kyle Isbel lines out to center fielder Michael Harris II.,R,L,R,KC,ATL,X,8,line_drive,2,2,2025,-0.96,0.02,-0.51,1.74,,,,0,8,Bot,88.82,65.64,,,,,4.200470960833185,-128.8163699303518,-1.6391891770194127,-11.602167431375468,25.52466975994217,-31.789680765528,3.46,1.55,343.0,93.4,24.0,88.4,1541.0,6.1,776955,686948,621566,645277,663586,663897,595777,671739,642201,54.42,0.151,0.188,0.0,1.0,0,0,3.0,77,5,Split-Finger,9,6,9,6,6,9,9,6,Infield shade,Standard,242.0,-0.003,-0.232,71.0,7.6,0.298,0.232,93.4,3,3,0.975,0.975,34,28,35,28,1,3,1.0,1.0,7.0,1.0,2.87,0.96,-0.96,29.4,-1.1630186610666549,-1.0808932942051357,26.845974941420188,38.748487913831866,28.66423014848981
FC,2025-07-21,87.9,-0.91,6.84,"Isbel, Kyle",664728,623167,single,hit_into_play,,,,,3.0,Kyle Isbel singles on a soft fly ball to left fielder Ian Happ. Nick Loftin to 3rd. John Rave to 2nd.,R,L,R,CHC,KC,X,7,fly_ball,0,1,2025,0.67,0.45,0.55,3.5,,679845.0,670231.0,0,8,Top,68.47,142.89,,,,,2.149134116965272,-128.13211152587624,-2.9713734736597166,6.965370232769922,24.2875760471448,-26.791202564886422,3.43,1.51,185.0,65.1,46.0,87.9,2538.0,6.0,777065,608348,683737,663538,807713,621020,664023,673548,663656,54.52,0.231,0.208,0.9,1.0,1,0,3.0,64,2,Cutter,4,11,11,4,11,4,11,4,Infield shade,Standard,168.0,-0.001,0.54,60.7,5.9,0.25,-0.54,88.0,-7,7,0.002,0.998,30,28,31,28,2,3,10.0,1.0,4.0,1.0,2.47,-0.67,0.67,61.5,0.8127111891546871,13.1985635584371,17.73645398315023,30.690194335027726,19.54394115807597
CH,2025-07-21,90.9,-1.61,6.5,"Isbel, Kyle",664728,676962,field_out,hit_into_play,,,,,5.0,Kyle Isbel flies out to right fielder Kyle Tucker.,R,L,R,CHC,KC,X,9,fly_ball,1,2,2025,-1.05,0.36,-0.17,2.46,,,,1,3,Top,176.73,88.6,,,,,5.87645265056112,-132.20324634769574,-5.035640366899156,-13.512822658291393,27.751639869119664,-27.026283067529192,3.43,1.51,301.0,83.7,31.0,91.6,1126.0,6.7,777065,608348,683737,663538,807713,621020,664023,673548,663656,53.8,0.043,0.057,0.0,1.0,0,0,3.0,19,4,Changeup,4,1,1,4,1,4,1,4,Infield shade,Standard,215.0,0.014,-0.18,72.4,7.3,0.088,0.18,88.0,3,-3,0.825,0.175,25,28,26,28,1,0,28.0,1.0,6.0,1.0,2.39,1.05,-1.05,44.7,6.522007529308387,-15.001097704352384,22.877694959755324,38.37797372263556,38.4867449101705
CU,2025-07-21,74.7,-0.7,6.85,"Isbel, Kyle",664728,623167,single,hit_into_play,,,,,7.0,Kyle Isbel singles on a line drive to right fielder Kyle Tucker.,R,L,R,CHC,KC,X,9,line_drive,0,2,2025,1.13,-1.04,-0.33,1.53,,,,0,7,Top,172.49,90.01,,,,,-1.23448107514893,-108.73035869795112,-1.895242741538794,9.16304584204822,20.62110829892756,-40.21419975837169,3.43,1.51,223.0,94.5,11.0,74.5,2665.0,6.3,777065,608348,683737,663538,807713,621020,664023,673548,663656,54.17,0.78,0.737,0.9,1.0,1,0,4.0,52,3,Curveball,4,8,8,4,8,4,8,4,Infield shade,Standard,23.0,-0.007,0.532,73.9,7.8,0.887,-0.532,94.5,-4,4,0.053,0.947,30,28,31,28,1,2,10.0,1.0,4.0,1.0,5.15,-1.13,1.13,67.3,6.56178246997743,-9.302488274624125,28.25507243457889,41.39628509094179,38.43012094366369
CH,2025-07-20,81.2,-1.75,5.45,"Isbel, Kyle",664728,678368,single,hit_into_play,,,,,13.0,Kyle Isbel singles on a line drive to center fielder Dane Myers.,R,L,R,MIA,KC,X,8,line_drive,1,2,2025,-1.23,0.1,-0.96,1.77,,,,0,9,Top,128.36,95.72,,,,,4.132926678478025,-118.23220615685712,-1.801377698739982,-12.345092559272103,22.73498646714176,-31.146776920538148,3.49,1.54,225.0,69.6,24.0,81.2,1985.0,6.2,777082,682663,676572,669364,691594,672640,669065,667472,660821,54.26,0.986,0.887,0.9,1.0,1,0,4.0,67,4,Changeup,0,7,7,0,7,0,7,0,Infield shade,Standard,247.0,0.0,0.508,76.7,7.6,1.022,-0.508,88.0,-7,7,0.001,0.999,25,28,25,28,1,3,11.0,2.0,7.0,1.0,3.36,1.23,-1.23,27.9,5.120228320600669,-6.804566846347767,23.79259299344828,46.16313020280416,38.97111937855819
FF,2025-07-18,98.9,-1.76,5.98,"Isbel, Kyle",664728,645261,field_out,hit_into_play,,,,,6.0,Kyle Isbel lines out to center fielder Dane Myers.,R,L,R,MIA,KC,X,8,line_drive,0,1,2025,-1.2,1.01,0.52,2.23,,,695506.0,2,2,Top,125.28,191.82,,,,,8.928449334375541,-143.62232037066414,-7.023580885005144,-18.783845788226323,36.42506155925419,-16.71431589684622,3.49,1.54,350.0,96.4,22.0,97.7,2366.0,5.9,777109,663743,689414,669364,688363,672640,669065,667472,660821,54.59,0.217,0.249,0.0,1.0,0,0,3.0,15,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,232.0,0.02,-0.229,70.0,6.7,0.409,0.229,96.4,3,-3,0.81,0.19,29,28,30,28,1,0,9.0,5.0,5.0,2.0,1.35,1.2,-1.2,32.3,1.0492669006235902,1.4358669218720956,29.902843058492905,28.67923911961738,26.501257151785133
SL,2025-07-18,86.5,-1.61,5.78,"Isbel, Kyle",664728,669622,field_out,hit_into_play,,,,,9.0,Kyle Isbel flies out to center fielder Dane Myers.,R,L,R,MIA,KC,X,8,fly_ball,2,2,2025,0.55,-0.08,0.56,2.04,,,,0,7,Top,155.32,64.31,,,,,4.005693526685113,-125.90912551899052,-2.530529400899045,5.003604644108357,26.31840375864501,-32.66548810654019,3.49,1.54,341.0,98.4,38.0,85.5,2733.0,5.7,777109,663743,689414,669364,688363,672640,669065,667472,660821,54.81,0.157,0.308,0.0,1.0,0,0,3.0,53,5,Slider,5,4,4,5,4,5,4,5,Infield shade,Standard,61.0,0.043,-0.232,73.9,7.4,0.589,0.232,98.4,1,-1,0.7,0.3,30,28,30,28,1,2,6.0,5.0,1.0,2.0,3.13,-0.55,0.55,24.7,5.608968271400211,-14.569935051185354,32.982826093473264,29.2517719700254,34.187598116052264
FF,2025-07-12,94.9,-0.71,6.08,"Isbel, Kyle",664728,593423,double,hit_into_play,,,,,2.0,Kyle Isbel doubles (10) on a line drive to center fielder Tyrone Taylor.,R,L,R,KC,NYM,X,8,line_drive,0,0,2025,-0.35,1.17,0.14,2.92,,,,0,6,Bot,153.34,85.18,,,,,2.983980611824102,-138.168463847892,-5.221219174592843,-5.1656513399000366,28.08837298069847,-16.27732178736216,3.5,1.55,252.0,93.0,15.0,94.3,2218.0,5.7,777136,620443,624413,683146,668901,596019,607043,621438,643446,54.77,0.926,0.859,1.25,1.0,1,1,4.0,40,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,212.0,0.091,0.717,68.3,6.5,1.05,-0.717,93.0,-2,-2,0.248,0.248,32,28,32,28,2,1,7.0,1.0,10.0,1.0,1.35,0.35,-0.35,43.9,3.0203892053143617,3.737493120394781,22.04544470342651,32.415112642302994,29.136082632695544
CH,2025-07-11,89.9,-1.82,5.39,"Isbel, Kyle",664728,623211,single,hit_into_play,,,,,7.0,Kyle Isbel singles on a line drive to center fielder Tyrone Taylor.,R,L,R,KC,NYM,X,8,line_drive,0,2,2025,-1.21,-0.1,-0.66,1.58,,,,0,7,Bot,119.91,91.28,,,,,5.35570977598561,-130.80669065156357,-3.231169757858007,-15.04961033855936,27.26373433069773,-32.7998296425795,3.5,1.55,224.0,80.6,14.0,88.9,2041.0,5.6,777151,663584,624413,643446,677595,596019,607043,621438,665742,54.87,0.786,0.73,0.9,1.0,1,0,4.0,54,3,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard,251.0,0.057,0.532,71.9,7.5,0.881,-0.532,88.0,0,0,0.586,0.586,35,28,36,28,1,2,3.0,2.0,9.0,1.0,2.91,1.21,-1.21,22.5,-1.6582887010806118,-2.3993642589676734,29.94511708132529,44.37088016456673,28.5830238318687
