pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-28,93.6,-1.61,5.07,"Karros, Kyle",691720,657277,single,hit_into_play,,,,,5.0,Kyle Karros singles on a line drive to right fielder Drew Gilbert.,R,R,R,SF,COL,X,9,line_drive,1,1,2025,-1.3,-0.02,-0.06,2.8,,,,2,5,Top,202.97,113.13,,,,,6.931537176084672,-136.10733476216612,-0.0092253509124662,-17.673992126070218,32.60157003758074,-32.71070656504339,3.64,1.71,258.0,88.4,22.0,94.1,2102.0,6.8,776137,672275,805811,683766,656305,642715,671218,808982,687551,53.67,0.294,0.303,0.9,1.0,1,0,3.0,33,3,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,245.0,-0.016,0.342,68.5,6.4,0.441,-0.342,88.4,2,-2,0.808,0.192,28,22,29,23,2,1,5.0,1.0,,,2.65,1.3,1.3,22.5,-11.331942287241512,7.531720596547611,35.25643427290476,36.75763661673915,18.361753073651467
CH,2025-09-28,86.9,-1.78,4.78,"Karros, Kyle",691720,657277,field_out,hit_into_play,,,,,8.0,Kyle Karros lines out to left fielder Heliot Ramos.,R,R,R,SF,COL,X,7,line_drive,2,1,2025,-0.71,-0.46,-0.2,2.09,,686668.0,,2,2,Top,69.8,113.19,,,,,5.277848097837177,-126.5668803846364,0.6537602447266202,-8.680344018302835,24.944115795149383,-37.46098483441937,3.64,1.71,254.0,86.7,20.0,87.9,1576.0,6.8,776137,672275,527038,683766,656305,642715,671218,808982,687551,53.72,0.577,0.53,0.0,1.0,0,0,4.0,11,4,Changeup,1,0,0,1,0,1,0,1,Strategic,Standard,270.0,0.035,-0.285,72.4,7.6,0.666,0.285,88.0,1,-1,0.625,0.375,28,22,29,23,1,0,5.0,1.0,,,3.46,0.71,0.71,15.3,16.288189275327642,-14.279194763512749,43.52434347572715,34.73965797593876,33.46443968241
CU,2025-09-26,84.0,-1.96,5.41,"Karros, Kyle",691720,686790,field_out,hit_into_play,,,,,7.0,Kyle Karros lines out to left fielder Heliot Ramos.,R,R,R,SF,COL,X,7,line_drive,1,2,2025,1.3,-0.48,-0.44,1.64,,,686668.0,0,5,Top,46.61,98.06,,,,,0.9649413912925956,-122.31150373406432,-1.3782365755992951,12.848015563970836,24.23590426126929,-36.89930869587008,3.62,1.7,315.0,91.6,21.0,84.3,2512.0,6.4,776166,672275,805811,669477,656305,642715,671218,808982,687529,54.06,0.277,0.288,0.0,1.0,0,0,3.0,35,4,Curveball,5,0,0,5,0,5,0,5,Standard,Standard,43.0,0.019,-0.164,69.2,7.5,0.419,0.164,91.6,5,-5,0.923,0.077,24,22,24,23,2,1,5.0,1.0,,1.0,3.7,-1.3,-1.3,35.3,9.307699466219654,-18.807949219535875,46.19874812572799,31.120547084480226,34.7108791619193
SL,2025-09-21,84.5,-2.29,5.7,"Karros, Kyle",691720,702674,sac_fly,hit_into_play,,,,,5.0,Kyle Karros out on a sacrifice fly to right fielder Jo Adell. Blaine Crim scores.,R,R,R,COL,LAA,X,9,fly_ball,0,0,2025,0.26,-0.04,0.06,2.84,688760.0,,687597.0,1,2,Bot,190.81,78.28,,,,,4.977247330896402,-123.19473094032348,-0.364753965673631,1.8601167078998575,19.325902151155372,-32.70213722176384,3.63,1.68,338.0,90.5,35.0,85.6,2193.0,6.5,776232,681351,694384,695681,672724,694203,621493,669326,666176,54.05,0.034,0.05,0.0,1.0,0,0,3.0,17,1,Slider,0,1,0,1,1,1,1,1,Infield shade,Standard,92.0,0.015,-0.139,69.5,6.5,0.082,0.139,90.5,-1,-1,0.509,0.509,21,22,22,23,1,0,5.0,2.0,6.0,2.0,3.17,-0.26,-0.26,32.6,-0.6454223884785053,-1.3314720153062702,35.65625987421404,36.35459400046261,24.04393453613463
FF,2025-09-19,89.2,0.82,6.12,"Karros, Kyle",691720,815083,single,hit_into_play,,,,,6.0,Kyle Karros singles on a sharp line drive to center fielder Bryce Teodosio.,R,R,L,COL,LAA,X,8,line_drive,0,2,2025,0.72,1.08,0.46,2.79,,,,2,4,Bot,119.33,66.5,,,,,-2.4276513692061967,-129.93317232219974,-4.549336469880717,8.702160171682884,23.324726611912077,-19.212621777686262,3.62,1.68,277.0,105.9,10.0,90.5,1958.0,6.7,776253,681351,694384,695681,660162,694203,621493,669326,666176,53.8,0.849,0.841,0.9,1.0,1,0,4.0,33,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,140.0,0.015,0.426,73.3,7.2,1.068,-0.426,105.9,0,0,0.513,0.513,24,22,24,23,2,1,6.0,1.0,6.0,2.0,1.75,0.72,-0.72,47.1,1.012240643290779,-5.635564956577431,36.151335410579286,43.025737879956246,25.107208646229893
FC,2025-09-18,85.0,-1.3,6.18,"Karros, Kyle",691720,678368,field_out,hit_into_play,,,,,5.0,Kyle Karros flies out to center fielder Jakob Marsee.,R,R,R,COL,MIA,X,8,fly_ball,0,0,2025,0.13,0.64,0.01,2.9,,,,0,9,Bot,130.73,49.38,,,,,2.7979688528410267,-123.94317204798324,-2.809737980355691,0.9232020841778292,18.84879881396446,-25.160052092269343,3.66,1.69,369.0,91.8,32.0,85.4,2480.0,5.9,776270,682663,676572,691594,688363,672640,667472,805300,686894,54.59,0.074,0.129,0.0,1.0,0,0,3.0,74,1,Cutter,4,9,4,9,9,4,4,9,Standard,Standard,159.0,-0.005,-0.259,70.4,6.9,0.237,0.259,91.8,-5,-5,0.007,0.007,25,22,25,23,1,3,9.0,2.0,5.0,1.0,2.44,-0.13,-0.13,49.5,9.30945801849816,-3.226341123088761,34.063800346293185,38.45827459155208,31.249010162875344
FF,2025-09-16,95.8,-0.59,6.73,"Karros, Kyle",691720,656848,single,hit_into_play,,,,,1.0,Kyle Karros singles on a line drive to center fielder Jakob Marsee.,R,R,R,COL,MIA,X,8,line_drive,3,2,2025,-0.54,1.35,-0.3,3.31,,,,1,8,Bot,131.94,75.33,,,,,1.9712223734311287,-139.5069541797104,-6.565910742894496,-7.443387735154408,26.71930144000623,-13.31582317131724,3.68,1.69,199.0,96.3,11.0,96.5,2264.0,6.3,776293,682663,676572,691594,681393,672640,667472,805300,686894,54.17,0.809,0.776,0.9,1.0,1,0,4.0,62,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,200.0,0.004,0.336,,,0.953,-0.336,96.3,-6,-6,0.005,0.005,31,22,31,23,1,2,3.0,3.0,3.0,2.0,1.1,0.54,0.54,56.2,,,,,
FF,2025-09-13,97.7,-1.26,6.22,"Karros, Kyle",691720,656302,field_out,hit_into_play,,,,,7.0,Kyle Karros lines out to center fielder Jackson Merrill.,R,R,R,SD,COL,X,8,line_drive,3,2,2025,-0.78,1.69,-0.47,1.71,,,,1,2,Top,111.71,68.36,,,,,3.937821523788952,-141.81454658647596,-10.467958388029931,-11.47001911393076,34.87355078080877,-7.163448515394883,3.7,1.69,326.0,93.4,19.0,97.5,2436.0,6.5,776341,553869,656811,650333,592518,630105,657656,701538,665487,54.04,0.429,0.462,0.0,1.0,0,0,4.0,13,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,199.0,0.017,-0.333,71.9,7.5,0.652,0.333,93.4,0,0,0.523,0.477,29,22,30,23,1,0,6.0,1.0,6.0,3.0,0.73,0.78,0.78,55.4,-7.107638092036286,-49.206946920258645,68.90203978874533,29.13513950781116,28.216207023045783
FC,2025-09-12,87.9,-3.25,5.28,"Karros, Kyle",691720,676760,field_out,hit_into_play,,,,,1.0,Kyle Karros flies out to center fielder Jackson Merrill.,R,R,R,SD,COL,X,8,fly_ball,0,0,2025,0.28,0.76,-0.66,3.43,,,,1,7,Top,136.26,104.39,,,,,5.736015015924981,-127.9020873043839,0.0826903339176502,1.86643000675676,27.402252951644908,-24.136032660736515,3.7,1.69,239.0,80.9,48.0,88.5,2257.0,6.8,776357,666023,656811,650333,592518,630105,657656,701538,665487,53.73,0.037,0.044,0.0,1.0,0,0,3.0,45,1,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,177.0,0.006,-0.254,62.9,6.6,0.067,0.254,88.0,-3,3,0.107,0.893,29,22,30,23,1,2,5.0,1.0,6.0,1.0,2.2,-0.28,-0.28,32.9,7.921469962550645,-6.762231406311009,34.64287390376083,30.231168403065837,26.863808074801977
SI,2025-09-12,95.0,0.23,6.35,"Karros, Kyle",691720,593974,field_out,hit_into_play,,,,,5.0,Kyle Karros flies out to right fielder Fernando Tatis Jr.,R,R,L,SD,COL,X,9,fly_ball,1,1,2025,1.25,0.74,0.11,2.81,,,,1,9,Top,163.86,129.29,,,,,-3.0734276411467727,-138.14720495638974,-5.134203815399846,16.70738685480626,33.57265356682742,-21.77935754079164,3.7,1.69,200.0,80.8,57.0,93.4,1958.0,5.6,776357,553869,656811,650333,592518,630105,657656,701538,665487,54.92,0.046,0.052,0.0,1.0,0,0,3.0,63,3,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,134.0,0.003,-0.244,70.7,7.2,0.065,0.244,88.0,-3,3,0.034,0.966,33,22,34,23,1,3,3.0,1.0,6.0,1.0,1.81,1.25,-1.25,52.5,10.774935953987912,-13.872355386120594,37.57148184724144,39.2316967037844,31.513510555599456
