pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,95.5,-2.34,5.95,"Kepler, Max",596146,686563,field_out,hit_into_play,,,,,5.0,Max Kepler lines out sharply to right fielder Austin Slater.,R,L,R,CWS,PHI,X,9,line_drive,0,0,2025,-0.79,1.19,0.26,2.55,,,,2,3,Top,168.62,77.84,,,,,8.629558229921395,-138.62841346171956,-5.923681378103874,-12.243389090532006,35.55080490395002,-15.637010951048554,3.44,1.64,319.0,103.0,15.0,94.8,2332.0,6.4,776952,691019,678246,672820,695657,805367,572191,673357,596103,54.14,0.646,0.674,0.0,1.0,0,0,4.0,25,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shade,Standard,228.0,0.002,-0.26,72.9,6.9,0.95,0.26,103.0,-6,6,0.061,0.939,24,32,25,32,2,1,6.0,1.0,8.0,3.0,1.35,0.79,-0.79,28.7,2.233113835598409,-2.158140444371467,31.5339541897654,33.28269414159855,30.523021778277368
SI,2025-07-29,93.9,-2.51,5.8,"Kepler, Max",596146,686563,sac_fly,hit_into_play,,,,,7.0,Max Kepler out on a sacrifice fly to center fielder Luis Robert Jr. Nick Castellanos scores. Brandon Marsh to 3rd.,R,L,R,CWS,PHI,X,8,line_drive,1,1,2025,-1.35,0.44,-0.3,2.06,592206.0,669016.0,,0,2,Top,132.74,60.83,,,,,8.68203202932368,-136.52950172915192,-4.942178811123467,-18.74382629072568,28.67299542381786,-25.787313082660013,3.44,1.64,343.0,97.8,21.0,93.8,2244.0,6.2,776952,691019,678246,672820,695657,805367,572191,673357,596103,54.31,0.346,0.437,0.0,1.0,0,0,5.0,13,3,Sinker,0,0,0,0,1,0,1,0,Strategic,Standard,227.0,-0.008,-0.168,74.3,7.4,0.695,0.168,97.8,0,0,0.352,0.648,24,32,25,32,1,0,6.0,1.0,8.0,3.0,2.14,1.35,-1.35,23.8,4.950172420191738,-3.875599733394032,34.08821427589986,39.81433985774548,31.440558660036565
CH,2025-07-28,89.4,-2.21,5.96,"Kepler, Max",596146,663436,field_out,hit_into_play,,,,,8.0,Max Kepler lines out sharply to right fielder Austin Slater.,R,L,R,CWS,PHI,X,9,line_drive,1,1,2025,-1.35,0.54,-0.15,1.82,,,669016.0,2,4,Top,199.96,98.98,,,,,7.932070569305111,-129.81156810329185,-5.265010552874548,-16.92520001710619,29.382857944477852,-25.137709003745552,3.46,1.63,332.0,106.1,20.0,89.2,2104.0,6.5,776972,700337,678246,672820,695657,805367,572191,673357,596103,54.03,0.723,1.033,0.0,1.0,0,0,6.0,28,3,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,233.0,0.028,-0.256,73.4,8.0,1.753,0.256,106.1,0,0,0.531,0.469,28,32,28,32,2,1,6.0,2.0,8.0,1.0,2.35,1.35,-1.35,33.4,16.063651663565967,-10.893245283437496,38.940094776925406,38.45664404928242,35.38140121631631
SI,2025-07-28,95.2,-2.01,5.87,"Kepler, Max",596146,663436,single,hit_into_play,,,,,8.0,Max Kepler singles on a sharp line drive to center fielder Luis Robert Jr.,R,L,R,CWS,PHI,X,8,line_drive,2,2,2025,-1.34,0.9,-0.06,1.53,,,,1,3,Top,142.32,68.5,,,,,8.159256459242497,-138.33500032581804,-7.790230368336453,-18.98177958526884,30.05587762694488,-19.059951634659424,3.46,1.63,248.0,107.0,9.0,95.7,2436.0,6.6,776972,700337,678246,672820,695657,805367,572191,673357,596103,53.88,0.723,0.699,0.9,1.0,1,0,4.0,14,5,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,218.0,-0.028,0.441,75.4,7.5,0.882,-0.441,107.0,0,0,0.525,0.475,28,32,28,32,1,0,6.0,2.0,8.0,1.0,1.62,1.34,-1.34,34.0,-3.029119928045617,-3.0130692520331235,41.52337486535293,36.737068146854405,28.151139944050087
SL,2025-07-28,86.1,-0.94,5.88,"Kepler, Max",596146,673929,field_out,hit_into_play,,,,,8.0,Max Kepler flies out to left fielder Michael A. Taylor.,R,L,R,CWS,PHI,X,7,fly_ball,2,2,2025,0.45,0.26,-0.26,1.94,,,805249.0,2,6,Top,81.38,113.17,,,,,0.7182820173977832,-125.58995199893818,-3.8178258094430886,4.676004861212956,20.915751340925965,-28.87291360041744,3.46,1.63,259.0,85.2,47.0,87.9,2360.0,6.9,776972,700337,678246,672820,695657,805367,572191,673357,596103,53.6,0.017,0.025,0.0,1.0,0,0,3.0,47,6,Slider,4,2,2,4,2,4,2,4,Infield shade,Standard,131.0,0.03,-0.216,69.1,7.5,0.037,0.216,88.0,2,-2,0.822,0.178,26,32,27,32,1,2,2.0,2.0,4.0,1.0,2.75,-0.45,0.45,47.5,4.4538947982731285,-2.858667861198623,29.775168212612684,39.492652002281865,32.60332273699592
SI,2025-07-26,90.4,-0.97,5.24,"Kepler, Max",596146,573186,field_out,hit_into_play,,,,,7.0,Max Kepler flies out to left fielder Jasson Domínguez.,R,L,R,NYY,PHI,X,7,fly_ball,2,1,2025,-0.98,0.36,-0.47,2.01,592663.0,,669016.0,2,1,Top,60.6,92.39,,,,,3.317118404987908,-131.70621613313114,-2.9468160747065246,-12.184456928214798,25.341564522590428,-27.566066274970467,3.47,1.63,327.0,96.1,35.0,90.3,2256.0,5.9,777001,700250,502671,665862,641857,683011,691176,663757,641355,54.57,0.163,0.296,0.0,1.0,0,0,3.0,6,4,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,212.0,0.043,-0.273,74.4,7.2,0.571,0.273,96.1,-1,1,0.399,0.601,34,32,34,32,1,0,6.0,1.0,5.0,2.0,2.4,0.98,-0.98,32.3,-0.7767909952777322,0.9588116928517776,34.903865929608884,44.00841802841229,27.733331965816603
CH,2025-07-26,82.6,-1.92,5.48,"Kepler, Max",596146,642216,single,hit_into_play,,,,,13.0,Max Kepler singles on a line drive to center fielder Trent Grisham.,R,L,R,NYY,PHI,X,8,line_drive,0,2,2025,-1.31,-0.3,-1.01,1.25,,,,0,7,Top,137.38,96.6,,,,,4.67471977684966,-120.20181822439736,-2.5008003100182026,-13.582845406777457,26.25346057243741,-34.71241508785348,3.47,1.63,216.0,72.6,19.0,82.9,2148.0,6.8,777001,700250,502671,665862,641857,683011,691176,663757,641355,53.7,0.946,0.856,0.9,1.0,1,0,4.0,60,4,Changeup,1,5,5,1,5,1,5,1,Infield shade,Standard,260.0,-0.007,0.532,70.0,8.2,0.993,-0.532,88.0,-4,4,0.053,0.947,29,32,30,32,1,3,28.0,1.0,,2.0,3.67,1.31,-1.31,22.8,7.016799432129142,-9.246883706140324,33.77407358106148,51.039401590304536,35.98866435294105
FF,2025-07-23,94.7,-1.16,6.53,"Kepler, Max",596146,608337,field_out,hit_into_play,,,,,5.0,Max Kepler lines out sharply to center fielder Jarren Duran.,R,L,R,PHI,BOS,X,8,line_drive,3,2,2025,-0.98,1.43,-0.11,2.29,,,,0,4,Bot,108.44,62.19,,,,,4.972161908906065,-137.4439090705615,-8.50485222488733,-13.608337492157084,35.410385202988074,-12.322612836345542,3.47,1.64,342.0,102.4,18.0,94.5,2332.0,6.7,777038,665966,663853,678882,691785,596115,608701,680776,677800,53.79,0.423,0.503,0.0,1.0,0,0,5.0,29,6,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Standard,204.0,-0.006,-0.345,71.9,6.8,0.779,0.345,102.4,4,4,0.919,0.919,30,32,31,32,2,1,5.0,1.0,6.0,2.0,1.16,0.98,-0.98,50.3,-0.0267411910876321,1.798718865780435,35.081714165956555,38.328639902834425,29.77406099314026
SL,2025-07-23,86.4,-1.56,6.51,"Kepler, Max",596146,608337,field_out,hit_into_play,,,,,5.0,Max Kepler lines out to center fielder Jarren Duran.,R,L,R,PHI,BOS,X,8,line_drive,0,0,2025,0.27,0.48,0.14,2.36,,,669016.0,2,1,Bot,123.74,86.47,,,,,3.527161109900866,-125.82361695913976,-4.715423179494668,2.1545864248820195,24.499767422859797,-26.30134004516034,3.47,1.64,282.0,90.9,17.0,86.8,1908.0,6.4,777038,665966,663853,678882,691785,596115,608701,680776,677800,54.1,0.786,0.709,0.0,1.0,0,0,4.0,10,1,Slider,3,0,3,0,0,3,3,0,Infield shade,Standard,203.0,-0.012,-0.271,65.1,6.7,0.887,0.271,90.9,3,3,0.8,0.8,30,32,31,32,1,0,5.0,1.0,6.0,2.0,2.55,-0.27,0.27,47.1,-2.004031541863234,-3.3942874283961952,36.12173938820592,35.93055172091575,26.030111121838683
SL,2025-07-23,85.3,-1.01,6.07,"Kepler, Max",596146,676477,field_out,hit_into_play,,,,,9.0,Max Kepler flies out to center fielder Jarren Duran.,R,L,R,PHI,BOS,X,8,fly_ball,1,2,2025,0.18,-0.36,0.33,1.68,,,,0,9,Bot,157.02,52.95,,,,,2.824001268206683,-124.25602337081176,-3.3040754662017493,1.2794818366968987,26.15754735072841,-35.46816432782986,3.47,1.64,368.0,96.2,32.0,86.5,2129.0,7.1,777038,665966,663853,678882,647351,596115,701350,680776,677800,53.37,0.209,0.361,0.0,1.0,0,0,5.0,72,4,Slider,6,6,6,6,6,6,6,6,Infield shade,Standard,35.0,-0.057,-0.189,70.6,7.5,0.674,0.189,96.2,0,0,0.634,0.634,29,32,29,32,1,3,2.0,1.0,3.0,2.0,3.5,-0.18,0.18,45.0,6.062314249373,-11.885038438194822,33.81007287688476,35.45003186321319,38.09540237348552
