pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-06-04,83.4,-1.92,5.92,"Lee, Korey",686676,605154,double,hit_into_play,,,,,8.0,Korey Lee doubles (3) on a sharp line drive to left fielder Riley Greene.,R,R,R,CWS,DET,X,7,line_drive,1,1,2025,0.56,0.24,0.01,1.87,,,,0,5,Bot,57.7,71.19,,,,,3.3515141931841006,-121.50076255577598,-3.383807203245937,4.922470999658816,22.68053700465982,-29.33354258386591,3.43,1.6,357.0,104.7,16.0,83.8,2626.0,6.4,777639,693307,679529,650402,628451,656716,682985,595879,672761,54.09,0.609,0.693,1.25,1.0,1,1,5.0,44,3,Slider,3,4,3,4,4,3,3,4,Standard,Standard,125.0,0.094,0.726,70.8,7.8,1.048,-0.726,104.7,-1,-1,0.407,0.407,35,26,35,27,1,1,2.0,2.0,3.0,82.0,3.01,-0.56,-0.56,43.5,10.586484906785545,-12.93847871137839,31.45242629898665,32.63796605333096,32.93353246993935
FF,2025-08-27,95.5,-2.43,6.33,"Lee, Korey",686676,680742,field_out,hit_into_play,,,,,8.0,Korey Lee flies out to center fielder Kyle Isbel.,R,R,R,CWS,KC,X,8,fly_ball,3,2,2025,-0.68,1.33,-0.23,1.82,,,683770.0,2,7,Bot,113.03,64.23,,,,,7.394617338935147,-138.74032418024032,-9.32604956927494,-10.346629871998768,30.11826207572004,-13.061841996104762,3.43,1.6,335.0,98.3,40.0,96.5,2069.0,6.9,776569,571912,686469,624428,679845,672580,686681,664728,573262,53.64,0.091,0.171,0.0,1.0,0,0,3.0,65,7,4-Seam Fastball,1,11,1,11,11,1,1,11,Standard,Standard,212.0,0.0,-0.294,74.7,8.1,0.334,0.294,98.3,-10,-10,0.001,0.001,28,26,29,27,1,0,3.0,2.0,2.0,6.0,1.17,0.68,0.68,42.7,16.766280992463027,-11.804072750694818,35.9046835634042,30.8468882511602,36.27503431133813
FF,2025-08-25,95.1,1.08,5.79,"Lee, Korey",686676,663738,single,hit_into_play,,,,,5.0,Korey Lee singles on a line drive to center fielder Kyle Isbel.,R,R,L,CWS,KC,X,8,line_drive,2,2,2025,0.93,1.24,-0.11,2.27,,,,2,6,Bot,120.4,91.89,,,,,-5.269876866478371,-138.2917126108223,-6.399461587929771,13.141442447176113,32.71732624569356,-14.959358110202084,3.43,1.6,144.0,106.0,8.0,95.9,2061.0,6.9,776599,521692,686469,624428,672580,677951,686681,664728,573262,53.58,0.697,0.665,0.9,1.0,1,0,4.0,46,7,4-Seam Fastball,6,0,6,0,0,6,6,0,Strategic,Standard,128.0,0.001,0.362,76.7,7.1,0.826,-0.362,106.0,6,6,0.986,0.986,28,26,29,27,1,2,4.0,82.0,2.0,2.0,1.29,0.93,-0.93,36.3,7.562677961623027,1.4671595051542854,35.58000830994851,33.23589159845081,26.6060737937042
SI,2025-05-28,88.5,2.7,5.99,"Lee, Korey",686676,663399,single,hit_into_play,,,,,6.0,Korey Lee singles on a line drive to center fielder Brandon Nimmo.,R,R,L,NYM,CWS,X,8,line_drive,1,1,2025,1.15,1.19,0.66,2.26,,,,0,7,Top,129.68,98.83,,,,,-7.3265303112363265,-128.5413340513525,-5.358500030168086,14.31188074460959,31.09728976890143,-18.08655802084003,3.43,1.58,162.0,96.2,8.0,87.4,2033.0,6.1,777737,620443,624413,643446,683146,596019,676724,607043,665742,54.44,0.574,0.533,0.9,1.0,1,0,4.0,62,3,Sinker,3,7,7,3,7,3,7,3,Standard,Standard,149.0,-0.007,0.447,70.6,7.2,0.651,-0.447,96.2,-4,4,0.053,0.947,31,26,31,27,2,3,28.0,49.0,6.0,3.0,1.77,1.15,-1.15,37.7,7.809827349574133,10.33605521283489,30.24653317409696,41.38210681718462,22.559693832127145
ST,2025-05-28,77.8,2.94,5.91,"Lee, Korey",686676,663399,field_out,hit_into_play,,,,,5.0,Korey Lee flies out to left fielder Brandon Nimmo.,R,R,L,NYM,CWS,X,7,fly_ball,1,1,2025,-1.34,0.33,0.0,2.22,,,,0,5,Top,62.08,108.77,,,,,-3.8263433296062663,-113.1229320485754,-1.5004230938938492,-10.547283814420298,23.774383051999653,-29.30836839930025,3.43,1.58,274.0,88.1,42.0,77.1,2612.0,6.2,777737,620443,624413,643446,683146,596019,607043,621438,665742,54.34,0.003,0.004,0.0,1.0,0,0,3.0,45,3,Sweeper,3,5,5,3,5,3,5,3,Standard,Standard,299.0,0.017,-0.251,70.9,8.2,0.006,0.251,88.1,-2,2,0.239,0.761,31,26,31,27,1,2,28.0,49.0,6.0,3.0,3.49,-1.34,1.34,33.4,16.635732707973077,-24.21356593487334,31.326096021207004,35.22084303374393,38.7583494110859
FF,2025-05-28,96.6,-0.39,6.55,"Lee, Korey",686676,592773,field_out,hit_into_play,,,,,5.0,Korey Lee flies out to right fielder Juan Soto.,R,R,R,NYM,CWS,X,9,fly_ball,1,0,2025,-0.46,1.63,0.26,2.19,,,,0,9,Top,197.35,100.63,,,,,2.7523888048669085,-140.28931451214845,-9.60211458497166,-6.701042957339961,33.64495724904555,-8.705635430622689,3.43,1.58,301.0,94.2,40.0,95.5,2255.0,5.9,777737,620443,624413,643446,683146,596019,676724,607043,665742,54.63,0.031,0.043,0.0,1.0,0,0,3.0,79,2,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,207.0,0.0,-0.301,72.3,7.5,0.082,0.301,94.2,-6,6,0.002,0.998,33,26,34,27,1,4,3.0,49.0,5.0,3.0,0.84,0.46,0.46,48.5,5.205063297867557,2.133180748861357,31.019156159635315,37.5171570935842,23.795843798016016
SL,2025-04-05,84.8,-2.65,5.99,"Lee, Korey",686676,681857,single,hit_into_play,,,,,14.0,Korey Lee singles on a line drive to center fielder Ryan Kreidler.,R,R,R,DET,CWS,X,8,line_drive,3,2,2025,0.37,-0.22,0.95,2.44,,,,1,2,Top,124.12,84.65,,,,,7.584329929212139,-123.22112398019796,-1.4564075246186912,2.144174117578093,26.462192925656936,-34.36272545129636,3.43,1.57,242.0,79.0,19.0,83.7,2796.0,5.9,778445,668670,679529,690993,628451,700242,682985,668952,681481,54.64,0.989,0.899,0.9,1.0,1,0,4.0,15,6,Slider,2,1,1,2,1,2,1,2,Standard,Standard,79.0,-0.027,0.336,71.8,7.3,1.061,-0.336,88.0,1,-1,0.632,0.368,25,26,26,27,1,0,7.0,1.0,6.0,4.0,3.42,-0.37,-0.37,41.6,5.640613215805538,2.221285156137649,20.23507814644181,46.617484738889786,27.228679062363472
SI,2025-04-05,94.1,-1.42,6.03,"Lee, Korey",686676,689225,double,hit_into_play,,,,,2.0,Korey Lee doubles (2) on a sharp line drive to left fielder Riley Greene.,R,R,R,DET,CWS,X,7,line_drive,1,1,2025,-0.73,1.15,-0.14,2.89,,,,0,7,Top,44.03,97.65,,,,,4.906802953148012,-136.87168131931548,-4.86335219721582,-10.352132157750178,33.159454074483165,-16.900989824919545,3.43,1.57,257.0,102.6,16.0,92.8,2313.0,5.8,778445,668670,679529,690993,628451,700242,682985,668952,681481,54.73,0.557,0.607,1.25,1.0,1,1,5.0,56,3,Sinker,7,2,2,7,2,7,2,7,Standard,Standard,200.0,-0.021,0.726,70.2,7.4,0.889,-0.726,102.6,5,-5,0.972,0.028,27,26,27,27,1,2,4.0,1.0,2.0,4.0,1.45,0.73,0.73,47.7,18.03740878116887,-10.86227912723534,25.357666825278255,35.405615150066055,31.71573247350255
FS,2025-04-04,84.2,-2.09,5.71,"Lee, Korey",686676,628317,double,hit_into_play,,,,,7.0,Korey Lee doubles (1) on a sharp line drive to center fielder Ryan Kreidler. Austin Slater scores. Lenyn Sosa to 3rd.,R,R,R,DET,CWS,X,8,line_drive,2,2,2025,-1.06,0.01,-0.39,1.69,596103.0,,672820.0,0,9,Top,128.9,48.34,,,,,6.0024864536714215,-122.54150425117656,-2.967960642338093,-11.845033896159286,24.707016186672963,-31.662389116992053,3.44,1.57,372.0,103.2,18.0,83.6,1437.0,5.9,778458,693307,679529,690993,595879,700242,682985,668952,656716,54.56,0.491,0.598,1.25,1.0,1,1,5.0,75,5,Split-Finger,7,1,1,7,2,7,2,7,Standard,Standard,239.0,-0.019,0.696,71.7,7.3,0.929,-0.696,103.2,6,-6,0.982,0.018,37,26,37,27,1,1,6.0,2.0,9.0,1.0,3.21,1.06,1.06,43.3,5.628716998164232,-8.01680549246335,35.05172299284374,30.80789291774067,29.53781371261152
FF,2025-03-27,93.8,2.89,5.14,"Lee, Korey",686676,579328,field_out,hit_into_play,,,,,7.0,Korey Lee flies out to center fielder Jo Adell.,R,R,L,CWS,LAA,X,8,fly_ball,3,2,2025,1.11,1.13,-0.8,1.64,,,,1,4,Bot,100.19,66.99,,,,,-12.195724935415818,-136.08629117904147,-5.943762366959287,16.372173271707076,28.190992743065905,-16.910490125778953,3.45,1.58,333.0,96.1,37.0,95.4,2330.0,7.3,778554,681351,694384,641313,650859,621028,621493,666176,545361,53.24,0.091,0.167,0.0,1.0,0,0,3.0,32,6,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,141.0,-0.007,-0.333,70.6,7.4,0.314,0.333,96.1,3,3,0.858,0.858,34,26,34,27,2,1,,,6.0,4.0,1.46,1.11,-1.11,32.2,11.9234108371361,-13.304555427369571,41.44939225946758,25.04001506993129,32.027094742174285
