pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-07-30,86.3,-1.83,5.34,"Lewis, Royce",668904,678394,field_out,hit_into_play,,,,,6.0,Royce Lewis lines out to right fielder Wilyer Abreu.,R,R,R,MIN,BOS,X,9,line_drive,1,1,2025,0.63,-0.39,0.34,2.27,,,,1,4,Bot,166.65,83.09,,,,,3.871499434841176,-125.5524805987072,-0.2116538695452561,5.762374094469385,28.05693220574248,-36.42914593086872,3.5,1.68,306.0,97.4,17.0,86.0,2463.0,6.3,776935,657136,663853,678882,647351,596115,701350,680776,677800,54.17,0.526,0.541,0.0,1.0,0,0,4.0,32,3,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,46.0,-0.022,-0.244,77.5,7.7,0.76,0.244,97.4,-1,-1,0.391,0.391,26,26,26,26,2,1,5.0,1.0,5.0,2.0,3.48,-0.63,-0.63,32.6,3.5733469894552883,13.01759540058971,30.27736353463125,37.33430463651144,16.488246901374776
SL,2025-07-29,90.9,-2.76,6.51,"Lewis, Royce",668904,660896,single,hit_into_play,,,,,14.0,Royce Lewis singles on a line drive to left fielder Jarren Duran.,R,R,R,MIN,BOS,X,7,line_drive,1,1,2025,0.39,0.49,0.98,2.2,,,,2,9,Bot,67.78,124.52,,,,,8.446467064012015,-132.1108169164298,-5.889947385308867,2.804033378460281,27.24114811594321,-25.338554209748363,3.5,1.68,164.0,69.5,17.0,90.2,2591.0,5.8,776954,665966,647351,666152,608324,596115,680776,678882,677800,54.66,0.677,0.641,0.9,1.0,1,0,4.0,82,3,Slider,5,8,5,8,8,5,5,8,Standard,Standard,147.0,0.009,0.342,70.2,8.8,0.754,-0.342,88.0,-3,-3,0.005,0.005,29,26,30,26,1,4,1.0,1.0,4.0,1.0,2.27,-0.39,-0.39,44.4,19.78039725661577,-16.905052669471704,22.979433169329734,47.33919653120059,36.5449448590025
FF,2025-07-29,94.3,-1.24,6.43,"Lewis, Royce",668904,608337,field_out,hit_into_play,,,,,8.0,Royce Lewis lines out to left fielder Jarren Duran.,R,R,R,MIN,BOS,X,7,line_drive,2,1,2025,-0.29,1.32,0.27,1.89,,663616.0,621043.0,1,1,Bot,79.46,79.62,,,,,4.601095428625507,-136.95454378521327,-9.013398254369426,-4.78296562347226,32.77488856554211,-13.661975067395444,3.5,1.68,317.0,87.5,24.0,94.2,2182.0,6.5,776954,665966,647351,666152,608324,596115,680776,678882,677800,53.98,0.129,0.139,0.0,1.0,0,0,3.0,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,205.0,-0.043,-0.277,79.2,8.5,0.211,0.277,88.0,0,0,0.585,0.585,30,26,31,26,1,0,6.0,1.0,5.0,1.0,1.27,0.29,0.29,52.8,11.240683693186847,-17.762135858298773,33.14696860294056,36.581724632238455,34.459208019398154
SL,2025-07-28,88.8,-1.86,6.08,"Lewis, Royce",668904,690916,field_out,hit_into_play,,,,,6.0,Royce Lewis flies out to center fielder Jarren Duran.,R,R,R,MIN,BOS,X,8,fly_ball,1,0,2025,0.3,0.06,0.79,2.55,,,665019.0,0,2,Bot,106.05,46.68,,,,,5.888957232677585,-129.1955800213449,-2.717573714036943,2.0877911983425634,26.960633408213862,-31.155493405272303,3.5,1.67,379.0,99.8,27.0,89.1,2336.0,6.5,776961,665966,647351,678882,608324,596115,701350,680776,677800,54.01,0.563,0.965,0.0,1.0,0,0,6.0,13,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,133.0,-0.035,-0.282,75.6,8.3,1.781,0.282,99.8,0,0,0.588,0.588,25,26,26,26,1,0,6.0,1.0,28.0,1.0,2.83,-0.3,-0.3,51.2,16.611655095780016,-5.380062554600913,24.304847898998343,43.939134038270495,29.543339106727963
FF,2025-07-27,94.8,-2.11,5.49,"Lewis, Royce",668904,663623,field_out,hit_into_play,,,,,9.0,Royce Lewis lines out sharply to right fielder Daylen Lile.,R,R,R,MIN,WSH,X,9,line_drive,0,0,2025,-0.75,1.05,0.43,1.79,,,621043.0,1,4,Bot,190.18,77.85,,,,,8.465410109668587,-137.7783860551247,-6.508965316803258,-11.296528733523893,26.907230598388903,-17.54486957444522,3.5,1.66,339.0,101.5,18.0,97.0,2380.0,7.3,776979,656180,663993,671277,657557,682928,695578,669743,695734,53.18,0.423,0.503,0.0,1.0,0,0,5.0,32,1,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,234.0,-0.038,-0.256,,,0.779,0.256,101.5,-1,-1,0.425,0.425,28,26,28,26,2,1,6.0,1.0,6.0,1.0,1.47,0.75,0.75,24.8,,,,,
FC,2025-07-27,88.5,-2.27,5.51,"Lewis, Royce",668904,663623,field_out,hit_into_play,,,,,14.0,Royce Lewis lines out sharply to center fielder Alex Call.,R,R,R,MIN,WSH,X,8,line_drive,1,2,2025,0.36,0.35,0.89,2.1,,,,1,2,Bot,140.5,74.7,,,,,7.063574988414596,-128.85744102187488,-3.077440569667538,2.7449474709565305,23.17707485793275,-27.882256339576227,3.5,1.66,311.0,100.0,15.0,90.2,2578.0,7.0,776979,656180,663993,671277,657557,682928,695578,669743,695734,53.48,0.674,0.676,0.0,1.0,0,0,4.0,14,5,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,165.0,-0.018,-0.18,76.1,7.9,0.914,0.18,100.0,-1,-1,0.412,0.412,28,26,28,26,1,0,6.0,1.0,6.0,1.0,2.53,-0.36,-0.36,23.5,8.0449079932254,8.025850803722793,26.078719436223714,43.93936533006928,26.76799233984991
FF,2025-07-26,92.8,1.47,6.17,"Lewis, Royce",668904,680730,single,hit_into_play,,,,,6.0,Royce Lewis singles on a sharp line drive to left fielder James Wood. Willi Castro scores.,R,R,L,MIN,WSH,X,7,line_drive,0,1,2025,0.63,1.4,0.5,2.52,,650489.0,,0,6,Bot,83.95,78.88,,,,,-3.943909157195504,-135.0052527201832,-6.663565277454222,8.586634623452511,30.91668163863485,-13.855983210236989,3.51,1.67,242.0,105.1,12.0,94.0,2228.0,7.1,776997,686452,663993,671277,691781,682928,695578,669743,695734,53.4,0.903,0.897,0.9,1.0,1,0,4.0,48,2,4-Seam Fastball,0,5,0,5,5,1,1,5,Standard,Standard,152.0,0.041,0.567,71.7,7.8,1.186,-0.567,105.1,-5,-5,0.08,0.08,25,26,26,26,3,2,7.0,1.0,6.0,1.0,1.26,0.63,-0.63,61.2,12.408705826830545,1.2964364616754702,27.086334805026844,40.81515409840685,26.61779323892336
FF,2025-07-26,93.7,1.06,6.27,"Lewis, Royce",668904,680730,double,hit_into_play,,,,,4.0,Royce Lewis doubles (10) on a sharp line drive to left fielder James Wood.,R,R,L,MIN,WSH,X,7,line_drive,1,0,2025,0.49,1.53,-0.32,2.92,,,,1,4,Bot,32.88,107.48,,,,,-4.732242983410376,-136.3269808917781,-6.385916977800083,7.123322585122501,29.253060086377275,-11.888872686951242,3.51,1.67,148.0,105.2,7.0,95.1,2101.0,7.1,776997,686452,663993,671277,691781,682928,695578,669743,695734,53.43,0.651,0.607,1.25,1.0,1,1,4.0,29,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,161.0,0.051,0.603,77.0,8.0,0.74,-0.603,105.2,-2,-2,0.271,0.271,25,26,26,26,2,1,7.0,1.0,6.0,1.0,1.06,0.49,-0.49,65.9,20.89785802030095,-18.29942312217417,22.92576738704312,30.584245763854845,32.23223649425504
FF,2025-07-25,96.1,1.96,5.6,"Lewis, Royce",668904,669022,field_out,hit_into_play,,,,,2.0,Royce Lewis flies out sharply to left fielder James Wood.,R,R,L,MIN,WSH,X,7,fly_ball,3,2,2025,0.68,1.43,-0.22,3.06,,,,1,4,Bot,52.39,89.42,,,,,-7.411982365750189,-139.7188774545782,-4.447198349686269,10.570893746226774,30.47239043216735,-12.641240901031969,3.51,1.67,325.0,102.7,47.0,97.6,2319.0,7.1,777011,656180,663993,671277,691781,682928,695578,696285,695734,53.41,0.037,0.056,0.0,1.0,0,0,3.0,27,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146.0,-0.019,-0.333,78.1,7.8,0.109,0.333,102.7,0,0,0.532,0.532,26,26,26,26,2,1,5.0,2.0,5.0,1.0,1.04,0.68,-0.68,49.3,13.678914628956525,-13.249618855341549,27.199861706871232,31.398121518765635,31.86315893567071
FF,2025-07-25,96.2,1.93,5.56,"Lewis, Royce",668904,669022,field_out,hit_into_play,,,,,8.0,Royce Lewis flies out to right fielder Daylen Lile.,R,R,L,MIN,WSH,X,9,fly_ball,1,2,2025,1.14,1.42,-0.1,1.66,,680777.0,621043.0,2,1,Bot,180.66,120.15,,,,,-8.026964563719202,-139.66366070637446,-8.020532899962017,16.654276078740118,30.32903358280044,-11.967655285292244,3.51,1.67,305.0,90.1,38.0,97.1,2166.0,6.9,777011,656180,663993,671277,691781,682928,695578,696285,695734,53.65,0.014,0.017,0.0,1.0,0,0,3.0,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,138.0,-0.042,-0.191,74.6,8.0,0.03,0.191,90.1,0,0,0.542,0.542,26,26,26,26,1,0,5.0,2.0,5.0,1.0,1.05,1.14,-1.14,40.0,6.901017559304331,0.3576718897034379,39.16837065996147,32.95616353214062,24.160227776694533
