pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-07-30,80.6,-2.43,6.23,"Loperfido, Joey",694388,665152,field_out,hit_into_play,,,,,1.0,Joey Loperfido lines out sharply to right fielder Dylan Carlson.,R,L,R,BAL,TOR,X,9,line_drive,1,0,2025,-0.14,1.32,-0.74,2.93,,,645305.0,0,5,Top,172.94,75.38,,,,,4.0259994498203895,-117.38612763098205,-3.200300490823194,-2.0450571511978004,21.783815601501107,-19.537656337093505,3.49,1.63,328.0,100.3,20.0,80.5,1120.0,6.1,776948,656577,656811,702616,676059,683002,681297,656775,666185,54.37,0.363,0.453,0.0,1.0,0,0,5.0,36,2,Split-Finger,3,2,2,3,2,3,2,3,Standard,Standard,226.0,0.048,-0.282,78.5,8.1,0.723,0.282,100.3,1,-1,0.592,0.408,29,26,29,26,3,2,5.0,1.0,6.0,2.0,2.17,0.14,-0.14,43.2,21.615356414416237,-3.0941659487551507,32.16337796771373,47.21331562120963,31.352548770610028
FC,2025-07-30,89.7,-1.4,5.82,"Loperfido, Joey",694388,669704,single,hit_into_play,,,,,6.0,Joey Loperfido singles on a fly ball to left fielder Colton Cowser.,R,L,R,BAL,TOR,X,7,fly_ball,1,1,2025,0.47,0.1,0.71,2.57,,,,0,8,Top,103.7,110.62,,,,,4.227306788257498,-130.6340880639018,-2.3053824699929493,4.592460198241006,26.1053276783816,-30.724582263360503,3.49,1.63,221.0,67.1,33.0,90.1,2572.0,6.4,776948,656577,656811,702616,676059,683002,681297,656775,657656,54.14,0.897,0.808,0.9,1.0,1,0,4.0,72,3,Cutter,8,9,9,8,9,8,9,8,Standard,Standard,135.0,-0.033,0.447,76.2,7.4,0.939,-0.447,88.0,-1,1,0.247,0.753,27,26,28,26,1,4,2.0,1.0,4.0,2.0,2.71,-0.47,0.47,45.5,9.520479346814914,9.760574117017004,40.88119799937413,30.2694956092634,25.960549436551503
FF,2025-07-30,93.1,-2.34,6.28,"Loperfido, Joey",694388,665152,single,hit_into_play,,,,,5.0,Joey Loperfido singles on a sharp line drive to center fielder Cedric Mullins.,R,L,R,BAL,TOR,X,8,line_drive,3,1,2025,-0.63,1.42,0.06,2.54,,,,0,1,Top,153.17,79.18,,,,,7.495108901879178,-135.29426657575007,-6.926074387613289,-9.287842429234782,27.748561378790605,-13.367997439734618,3.49,1.63,177.0,100.8,12.0,93.0,2267.0,6.2,776948,656577,656811,702616,676059,683002,681297,656775,666185,54.33,0.949,0.915,0.9,1.0,1,0,4.0,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,-0.036,0.259,73.4,7.3,1.161,-0.259,100.8,0,0,0.5,0.5,29,26,29,26,1,0,5.0,1.0,6.0,2.0,1.2,0.63,-0.63,40.3,4.660435678837867,6.595997223559509,45.71426865458812,35.87329290010657,21.64946283715536
CU,2025-07-29,81.5,-2.64,5.32,"Loperfido, Joey",694388,450203,single,hit_into_play,,,,,7.0,Joey Loperfido singles on a line drive to left fielder Colton Cowser.,R,L,R,BAL,TOR,X,7,line_drive,3,2,2025,1.43,-0.77,-0.35,2.09,,,,1,6,Top,53.53,123.39,,,,,2.412993794983106,-118.68450842737526,0.8574334989644246,12.921332175935232,24.467278997561216,-39.82181701609677,3.48,1.63,192.0,93.5,11.0,81.1,3165.0,6.2,778372,656577,691723,676059,602104,683002,681297,656775,641933,54.32,0.771,0.747,0.9,1.0,1,0,4.0,52,7,Curveball,4,3,3,4,3,4,3,4,Standard,Standard,61.0,-0.041,0.336,66.1,7.0,0.915,-0.336,93.5,1,-1,0.703,0.297,41,26,42,26,3,2,5.0,1.0,5.0,0.0,4.22,-1.43,1.43,21.2,-6.776138792540244,19.207125090933356,36.04028589330362,40.31292904937031,13.613699467513593
CH,2025-07-28,85.3,-2.35,5.66,"Loperfido, Joey",694388,621107,field_out,hit_into_play,,,,,11.0,Joey Loperfido lines out to left fielder Colton Cowser.,R,L,R,BAL,TOR,X,7,line_drive,0,1,2025,-1.26,0.4,-1.38,2.71,,,666182.0,2,2,Top,56.79,90.04,,,,,4.833109461139605,-124.15999495484591,-1.4888747363031587,-13.956158149814978,23.211373410121432,-27.931900869412488,3.48,1.63,319.0,89.9,22.0,85.9,1550.0,6.5,776966,668939,691723,702616,676059,683002,681297,656775,657656,53.98,0.169,0.171,0.0,1.0,0,0,3.0,11,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,254.0,0.024,-0.229,66.8,7.8,0.272,0.229,89.9,0,0,0.526,0.474,31,26,31,26,1,0,5.0,1.0,,1.0,2.71,1.26,-1.26,23.6,9.726939630380295,19.053137874199702,27.23077696406978,56.43095705054826,15.948935787337664
FF,2025-07-26,95.5,-1.83,5.7,"Loperfido, Joey",694388,676684,single,hit_into_play,,,,,5.0,Joey Loperfido singles on a sharp line drive to center fielder Matt Vierling.,R,L,R,DET,TOR,X,8,line_drive,0,0,2025,-0.48,1.27,0.12,2.31,,,,0,8,Top,125.71,79.06,,,,,6.2083267848582055,-138.8716077794113,-6.175891201375581,-7.485475192404133,29.009296496401383,-14.584012480215092,3.48,1.62,231.0,105.1,12.0,95.8,2243.0,6.4,777003,668670,679529,650402,656716,595879,682985,663837,672761,54.14,0.903,0.897,0.9,1.0,1,0,4.0,52,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,-0.068,0.438,77.8,7.5,1.186,-0.438,105.1,0,0,0.5,0.5,30,26,30,26,1,0,6.0,1.0,2.0,1.0,1.22,0.48,-0.48,56.3,12.808540531511529,10.739582623670524,39.38907431751666,36.446659137111546,20.378195953783987
KC,2025-07-25,80.3,-2.04,5.84,"Loperfido, Joey",694388,672456,single,hit_into_play,,,,,13.0,Joey Loperfido singles on a line drive to right fielder Wenceel Pérez.,R,L,R,DET,TOR,X,9,line_drive,1,2,2025,0.85,-0.86,-0.3,1.34,,,,2,2,Top,181.63,100.69,,,,,2.248246638350155,-117.0573398487351,-1.6561948353610494,7.408938188815326,21.84981699152336,-40.03693446416174,3.49,1.64,251.0,85.4,22.0,80.4,2966.0,6.3,777016,693307,679529,650402,656716,595879,682985,678009,672761,54.24,0.42,0.384,0.9,1.0,1,0,3.0,11,4,Knuckle Curve,0,0,0,0,0,0,0,0,Strategic,Standard,49.0,-0.014,0.404,68.8,8.8,0.506,-0.404,88.0,0,0,0.54,0.46,24,26,25,26,1,0,6.0,1.0,42.0,1.0,4.38,-0.85,0.85,45.3,24.05107551251783,-6.8698890724329305,41.45944360640714,44.11069930964304,34.46046282302352
FF,2025-07-25,92.8,1.48,5.78,"Loperfido, Joey",694388,663947,single,hit_into_play,,,,,3.0,Joey Loperfido singles on a sharp line drive to right fielder Wenceel Pérez. Alejandro Kirk to 2nd.,R,L,L,DET,TOR,X,9,line_drive,0,2,2025,0.39,1.23,0.74,2.96,,,672386.0,1,5,Top,168.08,99.7,,,,,-2.7758525489058723,-135.0539928916681,-4.125751106186392,5.402152424315061,29.52079138068232,-16.378639854000596,3.49,1.64,222.0,100.2,16.0,93.1,2134.0,6.5,777016,693307,679529,650402,656716,595879,682985,678009,672761,54.04,0.537,0.562,0.9,1.0,1,0,4.0,41,3,4-Seam Fastball,1,6,6,1,6,1,6,1,Infield shade,Strategic,142.0,-0.006,0.493,71.7,7.1,0.793,-0.493,100.2,-5,5,0.056,0.944,29,26,29,26,1,2,3.0,1.0,2.0,1.0,1.41,0.39,0.39,44.8,19.60885117725809,0.5624729385863818,36.75510684160262,30.96328797593036,24.90835688628781
EP,2025-07-24,52.6,-1.56,5.99,"Loperfido, Joey",694388,668670,single,hit_into_play,,,,,5.0,Joey Loperfido singles on a sharp line drive to right fielder Jahmai Jones.,R,L,R,DET,TOR,X,9,line_drive,1,0,2025,-0.21,1.53,0.1,2.47,,,,2,9,Top,193.7,121.66,,,,,2.5838550816007686,-76.3611293708256,3.182335845488545,-1.1476470745289702,9.916650692502031,-26.870327432187565,3.49,1.64,254.0,104.2,20.0,51.1,1305.0,4.9,777021,693307,679529,690993,663837,700242,682985,672761,663330,55.61,0.569,0.751,0.9,1.0,1,0,6.0,72,2,Eephus,1,11,11,1,11,1,11,1,Infield shade,Standard,210.0,0.0,0.289,77.2,7.8,1.233,-0.289,104.2,-10,10,0.001,0.999,30,26,30,26,1,4,13.0,2.0,40.0,1.0,6.79,0.21,-0.21,44.4,31.661446716769028,-12.04295957729348,41.46020007108522,33.7688180471458,44.82735490175792
CU,2025-07-22,81.8,-1.89,6.47,"Loperfido, Joey",694388,693645,field_out,hit_into_play,,,,,5.0,Joey Loperfido flies out to left fielder Cody Bellinger.,R,L,R,TOR,NYY,X,7,fly_ball,1,2,2025,0.68,-1.19,-0.02,2.78,,,,0,4,Bot,54.18,123.73,,,,,2.9189575933772742,-118.98425521303004,0.633214105798219,5.764887013848679,25.066988425507358,-43.80927921805223,3.48,1.64,258.0,80.7,34.0,81.6,2621.0,6.4,777046,669224,700250,665862,678391,683011,641355,663757,592450,54.1,0.04,0.045,0.0,1.0,0,0,3.0,33,4,Curveball,1,3,1,3,3,1,1,3,Strategic,Standard,34.0,-0.029,-0.189,71.6,6.9,0.069,0.189,88.0,-2,-2,0.3,0.3,24,26,24,26,2,1,13.0,1.0,6.0,2.0,4.63,-0.68,0.68,48.8,8.582806027770275,16.881878174690137,37.15288439750246,39.292605443664215,19.87678388448871
