pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,94.4,-2.43,5.3,"Lowe, Josh",666139,701542,field_out,hit_into_play,,,,,13.0,Josh Lowe lines out to left fielder Jasson Domínguez.,R,L,R,NYY,TB,X,7,line_drive,3,2,2025,-0.31,1.26,-0.93,2.25,,,,2,6,Top,79.29,84.33,,,,,4.652452581843076,-137.4253954462981,-5.182856723379823,-4.922524005533098,28.29965572130249,-15.214995377902143,3.77,1.74,307.0,86.2,24.0,95.9,2604.0,7.0,776938,669224,700250,665862,641857,683011,691176,663757,641355,53.52,0.177,0.162,0.0,1.0,0,0,3.0,45,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,221.0,0.012,-0.328,69.8,7.6,0.229,0.328,88.0,-1,1,0.375,0.625,26,27,26,27,3,2,5.0,1.0,6.0,1.0,1.28,0.31,-0.31,25.6,4.563018294876821,5.737461139449264,32.99176225578161,48.136589672439285,21.38009638017256
FF,2025-07-29,95.2,-2.41,5.43,"Lowe, Josh",666139,642207,triple,hit_into_play,,,,,5.0,Josh Lowe triples (1) on a sharp line drive to right fielder Cody Bellinger.,R,L,R,NYY,TB,X,9,line_drive,2,2,2025,-1.27,1.1,0.13,3.11,,,,0,9,Top,154.09,55.41,,,,,9.714975277799246,-138.25673010197963,-2.899255476904149,-18.50037546563285,33.68781626311103,-17.700848904177885,3.77,1.73,230.0,103.0,12.0,96.9,2324.0,7.6,776949,669224,502671,665862,641857,683011,691176,663757,641355,52.91,0.943,0.931,1.6,1.0,1,2,4.0,69,5,4-Seam Fastball,7,4,4,7,4,7,4,7,Infield shade,Standard,224.0,-0.043,0.95,72.4,6.5,1.214,-0.95,103.0,3,-3,0.969,0.031,30,27,31,27,1,3,2.0,1.0,1.0,1.0,1.45,1.27,-1.27,24.7,3.0797338906861302,1.4744635823845271,33.292654436665764,35.328095077322345,24.91609705964344
FF,2025-07-28,98.3,-1.94,6.44,"Lowe, Josh",666139,693645,single,hit_into_play,,,,,1.0,Josh Lowe singles on a line drive to center fielder Trent Grisham. Yandy Díaz scores. Jonathan Aranda to 3rd.,R,L,R,NYY,TB,X,8,line_drive,0,2,2025,-0.29,1.26,-0.35,3.39,,650490.0,666018.0,1,5,Top,137.12,97.46,,,,,4.982346496767428,-142.9572791894845,-5.68503469394231,-5.156135903357057,35.494344561479025,-13.74416252303612,3.78,1.73,213.0,101.9,10.0,98.1,2338.0,6.4,776970,669224,502671,665862,641857,683011,691176,663757,641355,54.13,0.834,0.816,0.9,1.0,1,0,4.0,40,3,4-Seam Fastball,2,2,2,2,3,2,3,2,Standard,Standard,204.0,-0.164,0.564,72.8,6.8,1.04,-0.564,101.9,0,0,0.45,0.55,24,27,24,27,3,2,6.0,1.0,5.0,1.0,1.11,0.29,-0.29,43.0,5.480784651273365,1.784890572504574,24.98976318005146,41.198657319764685,24.331335782188805
CH,2025-07-28,89.3,-2.65,6.24,"Lowe, Josh",666139,664141,field_out,hit_into_play,,,,,13.0,Josh Lowe lines out to left fielder Cody Bellinger.,R,L,R,NYY,TB,X,7,line_drive,1,1,2025,-1.16,0.47,-0.3,1.49,,,,1,9,Top,85.86,87.36,,,,,8.105143731484137,-129.82918616932574,-6.660807541228548,-14.71028943145367,24.3400488192188,-25.72952297669953,3.78,1.73,295.0,95.6,18.0,88.8,1854.0,5.8,776970,669224,502671,665862,641857,683011,641355,663757,642708,54.73,0.457,0.481,0.0,1.0,0,0,4.0,72,3,Changeup,2,4,4,2,4,2,4,2,Standard,Standard,243.0,0.006,-0.244,77.2,7.6,0.69,0.244,95.6,-2,2,0.078,0.922,31,27,32,27,1,4,5.0,1.0,6.0,1.0,2.37,1.16,-1.16,42.0,3.80655520953455,4.949334742171483,42.246194092230525,40.51346958737375,28.66025981130725
SL,2025-07-27,84.3,-1.59,5.03,"Lowe, Josh",666139,663903,field_out,hit_into_play,,,,,14.0,Josh Lowe flies out to center fielder TJ Friedl.,R,L,R,CIN,TB,X,8,fly_ball,1,2,2025,0.26,-0.06,0.62,1.07,,,,1,7,Top,122.7,62.71,,,,,4.673711122106538,-122.79194431534908,-2.8157463457764127,1.8492102051224568,21.443601848370925,-32.455435943421364,3.77,1.75,337.0,92.0,33.0,85.8,2498.0,6.9,776982,624431,668715,680574,669289,682829,666158,670770,641584,53.58,0.06,0.093,0.0,1.0,0,0,3.0,48,4,Slider,2,0,0,2,0,2,0,2,Infield shade,Standard,94.0,0.023,-0.18,69.7,7.9,0.177,0.18,92.0,2,-2,0.857,0.143,28,27,29,27,3,2,6.0,1.0,5.0,1.0,3.23,-0.26,0.26,24.8,11.588165434270362,-12.528774170854437,45.83457051962977,32.23887231747796,41.30058745127328
FC,2025-07-26,97.4,-0.18,6.45,"Lowe, Josh",666139,668933,single,hit_into_play,,,,,7.0,Josh Lowe singles on a line drive to left fielder Austin Hays. José Caballero scores. Jonny DeLuca to 2nd.,R,L,R,CIN,TB,X,7,line_drive,3,2,2025,0.22,0.73,-0.58,2.25,676609.0,,676356.0,1,7,Top,83.5,117.76,,,,,-1.548883681512195,-141.840830616678,-7.384732823316385,3.3000425591063265,27.56437062918064,-21.00576177600153,3.76,1.77,192.0,92.0,10.0,96.5,2704.0,5.4,777000,663886,668715,680574,682622,682829,669720,670770,641584,55.13,0.654,0.618,0.9,1.0,1,0,4.0,51,7,Cutter,2,1,1,2,2,2,2,2,Strategic,Standard,191.0,-0.136,0.48,66.9,7.2,0.731,-0.48,92.0,1,-1,0.575,0.425,27,27,27,27,1,0,1.0,1.0,3.0,1.0,1.64,-0.22,0.22,52.5,-3.326027801414124,11.778242489349664,33.589769304549804,47.38848947159191,14.766691303216913
FF,2025-07-26,97.7,-1.43,5.64,"Lowe, Josh",666139,641941,field_out,hit_into_play,,,,,11.0,Josh Lowe lines out to left fielder Austin Hays.,R,L,R,CIN,TB,X,7,line_drive,1,2,2025,-0.77,1.5,-0.92,3.18,,,,2,9,Top,53.9,104.0,,,,,3.154518339120258,-142.1423974382904,-4.534890779602474,-11.102260759777066,37.32711377401194,-11.09949422339434,3.76,1.77,295.0,90.4,23.0,97.6,2576.0,6.6,777000,663886,668715,680574,669289,682829,669720,670770,641584,53.92,0.169,0.198,0.0,1.0,0,0,3.0,75,5,4-Seam Fastball,6,2,2,6,2,6,2,6,Infield shade,Standard,208.0,0.001,-0.182,60.4,6.7,0.309,0.182,90.4,4,-4,0.999,0.001,34,27,34,27,1,1,1.0,1.0,1.0,1.0,0.92,0.77,-0.77,38.8,0.7971161214951481,15.859264203085496,27.24654045630747,48.62418378359597,15.164929630093026
FF,2025-07-23,95.1,-0.49,5.84,"Lowe, Josh",666139,673929,single,hit_into_play,,,,,7.0,Josh Lowe singles on a line drive to right fielder Mike Tauchman. Junior Caminero to 2nd.,R,L,R,TB,CWS,X,9,line_drive,2,1,2025,-0.56,1.75,-0.29,1.96,,,691406.0,0,7,Bot,156.86,124.74,,,,,1.813157113921788,-138.21666203376128,-8.470088824030054,-7.608327696895558,31.939659631130034,-8.053651617869846,3.74,1.79,203.0,84.8,14.0,95.6,2432.0,6.7,777030,691019,678246,805367,668942,695657,681460,673357,643565,53.79,0.897,0.854,0.9,1.0,1,0,4.0,61,4,4-Seam Fastball,7,5,7,5,5,7,7,5,Standard,Standard,207.0,0.02,0.434,74.5,8.1,1.047,-0.434,88.0,2,2,0.908,0.908,26,27,27,27,1,3,2.0,1.0,3.0,2.0,0.78,0.56,-0.56,50.9,16.7993503238862,-6.725206568111826,35.53562147790193,42.97960283393715,33.43501590593332
FF,2025-07-23,89.3,4.17,5.05,"Lowe, Josh",666139,685126,single,hit_into_play,,,,,14.0,Josh Lowe singles on a line drive to left fielder Brooks Baldwin. Chandler Simpson scores. Jonathan Aranda to 3rd. Junior Caminero to 2nd.,R,L,L,TB,CWS,X,7,line_drive,0,1,2025,0.94,1.21,0.34,1.21,802415.0,666018.0,691406.0,1,5,Bot,88.09,139.46,,,,,-11.49815663478597,-129.42273913165363,-6.028554235201013,12.955404573576406,25.93629158448366,-17.464345860376,3.74,1.79,179.0,84.8,11.0,90.1,2000.0,6.9,777030,691019,678246,805367,668942,695657,681460,673357,643565,53.62,0.543,0.507,0.9,1.0,1,0,4.0,45,2,4-Seam Fastball,4,4,4,4,4,5,5,4,Standard,Standard,135.0,0.11,0.496,64.9,7.1,0.61,-0.496,88.0,0,0,0.689,0.689,27,27,27,27,1,2,2.0,1.0,3.0,2.0,1.67,0.94,0.94,32.2,-8.606690374364625,3.4677600017579,43.86471465642651,34.6796721872052,21.03398808816095
FF,2025-07-21,94.4,-2.5,6.06,"Lowe, Josh",666139,680732,field_out,hit_into_play,,,,,6.0,Josh Lowe lines out to left fielder Brooks Baldwin.,R,L,R,TB,CWS,X,7,line_drive,2,1,2025,-0.71,1.51,0.37,2.64,666018.0,,691406.0,2,1,Bot,73.78,98.98,,,,,9.201183505973876,-137.1349861135691,-6.664695555121809,-10.91578212773781,29.511538218995288,-11.842615022123644,3.74,1.79,277.0,94.5,19.0,96.1,2578.0,7.3,777059,691019,678246,672820,695657,805367,681460,673357,643565,53.21,0.414,0.424,0.0,1.0,0,0,4.0,9,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,-0.047,-0.273,70.2,6.5,0.599,0.273,94.5,0,0,0.547,0.547,25,27,26,27,1,0,9.0,2.0,6.0,1.0,1.06,0.71,-0.71,41.2,-0.6119905474204507,12.068880185940378,41.96384391643942,35.26224510370188,19.9358987184568
