pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-05-26,91.7,-0.63,5.93,"Martini, Nick",605361,519151,field_out,hit_into_play,,,,,5.0,Nick Martini flies out sharply to right fielder Kyle Tucker.,R,L,R,CHC,COL,X,9,fly_ball,0,0,2025,-0.12,1.5,-0.25,2.62,,,,0,8,Top,191.05,69.36,,,,,1.224432217247907,-133.43155427182646,-5.731222017222667,-1.734208179167717,28.710017437656784,-13.236408388591682,3.5,1.66,358.0,101.1,23.0,91.7,2571.0,6.3,777757,624512,683737,663538,807713,621020,664023,691718,663656,54.23,0.546,0.808,0.0,1.0,0,0,6.0,56,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,197.0,0.036,-0.259,73.0,7.0,1.398,0.259,101.1,2,-2,0.87,0.13,36,35,37,35,1,2,3.0,1.0,1.0,1.0,1.21,0.12,-0.12,53.8,12.978807655120194,-6.444773225070357,27.42899907393611,41.9571216606773,31.382451846087505
FF,2025-05-25,94.7,-1.52,5.58,"Martini, Nick",605361,596133,field_out,hit_into_play,,,,,4.0,Nick Martini lines out to left fielder Cody Bellinger.,R,L,R,COL,NYY,X,7,line_drive,1,1,2025,-0.4,1.13,-0.41,2.42,,,,0,9,Bot,68.64,100.34,,,,,3.782825801478578,-138.0099534155636,-5.177296311508382,-5.85517743209196,26.30642461122134,-16.81101702073945,3.5,1.65,284.0,86.2,21.0,95.2,2281.0,6.2,777768,641555,502671,518934,672724,683011,641355,663757,592450,54.33,0.454,0.409,0.0,1.0,0,0,3.0,75,3,4-Seam Fastball,4,5,4,5,5,4,4,5,Infield shade,Standard,202.0,-0.086,-0.251,63.5,6.3,0.516,0.251,88.0,-1,-1,0.194,0.194,31,35,32,35,1,3,3.0,1.0,1.0,1.0,1.38,0.4,-0.4,49.1,-2.215804089822388,18.45596621497885,31.253756786543008,40.724034442587445,19.623212822580776
FF,2025-05-24,96.4,-2.72,6.03,"Martini, Nick",605361,641656,single,hit_into_play,,,,,5.0,Nick Martini singles on a line drive to left fielder Cody Bellinger. Jacob Stallings to 2nd.,R,L,R,COL,NYY,X,7,line_drive,1,0,2025,-0.62,0.89,0.15,2.28,,,607732.0,2,8,Bot,73.65,104.66,,,,,8.8937795884195,-140.15994793132157,-6.425862873742743,-9.914604594091433,26.75534851286149,-19.212854832091907,3.5,1.66,177.0,88.1,14.0,95.8,2225.0,5.6,777782,700250,641555,518934,672724,683011,641355,663757,622569,54.85,0.969,0.926,0.9,1.0,1,0,4.0,75,2,4-Seam Fastball,1,13,1,13,13,1,1,13,Infield shade,Standard,219.0,0.0,0.311,68.3,5.8,1.138,-0.311,88.1,-12,-12,0.001,0.001,30,35,30,35,1,0,3.0,1.0,4.0,1.0,1.54,0.62,-0.62,42.8,-8.360939178498022,18.096437408488605,36.27414466135272,34.0301433411109,17.78338158827296
SL,2025-05-23,83.8,4.0,2.98,"Martini, Nick",605361,657612,field_out,hit_into_play,,,,,4.0,Nick Martini lines out to center fielder Trent Grisham.,R,L,L,COL,NYY,X,8,line_drive,0,1,2025,0.34,0.11,-0.58,2.82,,,,2,6,Bot,108.4,76.48,,,,,-11.241809905259474,-121.44823013994478,5.848864505574537,5.40899440624974,22.02153698859685,-32.5091742578861,3.49,1.66,308.0,82.9,27.0,84.0,1960.0,6.5,777802,669224,502671,518934,678391,683011,691176,663757,592450,54.01,0.12,0.132,0.0,1.0,0,0,3.0,51,2,Slider,3,2,3,2,2,3,3,2,Standard,Standard,118.0,-0.01,-0.217,70.7,6.6,0.197,0.217,88.0,1,1,0.71,0.71,35,35,35,35,1,2,2.0,1.0,5.0,1.0,3.15,0.34,0.34,-22.9,8.512877713005237,2.689936402457952,22.82651075223953,46.58309846359852,26.80893742917993
FF,2025-05-21,96.4,-2.41,5.96,"Martini, Nick",605361,672578,double,hit_into_play,,,,,8.0,Nick Martini doubles (4) on a fly ball to right fielder Nick Castellanos.,R,L,R,COL,PHI,X,9,fly_ball,0,0,2025,-0.65,1.26,0.0,2.17,,,,0,9,Bot,191.47,57.46,,,,,7.898994721850847,-140.22378026370998,-7.46345175739833,-10.201760738255215,27.832559917269048,-13.989563488057785,3.48,1.66,384.0,99.5,27.0,97.3,2429.0,6.6,777823,592663,547180,624641,664761,607208,669016,679032,592206,53.94,0.483,0.805,1.25,1.0,1,1,6.0,79,1,4-Seam Fastball,3,9,3,9,9,3,3,9,Standard,Standard,219.0,0.005,0.717,73.7,7.4,1.494,-0.717,99.5,-6,-6,0.003,0.003,28,35,28,35,1,3,2.0,3.0,3.0,1.0,1.17,0.65,-0.65,34.8,12.272245120116056,-7.257225362186245,29.29955474585832,37.74001930190917,31.85027189338441
FF,2025-05-18,94.6,-2.17,6.37,"Martini, Nick",605361,656464,field_out,hit_into_play,,,,,5.0,Nick Martini flies out to left fielder Lourdes Gurriel Jr.,R,L,R,AZ,COL,X,7,fly_ball,0,0,2025,-0.93,1.42,0.0,2.85,,,,1,8,Top,62.93,74.12,,,,,7.767579178375517,-137.40630078516182,-6.6727156824280245,-13.48024961507894,31.07087665762621,-12.911799740495004,3.48,1.66,346.0,96.2,36.0,95.0,2488.0,6.7,777870,645444,647304,606466,553993,672695,666971,677950,682998,53.82,0.16,0.294,0.0,1.0,0,0,3.0,54,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,222.0,0.039,-0.254,67.2,6.3,0.573,0.254,96.2,1,-1,0.807,0.193,31,35,31,35,1,2,1.0,1.0,2.0,3.0,1.14,0.93,-0.93,37.9,10.434681473629114,4.079387633215467,27.12693962428632,37.999109586984886,22.619062223068823
CH,2025-05-17,86.4,-2.85,5.75,"Martini, Nick",605361,668678,field_out,hit_into_play,,,,,8.0,Nick Martini flies out to center fielder Alek Thomas.,R,L,R,AZ,COL,X,8,fly_ball,0,1,2025,-1.19,0.36,0.16,2.16,,671289.0,,2,3,Top,129.89,50.71,,,,,9.706502312973033,-125.46403058831412,-3.0803432494560568,-14.492973262626574,24.489218235253425,-27.91755225057369,3.48,1.66,367.0,96.2,36.0,87.4,1446.0,7.0,777887,672515,656976,691783,553993,672695,666971,677950,682998,53.53,0.16,0.294,0.0,1.0,0,0,3.0,33,2,Changeup,6,6,6,6,6,6,6,6,Standard,Standard,227.0,0.037,-0.25,71.7,7.0,0.573,0.25,96.2,0,0,0.517,0.483,29,35,30,35,2,1,6.0,4.0,6.0,1.0,2.7,1.19,-1.19,34.8,9.301394089439263,-8.22542321085373,31.909658150590182,35.91854413059804,29.12518247705233
FF,2025-05-13,97.9,-2.14,5.63,"Martini, Nick",605361,683004,field_out,hit_into_play,,,,,9.0,Nick Martini flies out to center fielder Sam Haggerty.,R,L,R,TEX,COL,X,8,fly_ball,0,2,2025,-0.81,1.32,0.82,2.19,,,,1,2,Top,133.93,107.35,,,,,9.923773280905973,-142.16274150082128,-6.855434368950787,-13.249632169670196,33.514368705942175,-12.856072824360558,3.47,1.65,232.0,79.5,52.0,98.4,2461.0,6.8,777934,641680,669394,543760,673962,677649,694671,664059,666969,53.75,0.063,0.074,0.0,1.0,0,0,3.0,14,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shade,Standard,215.0,0.016,-0.163,67.3,6.6,0.099,0.163,88.0,2,-2,0.729,0.271,25,35,25,35,1,0,5.0,1.0,5.0,4.0,1.08,0.81,-0.81,45.2,6.9512793188187,-7.86480599601374,35.305431014200074,27.03121061217984,26.61106157898378
FF,2025-05-10,93.2,-2.66,5.32,"Martini, Nick",605361,663568,double,hit_into_play,,,,,6.0,Nick Martini doubles (3) on a line drive to right fielder Jason Heyward.,R,L,R,COL,SD,X,9,line_drive,2,2,2025,-0.62,0.99,0.64,2.32,,,,1,5,Bot,203.0,120.0,,,,,9.820253699718345,-135.545553878502,-4.18244797573292,-9.606452506608331,25.522527295154585,-19.18197922434276,3.45,1.65,153.0,102.1,8.0,93.5,2275.0,6.2,777976,553869,657757,630105,592518,593428,663604,701538,518792,54.31,0.689,0.646,1.25,1.0,1,1,4.0,54,5,4-Seam Fastball,0,19,0,19,19,0,0,19,Infield shade,Standard,220.0,0.001,0.668,,,0.789,-0.668,102.1,-19,-19,0.001,0.001,28,35,28,35,2,1,6.0,1.0,6.0,2.0,1.61,0.62,-0.62,34.9,,,,,
FF,2025-05-09,91.8,-1.85,6.23,"Martini, Nick",605361,681190,field_out,hit_into_play,,,,,5.0,Nick Martini lines out sharply to center fielder Jackson Merrill.,R,L,R,COL,SD,X,8,line_drive,2,2,2025,-0.64,1.13,-0.02,2.34,,,,0,5,Bot,128.31,75.9,,,,,5.99449999142257,-133.6479697359649,-6.494795304153901,-8.883318963821475,25.122354510306145,-17.4300919444422,3.45,1.66,307.0,105.6,13.0,91.9,2280.0,6.1,777993,455117,650333,630105,592518,593428,518792,701538,665487,54.45,0.897,0.905,0.0,1.0,0,0,5.0,45,5,4-Seam Fastball,1,10,1,10,10,1,1,10,Infield shade,Standard,210.0,-0.002,-0.232,75.6,6.3,1.211,0.232,105.6,-9,-9,0.007,0.007,26,35,27,35,2,1,6.0,1.0,5.0,1.0,1.54,0.64,-0.64,40.4,2.119477310837159,9.135011574374865,31.095873920836095,37.97877540781986,23.34158947829969
