pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-06,92.4,1.13,5.1,"Mateo, Jorge",622761,676664,field_out,hit_into_play,,,,,2.0,Jorge Mateo flies out to center fielder Denzel Clarke.,R,R,L,ATH,BAL,X,8,fly_ball,1,1,2025,0.86,1.4,-0.03,2.99,,691723.0,666185.0,2,4,Top,79.86,51.35,,,,,-4.821529989460981,-134.42353325551198,-2.566596480340806,11.469865348949105,31.27762262428323,-14.882235572570195,3.51,1.66,396.0,97.0,30.0,92.3,2103.0,6.4,777613,680862,691016,649966,691777,805779,668709,672016,671732,54.12,0.274,0.476,0.0,1.0,0,0,5.0,32,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,129.0,0.055,-0.254,69.3,7.6,0.881,0.254,97.0,1,-1,0.635,0.365,29,30,29,30,2,1,5.0,1.0,5.0,93.0,1.28,0.86,-0.86,29.6,4.623329005976544,-2.7765976360988334,20.989219422642662,36.389629541190885,28.73702490191712
FF,2025-06-06,92.8,1.14,5.06,"Mateo, Jorge",622761,676664,field_out,hit_into_play,,,,,11.0,Jorge Mateo flies out to left fielder JJ Bleday.,R,R,L,ATH,BAL,X,7,fly_ball,1,2,2025,1.15,1.12,-0.33,3.83,,,,2,2,Top,91.28,76.71,,,,,-6.276494793382208,-135.0802563328142,0.1754248121685994,15.464782427843978,29.29777090659654,-18.682472218616024,3.51,1.66,316.0,90.5,44.0,92.9,2097.0,6.3,777613,680862,691016,649966,691777,805779,668709,672016,671732,54.15,0.011,0.015,0.0,1.0,0,0,3.0,12,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,127.0,0.008,-0.182,73.0,7.1,0.021,0.182,90.5,-2,2,0.323,0.677,29,30,29,30,1,0,5.0,1.0,5.0,93.0,1.52,1.15,-1.15,29.6,9.904369891237057,-7.862565655235885,12.55562779822188,32.097515093084795,29.364732509026044
FF,2025-09-07,94.2,1.09,6.04,"Mateo, Jorge",622761,676263,single,hit_into_play,,,,,2.0,Jorge Mateo singles on a sharp line drive to center fielder Justin Dean.,R,R,L,BAL,LAD,X,8,line_drive,0,1,2025,0.69,1.62,0.15,3.45,,,,2,9,Bot,143.88,79.42,,,,,-4.019033339545129,-136.92487582722103,-4.512226543323262,9.652112235701502,37.1595030912672,-11.124333778618004,3.51,1.66,228.0,100.0,12.0,93.8,2451.0,6.7,776427,666163,518692,808975,500743,605141,571771,681909,669743,53.84,0.94,0.909,0.9,1.0,1,0,4.0,75,2,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,161.0,0.009,0.369,69.8,6.9,1.154,-0.369,100.0,-3,-3,0.005,0.005,26,30,26,30,1,3,2.0,93.0,5.0,7.0,1.0,0.69,-0.69,56.9,3.11371068966802,13.33254312629358,21.834151040376938,38.65697144609539,22.32894225234599
FF,2025-09-07,97.4,1.92,5.49,"Mateo, Jorge",622761,680736,field_out,hit_into_play,,,,,2.0,Jorge Mateo flies out to center fielder Enrique Hernández.,R,R,L,BAL,LAD,X,8,fly_ball,2,2,2025,0.61,1.31,-0.15,3.15,,,691723.0,0,7,Bot,141.46,65.06,,,,,-6.819381877133338,-141.57203551776567,-3.586176695933692,9.95901945733212,39.03315646508933,-14.142328160370765,3.51,1.66,335.0,98.9,38.0,95.1,2522.0,5.5,776427,666163,518692,808975,500743,605141,624424,571771,669743,55.03,0.163,0.314,0.0,1.0,0,0,3.0,58,5,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,146.0,-0.06,-0.2,66.9,7.5,0.607,0.2,98.9,-2,-2,0.276,0.276,24,30,25,30,1,2,4.0,93.0,6.0,7.0,1.14,0.61,-0.61,36.2,18.763716812882592,1.9784161982310635,25.84578607592604,35.51310408393288,22.9373839076498
SL,2025-05-25,86.8,-1.3,5.44,"Mateo, Jorge",622761,621111,field_out,hit_into_play,,,,,2.0,Jorge Mateo lines out to right fielder Wilyer Abreu.,R,R,R,BOS,BAL,X,9,line_drive,0,1,2025,0.58,0.03,-0.09,3.16,,,,0,5,Top,190.01,117.56,,,,,1.711288283960823,-126.52489326740805,0.5857590877149246,5.953223524428624,22.57222124504718,-32.1037993479846,3.47,1.63,258.0,90.8,16.0,87.8,2477.0,6.5,777785,665966,647351,692225,691785,666152,680776,678882,677800,53.95,0.923,0.861,0.0,1.0,0,0,4.0,36,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,110.0,0.017,-0.22,70.3,6.5,1.068,0.22,90.8,-2,2,0.239,0.761,30,30,31,30,2,1,5.0,1.0,6.0,2.0,2.95,-0.58,-0.58,47.7,-2.346032884428721,24.643365487817395,23.878170773760267,36.89018627019544,18.124159620157357
ST,2025-05-25,81.5,-3.26,5.26,"Mateo, Jorge",622761,677161,field_out,hit_into_play,,,,,7.0,Jorge Mateo flies out to center fielder Ceddanne Rafaela.,R,R,R,BOS,BAL,X,8,fly_ball,0,2,2025,1.18,0.31,-0.53,1.73,,,,1,9,Top,136.63,104.23,,,,,3.900337310697802,-118.72211856072408,-1.9653290831142003,10.466426880341304,22.61711480162505,-29.06546654507833,3.47,1.63,240.0,82.9,46.0,82.5,2671.0,6.9,777785,665966,647351,692225,686765,691785,680776,678882,677800,53.58,0.02,0.025,0.0,1.0,0,0,3.0,68,3,Sweeper,0,5,5,0,5,0,5,0,Standard,Standard,76.0,0.0,-0.163,69.1,8.0,0.035,0.163,88.0,-5,5,0.006,0.994,30,30,30,30,1,3,35.0,1.0,9.0,2.0,3.11,-1.18,-1.18,33.9,4.324756630442769,-15.582342104693067,31.95579843432465,34.153450618807526,36.99671415155576
CH,2025-05-24,81.6,-1.65,5.87,"Mateo, Jorge",622761,608337,field_out,hit_into_play,,,,,2.0,Jorge Mateo lines out to left fielder Jarren Duran.,R,R,R,BOS,BAL,X,7,line_drive,2,1,2025,-1.16,0.71,0.07,3.11,,,,0,5,Top,66.34,90.79,,,,,6.178383850281091,-118.68805650445567,-0.972627938643414,-12.171379822586289,22.970941893265348,-25.48164914089218,3.48,1.63,306.0,96.5,17.0,82.6,1625.0,7.0,777790,657136,686765,692225,691785,596115,680776,678882,608701,53.49,0.526,0.541,0.0,1.0,0,0,4.0,30,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,225.0,0.03,-0.305,70.1,7.5,0.76,0.305,96.5,0,0,0.5,0.5,30,30,31,30,2,1,7.0,0.0,6.0,1.0,2.72,1.16,1.16,47.3,13.867360885757789,-7.38170450801601,13.0549641112802,36.50920643119285,39.49517192339593
EP,2025-05-23,34.3,-1.17,7.15,"Mateo, Jorge",622761,647351,double,hit_into_play,,,,,12.0,Jorge Mateo doubles (3) on a line drive to left fielder Jarren Duran.,R,R,R,BOS,BAL,X,7,line_drive,0,1,2025,0.22,1.89,0.08,4.74,,,,0,9,Top,55.1,114.17,,,,,0.9309573671876435,-47.67126340079008,12.375907480415814,0.2483904381499314,3.971436409050557,-30.573622132594387,3.48,1.64,287.0,93.7,24.0,31.6,815.0,4.5,777815,665966,657136,692225,686765,596115,680776,678882,608701,55.99,0.169,0.217,1.25,1.0,1,1,3.0,89,2,Eephus,19,3,3,19,3,19,3,19,Standard,Standard,199.0,0.0,0.756,72.6,7.9,0.35,-0.756,93.7,16,-16,0.999,0.001,28,30,29,30,1,3,,6.0,,1.0,19.49,-0.22,-0.22,71.0,25.430367475582727,-27.29235728842444,26.28756729288402,35.79260177141281,34.79639133411442
SL,2025-05-16,81.5,2.26,6.5,"Mateo, Jorge",622761,605177,single,hit_into_play,,,,,13.0,Jorge Mateo singles on a fly ball to center fielder Jacob Young.,R,R,L,BAL,WSH,X,8,fly_ball,2,2,2025,-0.09,0.04,-0.54,0.8,,,,2,5,Bot,114.32,102.02,,,,,-6.130345025556118,-118.49354541549016,-6.239344230637622,0.4191711768497673,24.215573360147083,-30.74381248795777,3.48,1.64,223.0,68.5,35.0,81.4,2476.0,6.5,777907,660688,663993,683083,677588,682928,669743,696285,686611,54.05,0.817,0.744,0.9,1.0,1,0,4.0,45,7,Slider,2,1,2,1,1,2,2,1,Standard,Standard,339.0,0.012,0.362,65.8,8.1,0.868,-0.362,88.0,1,1,0.677,0.677,35,30,35,30,1,2,1.0,6.0,2.0,1.0,3.42,-0.09,0.09,48.8,7.693502027632445,-16.68396501930586,42.445234836808936,28.41221169989793,38.67272289488175
KC,2025-05-03,82.5,1.0,6.18,"Mateo, Jorge",622761,663738,field_out,hit_into_play,,,,,7.0,Jorge Mateo flies out to center fielder Kyle Isbel.,R,R,L,BAL,KC,X,8,fly_ball,0,0,2025,-0.24,-0.1,-0.45,1.58,,,657656.0,2,7,Bot,117.28,54.88,,,,,-2.819578540671173,-120.12286904285396,-3.7809359304737633,-1.8366201181630253,22.311323345804112,-32.64688819128602,3.46,1.64,357.0,95.4,36.0,82.5,2271.0,6.2,778072,666023,686469,686681,672580,677951,663697,664728,592669,54.32,0.106,0.191,0.0,1.0,0,0,3.0,53,1,Knuckle Curve,0,2,0,2,2,0,0,2,Standard,Standard,318.0,-0.038,-0.271,73.7,8.7,0.361,0.271,95.4,-2,-2,0.168,0.168,28,30,29,30,1,2,2.0,4.0,2.0,7.0,3.43,-0.24,0.24,41.1,12.06114118180949,-18.478628794205004,40.07355227644511,29.540400050413474,33.323628250989245
