pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-29,92.6,3.31,5.85,"McCann, James",543510,676428,field_out,hit_into_play,,,,,5.0,James McCann flies out sharply to center fielder Matt Vierling.,R,R,L,DET,AZ,X,8,fly_ball,1,2,2025,1.28,0.32,0.26,2.78,,,,0,4,Top,172.75,46.4,,,,,-10.489023003984247,-134.56714920093057,-2.7451065891463284,17.679623692444913,26.67338958494702,-27.87656467867994,3.55,1.59,393.0,102.8,31.0,92.4,2079.0,6.0,776953,693307,679529,650402,690993,656716,682985,663837,672761,54.46,0.714,1.414,0.0,1.0,0,0,6.0,29,5,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,127.0,0.017,-0.189,70.6,6.4,2.748,0.189,102.8,-2,2,0.262,0.738,26,35,27,35,1,1,4.0,2.0,3.0,4.0,2.33,1.28,-1.28,28.5,8.570923321979125,10.188775004920108,33.43908397615809,37.8890459662216,33.188215661573345
CH,2025-07-26,83.8,2.89,4.94,"McCann, James",543510,571760,single,hit_into_play,,,,,14.0,James McCann singles on a fly ball to right fielder Bryan Reynolds.,R,R,L,PIT,AZ,X,9,fly_ball,1,2,2025,1.32,0.65,0.67,1.35,,,,1,5,Top,162.19,105.85,,,,,-7.732469948870997,-121.68701657591498,-3.0620174528896986,14.700112106092377,26.223662491223894,-25.350307446422363,3.56,1.59,229.0,72.8,28.0,83.4,2091.0,6.3,777002,663698,687462,678894,663647,643396,502054,665833,668804,54.15,0.78,0.703,0.9,1.0,1,0,4.0,33,4,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,111.0,-0.033,0.489,69.5,7.7,0.83,-0.489,88.0,2,-2,0.789,0.211,34,35,34,35,2,1,6.0,3.0,6.0,1.0,2.64,1.32,-1.32,27.9,18.50795538533325,0.2062426028116384,40.87476427519298,43.916450968691336,40.91025282986017
FC,2025-07-23,88.6,2.11,5.59,"McCann, James",543510,687888,field_out,hit_into_play,,,,,5.0,James McCann flies out to right fielder Cam Smith.,R,R,L,AZ,HOU,X,9,fly_ball,2,1,2025,0.11,0.69,-0.1,2.86,,,,1,7,Bot,170.48,131.03,,,,,-5.702246951783422,-129.03177675622553,-2.1569250000804314,2.3051741485333515,23.080220632328327,-24.19475060987605,3.58,1.58,203.0,75.1,57.0,90.1,2303.0,6.9,777032,673237,605170,694728,643289,670097,666211,676801,701358,53.64,0.051,0.046,0.0,1.0,0,0,3.0,56,4,Cutter,1,2,1,2,2,1,1,2,Infield shade,Standard,147.0,-0.035,-0.298,75.2,7.0,0.06,0.298,88.0,-1,-1,0.305,0.305,28,35,29,35,3,2,5.0,1.0,,3.0,2.18,0.11,-0.11,30.3,8.898130550703655,0.852559855809975,33.73921521233511,34.42058892314463,37.463415199355374
FF,2025-07-21,92.2,2.29,5.47,"McCann, James",543510,676467,single,hit_into_play,,,,,8.0,James McCann singles on a line drive to right fielder Cam Smith.,R,R,L,AZ,HOU,X,9,line_drive,0,0,2025,1.09,1.23,-0.15,2.02,,,,2,6,Bot,169.1,98.28,,,,,-8.64606650246898,-133.84951140970176,-5.623768865184326,14.970583696686614,29.61850791431438,-16.3127536312381,3.54,1.54,204.0,97.8,11.0,93.0,2048.0,6.9,777055,605170,572233,694728,643289,670097,666211,676801,701358,53.57,0.871,0.83,0.9,1.0,1,0,4.0,49,1,4-Seam Fastball,3,4,3,4,4,3,3,4,Infield shade,Standard,133.0,0.023,0.326,74.8,6.6,1.038,-0.326,97.8,-1,-1,0.319,0.319,26,35,27,35,3,2,8.0,2.0,6.0,1.0,1.47,1.09,-1.09,32.6,-2.1979867041445598,7.673740000352754,44.13790345316958,34.03439612534652,26.57812405157489
ST,2025-07-21,81.6,2.61,5.35,"McCann, James",543510,676467,single,hit_into_play,,,,,8.0,James McCann singles on a line drive to left fielder Taylor Trammell.,R,R,L,AZ,HOU,X,7,line_drive,2,2,2025,-0.8,0.3,-0.07,2.15,,,,1,4,Bot,97.85,89.9,,,,,-4.539344864236241,-118.7870145181624,-1.205507855058487,-6.753217525386378,22.51371336600361,-29.34605902372116,3.54,1.54,201.0,97.6,12.0,82.5,2716.0,6.8,777055,605170,572233,694728,643289,670097,666211,676801,701358,53.68,0.94,0.886,0.9,1.0,1,0,4.0,33,6,Sweeper,2,4,2,4,4,2,2,4,Infield shade,Standard,269.0,0.033,0.441,74.5,7.0,1.102,-0.441,97.6,-2,-2,0.271,0.271,26,35,27,35,2,1,8.0,2.0,6.0,1.0,3.12,-0.8,0.8,31.1,3.668568766356394,-2.0321916307586823,39.63672657052857,35.09471128734869,38.04452718852225
SL,2025-07-19,89.0,-1.38,6.12,"McCann, James",543510,700669,field_out,hit_into_play,,,,,5.0,James McCann lines out to center fielder Victor Scott II.,R,R,R,AZ,STL,X,8,line_drive,0,0,2025,0.03,0.09,0.06,2.63,553993.0,680728.0,,2,4,Bot,102.22,59.41,,,,,3.486915297078095,-129.6732468288017,-2.7396243394557214,-0.3709664723631735,26.49964128980226,-30.845989991521005,3.52,1.54,349.0,99.1,21.0,89.2,2343.0,6.3,777081,686780,575929,680977,571448,691026,676475,687363,691023,54.2,0.326,0.405,0.0,1.0,0,0,5.0,40,1,Slider,9,0,9,0,0,9,9,0,Standard,Standard,22.0,-0.002,-0.305,71.7,7.0,0.653,0.305,99.1,9,9,0.996,0.996,25,35,25,35,1,2,6.0,7.0,13.0,2.0,2.78,-0.03,-0.03,51.9,5.940193877491547,0.6919561546129076,35.788604448625165,36.33067616029204,35.58504477875328
FF,2025-07-05,94.3,-0.88,6.65,"McCann, James",543510,608379,single,hit_into_play,,,,,2.0,James McCann singles on a line drive to right fielder Jac Caglianone. Eugenio Suárez to 2nd.,R,R,R,AZ,KC,X,9,line_drive,1,2,2025,-0.82,1.41,0.27,3.33,,,553993.0,2,2,Bot,179.0,118.56,,,,,4.873478451406762,-137.1446375132471,-6.124152835500046,-11.475626226283762,29.66278331042048,-13.218867318079042,3.43,1.53,215.0,99.2,11.0,95.3,2086.0,6.9,777234,666023,521692,663697,672580,677951,679845,664728,695506,53.65,0.86,0.825,0.9,1.0,1,0,4.0,13,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,205.0,0.021,0.434,64.9,5.5,1.022,-0.434,99.2,0,0,0.524,0.524,33,35,34,35,1,0,5.0,2.0,6.0,2.0,1.15,0.82,0.82,56.0,-1.5119793475744745,19.105707523803,27.778581362398395,39.17114692245807,24.84670822438058
SL,2025-07-05,87.5,-0.44,6.2,"McCann, James",543510,664199,double,hit_into_play,,,,,14.0,James McCann doubles (2) on a line drive to center fielder Kyle Isbel. Lourdes Gurriel Jr. scores.,R,R,R,AZ,KC,X,8,line_drive,1,2,2025,0.39,-0.06,0.91,1.97,666971.0,,,2,7,Bot,99.98,74.87,,,,,2.4508503149255976,-127.5403263667606,-4.0057677452637686,3.836849941472507,24.621022302086377,-32.25625871983196,3.43,1.53,273.0,91.8,17.0,87.8,2354.0,6.3,777234,666023,521692,663697,672580,677951,679845,664728,695506,54.22,0.751,0.679,1.25,1.0,1,1,4.0,58,5,Slider,4,1,4,1,1,5,5,1,Standard,Standard,109.0,0.028,0.892,66.2,7.4,0.88,-0.892,91.8,3,3,0.944,0.944,32,35,32,35,1,3,2.0,2.0,6.0,2.0,3.01,-0.39,-0.39,46.4,12.265990282991066,1.1379705037152152,32.57255614886155,46.011122504638365,40.95243156260455
FF,2025-07-01,95.5,-1.58,6.41,"McCann, James",543510,806185,field_out,hit_into_play,,,,,11.0,James McCann lines out to left fielder Heliot Ramos.,R,R,R,AZ,SF,X,7,line_drive,0,0,2025,-0.56,1.52,-1.02,3.29,,545341.0,,0,4,Bot,76.15,86.44,,,,,2.7294653341181503,-138.97049078555884,-6.026420337153468,-7.810229039536156,33.120129246169185,-11.36719728871556,3.41,1.53,304.0,84.8,28.0,96.0,2335.0,6.7,777278,672275,642086,666149,527038,642715,671218,669288,573262,53.76,0.063,0.06,0.0,1.0,0,0,3.0,33,1,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Strategic,206.0,-0.028,-0.289,71.4,6.2,0.102,0.289,88.0,2,2,0.835,0.835,23,35,24,35,2,1,5.0,3.0,5.0,2.0,0.99,0.56,0.56,50.2,10.677123141228131,-0.9047550739572834,30.9478739734304,24.878410039664512,33.25755118368406
CU,2025-06-28,83.7,-1.56,5.86,"McCann, James",543510,645261,double,hit_into_play,,,,,6.0,James McCann doubles (1) on a sharp line drive to left fielder Kyle Stowers.,R,R,R,AZ,MIA,X,7,line_drive,0,1,2025,0.44,-0.15,0.32,2.41,,,,0,6,Bot,89.0,52.0,,,,,3.4313365550946093,-121.98917401070668,-1.3040897925526451,3.817175295540237,22.477214468258587,-33.610808132805865,3.42,1.53,227.0,107.2,11.0,83.3,2513.0,5.8,777318,689414,676572,669364,681393,672640,669065,667472,660821,54.68,0.926,0.94,1.25,1.0,1,1,4.0,51,2,Curveball,6,3,6,3,3,6,6,3,Standard,Standard,84.0,0.02,0.756,73.4,7.0,1.246,-0.756,107.2,3,3,0.918,0.918,29,35,30,35,3,2,6.0,3.0,6.0,3.0,3.37,-0.44,-0.44,30.3,7.988145575180503,1.3700046546657254,32.98081737498105,39.551179838595225,37.84355947150169
