pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,90.2,-2.74,3.76,"McCarthy, Jake",664983,695445,double,hit_into_play,,,,,11.0,Jake McCarthy doubles (3) on a line drive to left fielder Riley Greene.,R,L,R,DET,AZ,X,7,line_drive,2,2,2025,-0.41,0.63,-0.84,3.35,,,,1,6,Top,38.35,106.54,,,,,5.533181599240866,-131.27637365458486,3.5132538387778256,-5.828100368922183,24.88360430529333,-25.735766992432037,3.58,1.68,314.0,95.2,21.0,90.0,2458.0,5.9,776953,693307,679529,650402,628451,656716,682985,663837,672761,54.57,0.249,0.291,1.25,1.0,1,1,3.0,53,7,4-Seam Fastball,8,2,2,8,2,8,2,8,Infield shade,Standard,256.0,-0.009,0.668,65.1,6.4,0.471,-0.668,95.2,6,-6,0.983,0.017,26,27,27,28,1,2,3.0,2.0,,5.0,2.15,0.41,-0.41,-1.8,2.6271167022536703,23.842957836074227,20.673838793765977,52.49273327737714,12.42173560026741
FF,2025-07-27,98.1,-2.57,5.58,"McCarthy, Jake",664983,694973,double,hit_into_play,,,,,5.0,Jake McCarthy doubles (2) on a line drive to left fielder Tommy Pham. Eugenio Suárez to 3rd.,R,L,R,PIT,AZ,X,7,line_drive,1,1,2025,-1.1,0.85,-0.22,2.71,,,553993.0,1,4,Top,39.49,105.37,,,,,8.970075884822643,-142.54411071541293,-4.276839169529682,-17.055447736683877,32.33683813050905,-19.707535590854985,3.56,1.69,315.0,96.2,21.0,98.9,2265.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.72,0.289,0.355,1.25,1.0,1,1,3.0,29,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,241.0,-0.083,0.813,,,0.568,-0.813,96.2,3,-3,0.821,0.179,23,27,23,28,2,1,6.0,2.0,6.0,2.0,1.52,1.1,-1.1,25.1,,,,,
SI,2025-07-27,98.3,-2.73,5.56,"McCarthy, Jake",664983,694973,triple,hit_into_play,,,,,8.0,Jake McCarthy triples (2) on a sharp fly ball to center fielder Oneil Cruz.,R,L,R,PIT,AZ,X,8,fly_ball,3,2,2025,-1.43,0.48,-0.1,2.25,,,,1,2,Top,88.47,51.86,,,,,10.523129436351294,-142.7422787049589,-4.63401207076499,-21.95125560786805,32.87512534281348,-24.632426620929163,3.56,1.69,383.0,100.5,25.0,99.0,2224.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.68,0.511,0.79,1.6,1.0,1,2,6.0,9,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,244.0,-0.075,0.994,80.0,6.8,1.418,-0.994,100.5,0,0,0.523,0.477,23,27,23,28,1,0,6.0,2.0,6.0,2.0,1.88,1.43,-1.43,23.7,9.76943439239977,3.2956859866792017,32.05169920622807,41.44124873114176,26.416440011538267
FF,2025-07-25,94.2,-0.91,5.94,"McCarthy, Jake",664983,681347,single,hit_into_play,,,,,6.0,Jake McCarthy singles on a line drive to left fielder Tommy Pham. Lourdes Gurriel Jr. to 2nd.,R,L,R,PIT,AZ,X,7,line_drive,0,1,2025,-0.56,1.27,0.41,2.66,,,666971.0,1,5,Top,90.39,92.04,,,,,4.688890629051007,-137.09479275266952,-5.712162427906146,-8.057241627861984,28.254241083104755,-15.047566721148636,3.56,1.69,260.0,83.8,21.0,95.1,2238.0,6.7,777014,680779,687462,693304,663647,643396,502054,665833,668804,53.83,0.663,0.6,0.9,1.0,1,0,4.0,31,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214.0,-0.047,0.446,67.4,6.1,0.763,-0.446,88.0,0,0,0.497,0.503,25,27,26,28,2,1,6.0,5.0,5.0,2.0,1.28,0.56,-0.56,44.4,2.5424558670762365,16.40722889894989,28.818813139268045,33.90934086433145,20.600706036183087
ST,2025-07-20,80.2,-1.91,6.54,"McCarthy, Jake",664983,571945,field_out,hit_into_play,,,,,6.0,Jake McCarthy flies out to left fielder Alec Burleson.,R,L,R,AZ,STL,X,7,fly_ball,2,2,2025,0.95,-0.36,0.41,2.37,,,645444.0,2,2,Bot,95.55,96.56,,,,,3.311422434833493,-116.7330925134302,-1.8307549980918312,8.060998719549795,22.699516630214784,-35.2848830121652,3.52,1.69,267.0,83.9,43.0,79.9,2559.0,6.1,777071,650968,575929,680977,571448,691026,676475,687363,691023,54.38,0.006,0.005,0.0,1.0,0,0,3.0,19,5,Sweeper,4,0,4,0,0,4,4,0,Infield shade,Standard,37.0,-0.009,-0.216,70.6,7.2,0.008,0.216,88.0,4,4,0.877,0.877,36,27,37,28,2,1,10.0,7.0,5.0,5.0,3.91,-0.95,0.95,47.3,9.544906983225877,-5.600801906927421,37.73097080248117,37.03777746710471,33.053912713529726
SI,2025-07-10,99.1,2.41,5.94,"McCarthy, Jake",664983,670970,single,hit_into_play,,,,,3.0,Jake McCarthy singles on a fly ball to left fielder Gavin Sheets.,R,L,L,SD,AZ,X,7,fly_ball,0,1,2025,1.47,0.76,0.63,2.97,,,,1,6,Top,89.77,120.49,,,,,-8.282624518603464,-143.88301130196822,-4.385451340046575,22.44014780927857,37.92804887905836,-20.81169693242248,3.52,1.69,164.0,60.8,25.0,98.3,2446.0,6.3,777158,455117,650333,630105,578428,593428,657757,701538,665487,54.2,0.497,0.447,0.9,1.0,1,0,4.0,51,2,Sinker,4,2,2,4,2,4,2,4,Infield shade,Standard,151.0,-0.036,0.454,69.1,6.4,0.53,-0.454,88.0,2,-2,0.819,0.181,26,27,26,28,1,2,2.0,1.0,1.0,2.0,1.6,1.47,1.47,39.0,6.25432907224673,9.12562638623882,30.819875332617592,33.38363971396256,21.978208928635738
FF,2025-07-09,96.7,-1.35,6.27,"McCarthy, Jake",664983,656302,field_out,hit_into_play,,,,,12.0,Jake McCarthy flies out to center fielder Jackson Merrill.,R,L,R,SD,AZ,X,8,fly_ball,0,2,2025,-0.4,1.39,0.25,3.93,,,666971.0,2,4,Top,117.97,97.69,,,,,5.156053106053288,-140.6950197789709,-3.84720710732557,-6.5447155518842335,34.04580175674093,-13.036438856325534,3.5,1.7,256.0,79.0,38.0,96.4,2557.0,6.3,777162,455117,650333,630105,592518,593428,669369,701538,665487,54.22,0.034,0.036,0.0,1.0,0,0,3.0,25,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,196.0,0.019,-0.173,62.4,6.1,0.058,0.173,88.0,-2,2,0.281,0.719,29,27,30,28,2,1,7.0,1.0,9.0,1.0,1.06,0.4,-0.4,53.9,-1.305753767875938,2.8870708290424774,17.848893655416344,38.586839025954816,23.6409654398341
SL,2025-07-09,89.1,-1.39,6.19,"McCarthy, Jake",664983,656302,field_out,hit_into_play,,,,,6.0,Jake McCarthy flies out to right fielder Fernando Tatis Jr.,R,L,R,SD,AZ,X,9,fly_ball,2,2,2025,0.12,0.24,0.46,2.26,,,,2,2,Top,173.58,115.01,,,,,4.289315506916778,-129.60541665251762,-4.08420345055783,0.3798769850338859,28.569047461342844,-28.74695435906304,3.5,1.7,241.0,71.5,38.0,88.6,2818.0,6.1,777162,455117,650333,630105,592518,593428,669369,701538,665487,54.36,0.509,0.481,0.0,1.0,0,0,3.0,10,5,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,103.0,0.01,-0.224,60.5,7.3,0.589,0.224,88.0,0,0,0.54,0.46,29,27,30,28,1,0,7.0,1.0,9.0,1.0,2.64,-0.12,0.12,51.4,15.275126788004266,-9.943707870658042,26.777287860284183,35.29771584673642,32.147937579691146
CU,2025-07-08,78.8,-0.83,6.99,"McCarthy, Jake",664983,601713,field_out,hit_into_play,,,,,4.0,Jake McCarthy lines out sharply to center fielder Jackson Merrill.,R,L,R,SD,AZ,X,8,line_drive,1,2,2025,0.49,-1.38,-0.39,2.78,,,,0,5,Top,137.39,65.29,,,,,0.0395273294541169,-114.63200115766266,0.408350418393991,4.242613892839591,25.63877499613268,-44.47038866911214,3.5,1.69,333.0,100.4,20.0,78.8,2708.0,6.8,777185,553869,650333,630105,592518,593428,657757,701538,665487,53.71,0.363,0.453,0.0,1.0,0,0,5.0,28,5,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,21.0,0.03,-0.189,70.0,7.1,0.723,0.189,100.4,0,0,0.5,0.5,32,27,32,28,2,1,6.0,1.0,5.0,1.0,5.11,-0.49,0.49,60.9,10.816698051830212,-2.79602597099324,34.68777874615321,45.065649098615175,28.319930068342465
CH,2025-06-30,86.2,-2.23,4.8,"McCarthy, Jake",664983,657277,single,hit_into_play,,,,,13.0,Jake McCarthy singles on a line drive to right fielder Daniel Johnson.,R,L,R,AZ,SF,X,9,line_drive,2,1,2025,-0.75,-0.44,-0.28,1.16,,,,2,2,Bot,168.95,102.2,,,,,6.23745470493899,-125.50046456320676,-1.5623096610925218,-9.179548080162188,23.916237376480435,-36.78802304094405,3.43,1.68,196.0,77.9,17.0,87.4,1633.0,6.9,777291,672275,642086,666149,683766,642715,671218,808982,669288,53.62,0.957,0.88,0.9,1.0,1,0,4.0,12,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,278.0,0.013,0.289,69.8,7.8,1.029,-0.289,88.0,0,0,0.511,0.511,28,27,29,28,1,0,5.0,1.0,5.0,1.0,3.49,0.75,-0.75,18.0,9.109430254092262,-12.272115367365062,40.67783334841482,43.029699320964056,35.98729920774062
