pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-02,93.8,-1.96,5.8,"McKinney, Billy",641856,552640,field_out,hit_into_play,,,,,4.0,Billy McKinney flies out to center fielder Cedric Mullins.,R,L,R,TEX,BAL,X,8,fly_ball,0,1,2025,-1.41,0.72,-0.29,2.0,,,,1,8,Bot,111.24,84.71,,,,,7.4410969007710115,-136.17440742701925,-5.622722742823067,-19.197650584692305,33.71355626400074,-22.07740327901535,3.11,1.43,287.0,80.4,37.0,93.5,2323.0,6.5,777268,607732,656811,702616,602104,683002,681297,656775,657656,53.97,0.026,0.023,0.0,1.0,0,0,3.0,65,2,Sinker,6,0,6,0,0,6,6,0,Infield shade,Standard,215.0,0.0,-0.215,70.4,7.0,0.035,0.215,88.0,6,6,0.998,0.998,35,30,35,31,1,3,2.0,1.0,2.0,84.0,1.91,1.41,-1.41,41.0,14.754600775264947,-2.699045167588169,40.83653332250339,41.41463383371492,32.53352508852214
FF,2025-07-01,90.4,-3.89,5.38,"McKinney, Billy",641856,621199,single,hit_into_play,,,,,3.0,Billy McKinney singles on a fly ball to left fielder Colton Cowser. Jonah Heim to 2nd.,R,L,R,TEX,BAL,X,7,fly_ball,1,1,2025,-0.48,0.81,0.72,2.99,,,641680.0,2,5,Bot,86.89,107.35,,,,,12.580070886791528,-131.08242785761536,-1.6924815692935822,-8.195475312249936,28.095846782866367,-22.728306513610253,3.12,1.44,212.0,66.3,29.0,90.9,2210.0,6.8,777282,596142,656811,702616,602104,683002,681297,656775,666185,53.66,0.96,0.872,0.9,1.0,1,0,4.0,44,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,227.0,0.008,0.361,68.9,5.9,1.012,-0.361,88.0,3,3,0.881,0.881,34,30,34,31,1,2,24.0,,52.0,1.0,2.01,0.48,-0.48,33.3,4.426443819618012,14.704943658982817,36.2939660875381,29.42852039276192,21.785613037904906
FF,2025-07-01,92.6,-1.94,6.18,"McKinney, Billy",641856,656240,field_out,hit_into_play,,,,,2.0,Billy McKinney lines out sharply to center fielder Cedric Mullins.,R,L,R,TEX,BAL,X,8,line_drive,1,1,2025,-0.47,1.31,0.05,3.07,,,,0,7,Bot,146.31,69.29,,,,,6.1955304267214455,-134.73539371299316,-5.066155081714474,-7.062703777496799,27.9578565984287,-15.271366076147466,3.12,1.44,326.0,101.4,18.0,93.8,2302.0,6.9,777282,596142,656811,702616,602104,683002,681297,656775,666185,53.6,0.434,0.507,0.0,1.0,0,0,5.0,62,3,4-Seam Fastball,7,2,7,2,2,7,7,2,Infield shade,Standard,213.0,-0.002,-0.251,73.8,6.6,0.77,0.251,101.4,5,5,0.988,0.988,29,30,29,31,1,3,3.0,,4.0,1.0,1.34,0.47,-0.47,47.3,10.488290312880286,3.994205115298431,29.27214186320758,38.75391545691586,26.030647287580663
FF,2025-09-28,90.3,1.99,5.41,"McKinney, Billy",641856,663465,field_out,hit_into_play,,,,,1.0,Billy McKinney flies out to left fielder Steven Kwan.,R,L,L,CLE,TEX,X,7,fly_ball,2,2,2025,0.43,1.34,-0.73,2.9,,,,1,8,Top,85.98,75.86,,,,,-7.674841530711658,-131.3767835063626,-3.1851448740637247,6.505819549065633,24.762247594560776,-16.108758844839404,3.18,1.46,321.0,87.4,30.0,90.6,2014.0,6.2,776147,666310,678877,677587,682177,672356,680757,682657,671655,54.28,0.046,0.057,0.0,1.0,0,0,3.0,66,5,4-Seam Fastball,4,5,5,4,5,4,5,4,Infield shade,Standard,156.0,0.016,-0.228,61.1,6.6,0.091,0.228,88.0,-1,1,0.269,0.731,27,30,28,31,1,1,3.0,2.0,,,1.43,0.43,0.43,44.6,10.696011765329494,5.397474020027845,25.14858895705077,47.845405513861344,27.40787168527753
FF,2025-09-28,93.7,-0.87,6.32,"McKinney, Billy",641856,687849,field_out,hit_into_play,,,,,5.0,Billy McKinney lines out to left fielder Steven Kwan.,R,L,R,CLE,TEX,X,7,line_drive,1,1,2025,0.35,1.04,-0.24,1.99,,,,2,10,Top,71.15,85.59,,,,,0.855252712750634,-136.5772592124841,-7.883493636141435,4.235308711982118,23.928691257956217,-17.751063164680797,3.18,1.46,312.0,98.5,20.0,94.7,2814.0,6.3,776147,666310,692216,682657,682177,677587,680757,690984,671655,54.15,0.3,0.368,0.0,1.0,0,0,4.0,84,3,4-Seam Fastball,5,8,8,5,8,5,8,5,Infield shade,Standard,186.0,-0.014,-0.244,69.1,6.8,0.579,0.244,98.5,-3,3,0.103,0.897,27,30,27,31,1,2,2.0,2.0,,,1.51,-0.35,0.35,53.0,5.313853530504898,11.79761748041649,33.25403725543043,41.577345357734046,23.76331218932909
FF,2025-09-26,91.8,-2.23,4.88,"McKinney, Billy",641856,670036,single,hit_into_play,,,,,4.0,Billy McKinney singles on a sharp line drive to center fielder Daniel Schneemann.,R,L,R,CLE,TEX,X,8,line_drive,3,2,2025,-0.22,0.74,-0.37,2.09,,,,1,7,Top,148.1,75.31,,,,,5.2017297565012495,-133.61576176068888,-2.8470969636658765,-3.663724539308909,27.207789103390365,-22.9214814343597,3.18,1.46,220.0,102.0,13.0,92.5,2524.0,6.5,776175,666310,692216,677587,608070,672356,680757,682177,671655,53.96,0.897,0.88,0.9,1.0,1,0,4.0,49,8,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shade,Standard,196.0,-0.016,0.336,72.4,6.9,1.145,-0.336,102.0,-2,2,0.19,0.81,32,30,32,31,1,2,1.0,1.0,2.0,2.0,1.95,0.22,-0.22,22.9,8.805432830599546,7.745282924163127,34.39572537066624,42.52835053303912,28.40862992114593
CH,2025-09-25,82.6,-1.41,5.82,"McKinney, Billy",641856,641927,field_out,hit_into_play,,,,,7.0,Billy McKinney flies out to left fielder Austin Martin.,R,L,R,TEX,MIN,X,7,fly_ball,3,1,2025,-1.56,0.37,-0.69,1.96,,,696030.0,2,2,Bot,77.14,88.57,,,,,4.768780041729303,-120.21423493849768,-3.0101878035134,-16.067163268774035,25.349155831030288,-28.152194647454813,3.16,1.46,299.0,94.2,47.0,83.4,2098.0,7.0,776183,543877,666397,665019,668904,686797,668885,621439,676812,53.48,0.003,0.003,0.0,1.0,0,0,3.0,14,5,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,250.0,-0.025,-0.389,66.0,7.4,0.003,0.389,94.2,-1,-1,0.408,0.408,29,30,30,31,1,0,5.0,1.0,,1.0,2.99,1.56,-1.56,29.5,32.62389656179854,9.082446067869965,23.695420528530622,45.51672359892838,30.584306699908435
CH,2025-09-25,80.2,-0.84,5.93,"McKinney, Billy",641856,701487,double,hit_into_play,,,,,5.0,"Billy McKinney doubles (1) on a line drive to left fielder Austin Martin, deflected by center fielder Byron Buxton.",R,L,R,TEX,MIN,X,8,line_drive,2,0,2025,-1.0,0.27,0.14,2.56,,,,2,8,Bot,108.94,79.65,,,,,4.085276439903861,-116.65932032309776,-1.2092099197447903,-9.944672292536003,23.661357946158084,-29.70970554772491,3.16,1.46,300.0,86.4,24.0,79.9,2207.0,6.3,776183,543877,665019,680837,668904,686797,668885,621439,681546,54.21,0.177,0.162,1.25,1.0,1,1,3.0,58,3,Changeup,0,4,0,4,4,0,0,4,Infield shade,Strategic,256.0,0.008,0.477,69.2,6.3,0.229,-0.477,88.0,-4,-4,0.017,0.017,25,30,26,31,1,2,4.0,1.0,2.0,1.0,3.3,1.0,-1.0,50.3,8.298746207063683,12.06999231530616,34.98307673991672,36.04039141573169,25.41496981389442
FF,2025-09-24,95.8,-1.02,6.15,"McKinney, Billy",641856,671737,field_out,hit_into_play,,,,,7.0,Billy McKinney flies out to left fielder Kody Clemens.,R,L,R,TEX,MIN,X,7,fly_ball,3,2,2025,-0.37,1.59,-0.4,1.72,,,,0,5,Bot,51.75,76.35,,,,,2.480257327677372,-139.22258529150164,-9.63618655579832,-5.339880760538946,32.873287170604,-9.461566581602494,3.13,1.44,353.0,97.5,31.0,95.5,2394.0,6.3,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.22,0.343,0.611,0.0,1.0,0,0,5.0,34,6,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,201.0,-0.029,-0.345,71.5,7.1,1.174,0.345,97.5,0,0,0.565,0.565,24,30,24,31,2,1,7.0,84.0,,1.0,0.91,0.37,-0.37,56.1,8.730402539121595,4.950516247057393,37.802385969699095,41.80635458047677,27.50483716023358
FF,2025-09-24,95.5,-0.98,6.21,"McKinney, Billy",641856,671737,field_out,hit_into_play,,,,,1.0,Billy McKinney flies out to center fielder James Outman.,R,L,R,TEX,MIN,X,8,fly_ball,1,1,2025,-0.35,1.63,-0.65,2.63,,,,0,3,Bot,86.28,61.89,,,,,1.6631647137920078,-138.95194713548142,-7.46803327594422,-4.953100086404517,32.22707796355188,-9.577336164062215,3.13,1.44,353.0,98.2,38.0,95.5,2392.0,6.4,776192,680777,666397,680837,668904,686797,665019,681546,663616,54.12,0.157,0.308,0.0,1.0,0,0,3.0,17,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,197.0,-0.027,-0.251,70.3,6.9,0.589,0.251,98.2,-1,-1,0.43,0.43,24,30,24,31,1,0,7.0,84.0,,1.0,0.88,0.35,-0.35,56.2,11.440636914636658,5.431562205019536,28.64540709257111,45.12609858962505,25.31164234339952
