pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-30,89.1,-0.88,6.38,"Merrill, Jackson",701538,605280,field_out,hit_into_play,,,,,13.0,Jackson Merrill lines out to center fielder Tyrone Taylor.,R,L,R,SD,NYM,X,8,line_drive,2,2,2025,-1.46,0.01,-0.99,2.46,650333.0,592518.0,,2,2,Bot,114.25,68.95,,,,,2.7825798731980047,-129.66969169193422,-3.5953731685261783,-17.079987276592345,27.617710852561597,-31.50771881075664,3.63,1.66,346.0,98.5,21.0,88.4,1170.0,5.9,776931,682626,624413,683146,677595,596019,607043,621438,643446,54.58,0.326,0.405,0.0,1.0,0,0,5.0,20,5,Changeup,2,0,2,0,0,2,2,0,Strategic,Standard,243.0,-0.039,-0.23,70.5,7.7,0.653,0.23,98.5,2,2,0.76,0.76,32,22,32,22,2,1,5.0,1.0,6.0,2.0,2.86,1.46,-1.46,48.4,8.795401465127936,10.106061949021848,32.81241706381173,46.61979609868318,25.067891544298632
FF,2025-07-30,94.2,-1.35,6.07,"Merrill, Jackson",701538,670329,sac_fly,hit_into_play,,,,,11.0,Jackson Merrill out on a sacrifice fly to center fielder Tyrone Taylor. Fernando Tatis Jr. scores. Luis Arraez to 3rd.,R,L,R,SD,NYM,X,8,fly_ball,0,0,2025,-0.91,1.74,-0.66,3.78,665487.0,650333.0,,1,8,Bot,106.11,48.65,,,,,3.779673775359464,-136.99741093944064,-3.975433794787361,-12.275864472473542,36.402370219251225,-9.7560752324057,3.63,1.66,375.0,99.9,30.0,92.7,2451.0,5.9,776931,620443,624413,683146,677595,596019,607043,621438,643446,54.61,0.56,1.044,0.0,1.0,0,0,6.0,66,1,4-Seam Fastball,4,0,4,0,0,5,5,0,Strategic,Standard,208.0,0.002,-0.194,67.3,7.1,1.989,0.194,99.9,4,4,0.994,0.994,31,22,31,22,1,4,2.0,1.0,2.0,2.0,0.87,0.91,-0.91,54.3,7.963101923831354,7.217530877557007,24.284448901652283,44.04913715020986,23.81785703114281
FF,2025-07-30,100.0,-0.28,6.61,"Merrill, Jackson",701538,592773,field_out,hit_into_play,,,,,6.0,Jackson Merrill flies out to center fielder Tyrone Taylor.,R,L,R,SD,NYM,X,8,fly_ball,1,2,2025,-0.88,1.63,0.53,2.89,,,,1,6,Bot,137.02,61.22,,,,,4.248645384490073,-145.25095624987333,-8.529220677514619,-13.425940004616145,40.431211957336,-7.303658976962661,3.63,1.66,342.0,91.6,28.0,98.3,2349.0,5.9,776931,620443,624413,683146,677595,596019,607043,621438,643446,54.63,0.097,0.13,0.0,1.0,0,0,3.0,51,4,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,205.0,-0.003,-0.18,69.2,7.0,0.215,0.18,91.6,4,4,0.952,0.952,33,22,34,22,1,3,2.0,1.0,2.0,2.0,0.69,0.88,-0.88,51.2,7.392430087261425,1.8466870744469328,39.48159511816552,28.816741344708248,26.771714765056867
ST,2025-07-29,78.7,3.7,5.24,"Merrill, Jackson",701538,640455,field_out,hit_into_play,,,,,2.0,Jackson Merrill flies out to right fielder Jeff McNeil.,R,L,L,SD,NYM,X,9,fly_ball,0,0,2025,-0.48,0.63,0.17,3.18,,,,0,4,Bot,144.78,90.3,,,,,-6.774315323330395,-114.4059581259151,1.2667787796092158,-2.8453539359355564,23.137830231919256,-27.15843353737549,3.62,1.66,275.0,95.7,49.0,78.6,2245.0,6.5,776947,620443,624413,683146,677595,596019,607043,621438,643446,54.0,0.003,0.005,0.0,1.0,0,0,3.0,29,1,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,256.0,-0.02,-0.259,72.1,7.3,0.009,0.259,95.7,1,1,0.69,0.69,33,22,33,22,2,1,6.0,1.0,6.0,1.0,3.08,-0.48,-0.48,17.1,13.90204556388526,-6.884742173353584,32.93452171276106,34.649256998412746,35.629274651613926
ST,2025-07-29,79.4,3.57,5.33,"Merrill, Jackson",701538,640455,single,hit_into_play,,,,,7.0,Jackson Merrill singles on a line drive to right fielder Juan Soto. Fernando Tatis Jr. scores.,R,L,L,SD,NYM,X,9,line_drive,0,0,2025,-1.23,0.41,-0.48,2.21,665487.0,,,2,1,Bot,160.31,112.08,,,,,-6.5524391797392,-115.32844169020191,-0.65026455976289,-9.347827334503998,25.878729180347623,-28.69608478557749,3.62,1.66,194.0,69.9,21.0,78.6,2271.0,6.3,776947,620443,624413,683146,677595,596019,607043,643446,665742,54.18,0.96,0.874,0.9,1.0,1,0,4.0,7,1,Sweeper,0,0,0,0,0,1,1,0,Standard,Standard,284.0,0.092,0.729,66.9,8.1,1.012,-0.729,88.0,0,0,0.536,0.536,33,22,33,22,1,0,6.0,1.0,6.0,1.0,3.28,-1.23,-1.23,19.3,18.5194921355638,-20.62571387709525,31.05677867556792,41.79639588673105,46.78953495789079
FF,2025-07-29,92.2,-0.52,6.29,"Merrill, Jackson",701538,606965,field_out,hit_into_play,,,,,9.0,Jackson Merrill flies out sharply to center fielder Jeff McNeil.,R,L,R,SD,NYM,X,8,fly_ball,1,0,2025,-1.08,1.45,0.66,2.25,,,,2,7,Bot,144.09,44.08,,,,,5.326540579611891,-133.93934052795754,-7.528646407778935,-14.14126949041653,30.539436394864246,-13.272423134056504,3.62,1.66,385.0,103.4,30.0,91.7,2396.0,6.2,776947,620443,624413,683146,677595,596019,607043,643446,516782,54.28,0.754,1.478,0.0,1.0,0,0,6.0,60,2,4-Seam Fastball,7,1,7,1,1,7,7,1,Infield shade,Standard,218.0,0.0,-0.298,75.1,7.2,2.866,0.298,103.4,6,6,0.993,0.993,34,22,35,22,1,3,8.0,1.0,32.0,1.0,1.25,1.08,-1.08,37.8,2.429754040503186,-7.892600955650073,44.79407977893656,28.359245776532,28.57921308332431
FF,2025-07-28,95.4,-0.84,6.11,"Merrill, Jackson",701538,593423,single,hit_into_play,,,,,8.0,Jackson Merrill singles on a sharp line drive to right fielder Juan Soto.,R,L,R,SD,NYM,X,9,line_drive,2,2,2025,-0.61,1.5,-0.12,1.95,,,,0,2,Bot,155.03,113.3,,,,,3.2236660911533503,-138.56908503852262,-8.506090974714969,-8.552722066056727,36.31149508628223,-11.075322335890936,3.6,1.65,228.0,109.4,14.0,93.8,2349.0,5.8,776959,682626,624413,683146,677595,596019,607043,643446,665742,54.66,0.763,0.828,0.9,1.0,1,0,5.0,13,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,211.0,0.041,0.465,74.7,8.0,1.189,-0.465,109.4,-1,-1,0.437,0.437,32,22,32,22,1,0,6.0,1.0,6.0,1.0,1.05,0.61,-0.61,44.2,11.031160994997792,3.50647313381585,42.67992738883144,36.70798695541901,28.195005731548207
FF,2025-07-28,99.0,-0.34,6.56,"Merrill, Jackson",701538,592773,field_out,hit_into_play,,,,,8.0,Jackson Merrill flies out to left fielder Brandon Nimmo.,R,L,R,SD,NYM,X,7,fly_ball,0,1,2025,-0.83,1.67,0.22,1.76,,,,2,8,Bot,47.4,100.85,,,,,3.438872968734734,-143.67739892597925,-11.384064525120891,-12.330512540962571,37.29880102093136,-6.461610097961424,3.6,1.65,310.0,93.1,38.0,97.6,2342.0,5.9,776959,682626,624413,683146,677595,596019,607043,643446,665742,54.59,0.034,0.054,0.0,1.0,0,0,3.0,74,2,4-Seam Fastball,6,5,6,5,5,6,6,5,Strategic,Standard,211.0,-0.007,-0.217,68.1,7.9,0.1,0.217,93.1,1,1,0.849,0.849,33,22,34,22,1,4,2.0,1.0,2.0,1.0,0.69,0.83,-0.83,49.9,2.744557088696632,-2.217991292633464,45.164377691952325,33.82755866386417,26.071331083686104
FC,2025-07-27,86.8,-2.36,5.8,"Merrill, Jackson",701538,700241,field_out,hit_into_play,,,,,2.0,Jackson Merrill flies out to left fielder Alec Burleson.,R,L,R,STL,SD,X,7,fly_ball,3,1,2025,0.23,0.51,0.18,3.69,,592518.0,,2,4,Top,48.95,125.6,,,,,5.643266142917938,-126.41181081899369,0.0365935857550162,1.413098494203863,23.515653578705685,-26.841445611180973,3.6,1.65,263.0,90.2,51.0,87.6,2231.0,6.5,776980,686780,575929,680977,571448,691026,676475,687363,691023,53.98,0.011,0.013,0.0,1.0,0,0,3.0,34,5,Cutter,0,7,7,0,7,0,7,0,Standard,Standard,184.0,0.003,-0.34,69.3,6.6,0.018,0.34,90.2,-7,7,0.027,0.973,24,22,25,22,3,2,6.0,1.0,6.0,1.0,2.49,-0.23,0.23,30.9,7.505461370541484,13.228262777543364,27.603622952285814,35.37577566100374,21.02772808142847
FF,2025-07-27,93.7,-2.37,5.75,"Merrill, Jackson",701538,700241,field_out,hit_into_play,,,,,6.0,Jackson Merrill flies out to left fielder Alec Burleson.,R,L,R,STL,SD,X,7,fly_ball,1,0,2025,-0.81,0.92,0.4,2.35,,592518.0,,0,1,Top,67.1,94.45,,,,,9.063013278511336,-136.22662755076837,-5.20268718671246,-11.946924376141268,25.954695581499937,-19.76142745720292,3.6,1.65,298.0,89.9,41.0,95.3,2184.0,7.0,776980,686780,575929,680977,571448,691026,676475,687363,691023,53.52,0.014,0.023,0.0,1.0,0,0,3.0,4,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,226.0,0.031,-0.321,74.3,7.3,0.037,0.321,89.9,-2,2,0.26,0.74,24,22,25,22,1,0,6.0,1.0,6.0,1.0,1.65,0.81,-0.81,31.7,3.6339420737487336,0.9973539081443954,43.49888432045044,31.323553889204824,24.890199495629567
