pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2025-09-14,80.3,-2.23,5.96,"Mesa Jr., Victor",683748,672456,field_out,hit_into_play,,,,,4.0,Victor Mesa Jr. flies out to left fielder Kerry Carpenter.,R,L,R,MIA,DET,X,7,fly_ball,3,2,2025,0.94,-0.99,-0.81,2.48,,,,1,5,Bot,62.33,83.89,,,,,1.3639134498612429,-116.84580972976698,0.9358408377770162,8.225090148311452,24.70831681437433,-41.56919560190304,3.54,1.63,325.0,97.2,37.0,79.7,2864.0,6.2,776332,693307,679529,650402,690993,656716,681481,678009,672761,54.32,0.163,0.312,0.0,1.0,0,0,3.0,36,9,Knuckle Curve,0,2,0,2,2,0,0,2,Infield shade,Standard,42.0,-0.021,-0.333,72.7,7.5,0.594,0.333,97.2,-2,-2,0.246,0.246,24,23,25,24,2,1,3.0,1.0,6.0,,4.56,-0.94,0.94,49.7,4.016173804540079,8.631964325343986,25.193125694551856,44.34589570780447,26.79477658294835
KC,2025-09-14,80.6,-2.52,5.87,"Mesa Jr., Victor",683748,672456,field_out,hit_into_play,,,,,8.0,Victor Mesa Jr. lines out sharply to right fielder Wenceel Pérez.,R,L,R,MIA,DET,X,9,line_drive,0,2,2025,1.33,-0.42,-0.02,1.53,,,,0,3,Bot,172.72,89.71,,,,,3.01154493477064,-117.392795164843,-2.127749005322464,11.610150287493916,24.53520682192411,-35.79340002270628,3.54,1.63,295.0,105.3,17.0,80.2,2885.0,6.2,776332,693307,679529,650402,690993,656716,681481,678009,672761,54.28,0.54,0.664,0.0,1.0,0,0,5.0,21,3,Knuckle Curve,0,2,0,2,2,0,0,2,Infield shade,Standard,42.0,-0.026,-0.165,74.8,8.2,1.039,0.165,105.3,-2,-2,0.317,0.317,24,23,25,24,1,0,3.0,1.0,6.0,,3.95,-1.33,1.33,47.7,14.052375898379532,-5.170545928382114,33.89932162618145,36.17334739393668,33.91315792033027
CH,2025-09-14,85.8,-2.43,5.57,"Mesa Jr., Victor",683748,592454,field_out,hit_into_play,,,,,7.0,Victor Mesa Jr. lines out to right fielder Wenceel Pérez. Eric Wagaman to 3rd.,R,L,R,MIA,DET,X,9,line_drive,1,2,2025,-1.09,0.07,-0.3,1.84,,676572.0,681715.0,1,7,Bot,192.23,98.3,,,,,7.318102833166034,-124.66904885711332,-2.6564210878364465,-12.878496210166285,26.87361284093634,-31.07964015822587,3.54,1.63,298.0,87.2,23.0,86.3,1116.0,6.9,776332,693307,679529,650402,690993,656716,681481,678009,672761,53.63,0.214,0.205,0.0,1.0,0,0,3.0,52,4,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,252.0,-0.073,-0.171,73.9,8.1,0.29,0.171,88.0,-2,-2,0.283,0.283,35,23,36,24,1,2,1.0,1.0,3.0,,3.05,1.09,-1.09,31.4,10.848174287493428,-12.305763683995607,30.80182300229776,37.79643705032498,35.77729897370026
SL,2025-09-13,88.4,-2.06,5.62,"Mesa Jr., Victor",683748,676684,field_out,hit_into_play,,,,,7.0,Victor Mesa Jr. lines out sharply to left fielder Riley Greene.,R,L,R,MIA,DET,X,7,line_drive,1,1,2025,0.26,-0.07,-0.57,1.81,,,,2,9,Bot,63.79,73.3,,,,,3.0768895474062776,-128.6677810407118,-3.0542053782217744,2.182946331727198,27.30569740968396,-32.499391707085884,3.32,1.51,347.0,102.3,20.0,88.0,2732.0,6.1,776347,693307,679529,650402,690993,700242,682985,678009,672761,54.42,0.503,0.639,0.0,1.0,0,0,5.0,72,3,Slider,3,3,3,3,3,3,3,3,Standard,Standard,42.0,-0.033,-0.244,74.8,7.7,1.034,0.244,102.3,0,0,0.533,0.533,30,23,30,24,1,3,6.0,3.0,1.0,1.0,2.99,-0.26,0.26,48.3,-2.2536390287910337,9.082841129766916,30.217949050503385,42.41903411459781,23.53879719743273
FF,2025-09-10,92.2,-2.27,5.6,"Mesa Jr., Victor",683748,663623,field_out,hit_into_play,,,,,11.0,Victor Mesa Jr. lines out to center fielder Robert Hassell III.,R,L,R,MIA,WSH,X,8,line_drive,2,2,2025,-0.99,1.27,-0.98,3.07,681715.0,,,2,5,Bot,111.94,78.42,,,,,5.530849567669354,-134.18423373884275,-3.42034870137904,-13.120356656262764,29.506247985266967,-16.310381596265195,3.32,1.51,347.0,98.0,18.0,93.8,2369.0,7.3,776386,595751,605137,671277,691781,682928,695734,690987,686611,53.22,0.403,0.441,0.0,1.0,0,0,4.0,35,7,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,226.0,-0.057,-0.196,68.3,7.8,0.65,0.196,98.0,-1,-1,0.39,0.39,28,23,28,24,2,1,5.0,1.0,6.0,3.0,1.41,0.99,-0.99,27.0,7.61573120609528,12.622799838303113,18.38776945952173,50.08893922596995,19.450334129622668
SL,2025-09-10,88.8,-1.36,5.99,"Mesa Jr., Victor",683748,690925,field_out,hit_into_play,,,,,14.0,Victor Mesa Jr. flies out sharply to right fielder Dylan Crews.,R,L,R,MIA,WSH,X,9,fly_ball,2,1,2025,0.46,-0.12,0.17,1.35,,676572.0,681715.0,2,6,Bot,163.54,46.25,,,,,2.739049899037412,-129.27630538756276,-5.007400494447717,4.632084451436621,27.11650105825969,-32.66217759381871,3.32,1.51,388.0,103.1,30.0,87.8,2624.0,5.6,776386,595751,605137,671277,691781,682928,695734,690987,686611,54.87,0.754,1.478,0.0,1.0,0,0,6.0,51,4,Slider,4,3,4,3,3,4,4,3,Standard,Standard,27.0,-0.04,-0.283,74.9,8.6,2.866,0.283,103.1,1,1,0.74,0.74,26,23,27,24,1,2,3.0,1.0,2.0,3.0,3.01,-0.46,0.46,49.2,9.419519137291392,-11.883366425390776,36.12244393417221,36.88299751513803,31.87533083023706
SI,2025-09-09,94.7,-2.14,5.21,"Mesa Jr., Victor",683748,669371,double,hit_into_play,,,,,2.0,Victor Mesa Jr. doubles (2) on a fly ball to left fielder James Wood. Heriberto Hernández scores. Liam Hicks scores.,R,L,R,MIA,WSH,X,7,fly_ball,0,1,2025,-1.6,0.77,-0.19,2.84,681715.0,689414.0,,2,9,Bot,35.75,111.88,,,,,8.693737706771586,-137.61706025784198,-2.184027616745193,-22.2415208965292,32.86371405446338,-22.08010795549421,3.32,1.51,309.0,91.4,42.0,94.8,2525.0,6.6,776397,595751,605137,671277,691781,682928,695578,696285,686611,53.93,0.011,0.02,1.25,1.0,1,1,3.0,77,2,Sinker,2,7,2,7,7,4,4,7,Standard,Standard,232.0,0.01,0.898,71.3,7.1,0.036,-0.898,91.4,-5,-5,0.006,0.006,25,23,26,24,1,0,3.0,1.0,2.0,1.0,1.79,1.6,-1.6,20.7,3.67464718315648,11.113797864604717,24.10108622292581,40.86904463839608,20.923325813806056
KC,2025-09-08,84.6,-2.58,6.14,"Mesa Jr., Victor",683748,676917,double,hit_into_play,,,,,8.0,Victor Mesa Jr. doubles (1) on a sharp line drive to right fielder Dylan Crews.,R,L,R,MIA,WSH,X,9,line_drive,0,0,2025,0.43,-1.04,-0.2,1.88,,,,1,5,Bot,175.27,50.47,,,,,4.7336472063755215,-123.1723828026822,-1.4844386415966626,3.351899273865034,26.585823507473744,-42.5767362217729,3.32,1.51,355.0,104.8,16.0,85.1,2249.0,6.8,776409,656180,605137,671277,657557,682928,695578,690987,686611,53.69,0.609,0.693,1.25,1.0,1,1,5.0,45,1,Knuckle Curve,1,8,1,8,8,1,1,8,Standard,Standard,33.0,0.008,0.642,77.1,8.2,1.048,-0.642,104.8,-7,-7,0.017,0.017,26,23,27,24,2,1,6.0,1.0,6.0,1.0,4.24,-0.43,0.43,42.5,6.01856835640782,-4.047875600534069,28.11509539608777,40.70539483250375,31.678674112848544
FS,2025-09-07,85.6,-2.06,6.23,"Mesa Jr., Victor",683748,592836,field_out,hit_into_play,,,,,13.0,Victor Mesa Jr. flies out to center fielder Brandon Marsh.,R,L,R,MIA,PHI,X,8,fly_ball,0,2,2025,-0.58,0.26,-0.91,1.96,,687859.0,,1,6,Bot,135.54,76.0,,,,,3.848710232847437,-124.6635589086988,-4.316242829132542,-6.854384929503993,24.460640755364164,-28.81121302197607,3.32,1.51,321.0,95.0,16.0,85.1,1260.0,5.9,776426,665561,547180,681082,664761,607208,596146,669016,592206,54.61,0.654,0.626,0.0,1.0,0,0,4.0,51,4,Split-Finger,4,3,4,3,3,4,4,3,Standard,Standard,229.0,-0.032,-0.172,73.1,8.4,0.83,0.172,95.0,1,1,0.765,0.765,32,23,33,24,3,2,6.0,2.0,6.0,1.0,2.84,0.58,-0.58,37.0,15.175805943858938,-0.098387618640496,24.09897745999309,47.47493888586261,25.96475516140801
SL,2025-09-05,89.2,1.84,6.02,"Mesa Jr., Victor",683748,641835,field_out,hit_into_play,,,,,7.0,Victor Mesa Jr. flies out to left fielder Brandon Marsh.,R,L,L,MIA,PHI,X,7,fly_ball,0,2,2025,-0.06,0.28,-0.67,1.9,,,,2,9,Bot,77.95,116.42,,,,,-6.134548657974688,-129.73828635289695,-4.67198239642191,0.7881656048553126,30.19452154154461,-28.16227439897034,3.32,1.51,239.0,81.3,45.0,89.9,2271.0,7.0,776456,665561,642215,681082,664761,624641,669016,664056,596146,53.51,0.017,0.015,0.0,1.0,0,0,3.0,81,3,Slider,3,9,3,9,9,3,3,9,Standard,Standard,267.0,-0.001,-0.16,65.3,8.2,0.021,0.16,88.0,-6,-6,0.001,0.001,33,23,33,24,1,3,4.0,3.0,2.0,2.0,2.61,-0.06,-0.06,38.7,5.88357691268643,2.6681366337587726,25.85544548343449,47.66253987803165,26.518803956267877
