pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,93.0,-1.35,6.04,"Millas, Drew",686452,593576,single,hit_into_play,,,,,9.0,Drew Millas singles on a sharp line drive to right fielder Cam Smith. Daylen Lile to 2nd.,R,L,R,HOU,WSH,X,9,line_drive,1,1,2025,-0.78,1.36,0.36,1.7,,,695734.0,2,7,Top,170.58,90.64,,,,,6.053058457182623,-135.00981890046253,-8.217191622254196,-10.90409178702184,31.928906884421203,-13.880087174728295,3.47,1.6,241.0,100.8,13.0,92.2,2393.0,6.1,776937,673237,605170,514888,643289,670097,669450,676801,701358,54.35,0.914,0.883,0.9,1.0,1,0,4.0,56,3,4-Seam Fastball,9,1,1,9,1,9,1,9,Infield shade,Standard,220.0,-0.001,0.361,71.9,7.5,1.123,-0.361,100.8,8,-8,0.998,0.002,36,27,36,27,1,2,4.0,4.0,3.0,4.0,1.31,0.78,-0.78,36.0,2.153865447360477,-9.928487035350058,41.773213119718335,30.75341083803908,26.78383007303976
FF,2025-07-26,91.8,-2.5,4.77,"Millas, Drew",686452,657746,single,hit_into_play,,,,,2.0,Drew Millas singles on a sharp line drive to center fielder Byron Buxton. Daylen Lile to 2nd.,R,L,R,MIN,WSH,X,8,line_drive,0,0,2025,-1.11,1.02,-0.15,3.36,,,695734.0,0,5,Top,125.77,75.02,,,,,8.386502390053042,-133.38886050805357,0.1328247585775094,-15.069477508069909,30.426887378052744,-20.3414832985252,3.47,1.6,272.0,100.5,14.0,92.0,2380.0,6.6,776997,543877,664034,686797,668904,621043,664056,621439,650489,53.9,0.846,0.836,0.9,1.0,1,0,4.0,33,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,224.0,-0.037,0.47,68.2,6.1,1.102,-0.47,100.5,-2,2,0.213,0.787,29,27,29,27,2,1,6.0,3.0,6.0,4.0,1.71,1.11,-1.11,22.7,5.601721929309172,10.985840712586343,21.694190809491843,35.28466672552845,23.170223160941248
FF,2025-07-23,93.7,3.7,5.46,"Millas, Drew",686452,666157,field_out,hit_into_play,,,,,6.0,Drew Millas flies out to right fielder Jake Fraley.,R,R,L,WSH,CIN,X,9,fly_ball,2,1,2025,1.37,0.67,0.54,2.55,,,,2,5,Bot,180.89,131.41,,,,,-11.198320872790186,-136.01323465697442,-3.265508445696091,19.330972801036843,27.070699993164983,-23.312362026706424,3.48,1.61,217.0,86.4,54.0,94.0,2211.0,6.4,777026,624431,669289,666158,682622,682829,666181,670770,641584,54.1,0.017,0.015,0.0,1.0,0,0,3.0,37,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,119.0,-0.016,-0.297,71.7,6.7,0.017,0.297,88.0,-1,-1,0.349,0.349,27,27,27,27,2,1,5.0,4.0,6.0,3.0,1.92,1.37,-1.37,15.7,9.136376028583935,1.562497451331725,34.577637174350194,35.89082377831962,30.130572127705403
SI,2025-07-19,93.3,-2.22,5.55,"Millas, Drew",686452,506433,single,hit_into_play,,,,,4.0,Drew Millas singles on a line drive to right fielder Fernando Tatis Jr. Brady House scores. Daylen Lile scores.,R,L,R,WSH,SD,X,9,line_drive,1,1,2025,-1.37,0.67,-0.29,2.51,691781.0,695734.0,,2,2,Bot,157.66,82.12,,,,,8.047773320004227,-135.69845688071993,-3.574190862472661,-18.74386783850021,29.343527902666533,-23.281021969815804,3.49,1.61,270.0,90.4,16.0,94.0,2321.0,6.7,777091,455117,650333,630105,578428,593428,657757,701538,665487,53.8,0.914,0.85,0.9,1.0,1,0,4.0,14,3,Sinker,0,0,0,0,0,2,2,0,Infield shade,Standard,216.0,0.177,0.773,70.9,6.8,1.047,-0.773,90.4,0,0,0.56,0.56,38,27,39,27,1,0,7.0,9.0,5.0,4.0,1.95,1.37,-1.37,34.7,6.883373397196356,-11.493195561762404,31.78038779859824,36.15198686028533,29.13580772319633
FF,2025-06-29,95.5,-2.72,5.7,"Millas, Drew",686452,641401,double,hit_into_play,,,,,4.0,Drew Millas doubles (1) on a line drive to left fielder Taylor Ward. Brady House scores. Daylen Lile to 3rd.,R,L,R,LAA,WSH,X,7,line_drive,1,2,2025,-0.99,1.13,-0.76,2.87,691781.0,,695734.0,0,11,Top,48.3,129.01,,,,,7.47617451986481,-138.8776594287711,-4.39952826918897,-14.56830084104361,32.45861469538851,-16.712432048732442,3.5,1.63,154.0,93.2,6.0,96.4,2147.0,7.0,777305,681351,694384,695681,650859,687263,621493,666176,664774,53.54,0.514,0.49,1.25,1.0,1,1,4.0,86,5,4-Seam Fastball,4,4,4,4,5,4,5,4,Standard,Standard,220.0,-0.153,0.734,62.3,6.0,0.594,-0.734,93.2,0,0,0.33,0.67,30,27,30,27,1,4,2.0,,6.0,3.0,1.38,0.99,-0.99,29.5,-12.313825568447449,21.135744967638548,28.27071321005035,42.228378473427966,8.728794725558853
FC,2025-06-29,91.1,-1.37,6.23,"Millas, Drew",686452,666171,field_out,hit_into_play,,,,,3.0,Drew Millas flies out to center fielder Jo Adell.,R,L,R,LAA,WSH,X,8,fly_ball,0,0,2025,0.37,0.25,0.58,2.96,,,,1,7,Top,125.86,92.34,,,,,4.1128892586343415,-132.5904230121019,-2.83256149772159,3.347975320200941,30.993504907357444,-28.760960905063072,3.5,1.63,268.0,75.3,33.0,91.1,2256.0,6.5,777305,681351,694384,695681,650859,621028,621493,666176,664774,54.0,0.189,0.17,0.0,1.0,0,0,3.0,53,1,Cutter,3,2,2,3,2,3,2,3,Infield shade,Standard,166.0,0.031,-0.254,67.1,6.3,0.21,0.254,88.0,1,-1,0.743,0.257,27,27,27,27,1,2,1.0,,3.0,3.0,2.51,-0.37,0.37,45.4,-0.7297953721642347,-0.4962295545771586,28.61646258104856,27.852093447210244,26.1123268607394
FC,2025-08-27,93.9,1.4,6.01,"Millas, Drew",686452,608331,field_out,hit_into_play,,,,,7.0,Drew Millas lines out to center fielder Trent Grisham.,R,R,L,NYY,WSH,X,8,line_drive,1,1,2025,-0.12,0.64,-0.31,1.64,,,,0,3,Top,115.38,85.09,,,,,-4.146232744467373,-136.72142918744314,-7.036105613472785,-0.6779721967613289,28.173330058415477,-22.89960707164623,3.51,1.61,286.0,88.3,18.0,94.2,2302.0,6.3,776570,669224,700250,665862,641857,683011,691176,663757,641355,54.22,0.726,0.677,0.0,1.0,0,0,4.0,17,3,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,150.0,0.026,-0.251,71.4,7.3,0.841,0.251,88.3,1,-1,0.617,0.383,31,27,31,27,1,0,5.0,4.0,6.0,,1.93,-0.12,0.12,42.3,-0.0998811620502661,-1.1006340635436702,46.90617090623256,27.57175125022768,27.11969016366278
ST,2025-08-20,77.9,-2.04,6.0,"Millas, Drew",686452,673540,triple,hit_into_play,,,,,5.0,Drew Millas triples (1) on a line drive to right fielder Juan Soto. Dylan Crews scores.,R,L,R,WSH,NYM,X,9,line_drive,0,1,2025,1.1,-0.2,-0.1,2.21,,686611.0,,1,4,Bot,223.0,109.0,,,,,2.1527565762954235,-113.38706079298076,-0.7836524622131983,8.9098758742549,23.847610139171564,-33.92617973668151,3.51,1.61,134.0,90.8,9.0,77.4,2555.0,6.3,776659,620443,624413,643446,683146,596019,516782,656775,665742,54.21,0.54,0.491,1.6,1.0,1,2,4.0,30,2,Sweeper,3,0,3,0,0,4,4,0,Standard,Strategic,37.0,0.058,1.08,70.6,7.7,0.585,-1.08,90.8,3,3,0.878,0.878,32,27,32,27,2,1,6.0,3.0,5.0,3.0,4.0,-1.1,1.1,47.4,21.88540207180101,-16.329647053711188,35.18296694576369,34.75648559579239,35.229879391480786
FF,2025-08-17,92.4,-1.75,5.21,"Millas, Drew",686452,605400,field_out,hit_into_play,,,,,11.0,Drew Millas flies out to left fielder Weston Wilson.,R,L,R,WSH,PHI,X,7,fly_ball,1,2,2025,-1.12,1.24,-0.35,3.94,,,,2,2,Bot,69.11,124.55,,,,,6.0840954504853935,-134.50411981388442,-0.1196355792837039,-14.888971961829238,29.67822013567536,-17.275811736417225,3.47,1.59,234.0,79.2,51.0,93.8,2476.0,7.1,776708,665561,547180,681082,664761,607208,642215,664056,592206,53.38,0.051,0.052,0.0,1.0,0,0,3.0,21,7,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,224.0,-0.004,-0.182,54.0,5.6,0.071,0.182,88.0,-6,-6,0.058,0.058,32,27,32,27,1,0,95.0,4.0,6.0,3.0,1.43,1.12,-1.12,21.6,-1.1477522950635382,13.93326913130905,19.324865020372645,37.15664537427569,18.42715006302651
FF,2025-08-17,94.4,-2.46,5.9,"Millas, Drew",686452,605452,double,hit_into_play,,,,,5.0,Drew Millas doubles (5) on a sharp line drive to right fielder Nick Castellanos.,R,L,R,WSH,PHI,X,9,line_drive,2,2,2025,-0.54,1.08,-0.16,2.67,,,,0,6,Bot,170.51,64.32,,,,,7.238575780583571,-137.38615945990747,-5.224744844946616,-8.248494273510124,26.58076931212914,-17.51599310332979,3.47,1.59,351.0,106.2,17.0,95.6,2170.0,6.7,776708,665561,547180,681082,664761,607208,642215,664056,592206,53.81,0.554,0.685,1.25,1.0,1,1,5.0,58,6,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,210.0,0.067,0.744,,,1.101,-0.744,106.2,-3,-3,0.151,0.151,32,27,32,27,1,2,4.0,4.0,3.0,3.0,1.45,0.54,-0.54,37.6,,,,,
