pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-04-23,92.9,-2.09,5.13,"Mitchell, Garrett",669003,657277,single,hit_into_play,,,,,4.0,Garrett Mitchell singles on a sharp line drive to left fielder Heliot Ramos.,R,L,R,SF,MIL,X,7,line_drive,3,2,2025,-1.39,-0.08,-0.51,2.8,,,,0,7,Top,66.17,83.88,,,,,7.158526716881045,-135.09502900926648,0.0012205603013391,-18.536723871683456,28.26457257999619,-33.374867782123665,3.59,1.67,269.0,110.1,13.0,93.9,2041.0,6.8,778198,672275,664774,683766,656305,642715,671218,808982,573262,53.71,0.817,0.829,0.9,1.0,1,0,5.0,53,8,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,245.0,-0.026,0.353,79.2,7.0,1.135,-0.353,110.1,4,-4,0.947,0.053,28,26,29,27,3,2,5.0,1.0,6.0,1.0,2.72,1.39,-1.39,23.5,4.379002879956611,16.37891874265457,28.156027833839765,41.00797168267717,21.94951843658508
SI,2025-04-23,92.7,-2.01,5.16,"Mitchell, Garrett",669003,657277,field_out,hit_into_play,,,,,5.0,Garrett Mitchell flies out to left fielder Heliot Ramos.,R,L,R,SF,MIL,X,7,fly_ball,0,1,2025,-1.31,0.08,0.16,2.92,,,,1,4,Top,53.86,96.88,,,,,8.49666553392914,-134.73878456058375,-0.0538803414786536,-17.772674585657484,30.442703404773365,-31.41978449666989,3.59,1.67,310.0,93.3,35.0,93.5,2025.0,6.9,778198,672275,664774,683766,656305,642715,671218,808982,573262,53.6,0.069,0.119,0.0,1.0,0,0,3.0,27,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,251.0,0.019,-0.215,75.6,6.9,0.226,0.215,93.3,0,0,0.527,0.473,28,26,29,27,2,1,5.0,1.0,6.0,1.0,2.59,1.31,-1.31,22.4,-0.2530245025527465,11.333805921299842,31.210366029539784,33.95330486479521,24.062729629333987
FC,2025-04-19,93.6,-2.17,5.89,"Mitchell, Garrett",669003,622663,field_out,hit_into_play,,,,,8.0,Garrett Mitchell lines out sharply to left fielder Miguel Andujar.,R,L,R,MIL,ATH,X,7,line_drive,0,0,2025,-0.5,0.77,-0.1,1.96,,,,0,8,Bot,45.79,88.03,,,,,6.455449166488282,-136.10831203368264,-6.114966289179325,-7.642711145203776,29.521319958578022,-21.48972583649724,3.6,1.64,338.0,104.3,21.0,94.1,2230.0,6.6,778253,669127,691016,691777,570482,805779,609280,668709,671732,53.92,0.689,0.969,0.0,1.0,0,0,6.0,55,1,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,198.0,-0.062,-0.259,77.6,7.6,1.632,0.259,104.3,-1,-1,0.297,0.297,31,26,31,27,3,2,6.0,1.0,6.0,2.0,1.84,0.5,-0.5,40.2,8.160504162574753,15.78405153209109,33.4837356575426,38.693243606020566,24.2650107429276
SI,2025-04-19,94.5,-1.96,5.97,"Mitchell, Garrett",669003,622663,double,hit_into_play,,,,,8.0,Garrett Mitchell doubles (4) on a sharp line drive to center fielder JJ Bleday.,R,L,R,MIL,ATH,X,8,line_drive,1,0,2025,-1.29,1.11,0.19,1.95,,,,0,3,Bot,156.35,58.44,,,,,8.46537221733241,-137.25331880656094,-7.202782296957562,-18.21463711168819,32.07670508295365,-16.661382050385136,3.6,1.64,356.0,109.2,16.0,94.1,2029.0,6.3,778253,669127,691016,691777,570482,805779,609280,668709,671732,54.21,0.594,0.678,1.25,1.0,1,1,6.0,17,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.069,0.676,79.6,7.9,1.058,-0.676,109.2,0,0,0.554,0.554,31,26,31,27,1,0,6.0,1.0,6.0,2.0,1.46,1.29,-1.29,38.4,10.361160969955794,2.93220147233306,35.719263196282895,34.77171547516979,32.701560161760085
SL,2025-04-16,84.8,-2.22,5.98,"Mitchell, Garrett",669003,672456,field_out,hit_into_play,,,,,6.0,Garrett Mitchell flies out sharply to right fielder Justyn-Henry Malloy.,R,L,R,MIL,DET,X,9,fly_ball,1,2,2025,0.83,0.31,0.46,2.37,,,,2,3,Bot,181.34,70.52,,,,,4.622256309030638,-123.34433316482152,-2.6905762415132672,7.434202305893517,26.23557157507049,-28.64719203160365,3.58,1.66,345.0,102.4,42.0,84.8,2754.0,6.5,778295,621512,679529,628451,595879,700242,682985,668952,669234,54.0,0.163,0.306,0.0,1.0,0,0,5.0,28,4,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,71.0,-0.004,-0.182,78.5,8.0,0.592,0.182,102.4,4,4,0.89,0.89,24,26,25,27,2,1,,1.0,5.0,2.0,2.88,-0.83,0.83,46.7,18.541130202296124,-11.06736676598874,32.924990610074445,30.78318744895255,40.75578444257357
FF,2025-04-15,91.8,-2.69,5.29,"Mitchell, Garrett",669003,656427,double,hit_into_play,,,,,5.0,Garrett Mitchell doubles (3) on a sharp fly ball to center fielder Riley Greene.,R,L,R,MIL,DET,X,8,fly_ball,2,1,2025,-0.07,1.15,0.06,2.71,,,,2,4,Bot,147.32,35.4,,,,,7.153939489656726,-133.5342453246527,-3.1739758625106,-2.3571857773084948,29.50506484015994,-17.93561038531841,3.57,1.66,407.0,110.8,21.0,92.2,2216.0,6.6,778310,693307,679529,650402,595879,700242,681481,682985,656716,53.86,0.974,1.821,1.25,1.0,1,1,6.0,29,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,207.0,0.016,0.542,79.2,7.3,3.485,-0.542,110.8,2,2,0.768,0.768,29,26,30,27,2,1,6.0,1.0,7.0,1.0,1.56,0.07,-0.07,27.9,14.291148564946896,7.41038279272458,31.12648777824872,36.03408199801397,31.391011964624347
FF,2025-04-15,92.8,-2.7,5.34,"Mitchell, Garrett",669003,656427,sac_fly,hit_into_play,,,,,2.0,Garrett Mitchell out on a sacrifice fly to left fielder Kerry Carpenter. Sal Frelick scores.,R,L,R,MIL,DET,X,7,fly_ball,3,2,2025,-0.39,1.4,-0.24,3.24,686217.0,,,0,2,Bot,66.06,103.96,,,,,7.208942588716656,-134.97972644547545,-2.6257319363988683,-6.426888888293916,31.321918407305954,-14.757106368559231,3.57,1.66,279.0,97.3,51.0,93.2,2177.0,6.7,778310,693307,679529,650402,595879,700242,681481,682985,656716,53.79,0.009,0.01,0.0,1.0,0,0,3.0,13,6,4-Seam Fastball,1,0,1,0,0,2,2,0,Strategic,Standard,209.0,-0.001,-0.188,78.0,7.2,0.013,0.188,97.3,1,1,0.74,0.74,29,26,30,27,1,0,6.0,1.0,7.0,1.0,1.26,0.39,-0.39,30.8,19.24642892037241,9.81311877681448,27.58307211192213,38.97318935947306,28.02662177252868
FF,2025-04-14,91.4,-1.99,5.79,"Mitchell, Garrett",669003,628317,field_out,hit_into_play,,,,,2.0,Garrett Mitchell flies out to center fielder Ryan Kreidler.,R,L,R,MIL,DET,X,8,fly_ball,1,2,2025,-0.31,1.14,0.05,3.49,,686217.0,687401.0,2,9,Bot,131.37,90.57,,,,,5.764944938696449,-132.91396632300498,-2.303611844544469,-4.965205575525718,31.794919158017063,-18.40960644106007,3.57,1.66,272.0,83.3,44.0,90.4,2288.0,6.0,778323,693307,679529,690993,628451,595879,681481,668952,656716,54.55,0.02,0.028,0.0,1.0,0,0,3.0,75,5,4-Seam Fastball,1,9,1,9,9,1,1,9,Standard,Standard,209.0,-0.001,-0.191,74.8,7.0,0.04,0.191,88.0,-8,-8,0.001,0.001,37,26,37,27,1,3,1.0,1.0,4.0,1.0,1.61,0.31,-0.31,40.7,16.168766973774655,7.718329336774937,28.850348736263907,34.25163374503174,28.060919591394867
FC,2025-04-13,88.7,-3.17,5.97,"Mitchell, Garrett",669003,668678,field_out,hit_into_play,,,,,9.0,Garrett Mitchell flies out sharply to center fielder Jake McCarthy.,R,L,R,AZ,MIL,X,8,fly_ball,2,0,2025,0.23,0.9,0.28,2.2,,,,0,2,Top,89.68,74.08,,,,,7.937674106138823,-128.88462662957565,-5.018916245455105,0.9272065705300824,27.312657660627178,-21.251891884233476,3.59,1.64,322.0,101.0,44.0,88.6,2331.0,6.4,778332,645444,656976,694374,553993,672695,666971,664983,682998,54.14,0.063,0.121,0.0,1.0,0,0,3.0,11,3,Cutter,0,2,2,0,2,0,2,0,Infield shade,Standard,193.0,0.017,-0.378,79.4,7.9,0.228,0.378,101.0,-2,2,0.294,0.706,29,26,30,27,1,0,6.0,1.0,6.0,1.0,2.01,-0.23,0.23,37.5,17.111830603479774,-1.12771725574467,35.09123665070175,34.20669479030349,34.54970931872227
FF,2025-04-09,93.3,-2.25,6.34,"Mitchell, Garrett",669003,622608,double,hit_into_play,,,,,3.0,Garrett Mitchell doubles (2) on a sharp line drive to right fielder Zac Veen.,R,L,R,COL,MIL,X,9,line_drive,0,0,2025,0.01,0.56,0.36,3.09,,,,0,3,Top,158.41,53.48,,,,,6.664098775198261,-135.94170191477863,-3.928430173065388,-1.0802936043793223,23.959026475449768,-24.621722250367924,3.56,1.64,312.0,101.8,16.0,93.8,2204.0,6.1,778379,696100,669911,571657,641857,678662,656248,686668,691728,54.44,0.554,0.598,1.25,1.0,1,1,4.0,17,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,-0.069,0.717,78.7,7.3,0.859,-0.717,101.8,0,0,0.5,0.5,30,26,30,27,1,0,6.0,1.0,5.0,1.0,2.01,-0.01,0.01,48.4,13.68945780010414,1.1104559838451904,27.017518201330795,33.08583328234189,30.18630766275868
