pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-31,90.2,-0.84,5.25,"Morel, Christopher",666624,573186,double,hit_into_play,,,,,5.0,Christopher Morel doubles (12) on a sharp fly ball to left fielder Jasson Domínguez. Brandon Lowe to 3rd.,R,R,R,NYY,TB,X,7,fly_ball,0,0,2025,-0.97,0.24,-0.1,2.82,,,664040.0,0,4,Top,79.49,45.99,,,,,3.872796598381225,-131.34163346046128,-0.6393551303126317,-12.049937645024068,26.078125464154805,-29.439097269354072,3.68,1.66,394.0,103.7,29.0,90.1,2167.0,6.0,776927,700250,502671,665862,641857,683011,691176,641355,596103,54.46,0.854,1.709,1.25,1.0,1,1,6.0,30,1,Sinker,7,0,0,7,0,7,0,7,Standard,Standard,207.0,-0.029,0.731,86.1,8.0,3.329,-0.731,103.7,7,-7,0.965,0.035,34,26,34,26,2,0,5.0,1.0,,1.0,2.54,0.97,0.97,32.4,15.000311359670574,-11.069021503879664,25.36111537883466,33.70612833063534,32.882291008056065
CU,2025-07-26,80.5,2.72,6.1,"Morel, Christopher",666624,671096,field_out,hit_into_play,,,,,9.0,Christopher Morel flies out to center fielder TJ Friedl.,R,R,L,CIN,TB,X,8,fly_ball,3,2,2025,-0.75,-0.48,0.57,2.21,,,,1,1,Top,89.44,67.38,,,,,-3.342997940828974,-117.2328774874852,-1.0624196139687705,-6.305170114676535,22.03561227678686,-36.57324755050181,3.7,1.71,338.0,98.9,38.0,80.5,2786.0,6.2,777000,663886,668715,680574,682622,682829,669720,670770,641584,54.28,0.163,0.314,0.0,1.0,0,0,3.0,2,7,Curveball,0,0,0,0,0,0,0,0,Infield shade,Strategic,321.0,0.015,-0.333,78.6,8.5,0.607,0.333,98.9,0,0,0.522,0.478,26,26,26,26,1,0,6.0,1.0,5.0,3.0,3.99,-0.75,0.75,48.1,11.828776440944642,-11.51776386204809,21.727468166290063,41.70547621706724,34.76660214798023
SL,2025-07-25,85.5,-1.59,6.09,"Morel, Christopher",666624,607259,single,hit_into_play,,,,,9.0,Christopher Morel singles on a line drive to center fielder TJ Friedl.,R,R,R,CIN,TB,X,8,line_drive,0,0,2025,0.17,0.46,0.74,2.22,,,,1,4,Top,113.04,88.0,,,,,5.113002452815455,-124.47691969977518,-3.7717679569705855,0.8202414830544501,24.379096197998603,-26.819993867376017,3.7,1.71,256.0,76.1,26.0,85.0,2379.0,5.9,777013,663886,668715,680574,682622,682829,669720,670770,666181,54.6,0.606,0.558,0.9,1.0,1,0,4.0,27,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,185.0,-0.03,0.415,78.1,8.6,0.676,-0.415,88.0,0,0,0.527,0.473,34,26,35,26,2,1,6.0,2.0,5.0,1.0,2.65,-0.17,-0.17,52.3,19.952142330151467,-4.815735132486168,28.265307180762036,45.21099886619703,37.70850792374398
SI,2025-07-25,94.8,-1.23,5.37,"Morel, Christopher",666624,680689,field_out,hit_into_play,,,,,8.0,Christopher Morel lines out to left fielder Austin Hays.,R,R,R,CIN,TB,X,7,line_drive,0,1,2025,-1.43,0.8,-0.18,2.1,,,666139.0,1,6,Top,96.08,81.25,,,,,5.883868767613652,-138.03296687699873,-4.679986089356576,-19.61222877831395,28.3165220997701,-21.09678253299936,3.7,1.71,317.0,105.3,14.0,94.4,2274.0,5.8,777013,663886,668715,680574,682622,682829,669720,670770,666181,54.68,0.731,0.758,0.0,1.0,0,0,5.0,48,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,228.0,0.046,-0.216,78.3,8.2,1.042,0.216,105.3,1,-1,0.662,0.338,25,26,25,26,1,2,3.0,2.0,3.0,1.0,1.72,1.43,1.43,28.1,8.804803202394334,-1.319185567429774,28.429614368730107,34.62723540038297,29.353475180847564
SL,2025-07-21,86.5,-0.67,5.74,"Morel, Christopher",666624,673929,field_out,hit_into_play,,,,,9.0,Christopher Morel flies out sharply to left fielder Brooks Baldwin.,R,R,R,TB,CWS,X,7,fly_ball,0,0,2025,0.46,0.1,0.33,2.26,,,,1,8,Bot,88.7,54.68,,,,,1.4820363150932954,-126.15745008854576,-2.4181279481591376,4.672283914199218,23.00636597714299,-30.79694314859935,3.71,1.72,367.0,102.9,36.0,87.8,2221.0,6.8,777059,691019,678246,672820,695657,805367,681460,673357,643565,53.73,0.477,0.908,0.0,1.0,0,0,6.0,70,1,Slider,3,8,3,8,8,3,3,8,Standard,Standard,121.0,-0.004,-0.254,79.3,8.2,1.791,0.254,102.9,-5,-5,0.011,0.011,26,26,27,26,1,3,2.0,1.0,2.0,2.0,2.9,-0.46,-0.46,51.9,15.14203767230458,-3.9008237596036968,26.466415436951017,39.38045953988501,35.544161020327905
CH,2025-07-20,85.8,2.26,5.75,"Morel, Christopher",666624,669432,field_out,hit_into_play,,,,,7.0,Christopher Morel lines out sharply to left fielder Colton Cowser.,R,R,L,TB,BAL,X,7,line_drive,0,0,2025,1.27,-0.09,-0.4,1.85,,,691406.0,2,3,Bot,63.52,83.59,,,,,-8.95616867454964,-124.62815837550436,-2.817175119419344,14.973165982465224,23.89204387149398,-32.75510813134638,3.71,1.72,324.0,105.2,17.0,86.9,1638.0,7.0,777076,656577,602104,702616,676059,683002,681297,656775,656811,53.53,0.54,0.664,0.0,1.0,0,0,5.0,29,1,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,111.0,-0.022,-0.271,79.3,8.1,1.039,0.271,105.2,-3,-3,0.198,0.198,27,26,28,26,2,1,8.0,2.0,6.0,1.0,3.19,1.27,-1.27,24.1,4.948563720119439,-5.981605764036661,31.90707255193877,30.015622210669868,33.43365608762403
SL,2025-07-20,89.3,-1.55,5.94,"Morel, Christopher",666624,552640,field_out,hit_into_play,,,,,9.0,Christopher Morel flies out to center fielder Cedric Mullins.,R,R,R,TB,BAL,X,8,fly_ball,2,1,2025,0.4,0.44,0.65,1.98,,,691406.0,1,8,Bot,100.21,84.49,,,,,4.621605778322844,-130.07775173472416,-4.799859490343332,3.814794207365546,23.373981016835558,-26.384126232334918,3.71,1.72,292.0,79.8,32.0,90.6,2532.0,6.7,777076,656577,602104,702616,676059,683002,681297,656775,656811,53.79,0.057,0.069,0.0,1.0,0,0,3.0,65,4,Slider,2,5,2,5,5,2,2,5,Standard,Standard,159.0,-0.032,-0.297,79.4,8.8,0.102,0.297,88.0,-3,-3,0.084,0.084,35,26,35,26,1,3,7.0,2.0,2.0,1.0,2.37,-0.4,-0.4,43.8,23.653004345692864,-5.937365716918722,24.097299547483967,44.01878825362976,36.246290566399125
FF,2025-07-12,97.8,2.24,6.18,"Morel, Christopher",666624,676979,field_out,hit_into_play,,,,,5.0,Christopher Morel flies out to right fielder Wilyer Abreu.,R,R,L,BOS,TB,X,9,fly_ball,0,1,2025,0.73,1.37,-0.09,2.42,,,,1,2,Top,201.28,126.39,,,,,-8.01100651605095,-141.99267451106576,-7.80363742603694,11.736791140628656,32.46606797838051,-12.04158348567605,3.71,1.72,259.0,94.0,50.0,98.2,2373.0,6.6,777144,665966,647351,678882,691785,596115,701350,680776,677800,53.89,0.009,0.01,0.0,1.0,0,0,3.0,9,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,142.0,0.017,-0.215,77.0,7.6,0.015,0.215,94.0,0,0,0.523,0.477,26,26,26,26,1,0,6.0,2.0,8.0,1.0,1.03,0.73,-0.73,35.0,11.737442984272237,8.199499673467512,31.077330751559728,33.71355854578408,24.99382068482008
ST,2025-07-10,79.7,-0.96,5.46,"Morel, Christopher",666624,621111,field_out,hit_into_play,,,,,8.0,Christopher Morel lines out to left fielder Jarren Duran.,R,R,R,BOS,TB,X,7,line_drive,1,1,2025,1.41,-0.26,-0.14,2.07,,,,2,4,Top,63.38,94.46,,,,,-0.8675325346760442,-115.99632996135894,-0.1662815777829303,12.849275450707315,23.302953707854257,-34.7006415487014,3.71,1.72,301.0,88.1,22.0,80.2,2531.0,6.8,777170,665966,647351,663853,691785,596115,680776,678882,677800,53.72,0.294,0.303,0.0,1.0,0,0,3.0,29,3,Sweeper,1,2,2,1,2,1,2,1,Standard,Standard,68.0,0.011,-0.244,71.5,7.7,0.441,0.244,88.1,-1,1,0.41,0.59,30,26,31,26,2,1,5.0,9.0,11.0,2.0,3.87,-1.41,-1.41,48.9,11.66551008413168,-11.4397426217953,30.52926347202885,34.17008469819464,37.08110030035184
FC,2025-06-30,87.2,3.86,5.43,"Morel, Christopher",666624,682052,field_out,hit_into_play,,,,,4.0,Christopher Morel flies out to left fielder Tyler Soderstrom.,R,R,L,TB,ATH,X,7,fly_ball,0,0,2025,0.04,0.84,-0.45,2.83,,,,0,2,Bot,46.04,111.07,,,,,-10.572384938807932,-126.61716836393428,-1.8473593925627851,2.4711425370611115,24.51977364740104,-22.890563170831964,3.71,1.73,293.0,83.3,30.0,88.5,2093.0,7.1,777296,669127,701762,649966,691777,805779,691016,672016,671732,53.39,0.06,0.073,0.0,1.0,0,0,3.0,13,1,Cutter,0,3,0,3,3,0,0,3,Infield shade,Strategic,144.0,-0.022,-0.259,82.8,8.1,0.111,0.259,88.0,-3,-3,0.241,0.241,27,26,27,26,1,0,5.0,2.0,6.0,1.0,2.15,0.04,-0.04,28.0,15.086153113999366,-7.490193193831012,24.426395647056083,30.01055414454755,33.514364425107935
