pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-05-17,87.9,1.86,6.11,"Nido, Tomás",621512,641778,field_out,hit_into_play,,,,,1.0,Tomás Nido flies out to right fielder George Springer.,R,R,L,TOR,DET,X,9,fly_ball,0,0,2025,0.03,1.01,-0.67,3.05,690993.0,,,1,2,Top,170.03,126.23,,,,,-6.1600328429445295,-127.86347835777372,-3.3506769923444466,1.6090131827964391,27.605203327176003,-20.63032681349176,3.17,1.45,186.0,89.8,62.0,87.4,2301.0,6.1,777886,623168,676391,683021,680718,666182,664770,662139,543807,54.38,0.011,0.014,0.0,1.0,0,0,3.0,12,1,Cutter,0,1,1,0,1,0,1,0,Strategic,Standard,161.0,0.058,-0.124,70.7,7.6,0.019,0.124,89.8,-1,1,0.344,0.656,30,31,30,31,1,0,6.0,7.0,6.0,,1.95,0.03,-0.03,34.4,16.740527241557984,-3.3411535713977862,29.10909066267512,33.54238387109352,29.509422966372835
SL,2025-05-17,85.7,-2.52,5.02,"Nido, Tomás",621512,684320,single,hit_into_play,,,,,8.0,Tomás Nido singles on a line drive to left fielder Nathan Lukes.,R,R,R,TOR,DET,X,7,line_drive,1,0,2025,0.42,0.27,0.26,1.78,,,,1,5,Top,76.84,118.97,,,,,5.714365607538103,-124.6851602995179,-1.9028744867108836,3.1676938069719127,26.8761569250957,-29.18621165752677,3.17,1.45,260.0,79.4,28.0,85.5,2580.0,6.3,777886,623168,676391,683021,680718,666182,664770,662139,543807,54.17,0.183,0.165,0.9,1.0,1,0,3.0,30,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,75.0,-0.026,0.376,72.6,8.5,0.226,-0.376,88.0,-1,1,0.379,0.621,28,31,28,31,1,1,1.0,7.0,3.0,,2.85,-0.42,-0.42,21.8,20.16102182076933,-8.21294828950255,34.4888662427925,44.24557869406984,36.96359572727792
FF,2025-05-10,96.8,-1.28,5.31,"Nido, Tomás",621512,594798,single,hit_into_play,,,,,5.0,Tomás Nido singles on a line drive to center fielder Evan Carter.,R,R,R,DET,TEX,X,8,line_drive,3,2,2025,-0.93,1.32,-0.15,2.05,,,,0,5,Bot,124.74,86.68,,,,,5.158337078028625,-140.73235868858754,-6.132242336045391,-13.60886308102416,33.62050845697655,-13.414114804541288,3.2,1.46,190.0,95.1,12.0,97.0,2462.0,6.6,777987,641680,669701,543760,673962,608369,694671,694497,666969,53.93,0.897,0.843,0.9,1.0,1,0,4.0,42,6,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,226.0,0.023,0.353,69.5,7.8,1.04,-0.353,95.1,-5,-5,0.067,0.067,37,31,37,31,2,1,6.0,2.0,5.0,7.0,1.13,0.93,0.93,26.8,13.333631253423697,6.704415365516288,34.334251062182254,37.86618961169178,24.862474028530983
FF,2025-05-10,99.0,-1.42,5.26,"Nido, Tomás",621512,594798,field_out,hit_into_play,,,,,5.0,Tomás Nido flies out to right fielder Adolis García.,R,R,R,DET,TEX,X,9,fly_ball,1,0,2025,-0.88,1.37,-0.21,2.33,,,,0,3,Bot,173.42,56.55,,,,,5.41980644992046,-143.89181052781356,-5.7053335308902575,-13.561755023390848,38.40906283910439,-12.011322335997948,3.2,1.46,370.0,99.5,37.0,98.9,2559.0,6.7,777987,641680,669701,543760,673962,608369,694671,694497,666969,53.83,0.274,0.535,0.0,1.0,0,0,5.0,23,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,224.0,-0.019,-0.301,69.2,7.7,1.049,0.301,99.5,-4,-4,0.152,0.152,37,31,37,31,1,0,6.0,2.0,5.0,7.0,0.99,0.88,0.88,25.8,17.521034244993206,7.704135106288614,34.09199970575559,38.70541984508972,26.63168831190959
SI,2025-05-08,89.0,2.66,5.71,"Nido, Tomás",621512,607536,single,hit_into_play,,,,,9.0,Tomás Nido singles on a sharp line drive to center fielder Brenton Doyle.,R,R,L,COL,DET,X,8,line_drive,1,1,2025,1.01,0.6,0.36,1.77,,,,1,2,Top,135.28,75.36,,,,,-7.787046479254925,-129.46284220682162,-4.963217252480321,12.86733523914504,23.93865918714528,-24.59171901829236,3.21,1.49,191.0,104.2,10.0,89.6,2253.0,6.4,778004,696100,669911,691182,641857,676701,687597,686668,666160,54.11,0.843,0.815,0.9,1.0,1,0,4.0,12,3,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,136.0,-0.019,0.425,74.0,8.0,1.034,-0.425,104.2,-2,2,0.311,0.689,32,31,32,31,1,0,7.0,4.0,5.0,2.0,2.25,1.01,-1.01,28.4,12.739510839936196,12.11816347765901,34.97360739247717,44.222611374020985,23.117523439893915
SI,2025-05-04,94.1,-1.65,6.16,"Nido, Tomás",621512,686799,field_out,hit_into_play,,,,,12.0,Tomás Nido flies out to right fielder Jo Adell.,R,R,R,LAA,DET,X,9,fly_ball,2,2,2025,-0.9,0.76,0.25,3.47,,,700242.0,0,4,Top,178.48,118.72,,,,,6.94554947210046,-136.82721375503283,-2.9371678764132487,-12.936745117934574,32.305031636852426,-22.167985269664207,3.21,1.49,256.0,86.6,49.0,94.1,2077.0,6.5,778050,681351,694384,641313,650859,687263,621493,677347,666176,54.02,0.009,0.01,0.0,1.0,0,0,3.0,30,5,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,225.0,0.008,-0.2,67.2,7.6,0.015,0.2,88.0,-5,5,0.063,0.937,24,31,25,31,2,1,5.0,4.0,6.0,4.0,1.83,0.9,0.9,34.0,13.77421153544413,14.5368568290969,23.70740074032627,45.51747050989127,21.74225104485705
SL,2025-05-04,84.8,-2.03,6.02,"Nido, Tomás",621512,686799,field_out,hit_into_play,,,,,11.0,Tomás Nido flies out to right fielder Jo Adell.,R,R,R,LAA,DET,X,9,fly_ball,2,2,2025,0.61,0.14,-0.42,3.37,,595879.0,700242.0,1,2,Top,180.86,111.83,,,,,2.558555545689128,-123.49132776067002,-0.0798799580530476,5.599599472849936,26.88345341430907,-31.00160092966432,3.21,1.49,257.0,78.8,43.0,84.6,2628.0,6.3,778050,681351,694384,641313,650859,687263,621493,677347,666176,54.16,0.031,0.028,0.0,1.0,0,0,3.0,15,6,Slider,0,1,1,0,1,0,1,0,Standard,Standard,46.0,0.04,-0.213,58.5,6.3,0.04,0.213,88.0,-1,1,0.357,0.643,24,31,25,31,1,0,5.0,4.0,6.0,4.0,3.05,-0.61,-0.61,33.6,10.345532751700992,16.77631317907757,22.632054601860567,36.00140891784916,17.50570679014091
FC,2025-04-30,86.2,-2.09,6.09,"Nido, Tomás",621512,805123,single,hit_into_play,,,,,2.0,Tomás Nido singles on a line drive to left fielder Zach Dezenzo.,R,R,R,HOU,DET,X,7,line_drive,1,0,2025,0.29,0.87,0.09,3.25,,,,0,3,Top,58.97,115.19,,,,,4.612503892207167,-125.47581689796552,-2.316179185444132,2.171794380476729,25.56358477917952,-22.692400611644405,3.26,1.53,265.0,97.9,16.0,86.6,2227.0,6.5,778110,605170,572233,663898,670623,665161,701305,676694,701358,53.96,0.629,0.642,0.9,1.0,1,0,4.0,17,2,Cutter,1,2,2,1,2,1,2,1,Infield shade,Standard,197.0,-0.034,0.397,69.9,8.1,0.883,-0.397,97.9,-1,1,0.383,0.617,24,31,25,31,1,0,,4.0,97.0,4.0,2.19,-0.29,-0.29,44.3,21.26643712101292,-13.907059624571891,26.51912069425264,40.49618938972366,36.541275827235424
ST,2025-04-30,82.1,-2.69,4.92,"Nido, Tomás",621512,701121,single,hit_into_play,,,,,2.0,"Tomás Nido singles on a sharp line drive to left fielder Zach Dezenzo. Tomás Nido out at 2nd on the throw, left fielder Zach Dezenzo to second baseman Brendan Rodgers. Trey Sweeney to 3rd.",R,R,R,HOU,DET,X,7,line_drive,0,1,2025,0.89,0.65,-0.05,3.18,,,700242.0,2,6,Top,53.77,95.4,,,,,4.2899050918628365,-119.4295274309228,1.4200624183767174,7.5272796434963904,25.00898223787636,-26.51531043166302,3.26,1.53,267.0,102.3,15.0,82.4,2284.0,6.7,778110,605170,572233,663898,670623,665161,701305,676694,701358,53.78,0.68,0.691,0.9,1.0,1,0,4.0,52,2,Sweeper,3,7,7,3,7,3,7,3,Standard,Standard,85.0,0.006,0.387,67.9,7.7,0.951,-0.387,102.3,-4,4,0.082,0.918,26,31,26,31,1,2,10.0,4.0,3.0,4.0,2.76,-0.89,-0.89,17.4,17.656472878373602,-6.110154033200742,26.68978205422401,40.284147908885885,34.5477866131686
SI,2025-04-21,92.8,-1.63,5.98,"Nido, Tomás",621512,681190,single,hit_into_play,,,,,11.0,Tomás Nido singles on a line drive to center fielder Tyler Wade. Javier Báez scores.,R,R,R,DET,SD,X,8,line_drive,2,1,2025,-1.06,1.02,-1.27,3.26,595879.0,,,1,2,Bot,140.95,115.66,,,,,3.229853518032401,-135.17747137659322,-3.4292056024959843,-13.66583943864183,29.36332952875632,-19.09161783631464,3.28,1.54,180.0,61.6,27.0,93.0,2386.0,6.3,778228,455117,657757,578428,592518,593428,672359,642180,665487,54.18,0.666,0.607,0.9,1.0,1,0,4.0,20,4,Sinker,2,2,2,2,2,3,3,2,Strategic,Standard,213.0,0.058,0.453,62.7,6.3,0.725,-0.453,88.0,0,0,0.604,0.604,26,31,27,31,1,0,6.0,3.0,6.0,5.0,1.62,1.06,1.06,40.1,7.857778190804627,13.547262445941554,29.58363564725269,26.19746558786763,20.21741370817784
