pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-30,89.0,1.91,5.21,"Nola, Austin",543592,663465,field_out,hit_into_play,,,,,4.0,Austin Nola lines out to center fielder Angel Martínez.,R,R,L,CLE,COL,X,8,line_drive,2,2,2025,0.62,1.32,-0.43,2.28,,,,2,3,Top,124.32,184.06,,,,,-7.06680506641656,-129.6185573703384,-4.030934084314345,8.285830899147786,22.59097635035033,-16.57216205474677,3.34,1.5,331.0,96.0,20.0,89.8,2086.0,6.4,776942,595978,467793,677587,608070,672356,680757,682657,666134,54.14,0.329,0.388,0.0,1.0,0,0,4.0,18,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,144.0,0.01,-0.224,70.7,6.8,0.601,0.224,96.0,2,-2,0.762,0.238,27,35,28,36,1,0,3.0,3.0,6.0,3.0,1.52,0.62,-0.62,45.7,0.1162582278584499,1.5289798384799391,36.58966374124754,28.996883500960838,27.33686120856932
SI,2025-07-27,94.8,-2.44,6.01,"Nola, Austin",543592,608372,field_out,hit_into_play,,,,,4.0,Austin Nola lines out to right fielder Ramón Laureano.,R,R,R,BAL,COL,X,9,line_drive,0,1,2025,-1.06,1.06,-0.36,2.68,,,,1,2,Top,191.8,109.49,,,,,7.801731178820768,-137.78972415396095,-5.378262190054103,-15.300039021198298,31.39585489440744,-17.61917520168542,3.34,1.5,276.0,83.1,28.0,94.5,2261.0,6.2,776986,656577,691723,676059,602104,683002,666185,656775,657656,54.25,0.1,0.113,0.0,1.0,0,0,3.0,12,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,207.0,0.015,-0.215,68.2,6.3,0.168,0.215,88.0,-1,1,0.412,0.588,35,35,36,36,1,0,6.0,1.0,6.0,3.0,1.49,1.06,1.06,39.7,0.5254798809919058,13.505042060554818,31.58436301522652,30.567908515132626,23.540375638365163
SL,2025-07-23,87.5,-1.74,6.1,"Nola, Austin",543592,669467,field_out,hit_into_play,,,,,5.0,Austin Nola flies out to center fielder Victor Scott II.,R,R,R,COL,STL,X,8,fly_ball,0,1,2025,0.47,0.02,0.09,2.26,,,,0,4,Bot,160.67,73.36,,,,,3.457505973811581,-127.5129921017169,-3.3162761437540293,4.643260953269769,21.217991165903797,-31.525210959652565,3.34,1.53,323.0,89.6,34.0,88.8,2436.0,6.6,777028,650968,575929,680977,571448,691026,676475,687363,691023,53.92,0.029,0.038,0.0,1.0,0,0,3.0,33,2,Slider,4,0,4,0,0,4,4,0,Standard,Standard,119.0,-0.006,-0.22,71.6,7.2,0.062,0.22,89.6,4,4,0.919,0.919,26,35,27,36,2,1,5.0,3.0,5.0,3.0,2.9,-0.47,-0.47,56.5,1.4000282148156082,3.645842991337244,31.292824092662745,36.67522243908837,30.815719598203216
SI,2025-07-23,93.3,-1.53,6.03,"Nola, Austin",543592,669467,single,hit_into_play,,,,,7.0,Austin Nola singles on a line drive to center fielder Victor Scott II. Ryan McMahon to 3rd.,R,R,R,COL,STL,X,8,line_drive,1,0,2025,-0.59,0.96,-0.62,2.07,,,641857.0,1,2,Bot,147.58,89.21,,,,,3.642470445955167,-135.87668564501675,-6.628775163192976,-8.08512293482342,25.90113577700359,-19.106311240176787,3.34,1.53,223.0,98.5,11.0,94.1,2146.0,6.4,777028,650968,575929,680977,571448,691026,676475,687363,691023,54.07,0.871,0.83,0.9,1.0,1,0,4.0,16,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,196.0,0.065,0.371,71.4,6.6,1.038,-0.371,98.5,0,0,0.553,0.553,26,35,27,36,1,0,5.0,3.0,5.0,3.0,1.63,0.59,0.59,56.5,1.4780350488016365,8.667858566628384,36.1732848293195,28.54948486412457,23.233706544598743
FF,2025-07-23,93.3,-0.71,6.48,"Nola, Austin",543592,701552,single,hit_into_play,,,,,2.0,Austin Nola singles on a line drive to center fielder Victor Scott II.,R,R,R,COL,STL,X,8,line_drive,2,0,2025,-0.15,1.1,-0.01,2.8,,,,0,6,Bot,119.69,67.8,,,,,2.1418458199036925,-135.8559597804346,-6.213503676895442,-2.3346212287569648,25.984953609061968,-17.40801119844381,3.34,1.53,285.0,98.3,15.0,93.7,2115.0,6.2,777028,650968,575929,680977,571448,691026,676475,687363,691023,54.32,0.786,0.766,0.9,1.0,1,0,4.0,49,3,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,200.0,0.003,0.32,72.7,7.1,1.002,-0.32,98.3,5,5,0.977,0.977,25,35,25,36,1,2,32.0,3.0,3.0,3.0,1.49,0.15,0.15,52.4,8.768987966455986,0.0623082252816924,28.325394310048612,36.55294689771415,27.510987358071446
SL,2025-07-20,87.9,-2.55,4.58,"Nola, Austin",543592,657746,field_out,hit_into_play,,,,,6.0,Austin Nola lines out to center fielder Harrison Bader.,R,R,R,COL,MIN,X,8,line_drive,1,2,2025,0.25,0.16,0.58,2.26,,641857.0,,2,2,Bot,137.74,60.17,,,,,7.113255562767085,-128.1126507503296,0.0077857586926486,1.6726146636369723,20.91730436404343,-30.516261016967597,3.34,1.53,345.0,92.9,21.0,89.3,2512.0,6.6,777072,543877,664034,665019,668904,621043,650489,664056,670242,53.87,0.243,0.261,0.0,1.0,0,0,3.0,18,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,150.0,-0.035,-0.208,,,0.401,0.208,92.9,0,0,0.535,0.535,29,35,29,36,1,0,9.0,2.0,6.0,3.0,2.73,-0.25,-0.25,22.3,,,,,
SI,2025-07-18,94.1,-2.24,5.95,"Nola, Austin",543592,663978,single,hit_into_play,,,,,5.0,Austin Nola singles on a line drive to center fielder Byron Buxton. Michael Toglia to 3rd.,R,R,R,COL,MIN,X,8,line_drive,1,1,2025,-0.94,0.93,-0.17,2.74,,,669911.0,2,1,Bot,138.99,77.8,,,,,7.556511509618315,-136.95629696576788,-4.869706979382983,-13.37387878764228,23.756513077780674,-19.529387354827318,3.36,1.54,151.0,99.9,8.0,96.3,2121.0,7.0,777102,543877,664034,686797,668904,621043,664056,621439,650489,53.45,0.586,0.543,0.9,1.0,1,0,4.0,13,3,Sinker,4,0,4,0,0,4,4,0,Infield shade,Standard,218.0,0.01,0.361,70.6,6.4,0.662,-0.361,99.9,4,4,0.862,0.862,29,35,29,36,1,0,8.0,5.0,5.0,2.0,1.6,0.94,0.94,43.3,-0.0709055648078806,11.402951160875588,32.204530908611474,33.02044704200717,25.57039022647494
SI,2025-07-18,93.1,-2.66,5.67,"Nola, Austin",543592,663485,single,hit_into_play,,,,,9.0,Austin Nola singles on a line drive to right fielder Willi Castro. Yanquiel Fernández to 2nd.,R,R,R,COL,MIN,X,9,line_drive,0,0,2025,-1.09,0.54,0.43,1.99,,,692585.0,0,6,Bot,185.26,106.58,,,,,10.203197307943418,-135.19507157442877,-4.864799496624082,-15.46909667432124,26.74045945250492,-24.64005412169397,3.36,1.54,139.0,98.4,5.0,92.6,2239.0,5.9,777102,543877,664034,686797,668904,621043,664056,621439,650489,54.61,0.5,0.473,0.9,1.0,1,0,4.0,52,1,Sinker,5,1,5,1,1,5,5,1,Infield shade,Standard,226.0,0.008,0.47,75.9,6.7,0.578,-0.47,98.4,4,4,0.962,0.962,27,35,28,36,1,2,6.0,5.0,3.0,2.0,2.08,1.09,1.09,26.2,-0.6245182445044413,16.424066601991054,32.44282754732236,40.796196902628935,19.14504871360933
SI,2025-07-13,92.8,-2.23,5.23,"Nola, Austin",543592,605130,field_out,hit_into_play,,,,,4.0,Austin Nola lines out to center fielder TJ Friedl.,R,R,R,CIN,COL,X,8,line_drive,1,2,2025,-0.75,1.09,-0.38,2.47,,,571657.0,0,7,Top,151.99,56.69,,,,,6.45161473050805,-135.14005421120203,-3.8145340744997034,-10.46411522251786,25.344919462818236,-18.081438098900374,3.44,1.59,358.0,98.8,23.0,94.7,2604.0,7.1,777128,663886,668715,680574,669289,682829,669720,670770,666181,53.45,0.386,0.525,0.0,1.0,0,0,5.0,55,4,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,228.0,0.065,-0.164,,,0.879,0.164,98.8,1,-1,0.629,0.371,32,35,33,36,1,2,2.0,4.0,6.0,5.0,1.52,0.75,0.75,24.2,,,,,
FF,2025-07-13,97.2,-1.41,5.79,"Nola, Austin",543592,641941,field_out,hit_into_play,,,,,2.0,Austin Nola flies out to right fielder Will Benson.,R,R,R,CIN,COL,X,9,fly_ball,3,2,2025,-0.62,1.38,0.06,3.25,,,,0,9,Top,207.2,111.92,,,,,5.420506335929706,-141.41641878713426,-4.4763484647737615,-9.57471678359535,33.834862816166044,-12.79328927668622,3.44,1.59,294.0,89.3,33.0,98.1,2715.0,6.9,777128,663886,668715,680574,669289,682829,669720,670770,666181,53.58,0.023,0.03,0.0,1.0,0,0,3.0,73,6,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,205.0,0.037,-0.345,67.1,6.0,0.051,0.345,89.3,2,-2,0.929,0.071,34,35,34,36,1,3,1.0,4.0,5.0,5.0,1.04,0.62,0.62,44.9,-3.840487476591093,18.633291409356666,21.68667003373148,35.56709644528324,22.29919260754589
