pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-07-30,84.1,2.63,5.27,"Ortiz, Joey",687401,684007,single,hit_into_play,,,,,9.0,Joey Ortiz singles on a line drive to left fielder Seiya Suzuki. Blake Perkins to 3rd.,R,R,L,MIL,CHC,X,7,line_drive,1,2,2025,0.93,0.7,0.34,1.68,,663368.0,,1,5,Bot,84.24,119.12,,,,,-7.125460298938973,-122.23620607550872,-3.336982875453145,10.678573716280024,23.41334810362195,-24.682704815519912,3.42,1.54,153.0,93.2,6.0,84.1,1387.0,6.3,776929,608348,683737,663538,807713,621020,673548,691718,663656,54.21,0.514,0.49,0.9,1.0,1,0,4.0,42,6,Split-Finger,2,5,2,5,5,2,2,5,Standard,Standard,121.0,0.051,0.613,68.1,8.1,0.594,-0.613,93.2,-3,-3,0.198,0.198,31,26,32,27,2,1,5.0,1.0,6.0,2.0,2.52,0.93,-0.93,34.0,2.926020616298909,-12.80444045698347,28.201217022815072,39.044806889077165,32.992038420018964
FS,2025-07-29,81.3,-1.1,5.98,"Ortiz, Joey",687401,621139,field_out,hit_into_play,,,,,5.0,Joey Ortiz flies out to center fielder Pete Crow-Armstrong.,R,R,R,MIL,CHC,X,8,fly_ball,1,2,2025,-0.84,-0.2,-0.26,2.43,,,702332.0,0,7,Bot,137.23,75.96,,,,,3.498781610211273,-118.32351148910185,-0.8490795827994313,-8.593249642828384,26.00365588935445,-34.128968899897195,3.42,1.54,308.0,89.9,40.0,80.7,894.0,6.2,776956,624512,457759,663538,807713,621020,664023,691718,663656,54.26,0.006,0.006,0.0,1.0,0,0,3.0,68,4,Split-Finger,9,3,9,3,3,9,9,3,Standard,Standard,243.0,-0.001,-0.164,71.4,7.3,0.014,0.164,89.9,6,6,0.995,0.995,31,26,31,27,1,3,6.0,1.0,8.0,1.0,3.69,0.84,0.84,48.3,6.229771277145407,-8.920962463293298,28.281456451153904,32.65185453758939,32.66408850473203
CH,2025-07-28,78.9,1.85,5.52,"Ortiz, Joey",687401,571510,field_out,hit_into_play,,,,,5.0,Joey Ortiz flies out to center fielder Pete Crow-Armstrong.,R,R,L,MIL,CHC,X,8,fly_ball,2,1,2025,1.35,0.63,-0.26,2.65,,668930.0,702332.0,2,2,Bot,115.98,107.93,,,,,-7.066896595673763,-114.79331686277158,-0.6558020791441327,13.16690729387838,18.92198326994613,-26.67110994799904,3.45,1.55,231.0,88.4,54.0,79.1,1977.0,6.2,776965,608348,683737,663538,807713,621020,664023,691718,663656,54.3,0.017,0.021,0.0,1.0,0,0,3.0,20,4,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,124.0,-0.041,-0.283,73.3,7.4,0.031,0.283,88.4,-3,-3,0.236,0.236,34,26,34,27,1,0,6.0,1.0,5.0,1.0,3.0,1.35,-1.35,31.8,9.82114770212368,-13.00731505662756,27.716231422515538,33.072441933875425,37.49604021214097
FF,2025-07-28,93.6,-0.6,5.79,"Ortiz, Joey",687401,519151,field_out,hit_into_play,,,,,8.0,Joey Ortiz flies out to center fielder Pete Crow-Armstrong.,R,R,R,MIL,CHC,X,8,fly_ball,1,0,2025,-0.01,1.28,-0.22,2.05,,,,1,6,Bot,134.59,105.57,,,,,1.0013194876887337,-136.29573089237434,-6.782839331180478,-0.3254296254887759,28.415048609576832,-15.00075091324142,3.45,1.55,254.0,93.3,52.0,94.1,2582.0,6.4,776965,608348,683737,663538,807713,621020,664023,691718,663656,54.05,0.006,0.008,0.0,1.0,0,0,3.0,52,2,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,196.0,-0.009,-0.293,74.1,8.1,0.013,0.293,93.3,2,2,0.84,0.84,36,26,37,27,1,2,2.0,1.0,1.0,1.0,1.31,0.01,0.01,56.3,4.449173831318486,-18.917569973522536,29.510061860611152,32.0727602778627,30.949946735493292
FF,2025-07-27,98.2,-1.65,5.95,"Ortiz, Joey",687401,691587,field_out,hit_into_play,,,,,6.0,Joey Ortiz flies out to right fielder Jesús Sánchez in foul territory.,R,R,R,MIL,MIA,X,9,fly_ball,0,0,2025,-0.77,1.54,0.35,2.45,,683734.0,686555.0,2,4,Bot,198.8,136.49,,,,,7.23648576777356,-142.71281829811778,-7.585446061439876,-12.187129678730148,32.956402718233385,-9.56792609966024,3.45,1.55,238.0,90.2,55.0,98.6,2684.0,6.6,776978,682663,689414,669364,688363,672640,669065,667472,660821,53.9,0.009,0.008,0.0,1.0,0,0,3.0,35,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,218.0,-0.058,-0.282,75.0,7.8,0.01,0.282,90.2,-1,-1,0.414,0.414,22,26,22,27,2,1,6.0,1.0,6.0,1.0,0.83,0.77,0.77,34.7,-0.7763160941927724,-2.2032911030457014,28.898241103270397,39.68948886502965,26.710091355071825
FF,2025-07-26,94.4,-0.33,5.81,"Ortiz, Joey",687401,676083,field_out,hit_into_play,,,,,2.0,Joey Ortiz flies out to right fielder Heriberto Hernández.,R,R,R,MIL,MIA,X,9,fly_ball,1,2,2025,-0.1,1.49,-0.11,3.15,,,,0,3,Bot,210.8,109.3,,,,,0.7997074334080133,-137.51568623129984,-4.590430752113481,-1.4438020889885468,29.43892417006342,-12.410597731663172,3.44,1.54,305.0,84.6,33.0,95.0,2260.0,6.5,776996,663743,676572,669364,691594,672640,669065,667472,681715,54.03,0.017,0.024,0.0,1.0,0,0,3.0,21,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,200.0,-0.025,-0.189,75.9,6.5,0.04,0.189,88.0,0,0,0.554,0.554,29,26,29,27,1,0,6.0,1.0,6.0,1.0,1.05,0.1,0.1,56.5,-7.112098892678989,12.343400471165214,26.37255318385191,32.87308618170859,22.7541437840107
SL,2025-07-23,84.0,-2.24,4.91,"Ortiz, Joey",687401,622491,field_out,hit_into_play,,,,,8.0,Joey Ortiz lines out to center fielder Julio Rodríguez. Blake Perkins to 3rd.,R,R,R,SEA,MIL,X,8,line_drive,1,0,2025,0.18,-0.12,0.25,1.93,,663368.0,,1,2,Top,159.75,66.71,,,,,5.351369459731535,-122.3590953324513,-0.3410620084896442,0.8320081380848462,21.52095542982496,-33.568226117297776,3.39,1.52,339.0,96.8,19.0,83.2,2257.0,5.5,777024,641598,670042,702284,810938,641487,668227,677594,686527,55.04,0.346,0.388,0.0,1.0,0,0,4.0,12,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,12.0,0.023,-0.29,75.5,7.7,0.594,0.29,96.8,-2,2,0.279,0.721,32,26,33,27,1,0,5.0,1.0,5.0,2.0,3.32,-0.18,-0.18,13.5,-1.3305761419188156,0.2584158485160675,32.88955768054938,38.68816740310555,28.275097216985163
SL,2025-07-22,86.9,-0.51,5.64,"Ortiz, Joey",687401,669302,field_out,hit_into_play,,,,,14.0,Joey Ortiz flies out to center fielder Julio Rodríguez.,R,R,R,SEA,MIL,X,8,fly_ball,1,2,2025,-0.13,0.02,0.47,1.03,,,,1,6,Top,138.49,101.24,,,,,2.670329177194541,-126.37469566137769,-4.914707523368417,-1.941413323026168,28.867202240211373,-31.12627686467724,3.39,1.52,248.0,75.5,39.0,88.8,1756.0,7.8,777035,663728,670042,702284,810938,641487,668227,677594,686527,52.75,0.16,0.157,0.0,1.0,0,0,3.0,36,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,348.0,0.025,-0.18,66.9,8.7,0.21,0.18,88.0,0,0,0.533,0.467,28,26,28,27,2,1,9.0,1.0,5.0,1.0,3.04,0.13,0.13,43.3,5.068772702928012,-9.81904595292058,29.34991393512692,41.600659065309785,34.205584642181776
SI,2025-07-21,94.9,-1.76,5.65,"Ortiz, Joey",687401,669923,single,hit_into_play,,,,,1.0,Joey Ortiz singles on a line drive to left fielder Randy Arozarena.,R,R,R,SEA,MIL,X,7,line_drive,0,1,2025,-1.22,0.77,-0.74,2.9,,,,1,6,Top,87.53,119.55,,,,,5.4553848856723945,-138.19388741580943,-3.331333861775419,-16.884572474033746,28.520049094035087,-21.763648695094872,3.39,1.52,170.0,76.5,12.0,96.1,2133.0,6.8,777050,663728,670042,702284,810938,641487,668227,677594,686527,53.75,0.351,0.316,0.9,1.0,1,0,4.0,36,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,-0.037,0.454,75.1,7.1,0.355,-0.454,88.0,0,0,0.533,0.467,27,26,27,27,2,1,9.0,1.0,5.0,1.0,1.74,1.22,1.22,29.3,-0.3183929628196557,-3.9522284826339136,28.33934152004608,25.84757727150345,28.52295234106791
SL,2025-07-20,87.6,1.73,6.1,"Ortiz, Joey",687401,477132,field_error,hit_into_play,,,,,8.0,Joey Ortiz reaches on a fielding error by center fielder Andy Pages. Andruw Monasterio scores. Joey Ortiz to 2nd.,R,R,L,LAD,MIL,X,8,line_drive,1,1,2025,-0.11,0.62,0.24,1.85,,655316.0,,2,4,Top,154.62,74.8,,,,,-3.364748559164646,-127.5531085089426,-5.505407917266882,-0.6249087022483518,22.48538356724682,-24.589022094431854,3.36,1.52,358.0,108.7,12.0,88.1,2379.0,6.2,777070,687221,518692,500743,669242,605141,665923,681624,606192,54.27,0.894,0.882,0.9,1.0,0,0,5.0,29,3,Slider,3,2,2,3,3,3,3,3,Standard,Standard,198.0,-0.131,0.479,79.5,7.7,1.169,-0.479,108.7,1,-1,0.649,0.351,37,26,37,27,2,1,12.0,1.0,6.0,1.0,2.32,-0.11,0.11,54.5,-1.688098977175471,1.5211544334992588,34.64359569849239,36.2879182905102,27.59608911761189
