pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2025-07-13,83.4,-2.12,6.32,"Osuna, Alejandro",696030,686613,sac_fly,hit_into_play,,,,,5.0,Alejandro Osuna out on a sacrifice fly to right fielder Cam Smith. Evan Carter scores.,R,L,R,HOU,TEX,X,9,line_drive,0,1,2025,0.61,-1.42,-0.01,2.44,694497.0,,543309.0,0,4,Top,152.25,66.81,,,,,3.662087575636723,-121.20923415614162,0.4927741908586969,4.996582435767016,29.34451784299156,-46.3128640616612,3.26,1.46,334.0,92.0,23.0,82.9,2659.0,6.6,777125,605170,572233,514888,643289,670097,669450,666211,701358,53.91,0.166,0.186,0.0,1.0,0,0,3.0,27,2,Knuckle Curve,0,3,3,0,4,0,4,0,Strategic,Strategic,20.0,0.003,-0.206,83.8,7.4,0.29,0.206,92.0,-3,3,0.11,0.89,26,22,27,23,2,1,5.0,3.0,7.0,6.0,4.77,-0.61,0.61,59.3,11.515840649064293,-7.16246458318669,27.505488107664807,31.09545175737064,33.60875427988938
FF,2025-07-04,93.8,-1.94,5.91,"Osuna, Alejandro",696030,681190,field_out,hit_into_play,,,,,2.0,Alejandro Osuna flies out to left fielder Gavin Sheets.,R,L,R,SD,TEX,X,7,fly_ball,0,1,2025,-1.04,1.19,-0.23,2.97,,,,2,4,Top,59.25,80.58,,,,,6.722038561587761,-136.42818354995634,-4.466539772247216,-14.543971520314612,31.978461334914343,-16.544319807231062,3.25,1.41,336.0,99.7,25.0,93.3,2379.0,6.1,777239,455117,650333,630105,592518,593428,657757,701538,665487,54.36,0.511,0.79,0.0,1.0,0,0,6.0,26,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,217.0,0.009,-0.217,65.1,6.4,1.418,0.217,99.7,-2,2,0.291,0.709,26,22,27,23,2,1,6.0,2.0,6.0,6.0,1.42,1.04,-1.04,33.1,7.760391710490511,21.052538955403847,25.992288455036803,32.784162790081936,22.42643460688015
FF,2025-07-02,91.4,-2.48,5.85,"Osuna, Alejandro",696030,608372,single,hit_into_play,,,,,2.0,Alejandro Osuna singles on a sharp line drive to left fielder Colton Cowser.,R,L,R,TEX,BAL,X,7,line_drive,3,1,2025,-0.4,1.24,-0.17,3.25,,,,2,5,Bot,70.15,83.76,,,,,6.663575537313768,-132.824161291051,-3.2799502282668644,-6.284678315068436,31.13021089662945,-17.051504363346,3.25,1.42,253.0,100.8,12.0,90.7,2381.0,6.1,777268,607732,656811,702616,602104,683002,681297,656775,657656,54.35,0.949,0.915,0.9,1.0,1,0,4.0,41,5,4-Seam Fastball,6,0,6,0,0,6,6,0,Infield shade,Standard,215.0,0.001,0.172,,,1.161,-0.172,100.8,6,6,0.978,0.978,35,22,36,23,3,2,5.0,1.0,8.0,2.0,1.52,0.4,-0.4,38.6,,,,,
SL,2025-06-30,89.9,-1.74,5.81,"Osuna, Alejandro",696030,552640,field_out,hit_into_play,,,,,9.0,Alejandro Osuna flies out sharply to right fielder Ramón Laureano.,R,L,R,TEX,BAL,X,9,fly_ball,1,2,2025,0.6,0.31,0.8,1.48,,669701.0,,2,11,Bot,214.76,92.06,,,,,5.025698990491933,-130.83300938303597,-5.465345006201047,5.987198818167485,25.534245063106127,-27.71082119340434,3.24,1.38,340.0,101.0,42.0,90.5,2733.0,6.5,777292,596142,656811,702616,602104,683002,681297,656775,657656,54.03,0.1,0.19,0.0,1.0,0,0,3.0,96,5,Slider,6,10,6,10,10,6,6,10,Standard,Standard,132.0,-0.005,-0.208,,,0.374,0.208,101.0,-4,-4,0.005,0.005,35,22,35,23,1,1,2.0,1.0,2.0,1.0,2.49,-0.6,0.6,42.1,,,,,
CH,2025-06-29,89.0,-2.24,4.83,"Osuna, Alejandro",696030,622491,field_out,hit_into_play,,,,,7.0,Alejandro Osuna lines out sharply to center fielder Julio Rodríguez.,R,L,R,TEX,SEA,X,8,line_drive,2,2,2025,-1.54,0.25,-0.35,1.79,,694497.0,,2,6,Bot,120.34,75.44,,,,,7.705554415135192,-129.37778060917094,-1.8898088743885075,-18.9466054998364,28.67598870129078,-29.166384353969573,3.24,1.38,308.0,101.9,12.0,87.2,,5.4,777302,641598,670042,702284,810938,641487,668227,677594,686527,55.13,0.943,0.901,0.0,1.0,0,0,4.0,52,5,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,,-0.054,-0.22,74.6,7.4,1.134,0.22,101.9,0,0,0.554,0.554,32,22,33,23,3,2,5.0,1.0,6.0,1.0,2.65,1.54,-1.54,9.3,8.553857987308021,4.576221566449821,29.387524574744877,36.748484505322274,28.92810379117391
FF,2025-06-29,95.2,-2.27,5.23,"Osuna, Alejandro",696030,622491,field_out,hit_into_play,,,,,2.0,Alejandro Osuna flies out sharply to center fielder Julio Rodríguez.,R,L,R,TEX,SEA,X,8,fly_ball,3,2,2025,-1.05,0.81,-0.15,2.7,,,,2,4,Bot,136.25,34.13,,,,,7.775027535733866,-138.45851904573374,-2.745051963743541,-15.310303988836829,32.47042570395858,-21.312204133459694,3.24,1.38,407.0,104.7,30.0,93.4,2214.0,5.4,777302,641598,670042,702284,810938,641487,668227,677594,686527,55.13,0.849,1.695,0.0,1.0,0,0,6.0,33,7,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,239.0,-0.011,-0.328,,,3.337,0.328,104.7,1,1,0.655,0.655,32,22,33,23,2,1,5.0,1.0,6.0,1.0,1.71,1.05,-1.05,24.0,,,,,
SL,2025-06-29,82.5,-2.19,5.88,"Osuna, Alejandro",696030,660825,single,hit_into_play,,,,,13.0,Alejandro Osuna singles on a line drive to center fielder Julio Rodríguez.,R,L,R,TEX,SEA,X,8,line_drive,2,2,2025,1.52,-0.51,-1.11,2.28,,,,2,9,Bot,116.31,79.51,,,,,-0.5017346554302257,-120.1453784389818,-0.6052817756485674,14.690144528232546,26.46294318756807,-37.20987578184828,3.24,1.38,262.0,94.5,11.0,81.0,,5.5,777302,641598,456781,702284,810938,641487,668227,677594,670042,54.99,0.771,0.747,0.9,1.0,1,0,4.0,73,5,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,,0.03,0.362,65.5,7.8,0.915,-0.362,94.5,0,0,0.533,0.533,29,22,30,23,1,3,2.0,1.0,2.0,1.0,3.9,-1.52,1.52,44.9,2.247111663655426,8.670284972052661,17.972241497557466,45.85804631390531,25.676968404198966
FF,2025-06-27,95.1,-1.18,5.52,"Osuna, Alejandro",696030,669302,double,hit_into_play,,,,,5.0,Alejandro Osuna doubles (1) on a line drive to center fielder Julio Rodríguez.,R,L,R,TEX,SEA,X,8,line_drive,0,1,2025,-1.06,1.33,0.22,2.05,,,,1,3,Bot,154.61,61.96,,,,,6.22167270314282,-138.1565054031231,-6.488255755588078,-15.02136262032653,36.53656395299705,-13.897627014246368,3.23,1.38,276.0,98.2,17.0,97.0,2102.0,7.9,777340,663728,670042,702284,810938,641487,668227,677594,686527,52.62,0.449,0.462,1.25,1.0,1,1,4.0,24,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,220.0,0.047,0.681,74.6,7.0,0.677,-0.681,98.2,-2,-2,0.291,0.291,28,22,28,23,1,0,5.0,2.0,5.0,1.0,1.24,1.06,-1.06,36.9,8.731922895436584,-2.9582591185635265,33.17681814104233,31.35478747342989,35.51896662929833
CH,2025-06-24,87.9,-2.62,5.25,"Osuna, Alejandro",696030,450203,sac_fly,hit_into_play,,,,,1.0,Alejandro Osuna out on a sacrifice fly to center fielder Cedric Mullins. Evan Carter scores.,R,L,R,BAL,TEX,X,8,fly_ball,2,2,2025,-1.15,0.52,-0.69,2.91,694497.0,,673962.0,1,4,Top,136.11,68.07,,,,,7.046481760847359,-127.84148369980323,-0.6435052824995471,-14.049009510853503,26.19925195714537,-26.529164663943384,3.28,1.38,359.0,102.8,16.0,87.9,1563.0,6.3,777380,596142,691723,702616,602104,683002,666185,656775,657656,54.2,0.557,0.607,0.0,1.0,0,0,5.0,27,5,Changeup,0,2,2,0,3,0,3,0,Standard,Standard,268.0,-0.021,-0.085,85.0,7.2,0.889,0.085,102.8,-2,2,0.211,0.789,41,22,42,23,2,1,5.0,5.0,10.0,1.0,2.43,1.15,-1.15,18.4,-3.529302159461845,3.752780221622811,21.76984220424801,37.933876336502,26.77642530024518
FF,2025-06-24,95.0,-2.47,5.48,"Osuna, Alejandro",696030,450203,field_out,hit_into_play,,,,,5.0,Alejandro Osuna flies out to center fielder Cedric Mullins.,R,L,R,BAL,TEX,X,8,fly_ball,0,2,2025,-1.18,1.07,0.25,2.31,,,,0,3,Top,133.67,114.97,,,,,9.736505011064288,-137.90810770305413,-4.984994204804302,-17.243385103566922,31.59533798883082,-17.566914926090348,3.28,1.38,213.0,87.4,58.0,94.6,2290.0,6.3,777380,596142,691723,702616,602104,683002,666185,656775,657656,54.23,0.011,0.01,0.0,1.0,0,0,3.0,15,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,241.0,0.025,-0.165,72.5,7.3,0.011,0.165,88.0,0,0,0.5,0.5,41,22,42,23,1,0,5.0,5.0,10.0,1.0,1.47,1.18,-1.18,21.4,14.20187420408933,-10.333778872563112,33.82608528983101,26.44843020821968,35.39286174054075
