pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-19,91.4,-2.28,5.91,"Paredes, Isaac",670623,688138,single,hit_into_play,,,,,8.0,Isaac Paredes singles on a sharp line drive to left fielder Randy Arozarena.,R,R,R,SEA,HOU,X,7,line_drive,1,1,2025,-1.57,0.34,-0.14,1.72,,,,0,3,Top,53.5,76.85,,,,,8.687142645810127,-132.8596345820941,-5.3969411772057,-20.42600631093674,25.85950432798293,-27.22752357235817,3.25,1.54,350.0,104.6,19.0,90.9,1945.0,5.8,777086,663728,670042,702284,810938,641487,668227,677594,686527,54.66,0.56,0.724,0.9,1.0,1,0,6.0,20,3,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,240.0,-0.043,0.447,72.5,8.3,1.17,-0.447,104.6,1,-1,0.617,0.383,24,26,24,26,2,1,10.0,1.0,5.0,62.0,2.38,1.57,1.57,32.2,15.265269415122948,-15.5407130675868,42.43819222245182,32.037316964671064,34.34856097395253
SI,2025-07-18,95.7,-1.99,5.03,"Paredes, Isaac",670623,622491,field_out,hit_into_play,,,,,4.0,Isaac Paredes flies out to left fielder Randy Arozarena.,R,R,R,SEA,HOU,X,7,fly_ball,0,1,2025,-1.53,0.25,-0.3,2.27,,643289.0,694728.0,0,3,Top,65.91,93.78,,,,,7.8058769737681715,-139.16420979464093,-2.2471338359959625,-21.6280394623052,29.51395683805445,-28.64550741627525,3.26,1.54,300.0,81.0,35.0,94.8,2038.0,5.7,777099,663728,456781,702284,810938,641487,668227,677594,664238,54.85,0.037,0.048,0.0,1.0,0,0,3.0,17,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,242.0,0.056,-0.211,77.6,8.3,0.071,0.211,88.0,0,0,0.401,0.599,32,26,33,26,2,1,7.0,5.0,5.0,1.0,2.23,1.53,1.53,20.7,18.68426632619707,-17.99918631709054,36.2746209770668,30.144034011965964,34.148914538181586
SI,2025-07-18,96.6,-2.37,5.34,"Paredes, Isaac",670623,666374,double,hit_into_play,,,,,8.0,Isaac Paredes doubles (15) on a line drive to center fielder Julio Rodríguez. Brice Matthews scores.,R,R,R,SEA,HOU,X,8,line_drive,2,1,2025,-1.48,0.55,-0.2,2.02,,,694728.0,0,8,Top,84.08,65.4,,,,,9.152969368013606,-140.40991404193568,-4.5263775701866,-21.6670213558548,31.4510824657592,-24.084487542124997,3.26,1.54,361.0,100.2,19.0,96.6,2403.0,6.3,777099,663728,456781,702284,810938,641487,668227,677594,664238,54.16,0.374,0.449,1.25,1.0,1,1,5.0,53,4,Sinker,2,0,0,2,1,2,1,2,Standard,Standard,217.0,-0.2,0.695,70.4,7.8,0.705,-0.695,100.2,2,-2,0.804,0.196,27,26,27,26,1,3,5.0,5.0,1.0,1.0,1.9,1.48,1.48,32.6,11.922922208868515,-13.484071649394227,37.27808560076869,30.67841903457265,32.21460234597118
ST,2025-07-13,84.3,-1.4,5.97,"Paredes, Isaac",670623,542888,double,hit_into_play,,,,,9.0,Isaac Paredes doubles (14) on a fly ball to center fielder Evan Carter.,R,R,R,HOU,TEX,X,8,fly_ball,1,1,2025,1.19,0.45,0.6,1.97,,,,2,8,Bot,75.13,53.88,,,,,2.288852887213305,-122.66821974282566,-3.717149000517841,11.316657889666349,28.879293188040776,-27.029803960492355,3.28,1.58,379.0,98.1,32.0,84.1,2664.0,6.6,777125,543309,677649,543760,669701,608369,694671,694497,666969,53.92,0.369,0.701,1.25,1.0,1,1,5.0,60,3,Sweeper,1,5,1,5,5,1,1,5,Standard,Standard,90.0,0.008,0.595,67.0,7.9,1.351,-0.595,98.1,-4,-4,0.017,0.017,34,26,35,26,1,3,2.0,1.0,5.0,5.0,2.8,-1.19,-1.19,44.0,11.4665880707732,1.5917019164290869,32.791660521061466,41.04052233423879,39.804856872591
FF,2025-07-13,95.2,-2.32,5.53,"Paredes, Isaac",670623,543135,double,hit_into_play,,,,,5.0,"Umpire reviewed (home run), call on the field was upheld: Isaac Paredes doubles (13) on a fly ball to left fielder Wyatt Langford.",R,R,R,HOU,TEX,X,7,fly_ball,0,0,2025,-1.27,1.05,0.07,2.18,,,,0,1,Bot,45.88,84.98,,,,,9.23189514466872,-138.19413307165374,-5.479738392886424,-18.448970962400303,34.183110076276414,-17.65077904354044,3.28,1.58,343.0,94.1,25.0,95.8,2254.0,7.0,777125,543309,677649,543760,669701,608369,694671,694497,666969,53.48,0.151,0.191,1.25,1.0,1,1,3.0,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,229.0,0.06,0.717,71.1,8.4,0.312,-0.717,94.1,0,0,0.547,0.547,35,26,35,26,1,0,5.0,1.0,12.0,5.0,1.5,1.27,1.27,27.5,18.58211950756834,-12.852625531534189,32.918754104146515,35.015918418559025,36.35461805322392
FF,2025-07-12,98.3,-1.01,5.56,"Paredes, Isaac",670623,594798,field_out,hit_into_play,,,,,9.0,Isaac Paredes flies out to center fielder Wyatt Langford.,R,R,R,HOU,TEX,X,8,fly_ball,0,2,2025,-0.63,1.38,0.53,1.92,,,,2,5,Bot,98.21,90.0,,,,,5.642451734584672,-142.78201280417468,-7.543020369845215,-9.956451771499262,37.73781870997208,-11.71739910864244,3.29,1.63,281.0,86.9,44.0,98.2,2543.0,6.7,777137,641680,677649,543760,669701,608369,664059,694671,666969,53.82,0.001,0.0,0.0,1.0,0,0,3.0,38,3,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,216.0,-0.01,-0.16,65.4,8.3,0.001,0.16,88.0,1,1,0.677,0.677,37,26,37,26,3,2,5.0,1.0,10.0,1.0,1.02,0.63,0.63,29.9,13.867559690980809,-7.802364843462768,34.29499103793945,37.90372634239628,34.758127416999294
CH,2025-07-11,88.5,-1.09,5.82,"Paredes, Isaac",670623,683004,field_out,hit_into_play,,,,,5.0,Isaac Paredes flies out to left fielder Wyatt Langford.,R,R,R,HOU,TEX,X,7,fly_ball,1,0,2025,-1.35,0.56,-0.01,2.53,,666211.0,,0,5,Bot,92.85,112.08,,,,,5.5008063351904815,-128.6115517440111,-3.0412090644482768,-16.14004453553823,30.30510527738363,-25.54525469588617,3.29,1.63,233.0,73.7,44.0,88.6,1584.0,6.7,777154,543309,669394,543760,669701,608369,694671,694497,666969,53.8,0.209,0.212,0.0,1.0,0,0,3.0,44,2,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,228.0,-0.058,-0.321,74.5,7.8,0.265,0.321,88.0,-2,-2,0.36,0.36,25,26,25,26,3,2,5.0,2.0,10.0,1.0,2.39,1.35,1.35,44.9,14.648802049184368,-14.036893389954614,32.88334918022049,34.336493602324765,34.219285499985176
SI,2025-07-11,88.4,4.52,4.26,"Paredes, Isaac",670623,571948,single,hit_into_play,,,,,3.0,Isaac Paredes singles on a line drive to left fielder Wyatt Langford.,R,R,L,HOU,TEX,X,7,line_drive,3,2,2025,1.7,0.18,0.33,2.99,,,,1,7,Bot,52.8,116.74,,,,,-13.801493785125244,-127.84865111106213,2.755115547409975,21.58973271138413,28.29914965461866,-31.1788429777146,3.29,1.63,232.0,96.0,18.0,88.3,2099.0,6.8,777154,543309,677649,543760,669701,608369,694671,694497,666969,53.74,0.457,0.481,0.9,1.0,1,0,4.0,61,6,Sinker,3,7,3,7,7,3,3,7,Standard,Standard,97.0,0.019,0.336,66.3,7.7,0.69,-0.336,96.0,-4,-4,0.047,0.047,34,26,34,26,1,3,4.0,2.0,1.0,1.0,2.79,1.7,-1.7,-7.4,13.63969404942192,-12.871350727820218,28.271022934268867,38.32892287378557,37.31904065152531
CU,2025-07-09,77.2,-1.28,6.3,"Paredes, Isaac",670623,677944,field_out,hit_into_play,,,,,6.0,Isaac Paredes flies out to left fielder Steven Kwan.,R,R,R,HOU,CLE,X,7,fly_ball,1,2,2025,0.74,-1.36,0.37,2.75,,,,1,3,Bot,80.2,132.85,,,,,2.1493732439917723,-112.21278147793714,2.0724121970293687,5.653995551776399,26.01726351448062,-44.19335681566777,3.3,1.57,202.0,87.1,56.0,76.0,2481.0,6.1,777174,595978,467793,669717,608070,677587,680757,682657,671286,54.35,0.009,0.008,0.0,1.0,0,0,3.0,21,4,Curveball,0,2,0,2,2,0,0,2,Strategic,Standard,35.0,-0.018,-0.18,66.9,8.0,0.009,0.18,88.0,-2,-2,0.291,0.291,26,26,26,26,2,1,5.0,1.0,9.0,2.0,5.29,-0.74,-0.74,50.9,15.591295187054962,-17.187586761504313,30.747582779451456,36.34039132923096,41.78415543963781
FF,2025-07-09,96.7,-1.4,6.17,"Paredes, Isaac",670623,677944,single,hit_into_play,,,,,3.0,Isaac Paredes singles on a line drive to center fielder Angel Martínez.,R,R,R,HOU,CLE,X,8,line_drive,1,2,2025,-1.02,1.32,0.81,2.99,,,,0,1,Bot,162.69,76.25,,,,,8.190464826507519,-140.31687990919772,-5.819737477177344,-15.50755286646503,37.456095162972574,-13.640531016550444,3.3,1.57,283.0,93.7,17.0,95.7,2545.0,6.3,777174,595978,467793,669717,608070,677587,680757,682657,671286,54.21,0.614,0.583,0.9,1.0,1,0,4.0,6,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,221.0,0.039,0.508,60.8,7.2,0.776,-0.508,93.7,-2,-2,0.342,0.342,26,26,26,26,1,0,5.0,1.0,9.0,2.0,1.17,1.02,1.02,40.3,8.522443721708422,14.267371227383768,27.81283742759827,41.59766824977184,24.70242988092847
