pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-28,97.7,-1.89,5.99,"Peguero, Liover",678894,693313,double,hit_into_play,,,,,6.0,Liover Peguero doubles (1) on a fly ball to center fielder Jung Hoo Lee.,R,R,R,SF,PIT,X,8,fly_ball,3,1,2025,-0.63,1.29,0.46,2.85,,,,2,6,Top,110.11,107.98,,,,,7.823198083992822,-142.0352851049724,-5.970018584777812,-10.267469564211238,32.36420058626624,-13.44789183048356,3.57,1.65,232.0,91.6,58.0,98.3,2431.0,6.7,776964,672275,646240,689172,656305,642715,671218,808982,573262,53.84,0.011,0.014,1.25,1.0,1,1,3.0,53,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Standard,230.0,-0.037,0.425,75.0,7.8,0.021,-0.425,91.6,0,0,0.558,0.442,26,24,27,25,1,2,6.0,2.0,7.0,1.0,1.1,0.63,0.63,44.0,9.389744193133666,-10.625097606328165,21.01668005712068,42.28980979959705,33.75354719471777
FF,2025-09-13,89.7,1.72,5.59,"Peguero, Liover",678894,829272,field_out,hit_into_play,,,,,5.0,Liover Peguero flies out to center fielder Robert Hassell III.,R,R,L,WSH,PIT,X,8,fly_ball,1,0,2025,0.95,1.33,0.06,2.84,,,,0,9,Top,88.14,58.72,,,,,-6.113115606575178,-130.44633088361297,-3.5916334226396014,12.116991322803988,27.692659357646647,-16.486507547872677,3.66,1.73,,99.1,28.0,,2149.0,6.3,776336,595751,665953,671277,691781,682928,695578,690987,686611,54.17,0.469,0.806,0.0,1.0,0,0,6.0,63,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,143.0,0.003,-0.301,71.7,7.5,1.5,0.301,99.1,-3,3,0.031,0.969,27,24,28,25,1,0,5.0,2.0,2.0,,1.51,0.95,-0.95,42.7,9.09535648715302,-10.174622646780636,27.15171738180951,34.642864703007824,30.45110704709252
SL,2025-09-07,94.9,-1.48,5.14,"Peguero, Liover",678894,694819,single,hit_into_play,,,,,6.0,"Liover Peguero singles on a line drive to center fielder Blake Perkins, deflected by left fielder Isaac Collins. Andrew McCutchen scores.",R,R,R,PIT,MIL,X,7,line_drive,2,2,2025,0.23,0.43,0.73,2.45,,457705.0,,2,2,Bot,102.55,94.06,,,,,5.409974574928997,-138.29531755428545,-2.4697154416419385,1.9020388889467776,28.29488553571963,-26.250614855158734,3.62,1.73,259.0,75.0,27.0,97.9,2432.0,7.7,776419,643376,683734,668930,702332,687401,686555,663368,641343,52.81,0.631,0.585,0.9,1.0,1,0,4.0,20,5,Slider,0,5,0,5,5,1,1,5,Strategic,Standard,173.0,0.045,0.742,70.9,7.9,0.705,-0.742,88.0,-5,-5,0.103,0.103,23,24,23,25,1,0,6.0,7.0,6.0,4.0,2.07,-0.23,-0.23,33.2,7.961523514668068,-13.236895208026889,24.296548963341927,41.21561268924826,34.73549633809857
FF,2025-08-29,94.0,2.93,5.53,"Peguero, Liover",678894,801139,field_out,hit_into_play,,,,,6.0,Liover Peguero flies out to right fielder Roman Anthony.,R,R,L,BOS,PIT,X,9,fly_ball,2,0,2025,0.52,1.32,0.52,2.8,,,,1,5,Top,146.11,115.17,,,,,-7.577701278014725,-136.71515039700202,-4.3814386015345805,8.12405127140465,28.47360801389048,-14.795562779307826,3.63,1.71,218.0,84.4,55.0,96.2,2138.0,7.5,776549,657136,663853,686765,608324,596115,680776,678882,701350,53.04,0.014,0.014,0.0,1.0,0,0,3.0,35,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,148.0,0.023,-0.364,79.3,7.7,0.021,0.364,88.0,1,-1,0.676,0.324,22,24,23,25,2,1,,1.0,7.0,2.0,1.25,0.52,-0.52,32.5,4.093853633913223,-8.2773878444339,21.518202654967453,42.26932316573427,32.21010838349052
FF,2025-08-29,97.9,2.84,5.63,"Peguero, Liover",678894,801139,field_out,hit_into_play,,,,,2.0,Liover Peguero flies out to right fielder Roman Anthony.,R,R,L,BOS,PIT,X,9,fly_ball,1,1,2025,0.48,1.41,-0.12,3.04,502054.0,457705.0,,2,2,Top,157.94,109.22,,,,,-9.320865474266563,-142.204354779879,-4.854326433777761,8.67559405545719,33.28111079292179,-12.094610024305954,3.63,1.71,240.0,82.7,50.0,100.3,2340.0,7.7,776549,657136,663853,686765,608324,596115,680776,678882,701350,52.77,0.006,0.005,0.0,1.0,0,0,3.0,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,137.0,0.06,-0.271,74.6,6.8,0.008,0.271,88.0,0,0,0.49,0.51,22,24,23,25,1,0,,1.0,7.0,2.0,0.98,0.48,-0.48,36.3,0.1717516693382146,2.713966698696572,24.245001367027367,33.55045773102464,27.01849501045134
SL,2025-08-26,86.4,-1.69,6.02,"Peguero, Liover",678894,669467,field_out,hit_into_play,,,,,2.0,Liover Peguero flies out to right fielder Jordan Walker. Jack Suwinski to 3rd.,R,R,R,STL,PIT,X,9,fly_ball,0,1,2025,0.55,-0.4,0.22,3.39,,669261.0,,1,1,Top,221.0,98.8,,,,,3.472242066182837,-125.8079154498648,0.8166405529673249,5.034092295586735,26.827843686188796,-36.8226521490106,3.58,1.69,340.0,95.7,26.0,86.7,2491.0,6.6,776578,650968,575929,695336,669357,691026,676475,663457,691023,53.93,0.266,0.391,0.0,1.0,0,0,5.0,8,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,96.0,0.01,-0.224,68.2,6.0,0.672,0.224,95.7,-5,5,0.105,0.895,26,24,27,25,1,0,6.0,1.0,5.0,2.0,3.46,-0.55,-0.55,57.6,-5.825104169138887,25.015484729668263,19.37649923296483,38.34365193216827,21.71381247408876
CU,2025-08-26,81.9,-1.61,6.24,"Peguero, Liover",678894,700669,field_out,hit_into_play,,,,,2.0,Liover Peguero flies out to left fielder Alec Burleson.,R,R,R,STL,PIT,X,7,fly_ball,2,2,2025,0.44,-1.36,0.03,3.45,,,,1,6,Top,62.82,61.36,,,,,2.846263248046036,-119.11081233475538,2.925954732768152,3.583107320252806,24.38884709065108,-45.90550436553751,3.58,1.69,373.0,99.8,32.0,81.5,2548.0,6.2,776578,650968,575929,695336,669357,691026,676475,663457,691023,54.3,0.469,0.887,0.0,1.0,0,0,6.0,44,6,Curveball,2,8,8,2,8,2,8,2,Standard,Standard,20.0,0.001,-0.228,71.4,7.0,1.729,0.228,99.8,-6,6,0.025,0.975,25,24,25,25,1,2,17.0,1.0,3.0,2.0,4.78,-0.44,-0.44,58.7,2.0704113821768693,-9.159539389636077,16.703036169025097,34.01550101082809,35.99650358931104
FC,2025-08-20,90.0,-1.59,5.37,"Peguero, Liover",678894,605135,single,hit_into_play,,,,,11.0,Liover Peguero singles on a line drive to center fielder Daulton Varsho.,R,R,R,PIT,TOR,X,8,line_drive,0,2,2025,-0.15,0.66,-0.2,3.88,,,,1,5,Bot,112.06,89.69,,,,,3.7804475961584623,-131.02721418157762,0.855125588061981,-2.468756911798984,26.58082206816008,-24.90813582635758,3.59,1.68,198.0,96.5,8.0,90.2,2259.0,6.3,776661,672386,664034,665926,680718,666182,676914,662139,664770,54.24,0.574,0.533,0.9,1.0,1,0,4.0,37,3,Cutter,2,1,2,1,1,2,2,1,Standard,Standard,218.0,0.023,0.506,68.3,6.4,0.651,-0.506,96.5,1,1,0.692,0.692,36,24,36,25,2,1,5.0,2.0,6.0,3.0,2.14,0.15,0.15,31.0,6.732686751097127,0.8867963942038698,7.42980803064352,31.045682422637608,28.55435622304361
FA,2025-08-12,77.3,-1.2,5.94,"Peguero, Liover",678894,678011,field_out,hit_into_play,,,,,8.0,Liover Peguero flies out to center fielder Blake Perkins.,R,R,R,MIL,PIT,X,8,fly_ball,1,0,2025,-0.96,1.45,0.1,1.72,,,693304.0,2,9,Top,110.62,86.59,,,,,4.456427726590387,-112.45934796266938,-4.606793881516607,-8.971309285004764,21.054390032845877,-19.262984946202725,3.59,1.67,283.0,83.4,41.0,76.3,1941.0,5.6,776771,643376,661388,702332,655316,687401,686555,663368,686217,54.87,0.009,0.01,0.0,1.0,0,0,3.0,78,2,Other,14,0,0,14,0,14,0,14,Standard,Standard,225.0,0.001,-0.306,72.2,8.3,0.013,0.306,88.0,14,-14,0.999,0.001,26,24,26,25,1,0,,1.0,,4.0,2.38,0.96,0.96,43.3,14.538259358158362,-20.68662388419348,35.05924394353549,36.174755880712574,40.33284404121095
SI,2025-08-11,91.7,2.25,5.74,"Peguero, Liover",678894,500779,field_out,hit_into_play,,,,,9.0,Liover Peguero flies out to left fielder Isaac Collins.,R,R,L,MIL,PIT,X,7,fly_ball,3,2,2025,1.14,0.9,0.41,2.23,,,,0,1,Top,67.87,75.05,,,,,-7.1273084594487655,-133.36468320706751,-4.968155295981886,15.195008004714188,28.62276777493371,-20.53692509847234,3.59,1.67,338.0,89.9,27.0,91.9,2123.0,6.4,776786,661388,683734,668930,702332,687401,686555,663604,686217,54.06,0.094,0.12,0.0,1.0,0,0,3.0,1,6,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,143.0,0.022,-0.345,78.1,8.2,0.205,0.345,89.9,0,0,0.5,0.5,36,24,36,25,1,0,5.0,1.0,6.0,1.0,1.81,1.14,-1.14,40.6,11.646238692558596,-12.49482185060145,27.412125379539177,41.02547201405231,38.30674596315582
