pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-29,93.3,-1.33,5.93,"Perkins, Blake",663368,621139,field_out,hit_into_play,,,,,6.0,Blake Perkins flies out to right fielder Kyle Tucker.,R,L,R,MIL,CHC,X,9,fly_ball,0,0,2025,-0.35,1.16,0.45,2.84,,,702332.0,2,7,Bot,149.26,104.59,,,,,5.323455949414963,-135.81074609428168,-4.752556958154771,-5.4869652039426535,29.04728651419382,-16.92240407817164,3.43,1.62,244.0,95.1,55.0,93.2,2330.0,6.1,776956,624512,457759,663538,807713,621020,664023,691718,663656,54.36,0.006,0.005,0.0,1.0,0,0,3.0,70,1,4-Seam Fastball,9,3,9,3,3,9,9,3,Standard,Standard,201.0,-0.001,-0.271,72.8,7.4,0.006,0.271,95.1,6,6,0.994,0.994,31,28,31,29,1,1,6.0,2.0,8.0,1.0,1.45,0.35,-0.35,43.5,22.18172166528005,-8.27393419429111,28.002476660518976,35.462262676734724,35.3333549031359
SI,2025-07-27,93.6,1.28,5.68,"Perkins, Blake",663368,806188,single,hit_into_play,,,,,2.0,Blake Perkins singles on a sharp line drive to center fielder Dane Myers. Eric Haase scores. Brice Turang to 3rd. Jackson Chourio to 2nd.,R,R,L,MIL,MIA,X,8,line_drive,3,2,2025,1.3,0.58,-0.05,2.95,606992.0,668930.0,694192.0,1,9,Bot,144.16,49.37,,,,,-6.24121109671579,-136.2504127411447,-2.607594910023931,17.561518531606573,28.510665525708813,-24.52640483168477,3.45,1.62,373.0,100.2,20.0,93.2,2335.0,5.9,776978,663743,689414,669364,676466,672640,691594,667472,669065,54.61,0.363,0.453,0.9,1.0,1,0,5.0,76,6,Sinker,2,2,2,2,2,3,3,2,Strategic,Strategic,149.0,0.171,0.415,72.8,7.0,0.723,-0.415,100.2,0,0,0.829,0.829,27,28,27,29,1,0,5.0,2.0,8.0,2.0,2.01,1.3,-1.3,32.5,6.648962151093721,5.7444457836628215,24.23256989270706,37.35642405174261,21.830007059370097
FF,2025-07-23,95.5,-2.17,5.14,"Perkins, Blake",663368,622491,double,hit_into_play,,,,,5.0,Blake Perkins doubles (1) on a sharp fly ball to left fielder Randy Arozarena. Isaac Collins scores. Tyler Black scores.,R,L,R,SEA,MIL,X,7,fly_ball,1,0,2025,-0.95,0.89,-0.22,2.62,686555.0,672012.0,,0,2,Top,71.65,59.28,,,,,7.130067777154436,-139.05511097571025,-3.054073793285214,-13.781863434471845,27.1169055452803,-20.063783817775462,3.47,1.62,370.0,101.1,24.0,94.6,2123.0,5.4,777024,641598,670042,702284,810938,641487,668227,677594,686527,55.07,0.577,0.875,1.25,1.0,1,1,6.0,10,2,4-Seam Fastball,0,0,0,0,2,0,2,0,Strategic,Standard,248.0,-0.105,0.67,64.9,7.0,1.544,-0.67,101.1,0,0,0.352,0.648,32,28,33,29,1,0,5.0,2.0,5.0,2.0,1.58,0.95,-0.95,15.3,8.714819942158456,12.300683390990748,29.805751667606884,43.38067172833666,24.248403805838983
SL,2025-07-20,86.8,2.61,5.38,"Perkins, Blake",663368,607455,field_out,hit_into_play,,,,,2.0,Blake Perkins flies out to center fielder Andy Pages.,R,R,L,LAD,MIL,X,8,fly_ball,2,2,2025,-0.29,-0.04,-0.27,2.99,,686555.0,702332.0,2,9,Top,121.37,56.01,,,,,-6.326018173111745,-126.29358416171192,0.5456991178667991,-1.8525245212446544,24.99445638768659,-32.95150577350416,3.42,1.62,354.0,98.5,37.0,87.1,2452.0,6.5,777070,687221,500743,808975,669242,605141,624424,681624,606192,54.05,0.171,0.331,0.0,1.0,0,0,3.0,72,5,Slider,4,6,6,4,6,4,6,4,Standard,Standard,332.0,0.014,-0.203,72.6,6.9,0.651,0.203,98.5,-2,2,0.073,0.927,31,28,32,29,1,4,1.0,1.0,3.0,1.0,3.06,-0.29,0.29,33.7,10.02684867055575,0.5742416123007651,26.87239905889951,33.00730802594488,27.176126476010936
FF,2025-07-19,96.4,-0.94,5.54,"Perkins, Blake",663368,686218,triple,hit_into_play,,,,,2.0,Blake Perkins triples (1) on a sharp line drive to right fielder Teoscar Hernández.,R,L,R,LAD,MIL,X,9,line_drive,1,1,2025,-0.68,1.31,0.13,2.97,,,,0,3,Top,156.29,77.83,,,,,4.435825463353059,-140.26642291699852,-4.240074114856637,-9.994489759079643,31.966019982237945,-14.165991206507917,3.42,1.62,222.0,105.5,12.0,97.0,2351.0,6.7,777085,669257,518692,808975,669242,500743,624424,681624,606192,53.83,0.914,0.915,1.6,1.0,1,2,4.0,16,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,-0.1,0.931,70.1,7.1,1.206,-0.931,105.5,0,0,0.5,0.5,25,28,26,29,1,0,7.0,1.0,6.0,1.0,1.15,0.68,-0.68,35.7,11.679888020647349,-1.5691553847618145,25.51939294756447,35.48850159670452,29.79187813986203
FF,2025-09-23,95.8,-1.88,5.8,"Perkins, Blake",663368,681190,field_out,hit_into_play,,,,,4.0,Blake Perkins flies out to left fielder Gavin Sheets.,R,L,R,SD,MIL,X,7,fly_ball,1,2,2025,-0.98,1.17,-0.77,2.4,,,641343.0,2,2,Top,44.15,120.7,,,,,5.141586158931895,-139.3975786304645,-5.950057852089051,-13.99452773301729,32.19259137740799,-15.827775199754058,3.5,1.67,279.0,84.1,35.0,95.2,2472.0,6.0,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.52,0.017,0.022,0.0,1.0,0,0,3.0,15,4,4-Seam Fastball,4,0,0,4,0,4,0,4,Infield shade,Standard,225.0,0.015,-0.183,73.2,6.8,0.037,0.183,88.0,4,-4,0.871,0.129,26,28,27,29,1,0,5.0,1.0,5.0,4.0,1.32,0.98,-0.98,30.0,0.620333372071658,15.631371615305932,26.73724847473637,47.14687274140656,23.7297904113329
SI,2025-09-23,95.5,-0.01,6.27,"Perkins, Blake",663368,593974,single,hit_into_play,,,,,11.0,Blake Perkins singles on a line drive to right fielder Ramón Laureano.,R,R,L,SD,MIL,X,9,line_drive,0,2,2025,1.33,0.76,-0.88,2.86,,,,1,8,Top,153.84,104.36,,,,,-5.227680471168457,-139.02337075815106,-5.030467117235624,18.366079391313388,30.77916370062094,-21.44129357201463,3.5,1.67,248.0,85.1,17.0,94.8,2084.0,5.8,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.65,0.957,0.879,0.9,1.0,1,0,4.0,57,3,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,134.0,-0.003,0.506,63.2,5.8,1.059,-0.506,88.0,6,-6,0.996,0.004,33,28,34,29,1,2,2.0,1.0,3.0,4.0,1.74,1.33,-1.33,47.4,-3.764683098292204,12.789118286888984,30.05370072861529,27.342589062622288,21.391053772698307
SI,2025-09-22,99.0,2.28,6.04,"Perkins, Blake",663368,670970,field_out,hit_into_play,,,,,2.0,Blake Perkins lines out sharply to center fielder Jackson Merrill.,R,R,L,SD,MIL,X,8,line_drive,0,1,2025,1.19,0.73,0.17,3.43,,,686217.0,1,10,Top,126.3,59.66,,,,,-8.512938952221337,-143.89449034041183,-3.3498020654449165,18.555863700025757,35.16453036153094,-21.50348404153788,3.5,1.66,346.0,103.9,15.0,98.7,2494.0,6.3,776222,666023,650333,630105,592518,578428,669369,701538,656811,54.18,0.68,0.718,0.0,1.0,0,0,5.0,79,2,Sinker,3,4,4,3,4,3,4,3,Standard,Standard,156.0,0.034,-0.216,70.1,6.8,1.017,0.216,103.9,-1,1,0.358,0.642,26,28,26,29,1,0,1.0,1.0,2.0,1.0,1.61,1.19,-1.19,43.4,4.729991640601135,10.084267210048084,18.64509891136978,41.49209323175976,23.426902810192946
FF,2025-09-21,94.0,0.57,6.54,"Perkins, Blake",663368,669461,single,hit_into_play,,,,,7.0,Blake Perkins singles on a line drive to left fielder Lars Nootbaar.,R,R,L,STL,MIL,X,7,line_drive,1,0,2025,0.43,1.53,-0.64,2.15,,,,0,3,Top,96.74,79.76,,,,,-4.080534852483954,-136.57245119655832,-9.042261455111388,6.251752930116528,30.834955925931308,-11.18289087516795,3.5,1.66,236.0,92.4,12.0,94.0,2058.0,6.4,776231,699625,676475,665877,669357,695336,663457,687363,691023,54.06,0.826,0.797,0.9,1.0,1,0,4.0,16,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,153.0,-0.04,0.397,74.2,7.2,0.963,-0.397,92.4,0,0,0.5,0.5,25,28,26,29,1,0,6.0,3.0,,1.0,1.06,0.43,-0.43,48.9,1.3227976015658849,3.736954522464519,36.15590332788747,31.50483282815772,23.94427753473166
FC,2025-09-21,92.5,-1.52,5.68,"Perkins, Blake",663368,694335,single,hit_into_play,,,,,9.0,Blake Perkins singles on a sharp line drive to center fielder Victor Scott II.,R,L,R,STL,MIL,X,8,line_drive,1,1,2025,0.16,0.22,0.32,2.13,,,,0,7,Top,125.19,80.15,,,,,4.384875881715462,-134.75070302233007,-3.7888751024220655,1.047484528237446,26.53304436503859,-28.913849382540217,3.5,1.66,222.0,106.0,9.0,93.5,2283.0,6.6,776231,699625,676475,665877,669357,695336,663457,687363,691023,53.92,0.734,0.708,0.9,1.0,1,0,4.0,51,3,Cutter,4,1,1,4,1,4,1,4,Standard,Standard,198.0,-0.042,0.447,72.1,6.9,0.895,-0.447,106.0,3,-3,0.902,0.098,26,28,26,29,1,2,4.0,3.0,2.0,1.0,2.42,-0.16,0.16,29.5,7.617506731197422,5.516676108150288,31.273691321711077,35.28549733723829,27.65079592689418
