pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-07-30,89.4,-1.79,6.54,"Robert Jr., Luis",673357,592836,field_out,hit_into_play,,,,,4.0,Luis Robert Jr. flies out sharply to center fielder Johan Rojas.,R,R,R,CWS,PHI,X,8,fly_ball,0,0,2025,-1.19,0.99,-0.7,2.6,,,,1,4,Bot,137.13,47.06,,,,,5.171393052963548,-130.1089260171959,-5.849439442541124,-14.556055191151213,23.92164200076648,-19.96373942296283,3.78,1.76,377.0,103.0,36.0,89.5,1812.0,6.1,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.42,0.477,0.908,0.0,1.0,0,0,6.0,31,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,216.0,-0.022,-0.254,78.3,7.7,1.791,0.254,103.0,-1,-1,0.391,0.391,32,27,33,28,2,1,5.0,1.0,6.0,2.0,1.84,1.19,1.19,41.6,11.324123347536617,-8.76831642714153,42.43464530746596,27.84343550256325,30.928777129612644
FF,2025-07-30,93.1,-1.6,6.64,"Robert Jr., Luis",673357,592836,single,hit_into_play,,,,,5.0,Luis Robert Jr. singles on a sharp line drive to left fielder Brandon Marsh.,R,R,R,CWS,PHI,X,7,line_drive,3,2,2025,-0.88,1.38,0.21,3.03,,,,0,2,Bot,56.24,68.83,,,,,6.564872291861997,-135.4649080831414,-6.5367980936142525,-12.227791150708187,27.383792362371896,-13.916952237090143,3.78,1.76,364.0,111.0,19.0,93.2,2175.0,6.2,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.33,0.877,1.343,0.9,1.0,1,0,6.0,12,10,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,217.0,0.031,0.353,77.7,7.6,2.366,-0.353,111.0,1,1,0.66,0.66,32,27,33,28,1,0,5.0,1.0,6.0,2.0,1.23,0.88,0.88,41.8,8.994575223657012,-4.389682893432445,29.18003479416285,37.68537273461925,28.56758077364561
FF,2025-07-30,92.2,2.53,6.54,"Robert Jr., Luis",673357,621383,single,hit_into_play,,,,,4.0,Luis Robert Jr. singles on a line drive to center fielder Johan Rojas.,R,R,L,CWS,PHI,X,8,line_drive,0,1,2025,0.14,1.2,-0.64,2.76,,,,1,6,Bot,113.75,99.01,,,,,-8.245701324959688,-134.03521498124854,-6.334484372356691,3.270781601121079,26.16948669015672,-16.56073629420285,3.78,1.76,151.0,80.0,11.0,91.4,2244.0,5.6,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.88,0.434,0.391,0.9,1.0,1,0,4.0,46,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,149.0,0.036,0.454,79.0,6.9,0.466,-0.454,88.0,0,0,0.541,0.541,33,27,34,28,1,2,3.0,1.0,3.0,2.0,1.47,0.14,-0.14,52.4,4.45020777663912,17.33712992728236,42.93324690841825,27.276034869709896,20.721326335063296
FC,2025-07-29,91.9,-2.23,6.1,"Robert Jr., Luis",673357,642016,single,hit_into_play,,,,,12.0,Luis Robert Jr. singles on a line drive to right fielder Nick Castellanos. Edgar Quero to 3rd.,R,R,R,CWS,PHI,X,9,line_drive,0,0,2025,0.2,0.78,0.84,3.21,,,700337.0,1,9,Bot,199.2,129.69,,,,,7.287937092606981,-133.61014169893986,-3.1360417904978206,0.7616969797409332,29.417591681150565,-22.38809480578937,3.79,1.76,154.0,71.2,15.0,91.1,2487.0,5.9,776952,592663,547180,681082,805249,607208,596146,669016,592206,54.63,0.477,0.446,0.9,1.0,1,0,4.0,70,1,Cutter,0,6,0,6,6,0,0,6,Strategic,Standard,186.0,0.004,0.406,69.9,7.2,0.524,-0.406,88.0,-6,-6,0.002,0.002,30,27,31,28,1,3,3.0,1.0,29.0,1.0,1.93,-0.2,-0.2,34.8,6.334675763315553,4.653628547358183,23.990073509518645,49.25116642011511,23.23950200098164
SI,2025-07-28,94.8,1.95,5.98,"Robert Jr., Luis",673357,650911,field_out,hit_into_play,,,,,8.0,Luis Robert Jr. lines out sharply to center fielder Brandon Marsh.,R,R,L,CWS,PHI,X,8,line_drive,3,2,2025,1.47,0.31,0.02,2.27,,,,2,2,Bot,132.17,78.85,,,,,-8.413846966989603,-137.79335733734308,-4.746202720439896,20.574110362463063,31.23043873369305,-27.341954809183296,3.8,1.76,300.0,107.2,14.0,95.6,2077.0,6.9,776972,592663,547180,681082,805249,607208,596146,669016,592206,53.62,0.751,0.784,0.0,1.0,0,0,5.0,12,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,117.0,-0.011,-0.328,79.7,7.4,1.102,0.328,107.2,0,0,0.511,0.511,28,27,29,28,1,0,6.0,1.0,6.0,1.0,2.24,1.47,-1.47,29.0,16.026488957114744,21.582606956415127,39.866459565050825,33.905380176084755,24.950993287122408
KC,2025-07-27,86.7,-1.69,6.72,"Robert Jr., Luis",673357,676962,field_out,hit_into_play,,,,,4.0,Luis Robert Jr. lines out sharply to left fielder Ian Happ.,R,R,R,CWS,CHC,X,7,line_drive,1,0,2025,0.04,0.03,-0.77,3.06,,,,2,2,Bot,50.54,107.77,,,,,2.11328865959344,-126.35683857296728,-2.7427318255625943,0.0923779628128657,21.91474304771059,-31.50364743150924,3.8,1.76,292.0,100.3,22.0,87.7,2127.0,6.5,776989,608348,683737,663538,807713,621020,664023,691718,663656,53.97,0.429,0.581,0.0,1.0,0,0,5.0,18,2,Knuckle Curve,1,2,1,2,2,1,1,2,Standard,Standard,88.0,-0.011,-0.298,78.2,7.5,0.967,0.298,100.3,-1,-1,0.394,0.394,25,27,26,28,1,0,6.0,4.0,8.0,1.0,2.95,-0.04,-0.04,45.7,19.933357594055902,-11.04395222434256,38.12720113476364,25.675188248431564,35.298804322804266
FF,2025-07-23,97.3,-1.02,5.96,"Robert Jr., Luis",673357,671212,field_out,hit_into_play,,,,,5.0,Luis Robert Jr. flies out to right fielder Josh Lowe.,R,R,R,TB,CWS,X,9,fly_ball,1,0,2025,-0.75,1.3,0.25,3.03,,,,0,6,Top,185.41,97.48,,,,,5.133977546405228,-141.60912374548738,-5.347244916733364,-11.178085870552382,29.38468148199436,-13.664261637655851,3.82,1.79,292.0,87.1,31.0,97.7,2521.0,6.3,777030,643376,666018,676609,691406,670764,663968,802415,666139,54.18,0.023,0.021,0.0,1.0,0,0,3.0,49,2,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Standard,217.0,0.036,-0.301,82.8,7.5,0.035,0.301,88.0,1,-1,0.667,0.333,25,27,26,28,1,2,5.0,2.0,6.0,4.0,1.09,0.75,0.75,35.1,1.0698932131416294,-0.3749210153455877,31.90080441426639,38.11633482975843,22.59801705871368
KC,2025-07-21,86.9,-1.34,5.92,"Robert Jr., Luis",673357,669358,single,hit_into_play,,,,,5.0,Luis Robert Jr. singles on a sharp line drive to left fielder Christopher Morel. Chase Meidroth scores. Andrew Benintendi scores. Miguel Vargas to 3rd.,R,R,R,TB,CWS,X,7,line_drive,0,0,2025,0.6,-0.72,0.11,3.08,805367.0,643217.0,678246.0,1,3,Top,81.62,94.86,,,,,2.256753207808264,-126.64463141580868,0.7646385826020188,6.1128392591550345,23.23124969056072,-40.26858641475806,3.83,1.79,282.0,110.8,12.0,87.6,2781.0,6.4,777059,643376,666018,670764,691406,673490,666624,802415,666139,54.1,0.88,0.913,0.9,1.0,1,0,5.0,25,1,Knuckle Curve,0,3,3,0,5,0,5,0,Standard,Standard,39.0,-0.075,0.445,74.3,7.4,1.257,-0.445,110.8,-3,3,0.142,0.858,26,27,26,28,2,1,9.0,1.0,6.0,2.0,3.7,-0.6,-0.6,43.7,16.338775446860428,4.057981947008179,26.00792447892714,37.603774652886976,29.321881368764267
FF,2025-07-21,93.0,-1.41,6.02,"Robert Jr., Luis",673357,669438,field_out,hit_into_play,,,,,12.0,Luis Robert Jr. flies out to center fielder Chandler Simpson.,R,R,R,TB,CWS,X,8,fly_ball,0,2,2025,-0.53,1.29,1.06,3.76,,805367.0,678246.0,2,7,Top,138.78,68.35,,,,,7.492803721841947,-135.35351171251168,-2.909861404645456,-7.987910966548589,24.276592128337448,-15.797566599496246,3.83,1.79,326.0,87.8,36.0,93.6,2163.0,6.2,777059,643376,666018,676609,691406,670764,666624,802415,666139,54.27,0.02,0.025,0.0,1.0,0,0,3.0,61,4,4-Seam Fastball,2,8,8,2,8,2,8,2,Infield shade,Standard,206.0,0.002,-0.179,,,0.044,0.179,88.0,-6,6,0.015,0.985,25,27,26,28,1,3,11.0,1.0,2.0,2.0,1.31,0.53,0.53,42.5,,,,,
FC,2025-07-21,88.9,-1.83,5.88,"Robert Jr., Luis",673357,669358,field_out,hit_into_play,,,,,6.0,Luis Robert Jr. flies out to center fielder Chandler Simpson.,R,R,R,TB,CWS,X,8,fly_ball,0,0,2025,-0.01,0.71,0.68,2.9,,,691019.0,0,2,Top,109.94,88.02,,,,,6.1892432171976965,-129.39132904100072,-2.7745651341993454,-1.2743739462162524,25.17124759204425,-23.837607133492988,3.83,1.79,280.0,78.7,33.0,89.5,2270.0,6.5,777059,643376,666018,670764,691406,673490,666624,802415,666139,54.0,0.051,0.062,0.0,1.0,0,0,3.0,11,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,198.0,0.035,-0.242,72.5,8.0,0.092,0.242,88.0,0,0,0.462,0.538,26,27,26,28,1,0,9.0,1.0,6.0,2.0,2.16,0.01,0.01,36.5,19.52530269200964,-16.37585982841474,25.196688630973288,43.44418889120477,32.54462909094716
