pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-07-30,81.6,2.71,5.91,"Rocchio, Brayan",677587,607536,field_out,hit_into_play,,,,,5.0,Brayan Rocchio lines out to left fielder Jordan Beck.,R,R,L,CLE,COL,X,7,line_drive,1,1,2025,0.85,0.48,0.11,2.02,,,,1,2,Bot,76.32,74.01,,,,,-7.459874438413019,-118.77586657979224,-3.2267783458790804,9.267178170265868,17.758123735300124,-27.214510158064574,3.09,1.39,332.0,98.9,20.0,82.2,1359.0,6.2,776942,543592,682653,642731,606115,678662,687597,686668,671289,54.28,0.337,0.412,0.0,1.0,0,0,5.0,14,3,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,136.0,-0.011,-0.244,70.0,7.3,0.648,0.244,98.9,2,2,0.739,0.739,32,24,32,24,1,0,5.0,1.0,7.0,2.0,2.88,0.85,-0.85,31.2,10.177951390418665,-2.016244370209959,33.354778446143,37.38372414760792,33.918091295479506
SI,2025-07-30,96.2,-1.35,5.56,"Rocchio, Brayan",677587,677955,sac_fly,hit_into_play,,,,,2.0,Brayan Rocchio out on a sacrifice fly to left fielder Jordan Beck. David Fry scores.,R,L,R,CLE,COL,X,7,fly_ball,0,0,2025,-1.32,0.65,0.02,2.86,681807.0,672356.0,666134.0,1,4,Bot,57.02,94.54,,,,,6.617916110469068,-139.99962680598415,-3.060808740228184,-18.8399628549475,31.68260631453698,-23.18163832477241,3.09,1.39,310.0,87.2,31.0,96.3,2347.0,6.4,776942,543592,682653,642731,606115,678662,687597,686668,671289,54.14,0.023,0.021,0.0,1.0,0,0,3.0,29,1,Sinker,2,0,2,0,0,3,3,0,Standard,Standard,228.0,0.012,-0.163,66.9,6.4,0.035,0.163,88.0,2,2,0.854,0.854,25,24,26,24,1,1,1.0,1.0,3.0,2.0,1.82,1.32,-1.32,23.6,-2.225582352792591,8.22563186065586,26.852763919803643,30.98064669067752,24.1339487146155
SL,2025-07-29,83.3,-2.99,5.94,"Rocchio, Brayan",677587,685299,triple,hit_into_play,,,,,8.0,Brayan Rocchio triples (1) on a fly ball to right fielder Tyler Freeman. Nolan Jones scores. Bo Naylor scores.,R,L,R,CLE,COL,X,9,fly_ball,0,1,2025,0.06,0.35,-0.12,1.75,666134.0,,666310.0,2,3,Bot,200.52,73.96,,,,,6.42192602692596,-121.13349271025184,-3.8275988955308735,-0.6880256103025624,24.147903128587902,-28.198113907537667,3.1,1.39,358.0,94.6,25.0,82.8,2129.0,6.0,776951,696100,682653,571657,606115,678662,687597,686668,671289,54.48,0.223,0.315,1.6,1.0,1,2,5.0,31,2,Slider,5,0,5,0,0,7,7,0,Standard,Standard,197.0,0.039,1.149,72.9,7.7,0.535,-1.149,94.6,5,5,0.939,0.939,27,24,28,24,2,1,6.0,1.0,6.0,1.0,2.95,-0.06,0.06,38.8,11.34449907729796,-14.612279602434802,32.30672825012128,34.172670059410265,40.13179448785558
FF,2025-07-29,91.2,-2.72,6.08,"Rocchio, Brayan",677587,685299,single,hit_into_play,,,,,5.0,Brayan Rocchio singles on a fly ball to left fielder Jordan Beck. David Fry scores. Brayan Rocchio to 2nd. Fielding error by left fielder Jordan Beck.,R,L,R,CLE,COL,X,7,fly_ball,0,0,2025,-0.79,1.33,0.18,2.35,,681807.0,,1,2,Bot,73.24,141.92,,,,,8.941337438122172,-132.53788606311224,-6.355887154795452,-11.085374961186698,25.75385324662132,-15.33342762208676,3.1,1.39,195.0,66.3,50.0,91.1,2259.0,6.1,776951,696100,682653,571657,606115,678662,687597,686668,671289,54.41,0.154,0.16,0.9,1.0,1,0,3.0,17,1,4-Seam Fastball,2,0,2,0,0,3,3,0,Standard,Standard,220.0,0.072,0.539,69.6,6.6,0.203,-0.539,88.0,2,2,0.768,0.768,27,24,28,24,1,0,6.0,1.0,6.0,1.0,1.4,0.79,-0.79,44.4,-2.791497543312788,6.15146354721233,34.10054216073394,29.68646123363715,29.86236541386707
CU,2025-07-28,77.8,-1.45,6.37,"Rocchio, Brayan",677587,687134,single,hit_into_play,,,,,2.0,Brayan Rocchio singles on a line drive to center fielder Brenton Doyle.,R,L,R,CLE,COL,X,8,line_drive,1,0,2025,0.49,-0.8,0.1,2.89,,,,1,5,Bot,119.94,114.43,,,,,2.4212335693814526,-113.39141706586132,0.8758301196009657,3.8356083338980578,20.21220131739492,-39.46704594576963,3.11,1.41,215.0,71.7,22.0,78.4,2435.0,6.6,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.91,0.966,0.869,0.9,1.0,1,0,4.0,38,2,Curveball,0,2,0,2,2,0,0,2,Standard,Standard,26.0,0.036,0.376,64.3,6.5,1.008,-0.376,88.0,-2,-2,0.246,0.246,24,24,25,24,2,1,6.0,1.0,6.0,1.0,4.55,-0.49,0.49,65.9,6.1955874064163,14.894724554067729,22.65780203739005,30.733995614862792,28.93580119040557
FF,2025-07-27,92.7,0.82,6.45,"Rocchio, Brayan",677587,702070,field_out,hit_into_play,,,,,4.0,Brayan Rocchio flies out to right fielder Randal Grichuk.,R,R,L,KC,CLE,X,9,fly_ball,0,0,2025,0.3,1.29,-0.36,2.21,,,467793.0,2,4,Top,186.17,117.74,,,,,-3.6737200966819294,-134.87627131471947,-7.86505798705399,4.422433436742761,28.154797909301085,-14.91481376443599,3.14,1.39,251.0,77.3,44.0,92.9,2253.0,6.3,776975,571912,521692,663697,672580,677951,670231,686475,545341,54.18,0.077,0.077,0.0,1.0,0,0,3.0,31,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,164.0,0.025,-0.271,70.1,7.3,0.105,0.271,88.0,2,-2,0.768,0.232,25,24,26,24,2,1,6.0,1.0,6.0,1.0,1.35,0.3,-0.3,65.8,4.881101191485,1.7011420167736688,36.64285429312226,30.21592982650269,28.53552620197418
FF,2025-07-27,95.8,-1.87,6.01,"Rocchio, Brayan",677587,608032,field_out,hit_into_play,,,,,1.0,Brayan Rocchio flies out to center fielder Kyle Isbel. Gabriel Arias to 3rd.,R,L,R,KC,CLE,X,8,fly_ball,3,2,2025,-0.37,1.65,-0.62,3.24,,672356.0,,1,9,Top,120.4,59.96,,,,,4.136657759568248,-139.32492226213182,-5.425803035384899,-5.743518185199799,32.51783811308646,-9.7068689048975,3.14,1.39,368.0,96.3,36.0,96.0,2210.0,6.6,776975,571912,521692,663697,672580,677951,669004,664728,670231,53.95,0.16,0.294,0.0,1.0,0,0,3.0,69,6,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,198.0,0.026,-0.282,68.4,6.9,0.573,0.282,96.3,3,-3,0.963,0.037,32,24,33,24,1,3,1.0,1.0,2.0,1.0,0.85,0.37,-0.37,46.4,7.591513907244076,1.2476833049440292,19.361134131536915,40.48022243119413,30.007015799080555
FF,2025-07-27,96.2,2.62,5.48,"Rocchio, Brayan",677587,672582,single,hit_into_play,,,,,1.0,Brayan Rocchio singles on a fly ball to right fielder Randal Grichuk.,R,R,L,KC,CLE,X,9,fly_ball,0,1,2025,0.81,0.91,-0.63,3.06,,,,1,7,Top,157.26,111.48,,,,,-10.27362593266917,-139.7566708176656,-2.8719757206146315,12.784936091670682,29.604115092548295,-19.773065598275,3.14,1.39,222.0,66.8,38.0,95.0,1949.0,5.5,776975,571912,521692,663697,672580,677951,670231,686475,545341,54.95,0.637,0.573,0.9,1.0,1,0,4.0,52,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,138.0,-0.026,0.454,65.0,6.1,0.673,-0.454,88.0,3,-3,0.924,0.076,25,24,26,24,1,2,1.0,1.0,2.0,1.0,1.55,0.81,-0.81,33.8,4.336165346368103,12.006372078207894,28.985241581148784,27.67112842074432,25.85569691080593
CH,2025-07-26,78.2,-1.55,6.63,"Rocchio, Brayan",677587,608379,field_out,hit_into_play,,,,,1.0,Brayan Rocchio flies out to center fielder Kyle Isbel. Daniel Schneemann to 3rd.,R,L,R,KC,CLE,X,8,fly_ball,1,1,2025,-0.84,0.48,-0.71,2.92,,682177.0,,0,5,Top,122.04,39.91,,,,,3.3749028403040544,-113.9619673193746,-2.1145591501998817,-7.894749242054485,18.945374796964558,-27.770383093834628,3.14,1.39,393.0,97.2,33.0,79.0,1456.0,6.5,777010,521692,686469,624428,672580,677951,669004,664728,670231,53.96,0.206,0.365,0.0,1.0,0,0,5.0,33,3,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,251.0,0.022,-0.272,70.8,7.1,0.69,0.272,97.2,2,-2,0.685,0.315,33,24,34,24,2,1,7.0,2.0,6.0,0.0,3.2,0.84,-0.84,50.5,5.733264290224171,-3.260887714308046,20.109946785798872,39.68977200169834,33.56364411508041
FF,2025-07-26,96.1,-2.5,5.97,"Rocchio, Brayan",677587,680742,double,hit_into_play,,,,,11.0,Brayan Rocchio doubles (12) on a line drive to center fielder Kyle Isbel. Johnathan Rodríguez to 3rd.,R,L,R,KC,CLE,X,8,line_drive,2,2,2025,-0.58,1.35,-0.66,3.41,,,671286.0,2,5,Top,86.85,76.48,,,,,6.273500707393347,-139.95507697066574,-4.357971750641528,-8.946929809121817,29.060237792039743,-13.60427736893014,3.14,1.39,237.0,95.2,11.0,97.6,2261.0,6.9,776990,666023,686469,663697,672580,677951,669004,664728,670231,53.59,0.78,0.737,1.25,1.0,1,1,4.0,43,5,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,214.0,-0.012,0.972,67.2,6.3,0.887,-0.972,95.2,-4,4,0.104,0.896,28,24,29,24,2,2,4.0,0.0,2.0,1.0,1.1,0.58,-0.58,40.7,-2.120361565881036,19.0957538237126,18.37682438076175,38.651482025375,22.615283143916987
