pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-06-14,89.9,-2.57,5.02,"Rodgers, Brendan",663898,657746,single,hit_into_play,,,,,6.0,Brendan Rodgers singles on a line drive to right fielder Matt Wallner.,R,R,R,HOU,MIN,X,9,line_drive,1,1,2025,-0.14,0.66,0.7,2.52,,,,1,3,Bot,161.29,101.59,,,,,8.404760918867643,-130.5832329756375,-1.5821054491153563,-3.5409248092116905,29.46596028526402,-24.470941786966176,3.36,1.52,214.0,75.6,22.0,89.7,2247.0,6.4,777510,543877,664034,665019,686797,621043,650489,621439,670242,54.06,0.96,0.877,0.9,1.0,1,0,4.0,18,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,236.0,0.028,0.425,73.9,7.4,1.032,-0.425,88.0,0,0,0.529,0.529,29,28,29,29,1,0,6.0,1.0,6.0,,2.18,0.14,0.14,23.4,14.671043758674488,-4.312441502176013,26.01783950743998,46.15790636971552,34.77532064448526
FF,2025-06-13,87.9,-0.54,6.24,"Rodgers, Brendan",663898,543056,single,hit_into_play,,,,,3.0,Brendan Rodgers singles on a sharp line drive to right fielder Willi Castro. Mauricio Dubón to 2nd.,R,R,L,HOU,MIN,X,9,line_drive,0,1,2025,0.01,0.99,0.31,3.3,,,643289.0,0,8,Bot,163.51,100.54,,,,,2.033879309760992,-128.05366106825824,-3.0405932924152927,-0.3609055228999024,27.672472101484068,-20.84601553408224,3.36,1.52,263.0,101.9,13.0,87.1,2388.0,5.8,777527,680777,664034,681146,668904,686797,665019,664056,650489,54.7,0.897,0.88,0.9,1.0,1,0,4.0,66,2,4-Seam Fastball,9,2,9,2,2,9,9,2,Standard,Standard,173.0,0.0,0.512,70.8,6.5,1.145,-0.512,101.9,7,7,0.999,0.999,35,28,36,29,1,3,1.0,1.0,4.0,1.0,1.96,0.01,-0.01,57.3,5.434842001810164,17.77440184367513,23.790087903399534,40.61965006444444,22.06878775871456
FC,2025-06-12,85.5,-2.3,6.02,"Rodgers, Brendan",663898,663436,field_out,hit_into_play,,,,,6.0,Brendan Rodgers flies out to left fielder Austin Slater.,R,R,R,HOU,CWS,X,7,fly_ball,2,2,2025,0.39,0.07,0.29,2.42,,605170.0,,2,6,Bot,58.74,83.28,,,,,5.322564253500122,-124.43290366250577,-2.2923447806070483,2.885155620888184,27.34405084522773,-31.163947985878394,3.35,1.52,329.0,87.8,29.0,85.2,2566.0,6.3,777546,700337,671284,805367,678246,681962,596103,673357,643565,54.18,0.06,0.08,0.0,1.0,0,0,3.0,54,6,Cutter,4,2,4,2,2,4,4,2,Standard,Standard,96.0,-0.021,-0.22,74.4,7.5,0.132,0.22,88.0,2,2,0.845,0.845,28,28,28,29,3,2,6.0,1.0,40.0,1.0,3.07,-0.39,-0.39,34.1,7.872360412603313,-22.8316406905603,31.749756203283823,39.749519010420826,43.988474392782784
FC,2025-06-06,87.1,2.4,5.31,"Rodgers, Brendan",663898,671106,field_out,hit_into_play,,,,,2.0,Brendan Rodgers flies out to right fielder Nolan Jones.,R,R,L,CLE,HOU,X,9,fly_ball,1,0,2025,-0.33,0.58,0.02,3.24,,,676694.0,2,2,Top,183.19,65.58,,,,,-5.048459382593146,-126.87947742423825,-0.1052532677892157,-2.7325393685741264,21.414901527176003,-26.02964369317313,3.29,1.5,366.0,104.1,31.0,88.0,2318.0,6.4,777622,624513,467793,669717,608070,672356,682177,682657,666134,54.09,0.811,1.619,0.0,1.0,0,0,6.0,11,2,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,190.0,0.024,-0.306,73.4,6.5,3.162,0.306,104.1,0,0,0.526,0.474,26,28,27,29,1,0,6.0,6.0,5.0,1.0,2.38,-0.33,0.33,40.4,-0.0512307468907565,8.55972693839897,23.108498138793795,37.93580345617372,29.860814604727256
SI,2025-05-21,96.4,1.19,5.3,"Rodgers, Brendan",663898,664076,field_out,hit_into_play,,,,,6.0,Brendan Rodgers flies out to center fielder Kameron Misner.,R,R,L,TB,HOU,X,8,fly_ball,1,0,2025,1.13,1.02,0.28,2.34,,,,2,7,Top,133.52,67.02,,,,,-4.96019379132674,-140.28619778725482,-4.618795117130161,16.03027775107905,30.80970449942746,-17.80391903246632,3.31,1.5,327.0,93.3,41.0,96.0,2492.0,6.0,777832,666163,666018,664040,678554,676609,802415,670224,666139,54.53,0.014,0.022,0.0,1.0,0,0,3.0,55,2,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,138.0,0.008,-0.298,75.0,7.5,0.038,0.298,93.3,3,-3,0.938,0.062,31,28,31,29,1,2,1.0,3.0,3.0,6.0,1.42,1.13,-1.13,31.4,8.028892284022627,-6.178791683361172,35.29350394953828,39.666669734096914,37.82253038669576
SL,2025-05-18,87.1,-2.35,5.8,"Rodgers, Brendan",663898,683004,field_out,hit_into_play,,,,,6.0,Brendan Rodgers flies out to left fielder Wyatt Langford.,R,R,R,TEX,HOU,X,7,fly_ball,0,0,2025,0.21,0.21,0.3,2.39,,,,0,3,Top,93.49,107.06,,,,,5.954248241000628,-126.78620725702343,-2.5063666185217865,1.1399156416321163,25.184046138650807,-29.57042018991252,3.32,1.51,243.0,88.1,51.0,87.6,2685.0,6.5,777869,641680,669394,543760,673962,677649,694671,664059,607680,54.0,0.011,0.012,0.0,1.0,0,0,3.0,14,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,109.0,0.025,-0.259,75.8,7.8,0.019,0.259,88.1,0,0,0.5,0.5,25,28,25,29,1,0,5.0,1.0,6.0,3.0,2.78,-0.21,-0.21,49.7,13.784116336869616,-16.500602743489598,31.357094011346465,40.34551710743347,42.042649695623226
FF,2025-05-17,92.1,-1.89,5.41,"Rodgers, Brendan",663898,641816,field_out,hit_into_play,,,,,5.0,Brendan Rodgers lines out sharply to center fielder Sam Haggerty.,R,R,R,TEX,HOU,X,8,line_drive,3,1,2025,-1.05,1.19,0.0,2.52,,,,2,2,Top,136.07,47.49,,,,,7.181020624600409,-133.85700235684357,-4.038777679023117,-14.258211726066747,33.14783558719448,-17.216228177376316,3.32,1.51,375.0,111.5,19.0,92.7,2262.0,7.0,777882,543309,669394,543760,673962,669701,694671,664059,666969,53.45,0.877,1.343,0.0,1.0,0,0,6.0,11,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,220.0,0.01,-0.414,,,2.366,0.414,111.5,-1,1,0.427,0.573,30,28,31,29,1,0,5.0,4.0,6.0,1.0,1.53,1.05,1.05,38.7,,,,,
ST,2025-05-11,79.8,2.03,5.62,"Rodgers, Brendan",663898,573124,single,hit_into_play,,,,,3.0,Brendan Rodgers singles on a line drive to center fielder TJ Friedl.,R,R,L,HOU,CIN,X,8,line_drive,0,2,2025,-1.02,0.3,0.29,3.03,,,,1,7,Bot,115.64,77.25,,,,,-1.8983504091559047,-116.23049675419875,0.4904516229118216,-8.785681326070149,24.067542326315483,-29.782359245317256,3.3,1.5,147.0,97.9,9.0,78.7,2870.0,5.7,777963,624431,668715,680574,669289,682829,666158,670770,666181,54.77,0.629,0.595,0.9,1.0,1,0,4.0,58,3,Sweeper,6,0,6,0,0,6,6,0,Standard,Standard,281.0,0.0,0.506,72.0,6.8,0.712,-0.506,97.9,6,6,0.994,0.994,34,28,35,29,1,3,3.0,1.0,4.0,2.0,3.3,-1.02,1.02,32.0,7.955172662533032,5.885255672072054,28.177884135238266,40.30250288141829,28.668635536336566
CU,2025-05-11,78.0,-2.3,5.41,"Rodgers, Brendan",663898,605130,field_out,hit_into_play,,,,,6.0,Brendan Rodgers flies out to right fielder Will Benson.,R,R,R,HOU,CIN,X,9,fly_ball,1,1,2025,1.63,-0.63,0.3,2.44,,,,2,5,Bot,173.35,87.26,,,,,2.58272586333754,-113.33474524783472,1.8516078402273195,13.256651687968194,25.575053034770583,-38.20421971110767,3.3,1.5,301.0,89.4,37.0,77.6,2531.0,6.6,777963,624431,668715,680574,669289,682829,666158,670770,666181,53.89,0.026,0.038,0.0,1.0,0,0,3.0,43,3,Curveball,4,0,4,0,0,4,4,0,Infield shade,Standard,61.0,-0.002,-0.244,60.4,6.8,0.068,0.244,89.4,4,4,0.928,0.928,32,28,33,29,1,2,1.0,1.0,3.0,2.0,4.46,-1.63,-1.63,26.4,4.8562169673859845,1.4708700531073204,31.628130624094084,41.01633826411552,30.22714343614209
FC,2025-05-10,86.2,-1.34,5.42,"Rodgers, Brendan",663898,663903,single,hit_into_play,,,,,12.0,Brendan Rodgers singles on a sharp line drive to center fielder TJ Friedl. Jeremy Peña to 2nd.,R,R,R,HOU,CIN,X,8,line_drive,1,2,2025,0.23,0.66,1.03,2.77,,,665161.0,0,3,Bot,134.47,76.98,,,,,5.223646642875148,-125.47889931193866,-1.3995995370635448,1.294325143246324,26.386516471103494,-25.199312949824566,3.31,1.52,261.0,101.7,13.0,87.2,2327.0,7.0,777979,663886,668715,680574,669289,682829,656582,670770,666181,53.49,0.897,0.88,0.9,1.0,1,0,4.0,33,4,Cutter,1,12,1,12,12,1,1,12,Standard,Standard,183.0,0.004,0.548,67.9,6.9,1.145,-0.548,101.7,-11,-11,0.006,0.006,28,28,29,29,2,0,5.0,1.0,6.0,1.0,2.42,-0.23,-0.23,29.4,5.169721526957704,8.426920752912487,25.422373386394067,47.43413703713212,27.435934722364514
SL,2025-05-09,85.7,-1.27,6.25,"Rodgers, Brendan",663898,607259,double,hit_into_play,,,,,9.0,Brendan Rodgers doubles (4) on a line drive to center fielder TJ Friedl.,R,R,R,HOU,CIN,X,8,line_drive,1,2,2025,0.24,0.13,0.51,2.0,,,,0,5,Bot,108.35,71.58,,,,,3.677579173384335,-124.8011283138547,-4.000643786912675,1.764191157872867,26.35652836444964,-30.21286009146281,3.29,1.5,319.0,95.4,19.0,84.9,2407.0,5.8,777989,663886,668715,680574,669289,682829,666158,670770,677956,54.67,0.394,0.41,1.25,1.0,1,1,4.0,37,4,Slider,1,0,1,0,0,1,1,0,Infield shade,Standard,184.0,0.059,0.787,75.4,7.4,0.591,-0.787,95.4,1,1,0.713,0.713,34,28,35,29,2,1,5.0,2.0,6.0,1.0,2.98,-0.24,-0.24,60.7,7.888107815899883,-3.121474220609355,34.627839629968584,42.40538856055193,33.733005607905646
FF,2025-05-07,95.0,-1.62,6.0,"Rodgers, Brendan",663898,660730,field_out,hit_into_play,,,,,5.0,Brendan Rodgers flies out sharply to center fielder Jackson Chourio. Jake Meyers to 3rd.,R,R,R,MIL,HOU,X,8,fly_ball,1,2,2025,-0.35,1.58,0.19,2.64,,676694.0,701305.0,0,6,Top,157.47,46.09,,,,,5.596653298874972,-138.0554877030374,-6.676082952615801,-5.843136828841186,33.90808653547906,-10.695932442988015,3.26,1.49,385.0,104.2,28.0,95.4,2580.0,6.8,778015,606992,656555,702332,681962,687401,686555,694192,663662,53.66,0.823,1.622,0.0,1.0,0,0,6.0,44,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,200.0,0.011,-0.173,71.9,7.0,3.163,0.173,104.2,-2,2,0.152,0.848,27,28,27,29,1,2,4.0,1.0,89.0,2.0,0.97,0.35,0.35,50.2,7.923200627945582,-3.946512445260792,30.806660607090908,39.90776476309057,29.30060944412692
SI,2025-05-04,92.4,-2.16,5.84,"Rodgers, Brendan",663898,669060,single,hit_into_play,,,,,1.0,Brendan Rodgers singles on a line drive to left fielder Andrew Benintendi. Jake Meyers to 2nd.,R,R,R,CWS,HOU,X,7,line_drive,0,2,2025,-1.64,0.69,-0.69,2.85,,,676694.0,0,4,Top,83.91,119.25,,,,,7.323090360362947,-134.32899726961082,-3.2534574948564368,-21.42044241452776,30.98851825698378,-23.299758330740847,3.27,1.49,164.0,90.4,11.0,92.2,2094.0,6.4,778055,700337,678246,672820,668942,805367,643217,673357,641943,54.1,0.643,0.595,0.9,1.0,1,0,4.0,31,3,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,221.0,-0.038,0.565,72.5,6.8,0.697,-0.565,90.4,-2,2,0.235,0.765,27,28,28,29,2,1,5.0,1.0,5.0,2.0,2.0,1.64,1.64,40.2,6.578007026487774,-1.9571525925298696,31.53186726081337,28.836549217599373,31.04255337393392
CH,2025-05-03,88.6,-2.12,6.05,"Rodgers, Brendan",663898,663436,single,hit_into_play,,,,,5.0,Brendan Rodgers singles on a line drive to left fielder Andrew Benintendi. Yainer Diaz to 2nd.,R,R,R,CWS,HOU,X,7,line_drive,0,0,2025,-1.34,-0.11,-0.01,2.6,,,673237.0,2,4,Top,73.54,98.78,,,,,7.953192153025248,-128.81449134770062,-2.143892606232936,-16.592018262315193,26.04801252035665,-33.13887612177224,3.27,1.49,154.0,110.2,7.0,88.8,1185.0,6.4,778066,642136,683734,672820,678246,805367,643217,681460,641943,54.12,0.711,0.661,0.9,1.0,1,0,4.0,30,1,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,307.0,-0.025,0.345,75.3,7.4,0.819,-0.345,110.2,2,-2,0.768,0.232,28,28,28,29,2,1,6.0,1.0,5.0,1.0,3.01,1.34,1.34,35.6,11.162418342452604,-9.918786203908397,31.25699340218464,36.06691390203683,37.08354913343529
