pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-07-26,86.0,-0.92,5.33,"Rojas, Johan",679032,573186,field_out,hit_into_play,,,,,9.0,Johan Rojas lines out sharply to right fielder Cody Bellinger.,R,R,R,NYY,PHI,X,9,line_drive,2,2,2025,0.53,-0.31,0.48,2.02,,,,2,2,Top,164.07,79.73,,,,,2.23268815128725,-125.35710858188776,-1.0615046419963494,5.248317514869261,23.303180661264022,-35.412154255352775,3.45,1.66,311.0,101.2,16.0,85.8,2714.0,5.9,777001,700250,502671,665862,641857,683011,691176,663757,641355,54.61,0.589,0.62,0.0,1.0,0,0,4.0,14,5,Slider,0,1,1,0,1,0,1,0,Standard,Standard,89.0,0.01,-0.224,72.2,7.5,0.858,0.224,101.2,-1,1,0.427,0.573,34,24,34,25,1,0,6.0,3.0,5.0,1.0,3.36,-0.53,-0.53,35.2,4.083225446252403,8.949734118873685,30.88114399651892,41.90985722721494,22.93715093148031
SI,2025-07-23,98.2,-2.43,6.78,"Rojas, Johan",679032,660896,single,hit_into_play,,,,,11.0,Johan Rojas singles on a line drive to left fielder Roman Anthony. Bryce Harper scores.,R,R,R,PHI,BOS,X,7,line_drive,1,1,2025,-1.28,1.19,-1.12,2.91,547180.0,,,2,11,Bot,59.53,108.85,,,,,6.452846648291735,-142.64184917744808,-7.637366797009204,-19.01869095129165,35.24436875829553,-14.253865994869418,3.45,1.66,232.0,98.8,14.0,96.9,2201.0,5.8,777038,665966,647351,678882,608324,596115,701350,680776,677800,54.66,0.854,0.805,0.9,1.0,1,0,4.0,90,3,Sinker,7,9,7,9,9,8,8,9,Standard,Standard,213.0,0.053,0.743,71.3,7.3,1.01,-0.743,98.8,-2,-2,0.043,0.043,29,24,30,25,1,0,3.0,4.0,2.0,3.0,1.19,1.28,1.28,55.7,21.13176918855062,-1.6719225085299594,25.75401173487804,26.83212590922458,29.64793907055192
SI,2025-07-19,94.9,-2.0,6.39,"Rojas, Johan",679032,820862,sac_fly,hit_into_play,,,,,4.0,Johan Rojas out on a sacrifice fly to left fielder Taylor Ward. J.T. Realmuto scores.,R,R,R,PHI,LAA,X,7,line_drive,0,0,2025,-1.23,0.97,-0.71,2.73,592663.0,805249.0,669016.0,1,6,Bot,55.63,90.64,,,,,6.102063296921686,-138.0892032472859,-6.113384989014724,-17.042882905767666,29.186392348300423,-18.63991116630778,3.45,1.66,319.0,102.1,15.0,95.0,2277.0,6.2,777089,518595,694384,650859,660162,687263,621493,666176,664774,54.25,0.68,0.691,0.0,1.0,0,0,4.0,54,1,Sinker,2,4,2,4,4,3,3,4,Standard,Standard,215.0,-0.033,-0.163,73.7,7.8,0.951,0.163,102.1,-2,-2,0.41,0.41,23,24,24,25,1,2,1.0,10.0,2.0,4.0,1.55,1.23,1.23,45.7,15.2915629921736,-9.671074251130335,23.0923522982854,28.18565483164033,31.747021421256115
FF,2025-07-05,94.3,3.78,5.56,"Rojas, Johan",679032,666157,field_out,hit_into_play,,,,,12.0,Johan Rojas flies out to right fielder Rece Hinds.,R,R,L,PHI,CIN,X,9,fly_ball,0,2,2025,1.15,0.74,0.27,3.71,,,,0,3,Bot,176.37,94.2,,,,,-11.568939957110604,-136.9006533049124,-0.7282593723949369,17.054082026007297,31.22175430498736,-22.89843320209863,3.41,1.64,289.0,93.3,49.0,93.3,2218.0,5.9,777233,624431,668715,680574,682622,682829,669289,666181,677956,54.62,0.003,0.003,0.0,1.0,0,0,3.0,19,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,104.0,-0.025,-0.165,65.6,6.7,0.004,0.165,93.3,0,0,0.554,0.554,27,24,27,25,1,0,6.0,1.0,5.0,3.0,1.84,1.15,-1.15,14.1,6.888489219932044,15.242998477146507,16.263572790675912,39.25961574770551,21.27027870857925
ST,2025-07-02,80.6,-1.13,6.85,"Rojas, Johan",679032,601713,single,hit_into_play,,,,,14.0,Johan Rojas singles on a line drive to center fielder Jackson Merrill.,R,R,R,PHI,SD,X,8,line_drive,0,0,2025,1.11,0.04,0.85,2.42,,,,1,5,Bot,117.96,95.35,,,,,2.290402993843451,-117.4334682706271,-3.2623432766923117,9.854773975716473,22.665912113830316,-31.409717867246187,3.41,1.63,176.0,77.0,15.0,81.2,2402.0,6.6,777273,553869,650333,630105,592518,593428,657757,701538,665487,53.86,0.709,0.675,0.9,1.0,1,0,4.0,45,1,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,63.0,0.009,0.415,74.2,8.1,0.807,-0.415,88.0,-6,-6,0.031,0.031,32,24,32,25,2,1,7.0,5.0,6.0,0.0,3.47,-1.11,-1.11,54.1,16.903495166946755,-17.146302173371193,23.204439295526583,45.47175632919623,38.35117024898646
EP,2025-06-27,61.5,-1.13,7.07,"Rojas, Johan",679032,663897,double,hit_into_play,,,,,2.0,Johan Rojas doubles (3) on a sharp line drive to right fielder Stuart Fairchild.,R,R,R,ATL,PHI,X,9,line_drive,0,0,2025,-0.71,1.67,-0.01,2.87,,,,2,9,Top,168.87,57.04,,,,,2.8176816598254577,-89.47690318130144,-0.7153616315613914,-4.214772959073208,14.393678305891031,-23.409008701901232,3.41,1.63,348.0,101.1,20.0,59.3,1607.0,4.5,777342,686948,621566,645277,663586,669397,657077,671739,656413,56.04,0.449,0.578,1.25,1.0,1,1,5.0,83,1,Eephus,0,12,12,0,12,0,12,0,Standard,Standard,215.0,0.0,0.579,,,0.931,-0.579,101.1,-12,12,0.001,0.999,28,24,29,25,1,2,12.0,3.0,11.0,5.0,4.42,0.71,0.71,52.6,,,,,
SI,2025-06-24,93.8,0.46,6.13,"Rojas, Johan",679032,664285,field_out,hit_into_play,,,,,2.0,Johan Rojas flies out sharply to center fielder Jake Meyers.,R,R,L,HOU,PHI,X,8,fly_ball,0,0,2025,1.07,0.65,0.05,3.28,,,,1,7,Top,150.38,46.02,,,,,-3.3952844412395358,-136.4883536080548,-2.99144535932162,14.085116227354082,33.78676523865645,-23.58140673763388,3.42,1.65,383.0,103.1,25.0,92.6,2266.0,5.8,777377,673237,572233,643289,670623,665161,669450,676694,701358,54.67,0.823,1.46,0.0,1.0,0,0,6.0,47,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,146.0,0.028,-0.254,70.6,7.3,2.741,0.254,103.1,0,0,0.539,0.461,31,24,32,25,3,2,6.0,2.0,5.0,3.0,1.96,1.07,-1.07,40.9,12.19389365432586,1.61172874583261,17.375271498360842,35.79580889647363,24.55293272918159
CU,2025-06-24,79.7,0.79,5.89,"Rojas, Johan",679032,664285,field_out,hit_into_play,,,,,5.0,Johan Rojas flies out to center fielder Jake Meyers.,R,R,L,HOU,PHI,X,8,fly_ball,3,2,2025,-1.03,-1.23,0.24,2.36,,624641.0,671083.0,2,4,Top,132.39,65.73,,,,,0.7146457022645414,-115.8411048451402,1.4558957366069094,-9.295916616537616,26.952989107445315,-43.69360032586382,3.42,1.65,331.0,96.6,38.0,78.2,2853.0,5.9,777377,673237,572233,643289,670623,665161,669450,676694,701358,54.62,0.111,0.194,0.0,1.0,0,0,3.0,27,8,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,315.0,0.052,-0.282,70.5,7.6,0.387,0.282,96.6,0,0,0.507,0.493,31,24,32,25,2,1,6.0,2.0,5.0,3.0,4.91,-1.03,1.03,40.7,7.198672340069512,-1.8245140889854548,24.65320183594797,40.02558808498125,30.675229339231677
ST,2025-06-21,80.9,-1.07,6.24,"Rojas, Johan",679032,606965,field_out,hit_into_play,,,,,2.0,Johan Rojas lines out sharply to center fielder Tyrone Taylor.,R,R,R,PHI,NYM,X,8,line_drive,2,2,2025,1.67,-0.01,-0.12,3.39,,,,0,9,Bot,125.13,46.28,,,,,-1.0906968646059465,-117.77109569433225,0.3290243104285486,15.764648837995498,22.996002677344432,-32.5339462064987,3.41,1.64,377.0,101.6,22.0,80.8,2520.0,6.3,777423,682626,624413,682668,683146,596019,607043,621438,665742,54.25,0.543,0.769,0.0,1.0,0,0,6.0,81,6,Sweeper,4,11,4,11,11,4,4,11,Standard,Standard,46.0,0.0,-0.232,,,1.31,0.232,101.6,-7,-7,0.001,0.001,34,24,35,25,1,0,21.0,4.0,1.0,1.0,3.5,-1.67,-1.67,30.8,,,,,
SL,2025-06-17,85.1,-1.22,6.32,"Rojas, Johan",679032,615698,field_out,hit_into_play,,,,,7.0,Johan Rojas flies out to left fielder Heriberto Hernandez.,R,R,R,MIA,PHI,X,7,fly_ball,1,0,2025,0.43,-0.1,-0.74,2.05,,,,2,3,Top,88.0,88.0,,,,,0.2583874185747155,-124.027680868015,-3.514231132876188,4.406640217216166,25.08184665349215,-32.706104028886514,3.42,1.65,346.0,90.7,26.0,85.1,2370.0,6.3,777481,663743,676572,669364,681393,672640,681715,691594,669065,54.24,0.094,0.112,0.0,1.0,0,0,3.0,17,2,Slider,2,0,0,2,0,2,0,2,Standard,Standard,115.0,0.01,-0.298,81.3,7.2,0.189,0.298,90.7,2,-2,0.762,0.238,30,24,30,25,1,0,6.0,1.0,7.0,4.0,3.24,-0.43,-0.43,45.0,5.306794063892699,-3.3902328484139,29.87944013470095,28.70264287380374,33.30300658337331
