pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-07-30,86.8,-2.08,6.56,"Rojas, Josh",668942,592836,field_out,hit_into_play,,,,,2.0,Josh Rojas flies out to right fielder Nick Castellanos.,R,L,R,CWS,PHI,X,9,fly_ball,0,0,2025,-0.02,1.0,0.22,3.09,,700337.0,,2,2,Bot,194.15,91.92,,,,,5.5123657182451336,-126.4205376621111,-4.244713655079791,-1.1214823796268458,21.36624080202965,-20.734017687920037,3.51,1.67,314.0,95.1,48.0,87.0,2419.0,6.0,776939,665561,547180,681082,805249,607208,669016,679032,592206,54.52,0.003,0.006,0.0,1.0,0,0,3.0,15,1,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,187.0,-0.03,-0.29,72.4,7.7,0.012,0.29,95.1,1,1,0.647,0.647,32,31,33,31,1,0,5.0,5.0,6.0,2.0,1.98,0.02,-0.02,37.8,15.633389267411784,-18.694556252797835,21.810929647050514,35.82756388279772,36.2212060712139
FF,2025-07-30,95.2,-0.71,5.99,"Rojas, Josh",668942,676661,double,hit_into_play,,,,,5.0,Josh Rojas doubles (9) on a sharp line drive to center fielder Johan Rojas.,R,L,R,CWS,PHI,X,8,line_drive,1,1,2025,-0.57,1.51,0.11,2.62,,,,0,7,Bot,160.18,63.69,,,,,3.445749798917733,-138.5239401057598,-6.677055441128551,-8.057006653192815,30.958967550261946,-11.4454137113267,3.51,1.67,347.0,107.1,18.0,96.4,2493.0,7.0,776939,665561,547180,681082,805249,607208,669016,679032,592206,53.54,0.626,0.789,1.25,1.0,1,1,6.0,52,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,208.0,0.11,0.726,75.1,7.2,1.256,-0.726,107.1,0,0,0.586,0.586,26,31,26,31,1,2,2.0,5.0,3.0,2.0,1.01,0.57,-0.57,52.0,10.71740016883136,-2.0507917646719984,32.545470822695684,36.434084212874055,25.656674635778973
FF,2025-07-23,91.2,1.95,5.81,"Rojas, Josh",668942,693855,field_out,hit_into_play,,,,,3.0,Josh Rojas lines out to center fielder Chandler Simpson.,R,L,L,TB,CWS,X,8,line_drive,1,1,2025,0.71,1.26,0.55,3.33,,673357.0,,2,9,Top,106.7,73.17,,,,,-5.009006387383747,-132.84049085939364,-3.0755743005347185,9.435292641557153,27.79087615967157,-16.837243738398943,3.5,1.67,318.0,90.0,25.0,91.0,2304.0,6.1,777030,643376,666018,676609,691406,670764,666624,802415,663968,54.43,0.117,0.145,0.0,1.0,0,0,3.0,85,3,4-Seam Fastball,9,11,11,9,11,9,11,9,Standard,Standard,143.0,0.012,-0.264,70.1,6.5,0.229,0.264,90.0,-2,2,0.075,0.925,26,31,27,31,1,4,3.0,4.0,2.0,2.0,1.47,0.71,0.71,39.9,6.774447314303027,9.790650775927292,27.554432079491693,33.6250016782023,18.71877589520679
SL,2025-07-19,86.9,-1.23,5.97,"Rojas, Josh",668942,681347,double,hit_into_play,,,,,8.0,Josh Rojas doubles (8) on a line drive to right fielder Bryan Reynolds. Lenyn Sosa scores.,R,L,R,PIT,CWS,X,9,line_drive,1,0,2025,0.37,0.28,0.13,1.88,,,672820.0,2,5,Top,199.36,133.62,,,,,2.5126779327399253,-126.63090182260532,-4.296286554042046,3.603424369874318,22.905032162468387,-28.51155574368111,3.5,1.67,166.0,77.0,14.0,87.8,2536.0,6.5,777090,680779,687462,693304,663647,643396,502054,665833,668804,53.99,0.597,0.544,1.25,1.0,1,1,4.0,37,2,Slider,3,1,1,3,2,3,2,3,Infield shade,Standard,157.0,-0.126,0.882,71.1,8.3,0.664,-0.882,88.0,2,-2,0.792,0.208,25,31,26,31,2,1,7.0,7.0,6.0,4.0,2.7,-0.37,0.37,43.9,20.08525713989568,-21.786577725851263,32.437260639703965,36.73133097558264,37.79039618739597
FF,2025-07-19,96.7,-1.04,6.07,"Rojas, Josh",668942,681347,field_out,hit_into_play,,,,,4.0,Josh Rojas lines out to center fielder Oneil Cruz.,R,L,R,PIT,CWS,X,8,line_drive,0,0,2025,-0.51,1.49,-0.49,2.32,,,672820.0,1,3,Top,97.56,59.41,,,,,2.6322831940099767,-140.6297674174887,-7.848111391753383,-7.384172088724423,32.569176914179764,-10.858258027894667,3.5,1.67,353.0,97.7,21.0,97.1,2360.0,6.6,777090,680779,687462,693304,663647,643396,502054,665833,668804,53.9,0.346,0.437,0.0,1.0,0,0,5.0,17,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.031,-0.256,70.7,7.3,0.695,0.256,97.7,0,0,0.497,0.503,25,31,26,31,1,0,7.0,7.0,6.0,4.0,0.96,0.51,-0.51,45.3,4.30481416766712,4.897544320341999,36.69556503649019,43.51529823391856,20.80704121169635
FF,2025-07-19,96.8,-2.12,5.5,"Rojas, Josh",668942,669387,field_out,hit_into_play,,,,,6.0,Josh Rojas flies out to center fielder Oneil Cruz.,R,L,R,PIT,CWS,X,8,fly_ball,1,0,2025,-0.79,0.99,0.33,2.72,,,672820.0,1,7,Top,112.32,57.8,,,,,8.338540243795283,-140.7461598800778,-4.159022868347104,-12.26545463593887,30.106602358379117,-18.1702569998532,3.5,1.67,352.0,93.3,34.0,97.1,2178.0,6.4,777090,680779,687462,693304,663647,643396,502054,665833,668804,54.14,0.074,0.133,0.0,1.0,0,0,3.0,66,2,4-Seam Fastball,4,10,10,4,10,4,10,4,Infield shade,Standard,224.0,0.002,-0.291,73.5,7.0,0.249,0.291,93.3,-6,6,0.014,0.986,26,31,26,31,1,3,8.0,7.0,4.0,4.0,1.43,0.79,-0.79,35.0,3.93169542365043,-2.5441459752854443,37.68086137731482,33.89773283973447,20.78883854034968
ST,2025-07-11,84.2,-3.19,5.97,"Rojas, Josh",668942,668909,field_out,hit_into_play,,,,,4.0,Josh Rojas flies out to center fielder Angel Martínez.,R,L,R,CWS,CLE,X,8,fly_ball,0,0,2025,1.36,0.12,-0.44,2.69,,,,1,4,Bot,105.6,96.43,,,,,3.66100239508179,-122.52379400210242,-1.3872089324595211,12.82550614179439,26.78822360966892,-30.946805596595038,3.49,1.68,263.0,75.9,36.0,83.6,2127.0,6.1,777146,666310,700932,682177,669717,677587,680757,682657,666134,54.36,0.109,0.106,0.0,1.0,0,0,3.0,34,1,Sweeper,2,2,2,2,2,2,2,2,Standard,Standard,53.0,-0.019,-0.254,63.7,7.1,0.14,0.254,88.0,0,0,0.532,0.532,25,31,26,31,2,1,5.0,0.0,9.0,1.0,3.13,-1.36,1.36,35.0,9.371399063370882,9.94522091410248,27.47414596187684,40.85456796126891,22.07537505637032
FF,2025-07-11,89.4,-3.77,4.37,"Rojas, Josh",668942,623149,sac_fly,hit_into_play,,,,,2.0,Josh Rojas out on a sacrifice fly to left fielder Steven Kwan. Kyle Teel scores.,R,L,R,CWS,CLE,X,7,fly_ball,0,1,2025,-1.06,0.77,-0.07,3.03,691019.0,,695657.0,1,8,Bot,67.05,89.08,,,,,11.442557156372876,-129.62654595094588,1.1625759245001095,-14.414374338238364,27.73387224619475,-23.97590812988226,3.49,1.68,310.0,93.5,43.0,89.9,2494.0,6.8,777146,666310,700932,682177,669717,677587,680757,682657,666134,53.66,0.003,0.004,0.0,1.0,0,0,3.0,72,2,4-Seam Fastball,3,4,3,4,4,4,4,4,Standard,Standard,246.0,0.071,-0.098,67.7,6.7,0.009,0.098,93.5,-1,-1,0.479,0.479,35,31,35,31,1,3,2.0,0.0,70.0,1.0,2.1,1.06,-1.06,12.9,8.861943360971443,2.86006399159037,29.83987455981444,37.95025381034673,19.437059674253987
FC,2025-07-11,95.4,-1.28,5.87,"Rojas, Josh",668942,661403,field_out,hit_into_play,,,,,9.0,Josh Rojas flies out to left fielder Steven Kwan.,R,L,R,CWS,CLE,X,7,fly_ball,0,1,2025,0.38,1.19,0.39,1.93,,,805367.0,0,9,Bot,70.98,106.93,,,,,3.536569693193038,-138.8769374115044,-7.555673806219132,4.327940392761889,26.87371400420963,-15.351082918101651,3.49,1.68,268.0,89.0,49.0,96.7,2621.0,6.7,777164,595978,467793,682177,608070,677587,680757,682657,666134,53.78,0.011,0.013,0.0,1.0,0,0,3.0,62,2,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,185.0,-0.074,-0.2,,,0.02,0.2,89.0,-2,-2,0.177,0.177,27,31,27,31,1,0,3.0,3.0,2.0,0.0,1.29,-0.38,0.38,42.2,,,,,
SI,2025-07-08,91.7,-1.11,5.72,"Rojas, Josh",668942,605135,field_out,hit_into_play,,,,,3.0,Josh Rojas flies out to center fielder Nathan Lukes.,R,L,R,CWS,TOR,X,8,fly_ball,1,2,2025,-0.86,0.5,0.6,3.06,,,,0,3,Bot,124.05,92.41,,,,,6.217175780762247,-133.44026654679,-1.9759287869667967,-11.62603382475534,26.451681383577245,-25.98333751271552,3.5,1.68,268.0,76.0,33.0,92.1,2129.0,6.4,777188,672386,665489,676391,680718,666182,676914,664770,694388,54.14,0.183,0.198,0.0,1.0,0,0,3.0,26,4,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,218.0,-0.014,-0.189,65.8,6.6,0.259,0.189,88.0,-5,-5,0.099,0.099,36,31,36,31,1,0,5.0,1.0,5.0,3.0,2.19,0.86,-0.86,34.3,8.058574850829864,3.845741148561476,28.470385781149854,32.5133858357093,20.40687081173244
